ID,_CoolTimeID,_Description,_CoolTimeType
201,900087,??? ?? [2021 ??? ?? ???] (30?),2
202,900088,??? ?? [2021 ??? ?? ???] (30?),2
203,900089,[???] ??? ??? ??(30?),2
204,900090,[???] ??? ?? ?? ??,1
205,900091,[???] ????,2
206,900092,[???] ???? ?? ??,2
207,900093,[???] ??? ???,2
208,900094,[???] ????? 1? ?? ??,2
209,900095,[???] ??? ???? 1? ?? ??,2
210,900096,[???] ???? ? 1? ?? ??,2
211,90001,??? ?? ??,1
212,90002,??? ?? ??,1
213,910001,??? ??[???],2
214,910002,??? ??[???_??????],2
215,910003,??? ??[???_??????] 15?,2
216,910004,??? ?? [??? ?? ??] (7?),2
217,910005,??? ???(??? ??) (7?),2
218,910006,??? ?? [???? ??] (30?),2
219,910007,??? ?? [???? ??] (30?),2
220,910008,??? ??[???_??????] 5?,2
221,910009,??? ??[???] 7?,2
222,910010,??? ???(??? ??) 15?,2
