ID,_GroupID1,_GroupName1,_GroupID2,_GroupName2,_GroupID3,_GroupName3,_GroupID4,_GroupName4,_GroupID5,_GroupName5,_GroupID6,_GroupName6,_GroupID7,_GroupName7,_GroupID8,_GroupName8,_GroupID9,_GroupName9,_GroupID10,_GroupName10,_GroupID11,_GroupName11,_GroupID12,_GroupName12,_GroupID13,_GroupName13,_GroupID14,_GroupName14,_GroupID15,_GroupName15,_GroupID16,_GroupName16,_GroupID17,_GroupName17,_GroupID18,_GroupName18,_GroupID19,_GroupName19,_GroupID20,_GroupName20
332,33205,交易拼圖,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
371,37101,交易公會相關物品,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
381,38101,交易公會相關物品,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
391,39101,交易公會相關物品,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
651,65101,交易龍京傳統飾品,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
701,70103,交易恢復藥水,70104,交易其他物品,70105,交易任務道具,70106,喊話道具交易,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
702,70205,交易拼圖,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
711,71101,交易31 ~ 40 Lv 初級武器,71102,交易31 ~ 40 Lv 中級武器,71104,交易41 ~ 50 Lv 初級武器,71105,交易41 ~ 50 Lv 中級武器,71103,"交易彈匣,精髓",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
721,72101,交易30 ~ 40 Lv 初級防具,72102,交易30 ~ 40 Lv 中級防具,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
60031,6003101,交易21~30 Lv 高級武器,6003103,交易31~40 Lv 高級武器,6003102,"交易彈匣,精髓",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
60041,6004103,交易恢復藥水,6004104,交易其他物品,6004105,交易任務道具,6004106,喊話道具交易,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
782,78205,交易拼圖,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
60051,6005101,交易20 Lv 高級防具,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
811,81101,交易奧亦奇傳統飾品,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
821,82102,交易51 ~ 60 Lv 初級武器,82104,交易51 ~ 60 Lv 中級武器,82105,"交易彈匣,精髓",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
831,83101,交易40 ~ 60 Lv 初級防具,83102,交易40 ~ 60 Lv 中級防具,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
841,84103,交易恢復藥水,84104,交易其他物品,84105,交易任務道具,84106,喊話道具交易,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
842,84205,交易拼圖,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
1061,106101,交易5轉技能物品,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
1062,106203,交易恢復藥水,106204,交易其他物品,106205,交易任務道具,106206,喊話道具交易,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
1101,110101,交易結婚用品,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
1141,114105,交易寵物道具,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
1131,113105,交易寵物道具,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
351,35101,古代硬幣箱子,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
1151,115101,交易阿法傳統飾品,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
1161,116101,交易70 ~ 80 Lv 初級武器,116102,交易70 ~ 80 Lv 中級武器,116103,"交易彈匣,精髓",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
1171,117101,交易70 ~ 80 Lv 初級防具,117102,交易70 ~ 80 Lv 中級防具,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
1181,118106,交易恢復藥水,118104,交易其他物品,118105,交易任務道具,118107,喊話道具交易,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
1182,118205,交易拼圖,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
1261,126101,交易90 ~ 100 Lv 初級武器,126102,交易90 ~ 100 Lv 中級武器,126103,"交易彈匣,精髓",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
1271,127101,交易90 ~ 100 Lv 初級防具,127102,交易90 ~ 100 Lv 中級防具,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
1281,128101,交易貝斯傳統飾品,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
1291,129103,交易恢復藥水,129104,交易其他物品,129105,交易任務道具,129106,喊話道具交易,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
1292,129205,交易拼圖,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
1361,136103,交易恢復藥水,136104,交易其他物品,136105,交易任務道具,136106,喊話道具交易,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
1362,136205,交易拼圖,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
1541,154101,交易70 ~ 90 Lv 高級武器,154102,"交易彈匣, 精髓",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
1551,155101,交易70 ~ 90 Lv 高級防具,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
1561,156103,交易恢復藥水,156104,交易其他物品,156105,交易任務道具,156106,喊話道具交易,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
1562,156205,交易拼圖,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
1611,161103,交易恢復藥水,161104,交易其他物品,161105,交易任務道具,161106,喊話道具交易,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
1612,161205,交易拼圖,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
1631,163101,交易70 ~ 80 Lv 高級武器,163102,交易81 ~ 90 Lv 高級武器,163103,"交易彈匣,精髓",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
1621,162101,交易70 ~ 90 Lv 高級防具,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
60151,6015101,交易70 ~ 90 Lv 高級武器,6015102,"交易彈匣, 精髓",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
60181,6018103,交易恢復藥水,6018104,交易其他物品,6018105,交易任務道具,6018106,喊話道具交易,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
60182,6018205,交易拼圖,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
60171,6017101,交易70 ~ 90 Lv 高級防具,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
1801,180105,交易寵物道具,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
1811,181105,交易寵物道具,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
60121,6012103,交易70 ~ 80 Lv 特殊武器,6012104,"交易彈匣, 精髓",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
60131,6013103,交易70 ~ 80 Lv 特殊防具,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
1911,191105,交易寵物道具,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
1941,194106,交易恢復藥水,194104,交易其他物品,194105,交易任務道具,194107,喊話道具交易,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
1942,194205,交易拼圖,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
1951,195101,交易110~120 Lv 中級武器,195102,交易110~120 Lv 高級武器,195103,"交易彈匣,精髓",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
1961,196101,交易110~120 Lv 中級防具,196102,交易110~120 Lv 高級防具,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
2171,217103,交易恢復藥水,217104,交易其他物品,217105,交易任務道具,217106,喊話道具交易,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
2172,217205,交易拼圖,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
2191,219101,交易130~140 Lv 中級武器,219102,交易130~140 Lv 高級武器,219103,"交易彈匣,精髓",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
2181,218101,交易130~140 Lv 中級防具,218102,交易130~140 Lv 高級防具,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
2591,259101,回歸用物品,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
2441,244103,交易130~140 Lv 恢復藥水,244104,交易其他物品,244105,交易任務道具,244106,喊話道具交易,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
2442,244205,交易拼圖,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
2401,240101,交易130~140 中級武器,240102,交易130~140 Lv 高級武器,240103,"交易彈匣,精髓",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
2421,242101,交易130~140 中級防具,242102,交易130~140 Lv 高級防具,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
2681,268103,交易恢復藥水,268104,交易其他物品,268105,交易任務道具,268106,喊話道具交易,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
2682,268205,交易拼圖,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
2741,274106,交易恢復藥水,274104,交易其他物品,274105,交易任務道具,274107,喊話道具交易,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
2742,274205,交易拼圖,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
2711,271101,交易130~140 Lv 高級武器,271102,"交易彈匣, 精髓",271103,交易130~140 Lv 高級防具,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
2151,215106,交易恢復藥水,215104,交易其他物品,215105,交易任務道具,215107,喊話道具交易,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
122401,224103,交易恢復藥水,224104,交易其他物品,224105,交易任務道具,224106,喊話道具交易,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
122402,224205,交易拼圖,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
2231,223101,交易140 Lv 高級武器,223102,"彈匣,精髓",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
2321,232103,交易140 Lv 恢復藥水,232104,交易其他物品,232105,交易任務道具,232106,喊話道具交易,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
2322,232205,交易拼圖,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
2391,239103,交易恢復藥水,239104,交易其他物品,239105,交易任務道具,239106,喊話道具交易,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
2392,239205,交易拼圖,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
2351,235103,交易恢復藥水,235104,交易其他物品,235105,交易任務道具,235106,喊話道具交易,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
2352,235205,交易拼圖,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
2381,238103,交易恢復藥水,238104,交易其他物品,238105,交易任務道具,238106,喊話道具交易,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
2382,238205,交易拼圖,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
2461,246103,交易恢復藥水,246104,交易其他物品,246105,交易任務道具,246106,喊話道具交易,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
2462,246205,交易拼圖,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
2611,261103,交易恢復藥水,261104,交易其他物品,261105,交易任務道具,261106,喊話道具交易,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
2612,261205,交易拼圖,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
50071,5007101,交易釣竿,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
2841,284103,交易恢復藥水,284104,交易其他物品,284105,交易任務道具,284106,喊話道具交易,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
2842,284205,交易拼圖,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
2851,285101,交易140 Lv 高級武器,285102,"交易彈匣,精髓",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
131,13101,特殊道具交易,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
11411,1141104,交易其他物品,1141105,交易任務道具,1141106,喊話道具交易,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
11421,1142104,交易其他物品,1142105,交易任務道具,1142106,喊話道具交易,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
11431,1143104,交易其他物品,1143105,交易任務道具,1143106,喊話道具交易,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
11441,1144104,交易其他物品,1144105,交易任務道具,1144106,喊話道具交易,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
11501,1150104,交易其他物品,1150105,交易任務道具,1150106,喊話道具交易,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
12341,1234104,交易其他物品,1234105,交易任務道具,1234106,喊話道具交易,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
10132,1013201,交易黃金箱子系列,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
12951,1295106,交易恢復藥水,1295104,交易其他物品,1295105,交易任務道具,1295107,喊話道具交易,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
20391,2039101,加油物品交易,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
20471,2047101,活動戒指交易,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
20611,2061101,活動戒指交易,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
60651,6065103,交易恢復藥水,6065104,交易其他物品,6065105,交易任務道具,6065106,喊話道具交易,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
60652,6065205,交易拼圖,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
20621,2062101,活動糯米糕交易,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
20631,2063101,活動符咒交易,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
20641,2064101,活動戒指交易,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
60681,6068103,交易恢復藥水,6068104,交易其他物品,6068105,交易任務道具,6068106,喊話道具交易,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
60682,6068205,拼圖交易,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
70141,7014103,交易恢復藥水,7014104,交易其他物品,7014105,交易任務道具,7014106,喊話道具交易,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
20691,2069101,活動期間制物品交易,2069102,活動稱號學習書交易,2069103,活動秘藥交易,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
10241,1024103,交易恢復藥水,1024104,交易其他物品,1024105,交易任務道具,1024106,喊話道具交易,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
12991,1299103,交易恢復藥水,1299104,交易其他物品,1299105,交易任務道具,1299106,喊話道具交易,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
10131,1013101,活動黃金鏢交易,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
60761,6076101,組合配方交易,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
21501,2150101,網咖潘朵拉箱子交易,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
13005,1300503,交易恢復藥水,1300504,交易其他物品,1300505,交易任務道具,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
70481,7048104,其他道具交易,7048105,交易任務道具,7048106,喊話道具交易,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
70501,7050104,其他道具交易,7050105,交易任務道具,7050106,喊話道具交易,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
70521,7052104,其他道具交易,7052105,交易任務道具,7052106,喊話道具交易,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
70541,7054104,其他道具交易,7054105,交易任務道具,7054106,喊話道具交易,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
21602,2160201,道具交易,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
21603,2160301,交易拼圖,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
70431,7043104,其他道具交易,7043105,交易任務道具,7043106,喊話道具交易,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
70461,7046104,其他道具交易,7046105,交易任務道具,7046106,喊話道具交易,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
70491,7049104,其他道具交易,7049105,交易任務道具,7049106,喊話道具交易,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
70441,7044104,其他道具交易,7044105,交易任務道具,7044106,喊話道具交易,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
70511,7051104,其他道具交易,7051105,交易任務道具,7051106,喊話道具交易,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
70551,7055104,其他道具交易,7055105,交易任務道具,7055106,喊話道具交易,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
2800,28001,短劍,28002,單手劍,28003,鈍器,28004,拳套,28005,雙手劍,28006,矛槍,28007,弓箭,28008,十字弓,28014,工具箱,28050,盾牌,28035,雙刀,28038,手槍,28039,MG,28051,黑狼玉,28053,爆焰巨錘,28054,鎖鏈劍,0,,0,,0,,0,
2810,28201,短劍,28202,單手劍,28203,鈍器,28204,拳套,28205,雙手劍,28206,矛槍,28207,弓箭,28208,十字弓,28214,工具箱,28250,盾牌,28235,雙刀,28238,手槍,28239,MG,28251,黑狼玉,28253,爆焰巨錘,28254,鎖鏈劍,0,,0,,0,,0,
272,27201,1級防具,27202,10級防具,27203,20級防具,27204,40級防具,27205,60級防具,27206,80級防具,27207,100級防具,27208,120級防具,27209,140級防具,27210,160級防具,27211,180級防具,0,,0,,0,,0,,0,,0,,0,,0,,0,
2801,28040,螺旋劍,28041,飛燕劍,28042,長拳套,28043,手套,28044,戰擊拐杖,28045,音樂權杖,28046,盜賊短劍,28047,神槍劍,28048,禦守珠,28055,寶石短錐,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
2811,28240,螺旋劍,28241,飛燕劍,28242,長拳套,28243,手套,28244,戰擊拐杖,28245,音樂權杖,28246,盜賊短劍,28247,神槍劍,28248,禦守珠,28255,寶石短錐,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
2820,28009,法杖,28033,靈魂石,28034,魔力卡片,28049,魔法石,28036,魔法球,28037,吉他,28052,魔法權杖,28056,魔法矛槍,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
