ID,_HOTKEY,_Image,_StartX,_StartY,_EndX,_EndY
77,45,DATA/INTERFACE/CONCEPT/UI_Object_001.png,32,194,62,201
78,46,DATA/INTERFACE/CONCEPT/UI_Object_001.png,32,186,62,193
79,47,DATA/INTERFACE/CONCEPT/UI_Object_001.png,63,490,93,497
80,48,DATA/INTERFACE/CONCEPT/UI_Object_001.png,63,482,93,489
81,39,DATA/INTERFACE/CONCEPT/UI_Object_001.png,63,474,93,481
82,27,DATA/INTERFACE/CONCEPT/UI_Object_001.png,63,466,93,473
83,35,DATA/INTERFACE/CONCEPT/UI_Object_001.png,63,458,93,465
84,25,DATA/INTERFACE/CONCEPT/UI_Object_001.png,63,450,93,457
85,102,DATA/INTERFACE/CONCEPT/UI_Object_001.png,63,442,93,449
86,32,DATA/INTERFACE/CONCEPT/UI_Object_001.png,63,434,93,441
87,3,DATA/INTERFACE/CONCEPT/UI_Object_001.png,63,426,93,433
88,2,DATA/INTERFACE/CONCEPT/UI_Object_001.png,63,418,93,425
89,4,DATA/INTERFACE/CONCEPT/UI_Object_001.png,63,410,93,417
90,5,DATA/INTERFACE/CONCEPT/UI_Object_001.png,63,402,93,409
91,15,DATA/INTERFACE/CONCEPT/UI_Object_001.png,63,394,93,401
92,37,DATA/INTERFACE/CONCEPT/UI_Object_001.png,63,386,93,393
