ID,_Hidden,_Mission_String,_Mission_Type,_Mission_ID,_Mission_Count
100190,0,收集稱號 120個,18,0,120
100191,1,惡魔之山,2,100191,1
100192,0,消滅凱魯斯,1,810006977,1
100193,0,露比亞,1,810006979,1
100194,0,米奈勒帕,1,810006978,1
100195,0,米奈勒帕的第一個紅寶石製作,8,1406101,1
100196,0,米奈勒帕的第一個黃寶石製作,8,1406102,1
100197,0,米奈勒帕的第一個藍寶石製作,8,1406103,1
100198,0,製作凱魯斯的凍結徽章,8,1313103,1
100199,0,製作凱魯斯的月亮徽章,8,1313104,1
100200,0,230等級達成,4,230,1
100201,0,235等級達成,4,235,1
100202,0,突變薑餅人甜食怪,1,810007058,1
100203,0,巴布梅斯,1,810007050,1
100204,0,普拉斯,1,810007049,1
100205,0,蘊含普拉斯魔力的眉心貼 ★★★,5,120112138,1
100206,0,蘊含普拉斯魔力的絲襪 ★★★,5,60112138,1
100207,0,蘊含普拉斯魔力的眼鏡 ★★★,5,100112138,1
100208,0,蘊含普拉斯魔力的耳環 ★★★,5,110102607,1
100209,0,蘊含普拉斯魔力的披風 ★★★,5,40113407,1
100210,0,蘊含普拉斯魔力的戒指 ★★★,5,160203207,1
100211,1,亞奇城,2,100211,1
100212,0,突變藍寶怪,1,810007165,1
100213,0,亞奇戰龍,1,810007185,1
100214,0,機甲虎林,1,810007184,1
100215,0,高級機甲虎林綴飾 +1 製作,5,165400202,1
100216,1,東部國境地帶,2,100216,1
100217,0,塔勒曼,1,810007252,1
100218,0,巴蒙,1,810007251,1
100219,0,阿耆尼,1,810007250,1
100220,0,塔勒曼的項鍊 ☆,5,164000802,1
100221,0,塔勒曼的蘋果徽章 ☆,5,164600702,1
100222,0,塔勒曼的草莓徽章 ☆,5,164800802,1
100223,1,黃金海岸,2,100223,1
100224,0,突變花蛇,1,810007364,1
100225,0,魚人將軍,1,810007357,1
100226,0,SD博士,1,810007358,1
100227,1,魯曼,2,100227,1
100228,0,特莉妮婭,1,810007460,1
100229,0,彼姆,1,810007470,1
100230,0,沛斯嘉,1,810007471,1
100231,0,第 51 未知的箱子,1,810007374,1
100232,0,第 52 未知的箱子,1,810007375,1
100233,0,第 53 未知的箱子,1,810007376,1
100234,0,第 54 未知的箱子,1,810007377,1
100235,0,第 55 未知的箱子,1,810007378,1
100236,0,闇黑火焰大帝黑焱龍,1,810007590,1
100237,0,奉,1,810007610,100
100238,0,春,1,810007611,100
100239,0,植,1,810007612,100
100240,0,致命卡路里,1,810007625,1
100241,1,玩偶小徑,2,100241,1
100242,0,蝴蝶之影綴飾 +9,5,165400310,1
100243,0,比柏萊特,1,810007727,15
100244,0,魔皇,1,810007728,1
100245,1,修練森林,2,100245,1
100246,0,修練腰帶 +30,5,165200531,1
100247,0,幻影眉心貼 ★★★,5,120112146,1
100248,0,幻影絲襪 ★★★,5,60112149,1
100249,0,幻影眼鏡 ★★★,5,100112149,1
100250,0,幻影披風 ★★★,5,40113507,1
100251,0,混沌戒指 ★★★,5,160203307,1
100252,0,混沌耳環 ★★★,5,110102207,1
100253,0,空虛戒指 ★★★,5,160203407,1
100254,0,空虛耳環 ★★★,5,110102214,1
100255,1,珊瑚之城,2,100255,1
100256,0,巨靈克利爾,1,810007897,2
100257,0,巨靈克拉卡,1,810007896,2
100258,0,奧賽里諾,1,810007904,1
100259,0,烏龜胸針 +30,5,165300331,1
100260,0,暴走的愛麗絲,1,810007917,1
100261,0,冷笑的愛麗絲,1,810007927,1
100262,0,厄運,1,810007928,1
100263,1,記憶的貝羅斯,2,100263,1
100264,0,暴走的愛麗絲圖騰,5,165500301,1
100265,1,亞瑪倫綠洲,2,100265,1
100266,0,拉厄那盾,1,810008092,1
100267,0,摩厄圖,1,810008100,1
100268,0,法老的紅色結晶 +1,5,160300702,1
100269,0,法老的黃色結晶 +1,5,160400702,1
100270,0,法老的藍色結晶 +1,5,160500702,1
100271,1,塔爾達洛斯,2,100271,1
100272,0,藍大人,1,810008352,1
100273,0,易斯溫,1,810008361,1
100274,0,瑪帕斯,1,810008362,1
100275,0,超人腰帶 +30,5,165200631,1
100276,1,怪物樹山林,2,100276,1
100277,0,亞爾勃洛,1,810008506,1
100278,0,雷頓,1,810008517,1
100279,0,兔子胸針 +30,5,165300431,1
100280,1,亞德利卡,2,100280,1
100281,0,聖禱神象,1,810008625,1
100282,0,聖謠花鹿,1,810008623,1
100283,0,安魂者,1,810008624,1
100284,0,幻獸圖騰 +50,5,165500451,1
100285,0,傑芮尼斯山丘,2,100285,1
100286,0,澤費羅斯,1,810008772,1
100287,0,克蘿莉絲,1,810008782,1
100288,0,學院院長綴飾 +9,5,165400510,1
100289,0,澤費羅斯的貼紙 +30,5,165100731,1
100290,1,成為戰場的墨羅斯,2,100290,1
100291,0,艾達,1,810008916,1
100292,0,貝格爾米爾,1,810008914,1
100293,0,諾克斯王子,1,810008915,1
100294,0,諾克斯王子的腰帶 + 30,5,165200731,1
100295,1,吉斯克領地,2,100295,1
100296,0,虛無的胸針 +30,5,165300531,1
100297,0,蛇影,1,810009069,1
100298,0,忘卻的雷黛,1,810009070,1
100299,0,福波斯,2,100299,1
100300,0,莉莉絲,1,810009145,1
100301,0,亞因霍倫,1,810009157,1
100302,0,阿斯莫德,1,810009158,1
100303,0,魅惑的圖騰 + 50,5,165500551,1
100304,1,聖域艾多斯,2,100304,1
100305,0,米卡艾拉,1,810009359,1
100306,0,巴爾巴托斯,1,810009360,1
100307,0,米卡艾拉的貼紙 +30,5,165100831,1
100308,1,底波拉雪原,2,100308,1
100309,0,阿爾戈斯,1,810009518,1
100310,0,莉莉歐佩,1,810009520,1
100311,0,艾可,1,810009519,1
100312,0,阿爾戈斯腰帶 +30,5,165200831,1
