ID,_Name,_Skill_ID,_Multi_Icon,_Multi_IconIndex,_Awaken_Order,_Awaken_skill,_Order,_EffectRequire_ID,_EffectRequire_Value,_MotionInfo1,_SoundEffect1,_Fx1,_MotionInfo2,_SoundEffect2,_Fx2,_Require1_Type,_Require1_ID,_Require1_Value1,_Require1_ValueSlv1,_Require1_Value2,_Require1_ValueSlv2,_Require2_Type,_Require2_ID,_Require2_Value1,_Require2_ValueSlv1,_Require2_Value2,_Require2_ValueSlv2,_Require3_Type,_Require3_ID,_Require3_Value1,_Require3_ValueSlv1,_Require3_Value2,_Require3_ValueSlv2,_Require4_Type,_Require4_ID,_Require4_Value1,_Require4_ValueSlv1,_Require4_Value2,_Require4_ValueSlv2,_RequireEquipType,_RequireItemKind,_MotionStatusCheck,_StandCheck,_Buff_Check,_ComboCheck,_Skill_ComboID,_ComboTimeDelay,_ComboTime,_ComboApplyID,_Skill_CoolTimeID,_CoolTime1,_CoolTimeSLv1,_CoolTimeApplyID1,_CoolTime2,_CoolTimeSLv2,_CoolTimeApplyID2,_ConsumptionTerm,_ConsumptionStat1,_ConsumptionStatValue1,_ConsumptionStatValueSlv1,_ConsumptionStat2,_ConsumptionStatValue2,_ConsumptionStatValueSlv2,_ConsumptionStat3,_ConsumptionStatValue3,_ConsumptionStatValueSlv3,_ConsumptionItemID1,_ConsumptionItemID2,_ConditionCheckTime,_Speed_Delay,_Speed_X,_Speed_Time,_Speed_Y,_TargetType,_TargetMaxCount,_TargetMaxCountSlv,_Effect_Delay1,_Effect_Self1,_Effect_Target1,_Effect_Delay2,_Effect_Self2,_Effect_Target2,_Effect_Delay3,_Effect_Self3,_Effect_Target3,_Effect_Delay4,_Effect_Self4,_Effect_Target4,_Effect_Delay5,_Effect_Self5,_Effect_Target5,_Effect_Delay6,_Effect_Self6,_Effect_Target6,_Loop_Effect_Start_Delay1,_Loop_Effect_Delay1,_Loop_Effect_Self1,_Loop_Effect_Target1,_Loop_Effect_Finish_Time1,_Loop_Effect_Start_Delay2,_Loop_Effect_Delay2,_Loop_Effect_Self2,_Loop_Effect_Target2,_Loop_Effect_Finish_Time2,_StatusType1,_StatusValue1,_StatusValueSlv1,_StatusType2,_StatusValue2,_StatusValueSlv2,_StatusType3,_StatusValue3,_StatusValueSlv3,_StatusType4,_StatusValue4,_StatusValueSlv4,_Dec_Cool
23,??? ????[??],8000202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,,,,,13,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25002101,0,0,25002102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
24,??? ????[??],8000203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,,,,,13,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25002201,0,0,25002202,0,0,25002203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
25,?????,1000014,0,0,0,0,0,0,0,10000014,2506,16444,10000014,2506,16444,1,7,6,2,0,0,0,0,0,0,0,0,0,0,,,,,0,0,,,,,13,3,103079278716,1,0,0,10001,40,60,10001,12,21,0,12,0,0,0,0,7,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,3,0,21002201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
26,W.????,1001004,0,0,0,0,0,0,0,10001004,2508,16446,10001004,2508,16446,1,7,8,2,0,0,0,0,0,0,0,0,0,0,,,,,0,0,,,,,13,3,103079278716,1,0,0,10001,60,80,10001,104,30,0,104,0,0,0,0,7,8,2,0,0,0,0,0,0,0,0,0,30,100,45,0,4,5,0,3,0,21001201,5,0,21001201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
27,?????,1001014,0,0,0,0,0,0,0,10001014,2507,16445,10001014,2507,16445,1,7,11,2,0,0,0,0,0,0,0,0,0,0,,,,,0,0,,,,,13,3,103079278716,1,0,0,10001,40,60,10001,112,38,0,112,0,0,0,0,7,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,3,0,21003101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
28,??????,1002004,0,0,0,0,0,0,0,10002004,2509,16447,10002004,2509,16447,1,7,17,3,0,0,0,0,0,0,0,0,0,0,,,,,0,0,,,,,13,3,103079278716,1,0,0,10001,70,90,10001,204,51,0,204,0,0,0,0,7,17,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,3,0,21004001,5,0,21004001,6,0,21004001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
29,?????,1003004,0,0,0,0,0,0,0,10003004,2510,16448,10003004,2510,16448,1,7,22,3,0,0,0,0,0,0,0,0,0,0,,,,,0,0,,,,,13,3,103079278716,1,0,0,10001,50,70,10001,304,68,0,304,0,0,0,0,7,22,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,4,0,21005801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
30,?? ????[??],8000501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,,,,,13,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25005001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
31,?? ????[??],8000502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,,,,,13,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25005101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
32,?? ????[??],8000503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,,,,,13,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25005201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
33,????,1000016,0,0,0,0,0,0,0,10000016,2512,16439,10000016,2512,16439,1,7,6,3,0,0,0,0,0,0,0,0,0,0,,,,,0,0,,,,,13,7,103079278716,1,0,0,10001,130,150,10001,14,25,0,14,0,0,0,0,7,6,3,0,0,0,0,0,0,0,0,0,0,200,20,0,4,5,0,2,0,21002401,4,0,21002401,6,0,21002401,9,0,21002401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
34,??? ???,1001006,0,0,0,0,0,0,0,10001006,2514,16441,10001006,2514,16441,1,7,8,3,0,0,0,0,0,0,0,0,0,0,,,,,0,0,,,,,13,7,103079278716,1,0,0,10001,70,100,10001,106,34,0,106,0,0,0,0,7,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,3,0,21001401,7,0,21001402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
35,????,1001016,0,0,0,0,0,0,0,10001016,2513,16440,10001016,2513,16440,1,7,12,3,0,0,0,0,0,0,0,0,0,0,,,,,0,0,,,,,13,7,103079278716,1,0,0,10001,80,110,10001,114,42,0,114,0,0,0,0,7,12,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,3,0,21003301,7,0,21003301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
36,????,1002016,0,0,0,0,0,0,0,10002016,2515,16442,10002016,2515,16442,1,7,18,3,0,0,0,0,0,0,0,0,0,0,,,,,0,0,,,,,13,7,103079278716,1,0,0,10001,90,120,10001,214,56,0,214,0,0,0,0,7,18,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,3,0,21005001,8,0,21005001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
37,????,1003016,0,0,0,0,0,0,0,10003016,2516,16443,10003016,2516,16443,1,7,24,3,0,0,0,0,0,0,0,0,0,0,,,,,0,0,,,,,13,7,103079278716,1,0,0,10001,110,130,10001,314,68,0,314,0,0,0,0,7,24,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,4,0,21006802,6,0,21006802,8,0,21006802,10,0,21006801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
38,????,3000206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,456,0,2,0,0,0,0,0,0,0,0,0,1
39,???? ??,3000230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,,,,0,0,,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,50,0,0,0,0,0,0,0,0,0,1
40,??,3000228,0,0,0,0,0,0,0,30000007,276,3172,30000007,276,3172,1,7,30,3,0,0,0,0,0,0,0,0,0,0,,,,,0,0,,,,,0,0,14412,1,0,0,0,0,0,0,2015,256,0,2015,0,0,0,0,7,30,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,0,3,0,23121501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
41,??,3000201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,217,0,3,0,0,0,0,0,0,0,0,0,1
42,?? ??? I,3000217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,10,0,0,0,0,0,0,0,0,0,1
43,?? ??,3000204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144,0,10,0,0,0,0,0,0,0,0,0,1
44,??? ????[??],8001901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,,,,,13,16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176,0,1,0,0,0,0,0,0,0,0,0,1
45,??? ????[??],8001902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,,,,,13,16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,1,94,0,1,0,0,0,0,0,0,1
46,??? ????[??],8001903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,,,,,13,16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176,0,1,90,0,1,0,0,0,0,0,0,1
47,??? ????[???],8001904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,,,,,13,16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,2,62,0,4,0,0,0,0,0,0,1
48,???,1000021,0,0,0,0,0,0,0,10000021,2553,15632,10000021,2553,15632,1,7,6,2,0,0,0,0,0,0,0,0,0,0,,,,,0,0,,,,,13,16,103079278716,1,0,0,10001,100,150,10001,18,21,0,18,0,0,0,0,7,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,3,0,21008001,6,0,21008001,9,0,21008001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
