ID,_Description,_Result,_When_Fails,_Require1_Type,_Require1_ID,_Require1_Value1,_Require1_Value2,_Require2_Type,_Require2_ID,_Require2_Value1,_Require2_Value2,_Require3_Type,_Require3_ID,_Require3_Value1,_Require3_Value2,_Require4_Type,_Require4_ID,_Require4_Value1,_Require4_Value2,_Item_OptionType,_Item_OptionClass,_Item_OptionGroup,_Item_OptionLevel,_Item_OptionGroup_Check,_Enchant_Material,_Enchant_Material_Count,_Consumption_OP_Min,_Consumption_OP_Max,_Probability_Modifier,_Probability_Min,_Probability_Max,_Error,_charge,_Enchant_type
150,Lv 10. ?? ??,310,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,300,9,1,300190025,1,5,15,10,5,95,,89000,1
151,Lv 11. ?? ??,341,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,300,10,1,300190025,1,5,15,-70,70,70,,300000,1
152,Lv 12. ?? ??,342,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,300,11,1,300190025,1,5,15,-70,60,60,,500000,1
153,Lv 13. ?? ??,343,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13,300,12,1,300190028,1,5,15,-70,50,50,,0,1
154,Lv 14. ?? ??,344,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,14,300,13,1,300190028,1,5,15,-70,50,50,,0,1
155,Lv 15. ?? ??,345,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,15,300,14,1,300190028,1,5,15,-70,50,50,,0,1
156,Lv 16. ?? ??,390,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,16,300,15,1,300190028,1,5,15,-70,50,50,,0,1
157,Lv 17. ?? ??,391,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,17,300,16,1,300190028,1,5,15,-70,50,50,,0,1
158,Lv 18. ?? ??,392,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,18,300,17,1,300190028,1,5,15,-70,50,50,,0,1
159,Lv 19. ?? ??,393,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,19,300,18,1,300190028,1,5,15,-70,50,50,,0,1
160,Lv 20. ?? ??,394,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,20,300,19,1,300190028,1,5,15,-70,50,50,,0,1
161,Lv 1. ??? ??,501,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,500,0,0,300190025,1,5,15,10,5,95,,1000,1
