ID,_Name,_DestinationID,_StageID,_MapGroupID,_MapID,_Require1_Type,_Require1_ID,_Require1_Value1,_Require1_Value2,_Require2_Type,_Require2_ID,_Require2_Value1,_Require2_Value2,_RequireItem,_ReueireEly,_Fx,_Delay,_ErrMessage,_Req_Waypoint,_Description,_Icon,_IconIndex
26,100層休息室,1050011,89,11,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0
27,110層休息室,1060011,89,12,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0
28,120層休息室,1070011,89,13,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0
29,130層休息室,1080011,89,14,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0
30,140層休息室,2210010,89,17,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0
31,150層休息室,2220010,89,18,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0
32,160層休息室,2230010,89,19,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0
33,170層休息室,2240010,89,20,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0
34,180層休息室,2250010,89,21,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0
35,190層休息室,2260010,89,22,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0
36,星星搖籃,2080000,208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0
37,聯合公會,1840007,184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0
38,亞斯卡勒特 (140~160Lv.),1110104,141,0,0,0,0,0,0,0,0,0,0,0,50000,0,0,,0,,0,0
39,太空梭發射台,1110106,111,0,0,0,0,0,0,0,0,0,0,0,50000,0,0,,0,,0,0
40,小章魚神殿入口,1460000,146,8,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0
41,移動至癩蛤蟆島,999023,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0
42,玄武門入口,116661100,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0
43,城內 中央館,116661200,15,6,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0
44,秘密房間,116661300,15,13,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0
45,神殿地帶 - 姊妹瑪麗絲 (開始二次轉職),1647001,162,4,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0
46,向奧爾卡海邊,1647002,33,4,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0
47,華納海姆,23000000,228,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0
48,活動 圖書館Boss房間,201000012,201,18,0,0,0,0,0,0,0,0,0,0,0,0,0,慢走喔…沒辦法使用嗎…,0,,0,0
49,艾利亞斯都市,999002,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0
50,聯合公會,128201105,184,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0
51,"""深夜餐廳""",25400002,254,0,0,0,0,0,0,0,0,0,0,0,100000,0,0,,0,,0,0
52,50LV 精靈樹,1300001,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0
53,70LV 殺人鯨號,37023,45,6,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0
54,移動至奧利佛村莊,38014,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0
55,100LV 癩蛤蟆島,1170010,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0
56,140LV 天空海,1780004,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0
57,30LV 大蘋果之城,999016,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0
58,90LV 水上庭園,330106,163,4,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0
59,聯合公會,1840007,184,0,0,0,0,0,0,0,0,0,0,0,100000,0,0,,0,,0,0
60,華納海姆,2660014,266,0,0,1,3,180,0,0,0,0,0,0,200000,0,0,Ely不足或需達到180等級才能使用!,0,,0,0
61,黑暗森林,14460100,30,0,0,1,3,30,0,0,0,0,0,0,0,0,0,30級以上才可入場,0,,0,0
62,陰森住宅,14460200,31,1,0,1,3,42,0,0,0,0,0,0,0,0,0,42級以上才可入場,0,,0,0
63,貝希摩斯肚子,14460300,54,1,0,1,3,50,0,0,0,0,0,0,0,0,0,50級以上才可入場,0,,0,0
64,童話國,14460400,131,0,0,1,3,62,0,0,0,0,0,0,0,0,0,62級以上才可入場,0,,0,0
66,恐怖村莊,14460500,214,0,0,1,3,70,0,0,0,0,0,0,0,0,0,70級以上才可入場,0,,0,0
67,奧利佛原野,14460600,55,0,0,1,3,82,0,0,0,0,0,0,0,0,0,82級以上才可入場,0,,0,0
68,唉唷唉唷城,14460700,57,0,0,1,3,100,0,0,0,0,0,0,0,0,0,100級以上才可入場,0,,0,0
69,廢鐵溪谷入口,14460800,118,0,0,1,3,118,0,0,0,0,0,0,0,0,0,118級以上才可入場,0,,0,0
70,廢鐵溪谷出口,14460900,120,0,0,1,3,124,0,0,0,0,0,0,0,0,0,124級以上才可入場,0,,0,0
71,兵工廠,14461000,121,0,0,1,3,130,0,0,0,0,0,0,0,0,0,130級以上才可入場,0,,0,0
72,神秘地帶,14461100,134,0,0,1,3,135,0,0,0,0,0,0,0,0,0,135級以上才可入場,0,,0,0
73,白色教堂後巷,14461200,256,0,0,1,3,141,0,0,0,0,0,0,0,0,0,141級以上才可入場,0,,0,0
74,老虎寺,14461300,204,0,0,1,3,150,0,0,0,0,0,0,0,0,0,150級以上才可入場,0,,0,0
75,陰森村莊,14461400,231,0,0,1,3,163,0,0,0,0,0,0,0,0,0,163級以上才可入場,0,,0,0
76,貝羅斯都市,999001,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0
77,艾利亞斯都市,999002,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0
78,龍京都市,999003,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0
79,奧亦奇都市,999004,20,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0
80,阿法都市,999005,17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0
81,貝斯都市,999006,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0
82,聯合公會,1840002,184,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0
83,時空連結,14460000,320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0
84,未知的倉庫地下 1層,3250001,286,1,0,1,3,200,0,0,0,0,0,0,0,0,0,200級以上才可入場,0,,0,0
85,未知的倉庫地下 2層,3260001,286,2,0,4,1,153001009,1,0,0,0,0,0,0,0,0,"需通過所有未知的倉庫地下 1層，並完成""未知的倉庫 1層探索 (10)""任務。",0,,0,0
86,未知的倉庫地下 3層,3270001,286,3,0,4,1,153001019,1,0,0,0,0,0,0,0,0,"需通過所有未知的倉庫地下 2層，並完成 ""未知的倉庫 2層探索 (10)""任務。",0,,0,0
87,未知的倉庫地下 4層,3280001,286,4,0,4,1,153001029,1,0,0,0,0,0,0,0,0,"需通過所有未知的倉庫地下 3層，並完成 ""未知的倉庫 3層探索 (10)""任務。",0,,0,0
88,未知的倉庫地下 5層,3290001,286,5,0,4,1,153001039,1,0,0,0,0,0,0,0,0,"需通過所有未知的倉庫地下 4層，並完成""未知的倉庫 4層探索 (10)""任務。",0,,0,0
89,猶忒王國東部國境地帶,3580701,355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0
90,收復軍臨時營地,3580801,346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0
91,未知的倉庫地下 6層,2860601,286,6,0,4,1,153001049,1,0,0,0,0,0,0,0,0,"需通過所有未知的倉庫地下 5層，並完成""未知的倉庫 5層探索 (10)""任務。",0,,0,0
92,春植島,3750008,375,0,0,7,2,50000100,0,0,0,0,0,0,0,0,0,,0,,0,0
10101,貝羅斯都市 [Lv. 1 ~ ],1010101,2,0,0,7,2,50000100,0,0,0,0,0,0,0,0,0,完成教學後方可使用。,0,NPC - 亞瑟絲,10002000,3
10102,艾利亞斯都市 [Lv. 16 ~ ],1010201,6,0,0,7,2,50000100,0,0,0,0,0,0,0,0,0,完成教學後方可使用。,0,NPC - 伊克納特,10002000,7
10103,冥王神殿 [Lv. 11 ~ ],1010301,4,1,0,7,2,50000100,0,0,0,0,0,0,0,0,0,完成教學後方可使用。,0,NPC - 亞瑟絲,10002000,5
10201,山嶽休息地 [Lv.22 ~ ],1020101,21,7,0,7,2,50000100,0,0,0,0,0,0,0,0,0,完成教學後方可使用。,0,NPC - 海伊凱爾,10002000,26
10202,龍京都市 [Lv. 29 ~ ],1020201,19,0,0,7,2,50000100,0,0,0,0,0,0,0,0,0,完成教學後方可使用。,0,NPC - 瓊基恩,10002000,12
10203,阿爾卡笛亞 [Lv.31 ~ ],1020301,22,2,0,7,2,50000100,0,0,0,0,0,0,0,0,0,完成教學後方可使用。,0,NPC - 瓊基恩,10002000,11
10204,櫻樹湖畔 [Lv. 38 ~ ],1020401,23,3,0,7,2,50000100,0,0,0,0,0,0,0,0,0,完成教學後方可使用。,0,NPC - 琳寧,10002000,13
10301,奧亦奇都市 [Lv. 43 ~ ],1030101,20,0,0,7,2,50000100,0,0,0,0,0,0,0,0,0,完成教學後方可使用。,0,NPC - 亞美、塔莫里、凱伊,10002000,19
10302,阿法都市 [Lv. 50 ~ ],1030201,17,0,0,7,2,50000100,0,0,0,0,0,0,0,0,0,完成教學後方可使用。,0,NPC - 托特、悠納斯、卡地佛,10002000,25
10303,金字塔 [Lv. 56 ~ ],1030301,18,0,0,7,2,50000100,0,0,0,0,0,0,0,0,0,完成教學後方可使用。,0,NPC - 托特,10002000,76
10401,貝斯都市 [Lv. 68 ~ ],1040101,37,0,0,7,2,50000100,0,0,0,0,0,0,0,0,0,完成教學後方可使用。,0,NPC - 拉塔特,10002000,39
10402,雨林地帶 [Lv. 68 ~ ],1040201,38,3,0,7,2,50000100,0,0,0,0,0,0,0,0,0,完成教學後方可使用。,0,NPC - 西斯藍,10002000,40
10403,克杜卡休息地 [Lv.75 ~ ],1040301,39,6,0,7,2,50000100,0,0,0,0,0,0,0,0,0,完成教學後方可使用。,0,NPC - 宣聖,10002000,42
10501,貝斯都市 [Lv. 82 ~ ],1050101,37,0,0,7,2,50000100,0,0,0,0,0,0,0,0,0,完成教學後方可使用。,0,NPC - 奴安,10002000,39
10502,史前村莊 [Lv. 82 ~ ],1050201,53,0,0,7,2,50000100,0,0,0,0,0,0,0,0,0,完成教學後方可使用。,0,NPC - 海伊凱爾,10002000,56
10503,吉納蒂亞 [Lv. 88 ~ ],1050301,163,4,0,7,2,50000100,0,0,0,0,0,0,0,0,0,完成教學後方可使用。,0,NPC - 波利斯修女、神官克拉托斯、愛蓮修女,10002000,123
10504,地下克杜卡遺址 [Lv. 92 ~ ],1050401,40,3,0,7,2,50000100,0,0,0,0,0,0,0,0,0,完成教學後方可使用。,0,NPC - 布馬,10002000,42
10505,亞特蘭提斯 [Lv. 95 ~ ],1050501,67,0,0,7,2,50000100,0,0,0,0,0,0,0,0,0,完成教學後方可使用。,0,NPC - 歐瑟,10002000,79
10506,吉納蒂亞 [Lv. 96 ~ ],1050601,162,11,0,7,2,50000100,0,0,0,0,0,0,0,0,0,完成教學後方可使用。,0,NPC - 神官克拉托斯、愛蓮修女、神官希穆勒克,10002000,123
10601,癩蛤蟆村落 [Lv. 102 ~ ],1060101,117,2,0,7,2,50000100,0,0,0,0,0,0,0,0,0,完成教學後方可使用。,0,NPC - 村長、蓮兒、芙蓉、梨花,10002000,96
10602,奧亦奇都市 [Lv. 119 ~ ],1060201,20,0,0,7,2,50000100,0,0,0,0,0,0,0,0,0,完成教學後方可使用。,0,NPC - 塔莫里,10002000,19
10701,亞特蘭提斯 [Lv. 124 ~ ],1070101,67,0,0,7,2,50000100,0,0,0,0,0,0,0,0,0,完成教學後方可使用。,0,NPC - 歐瑟,10002000,79
10702,聯合公會 [Lv. 124 ~ ],1070201,184,0,0,7,2,50000100,0,0,0,0,0,0,0,0,0,完成教學後方可使用。,0,"NPC - 愛因斯特, 聯合公會守衛",10002000,131
10703,米德卡勒特 [Lv. 130 ~ ],1070301,86,0,0,7,2,50000100,0,0,0,0,0,0,0,0,0,完成教學後方可使用。,0,NPC - 科基莉亞、薩伊安,10002000,88
10704,艾爾亞諾勒平原西部 [Lv. 133 ~ ],1070401,182,1,0,7,2,50000100,0,0,0,0,0,0,0,0,0,完成教學後方可使用。,0,NPC - 聯合公會西部守衛,10002000,136
10801,艾爾亞諾勒平原東部 [Lv. 141 ~ ],1080101,183,1,0,7,2,50000100,0,0,0,0,0,0,0,0,0,完成教學後方可使用。,0,NPC - 聯合公會東部守衛,10002000,137
10802,米德卡勒特 [Lv. 143 ~ ],1080201,86,0,0,7,2,50000100,0,0,0,0,0,0,0,0,0,完成教學後方可使用。,0,NPC - 歐羅拉,10002000,88
10803,奧利佛都市 [Lv. 149 ~ ],1080301,56,0,0,7,2,50000100,0,0,0,0,0,0,0,0,0,完成教學後方可使用。,0,NPC - 穆拉、蘇比,10002000,60
10804,吉恩蒂亞公園 [Lv. 156 ~ ],1080401,286,0,0,7,2,50000100,0,0,0,0,0,0,0,0,0,完成教學後方可使用。,0,NPC - 公園的少女,10002000,180
10901,吉恩蒂亞公園 [Lv. 162 ~ ],1090101,286,0,0,7,2,50000100,0,0,0,0,0,0,0,0,0,完成教學後方可使用。,0,NPC - 公園的少女,10002000,180
10902,星光平原 [Lv. 170 ~ ],1090201,208,6,0,7,2,50000100,0,0,0,0,0,0,0,0,0,完成教學後方可使用。,0,NPC - 艾比、達比,10002000,146
10903,漂流都市 [Lv. 176 ~ ],1090301,240,0,0,7,2,50000100,0,0,0,0,0,0,0,0,0,完成教學後方可使用。,0,NPC - 米勒、艾妮斯,10002000,158
10904,龍京都市 [Lv. 179 ~ ],1090401,19,0,0,7,2,50000100,0,0,0,0,0,0,0,0,0,完成教學後方可使用。,0,NPC - 宜靜,10002000,12
10905,崩壞之塔 [Lv. 179 ~ ],1090501,228,3,0,7,2,50000100,0,0,0,0,0,0,0,0,0,完成教學後方可使用。,0,NPC - 莉茲,10002000,154
10906,貝爾法圖書館 [Lv. 180 ~ ],1090601,200,0,0,7,2,50000100,0,0,0,0,0,0,0,0,0,完成教學後方可使用。,0,NPC - 佩爾,10002000,143
10907,鋼鐵都市 [Lv. 180 ~ ],1090701,119,0,0,7,2,50000100,0,0,0,0,0,0,0,0,0,完成教學後方可使用。,0,NPC - 米哥安,10002000,99
11001,被遺忘的平原 [LV. 182 ~ ],1100101,198,0,0,7,2,50000100,0,0,0,0,0,0,0,0,0,完成教學後方可使用。,0,NPC - 精英游擊兵、公會箱,10002000,140
11002,艾爾亞諾勒平原北部 [Lv. 182 ~ ],1100201,181,3,0,7,2,50000100,0,0,0,0,0,0,0,0,0,完成教學後方可使用。,0,NPC - 聯合公會北部守衛,10002000,135
11003,春植島 [Lv. 185 ~ ],1100301,375,0,0,7,2,50000100,0,0,0,0,0,0,0,0,0,完成教學後方可使用。,0,NPC - ELLE、奉春植,10002000,44
11004,無限迴廊 [Lv. 190 ~ ],1100401,184,2,0,7,2,50000100,0,0,0,0,0,0,0,0,0,完成教學後方可使用。,0,NPC - 法師、白鶴王子、獅獅,10002000,133
11005,吉恩蒂亞公園 [Lv. 190 ~ ],1100501,286,0,0,7,2,50000100,0,0,0,0,0,0,0,0,0,完成教學後方可使用。,0,NPC - 愛因斯特,10002000,180
11006,聯合公會 [Lv. 193 ~ ],1100601,184,0,0,7,2,50000100,0,0,0,0,0,0,0,0,0,完成教學後方可使用。,0,NPC - 愛因斯特,10002000,131
11007,奧亦奇都市 [Lv. 195 ~ ],1100701,20,0,0,7,2,50000100,0,0,0,0,0,0,0,0,0,完成教學後方可使用。,0,NPC - 塔莫里,10002000,19
11008,異世界 [Lv. 198 ~ ],1100801,184,3,0,7,2,50000100,0,0,0,0,0,0,0,0,0,完成教學後方可使用。,0,NPC - 少女,10002000,112
11101,奧斯古拉斯臨時營區 [Lv.200 ~ ],1110101,308,0,0,7,2,50000100,0,0,0,0,0,0,0,0,0,新手教學結束後可以使用。,0,NPC - 帕勒米菈、亞凱殷,10002000,204
11102,惡魔之山 [Lv.201 ~ ],1110201,344,3,0,7,2,50000100,0,0,0,0,0,0,0,0,0,傳送點還有剩餘期間的狀態下才可使用。,1,NPC - 莉希歐奈,10002000,226
11103,歐若拉森林 [Lv.202 ~ ],1110301,336,0,0,7,2,50000100,0,0,0,0,0,0,0,0,0,傳送點還有剩餘期間的狀態下才可使用。,1,NPC - 波拉莉,10002000,218
11104,紅高粱地 [Lv.205 ~ ],1110401,321,0,0,7,2,50000100,0,0,0,0,0,0,0,0,0,傳送點還有剩餘期間的狀態下才可使用。,1,NPC - 吉恩蒂亞、蕾蕾,10002000,207
11105,特洛里 [Lv.207 ~ ],1110501,331,0,0,7,2,50000100,0,0,0,0,0,0,0,0,0,傳送點還有剩餘期間的狀態下才可使用。,1,NPC - 雷比、帕勒米菈、克拉烏德,10002000,213
11106,立佩拉 [Lv.211 ~ ],1110601,339,0,0,7,2,50000100,0,0,0,0,0,0,0,0,0,傳送點還有剩餘期間的狀態下才可使用。,1,NPC - 雷比、馬勒泰利、羅希雅,10002000,221
11107,惡魔之山 [Lv.213 ~ ],1110701,344,3,0,7,2,50000100,0,0,0,0,0,0,0,0,0,傳送點還有剩餘期間的狀態下才可使用。,1,NPC - 莉希歐奈,10002000,226
11108,收復軍臨時營地 [Lv.215 ~ ],1110801,346,0,0,7,2,50000100,0,0,0,0,0,0,0,0,0,傳送點還有剩餘期間的狀態下才可使用。,1,NPC - 愛伊琳、底格里斯,10002000,228
11109,無限迴廊  [Lv.215 ~ ],1110901,184,2,0,7,2,50000100,0,0,0,0,0,0,0,0,0,傳送點還有剩餘期間的狀態下才可使用。,1,NPC - 法師、莉塔妮婭,10002000,133
11110,亞奇城 [Lv.217 ~ ],1111001,353,2,0,7,2,50000100,0,0,0,0,0,0,0,0,0,傳送點還有剩餘期間的狀態下才可使用。,1,NPC - 多倫,10002000,235
11111,公會旅館 [Lv.218 ~ ],1111101,184,1,0,7,2,50000100,0,0,0,0,0,0,0,0,0,傳送點還有剩餘期間的狀態下才可使用。,1,NPC - 歐瑟,10002000,132
11201,猶忒王國首都 [Lv.220 ~ ],1120101,355,0,0,7,2,50000100,0,0,0,0,0,0,0,0,0,傳送點還有剩餘期間的狀態下才可使用。,1,NPC - 巴吉爾領主、蘿絲瑪莉、希索普,10002000,236
11202,黃金海岸 [Lv.221 ~ ],1120201,360,3,0,7,2,50000100,0,0,0,0,0,0,0,0,0,傳送點還有剩餘期間的狀態下才可使用。,1,NPC - 凱伊絲,10002000,241
11203,春植島  [Lv.221 ~ ],1120301,375,0,0,7,2,50000100,0,0,0,0,0,0,0,0,0,傳送點還有剩餘期間的狀態下才可使用。,1,NPC - ELLE,10002000,44
11204,魯曼 [Lv.227 ~ ],1120401,368,0,0,7,2,50000100,0,0,0,0,0,0,0,0,0,傳送點還有剩餘期間的狀態下才可使用。,1,NPC - 伊登、阿思瑪、艾兒、悟爾,10002000,246
11205,珊瑚之城 [Lv.227 ~ ],1120501,381,2,0,7,2,50000100,0,0,0,0,0,0,0,0,0,傳送點還有剩餘期間的狀態下才可使用。,1,NPC - 艾琳娜,10002001,3
11206,魯曼聯盟本部 [Lv.235 ~ ],1120601,381,1,0,7,2,50000100,0,0,0,0,0,0,0,0,0,傳送點還有剩餘期間的狀態下才可使用。,1,NPC - 秦、絮可、傑瑞斯、雅莉安娜等,10002000,254
20101,怪物塔,2010101,89,0,0,7,2,50000100,0,0,0,0,0,0,0,0,0,完成教學後方可使用。,0,難易度高的怪物塔。,10002000,91
20201,大亂鬥,2020101,254,0,0,7,2,50000100,0,0,0,0,0,0,0,0,0,完成教學後方可使用。,0,可入場等級：160等級以上,10002000,164
20202,地鐵站,2020201,89,0,0,7,2,50000100,0,0,0,0,0,0,0,0,0,完成教學後方可使用。,0,建議入場等級：195等級以上,10002000,178
20301,青空城,2030101,305,0,0,7,2,50000100,0,0,0,0,0,0,0,0,0,新手教學結束後可以使用。,0,可入場等級：200等級以上,10002000,201
20302,神秘的殿堂,2030201,344,0,0,7,2,50000100,0,0,0,0,0,0,0,0,0,傳送點還有剩餘期間的狀態下才可使用。,1,可入場等級：201等級以上,10002000,227
20303,歐若拉的庭院,2030301,336,0,0,7,2,50000100,0,0,0,0,0,0,0,0,0,傳送點還有剩餘期間的狀態下才可使用。,1,可入場等級：202等級以上,10002000,219
20304,立佩拉市政府,2030401,339,0,0,7,2,50000100,0,0,0,0,0,0,0,0,0,傳送點還有剩餘期間的狀態下才可使用。,1,可入場等級：208等級以上,10002000,223
20401,巧克力花園,2040101,184,0,0,7,2,50000100,0,0,0,0,0,0,0,0,0,傳送點還有剩餘期間的狀態下才可使用。,1,可入場等級：212等級以上,10002000,232
20402,扭曲的世界樹,2040201,184,0,0,7,2,50000100,0,0,0,0,0,0,0,0,0,傳送點還有剩餘期間的狀態下才可使用。,1,可入場等級：216等級以上,10002000,234
20403,日落森林,2040301,184,0,0,7,2,50000100,0,0,0,0,0,0,0,0,0,傳送點還有剩餘期間的狀態下才可使用。,1,可入場等級：218等級以上,10002000,243
20501,春植島紀念館,2050101,375,0,0,7,2,50000100,0,0,0,0,0,0,0,0,0,傳送點還有剩餘期間的狀態下才可使用。,1,可入場等級：221等級以上,10002000,251
20502,影子之書,2050201,375,0,0,7,2,50000100,0,0,0,0,0,0,0,0,0,傳送點還有剩餘期間的狀態下才可使用。,1,可入場等級：224等級以上,10002000,250
20503,珊瑚之歌,2050301,381,0,0,7,2,50000100,0,0,0,0,0,0,0,0,0,傳送點還有剩餘期間的狀態下才可使用。,1,可入場等級：227等級以上,10002001,4
30101,魔法書閱覽室,3010101,200,0,0,7,2,50000100,0,0,0,0,0,0,0,0,0,完成教學後方可使用。,0,可入場等級：180等級以上,10002000,143
30102,被遺忘的花園,3010102,198,0,0,7,2,50000100,0,0,0,0,0,0,0,0,0,完成教學後方可使用。,0,可入場等級：185等級以上,10002000,140
30103,毀滅之城,3010103,333,5,0,7,2,50000100,0,0,0,0,0,0,0,0,0,傳送點還有剩餘期間的狀態下才可使用。,1,可入場等級：209等級以上,10002000,216
30104,隱藏的洞窟,3010104,333,4,0,7,2,50000100,0,0,0,0,0,0,0,0,0,傳送點還有剩餘期間的狀態下才可使用。,1,可入場等級：207等級以上,10002000,214
30105,花之路,3010105,266,1,0,7,2,50000100,0,0,0,0,0,0,0,0,0,完成教學後方可使用。,0,可入場等級：195等級以上,10002000,171
30106,夢之路,3010106,266,2,0,7,2,50000100,0,0,0,0,0,0,0,0,0,完成教學後方可使用。,0,可入場等級：195等級以上,10002000,173
30107,月之路,3010107,266,3,0,7,2,50000100,0,0,0,0,0,0,0,0,0,完成教學後方可使用。,0,可入場等級：195等級以上,10002000,172
30108,世界樹的幻影,3010108,282,2,0,7,2,50000100,0,0,0,0,0,0,0,0,0,完成教學後方可使用。,0,可入場等級：195等級以上,10002000,175
30109,伊米勒研究所,3010109,240,2,0,7,2,50000100,0,0,0,0,0,0,0,0,0,完成教學後方可使用。,0,可入場等級：190等級以上,10002000,161
30110,吉恩蒂亞公園,3010110,286,0,0,7,2,50000100,0,0,0,0,0,0,0,0,0,完成教學後方可使用。,0,可入場等級：185等級以上,10002000,180
30111,未知的圖書館,3010111,200,0,0,7,2,50000100,0,0,0,0,0,0,0,0,0,完成教學後方可使用。,0,可入場等級：1等級以上,10002000,212
30112,龍皇城,3010112,322,3,0,7,2,50000100,0,0,0,0,0,0,0,0,0,傳送點還有剩餘期間的狀態下才可使用。,1,可入場等級：205等級以上,10002000,211
30113,地鐵站,3010113,89,24,0,7,2,50000100,0,0,0,0,0,0,0,0,0,完成教學後方可使用。,0,建議入場等級：195等級以上,10002000,178
2010201,瓦爾哈拉,2010201,87,0,0,7,2,50000100,0,0,0,0,0,0,0,0,0,完成教學後方可使用。,0,華爾基莉武器,10002000,90
2010202,被遺忘的花園,2010202,198,0,0,7,2,50000100,0,0,0,0,0,0,0,0,0,完成教學後方可使用。,0,黑暗的武器、德古氏的防具、飾品,10002000,141
2010203,伊米勒研究所,2010203,240,2,0,7,2,50000100,0,0,0,0,0,0,0,0,0,完成教學後方可使用。,0,黃昏的武器、艾爾梅的防具、飾品,10002000,161
