ID,_Training_Name,_Description,_Training_Time,_Training_Exp,_Training_Reward1,_Training_Reward_Stack1,_Training_Reward2,_Training_Reward_Stack2,_Training_P_Reward1,_Training_P_Reward_Stack1,_Training_Probability1,_Training_P_Reward2,_Training_P_Reward_Stack2,_Training_Probability2
30,依賴,解決彩虹島大陸的各種委託。,120,120,190145623,1,0,0,190146393,1,45,190145631,1,15
31,依賴,解決彩虹島大陸的各種委託。,420,420,190145623,2,0,0,190146393,2,50,190145632,2,40
32,依賴,解決彩虹島大陸的各種委託。,480,480,190145623,2,0,0,190146393,2,55,190145632,2,45
33,依賴,解決彩虹島大陸的各種委託。,540,540,190145623,2,0,0,190146393,2,60,190145633,1,40
34,依賴,解決彩虹島大陸的各種委託。,600,600,190145623,3,0,0,190146393,3,50,190145633,1,45
35,依賴,解決彩虹島大陸的各種委託。,60,60,190145623,1,0,0,190146393,1,40,190145631,1,10
36,依賴,解決彩虹島大陸的各種委託。,120,120,190145623,1,0,0,190146393,1,45,190145631,1,15
37,依賴,解決彩虹島大陸的各種委託。,60,60,190145623,1,0,0,190146393,1,40,190145631,1,10
38,依賴,解決彩虹島大陸的各種委託。,120,120,190145623,1,0,0,190146393,1,45,190145631,1,15
39,依賴,解決彩虹島大陸的各種委託。,1200,900,190145623,3,0,0,190146393,3,55,190145633,2,50
40,依賴,解決彩虹島大陸的各種委託。,2400,1800,190145623,4,0,0,190146393,4,60,190145633,2,55
41,巡查,巡查彩虹島大陸的各個角落。,60,60,190145623,1,0,0,190146394,1,40,190145631,1,10
42,巡查,巡查彩虹島大陸的各個角落。,120,120,190145623,1,0,0,190146394,1,45,190145631,1,15
43,巡查,巡查彩虹島大陸的各個角落。,180,180,190145623,1,0,0,190146394,1,50,190145631,2,20
44,巡查,巡查彩虹島大陸的各個角落。,240,240,190145623,1,0,0,190146394,1,55,190145631,2,25
45,巡查,巡查彩虹島大陸的各個角落。,300,300,190145623,2,0,0,190146394,2,40,190145632,1,30
46,巡查,巡查彩虹島大陸的各個角落。,360,360,190145623,2,0,0,190146394,2,45,190145632,1,35
47,巡查,巡查彩虹島大陸的各個角落。,60,60,190145623,1,0,0,190146394,1,40,190145631,1,10
48,巡查,巡查彩虹島大陸的各個角落。,120,120,190145623,1,0,0,190146394,1,45,190145631,1,15
49,巡查,巡查彩虹島大陸的各個角落。,60,60,190145623,1,0,0,190146394,1,40,190145631,1,10
50,巡查,巡查彩虹島大陸的各個角落。,120,120,190145623,1,0,0,190146394,1,45,190145631,1,15
51,巡查,巡查彩虹島大陸的各個角落。,420,420,190145623,2,0,0,190146394,2,50,190145632,2,40
52,巡查,巡查彩虹島大陸的各個角落。,480,480,190145623,2,0,0,190146394,2,55,190145632,2,45
53,巡查,巡查彩虹島大陸的各個角落。,540,540,190145623,2,0,0,190146394,2,60,190145633,1,40
54,巡查,巡查彩虹島大陸的各個角落。,600,600,190145623,3,0,0,190146394,3,50,190145633,1,45
55,巡查,巡查彩虹島大陸的各個角落。,60,60,190145623,1,0,0,190146394,1,40,190145631,1,10
56,巡查,巡查彩虹島大陸的各個角落。,120,120,190145623,1,0,0,190146394,1,45,190145631,1,15
57,巡查,巡查彩虹島大陸的各個角落。,60,60,190145623,1,0,0,190146394,1,40,190145631,1,10
58,巡查,巡查彩虹島大陸的各個角落。,120,120,190145623,1,0,0,190146394,1,45,190145631,1,15
59,巡查,巡查彩虹島大陸的各個角落。,1200,900,190145623,3,0,0,190146394,3,55,190145633,2,50
60,巡查,巡查彩虹島大陸的各個角落。,2400,1800,190145623,4,0,0,190146394,3,60,190145633,2,55
61,狩獵 ★★,於幽靈海盜船地區對付怪物。,60,210,190145623,1,0,0,0,0,0,0,0,0
62,狩獵 ★★,於克杜卡地下地區對付怪物。,120,420,190145623,1,0,0,0,0,0,0,0,0
63,狩獵 ★★,於春植通道地區對付怪物。,180,630,190145623,1,0,0,0,0,0,0,0,0
64,狩獵 ★★,於春植島地區對付怪物。,240,840,190145623,1,0,0,0,0,0,0,0,0
65,狩獵 ★★,於爬呀爬花瓣地區對付怪物。,300,1050,190145623,2,0,0,0,0,0,0,0,0
66,狩獵 ★★,於餅乾花園地區對付怪物。,360,1260,190145623,2,0,0,0,0,0,0,0,0
67,狩獵 ★★,於幽靈海盜船地區對付怪物。,60,210,190145623,1,0,0,0,0,0,0,0,0
68,狩獵 ★★,於克杜卡地下地區對付怪物。,120,420,190145623,1,0,0,0,0,0,0,0,0
69,狩獵 ★★,於薩勒斯原野地區對付怪物。,60,210,190145623,1,0,0,0,0,0,0,0,0
70,狩獵 ★★,於老虎寺地區對付怪物。,120,420,190145623,1,0,0,0,0,0,0,0,0
71,狩獵 ★★,於艾爾亞諾勒東部地區對付怪物。,420,1470,190145623,2,0,0,0,0,0,0,0,0
72,狩獵 ★★,於艾爾亞諾勒西部地區對付怪物。,480,1680,190145623,2,0,0,0,0,0,0,0,0
73,狩獵 ★★,於艾爾亞諾勒北部地區對付怪物。,540,1890,190145623,2,0,0,0,0,0,0,0,0
74,狩獵 ★★,於悲鳴海岸地區對付怪物。,600,2100,190145623,3,0,0,0,0,0,0,0,0
75,狩獵 ★★,於綜合閱覽室地區對付怪物。,1200,3150,190145623,3,0,0,0,0,0,0,0,0
76,狩獵 ★★,於崩壞之塔地區對付怪物。,2400,6300,190145623,4,0,0,0,0,0,0,0,0
77,狩獵 ★★,於幽靈海盜船地區對付怪物。,60,210,190145623,1,0,0,0,0,0,0,0,0
78,狩獵 ★★,於克杜卡地下地區對付怪物。,120,420,190145623,1,0,0,0,0,0,0,0,0
79,狩獵 ★★,於薩勒斯原野地區對付怪物。,60,210,190145623,1,0,0,0,0,0,0,0,0
80,狩獵 ★★,於老虎寺地區對付怪物。,120,420,190145623,1,0,0,0,0,0,0,0,0
81,狩獵 ★★★,於佈滿青苔的小章魚神殿對付怪物。,60,230,190145623,1,0,0,0,0,0,0,0,0
82,狩獵 ★★★,於梅林島地區對付怪物。,120,460,190145623,1,0,0,0,0,0,0,0,0
83,狩獵 ★★★,於華納海姆地區對付怪物。,180,690,190145623,1,0,0,0,0,0,0,0,0
84,狩獵 ★★★,於石英洞窟地區對付怪物。,240,920,190145623,1,0,0,0,0,0,0,0,0
85,狩獵 ★★★,於龍祭城地區對付怪物。,300,1150,190145623,2,0,0,0,0,0,0,0,0
86,狩獵 ★★★,於青空城地區對付怪物。,360,1380,190145623,2,0,0,0,0,0,0,0,0
87,狩獵 ★★★,於巧克力花園地區對付怪物。,420,1610,190145623,2,0,0,0,0,0,0,0,0
88,狩獵 ★★★,於扭曲的世界樹地區對付怪物。,480,1840,190145623,2,0,0,0,0,0,0,0,0
89,狩獵 ★★★,於日落森林地區對付怪物。,540,2070,190145623,2,0,0,0,0,0,0,0,0
90,狩獵 ★★★,於賽蕾斯的神殿路口對付怪物。,600,2300,190145623,3,0,0,0,0,0,0,0,0
91,狩獵 ★★★,於暴風監視者廢墟對付怪物。,1200,3450,190145623,3,0,0,0,0,0,0,0,0
92,狩獵 ★★★,於怪物樹山林地區對付怪物。,2400,6900,190145623,4,0,0,0,0,0,0,0,0
93,探索：吉恩蒂亞,巡查貝羅斯周邊。,60,60,0,0,0,0,190145624,1,5,190145631,1,50
94,探索：吉恩蒂亞,巡查艾利亞斯周邊。,60,60,0,0,0,0,190145624,1,5,190145631,1,55
95,探索：吉恩蒂亞,巡查克杜卡休息地周邊。,60,60,0,0,0,0,190145624,1,5,190145631,1,50
96,探索：吉恩蒂亞,巡查史前村莊周邊。,60,60,0,0,0,0,190145624,1,5,190145631,1,55
97,探索：吉恩蒂亞,巡查龍京。,60,60,0,0,0,0,190145624,1,5,190145631,1,50
98,探索：吉恩蒂亞,巡查奧亦奇周邊。,60,60,0,0,0,0,190145624,1,5,190145631,1,55
99,探索：吉恩蒂亞,巡查阿法周邊。,60,60,0,0,0,0,190145624,1,5,190145631,1,50
100,探索：吉恩蒂亞,巡查貝斯周邊。,60,60,0,0,0,0,190145624,1,5,190145631,1,55
101,探索：吉恩蒂亞,巡查亞特蘭提斯周邊。,120,120,0,0,0,0,190145624,1,15,190145631,1,60
102,探索：吉恩蒂亞,巡查癩蛤蟆村落周邊。,120,120,0,0,0,0,190145624,1,15,190145631,1,65
103,探索：吉恩蒂亞,巡查米德卡勒特周邊。,120,120,0,0,0,0,190145624,1,15,190145631,1,60
104,探索：吉恩蒂亞,巡查鋼鐵都市周邊。,120,120,0,0,0,0,190145624,1,15,190145631,1,65
105,探索：吉恩蒂亞,探索克杜卡休息地周邊。,120,120,0,0,0,0,190145624,1,15,190145631,1,60
106,探索：吉恩蒂亞,探索星星搖籃周邊。,120,120,0,0,0,0,190145624,1,15,190145631,1,65
107,探索：吉恩蒂亞,探索吉恩蒂亞公園周邊。,120,120,0,0,0,0,190145624,1,15,190145631,1,60
108,探索：吉恩蒂亞,探索麵包大街周邊。,120,120,0,0,0,0,190145624,1,15,190145631,1,65
109,探索：吉恩蒂亞,探索大蘋果之城周邊。,240,240,0,0,0,0,190145624,1,30,190145631,2,50
110,探索：吉恩蒂亞,探索銀光住宅周邊。,240,240,0,0,0,0,190145624,1,30,190145631,2,55
111,探索：吉恩蒂亞,探索春植島周邊。,240,240,0,0,0,0,190145624,1,30,190145631,2,50
112,探索：普雷伊奧斯,探索奧利佛都市周邊。,240,240,0,0,0,0,190145624,1,30,190145631,2,55
113,探索：普雷伊奧斯,探索神秘森林周邊。,240,240,0,0,0,0,190145624,1,30,190145631,2,50
114,探索：普雷伊奧斯,探索天空海周邊。,240,240,0,0,0,0,190145624,1,30,190145631,2,55
115,探索：普雷伊奧斯,探索鋼鐵都市周邊。,240,240,0,0,0,0,190145624,1,30,190145631,2,50
116,探索：普雷伊奧斯,探索收復軍臨時營地周邊。,240,240,0,0,0,0,190145624,1,30,190145631,2,55
117,探索：普雷伊奧斯,探索奧斯古拉斯周邊。,360,360,0,0,0,0,190145624,1,45,190145632,1,60
118,探索：普雷伊奧斯,探索貝爾法圖書館周邊。,360,360,0,0,0,0,190145624,1,45,190145632,1,65
119,探索：普雷伊奧斯,探索自由之都立佩拉周邊。,360,360,0,0,0,0,190145624,1,45,190145632,1,60
120,探索：普雷伊奧斯,探索漂流都市周邊。,360,360,0,0,0,0,190145624,1,45,190145632,1,65
121,探索：普雷伊奧斯,探索特洛里周邊。,480,480,0,0,0,0,190145624,1,60,190145632,2,50
122,探索：東方大陸,探索猶忒王國首都周邊。,480,480,0,0,0,0,190145624,1,60,190145632,2,55
123,探索：東方大陸,探索白煤峽谷周邊。,480,480,0,0,0,0,190145624,1,60,190145632,2,50
124,探索：東方大陸,探索修練森林周邊。,480,480,0,0,0,0,190145624,1,60,190145632,2,55
125,探索：東方大陸,探索記憶的貝羅斯周邊。,600,600,0,0,0,0,190145624,1,75,190145633,1,60
126,探索：東方大陸,探索燃燒的都市周邊。,600,600,0,0,0,0,190145624,1,75,190145633,1,65
127,探索：東方大陸,探索亞瑪倫沙漠周邊。,1200,900,0,0,0,0,190145624,1,100,190145633,2,50
128,探索：東方大陸,探索地下都市工地周邊。,1200,900,0,0,0,0,190145624,1,100,190145633,2,55
129,探索：副本,探索混沌峽谷副本。,1200,900,190145624,1,0,0,190145623,1,95,190145633,2,50
130,探索：副本,探索冰封的世界副本。,1200,900,190145624,1,0,0,190145623,1,90,190145633,2,50
131,探索：副本,探索安息之地副本。,1200,900,190145624,1,0,0,190145623,2,85,190145633,2,50
132,探索：副本,探索閃亮深淵副本。,1200,900,190145624,1,0,0,190145623,2,80,190145633,2,50
133,探索：副本,探索幻影毒霧沼澤副本。,1200,900,190145624,1,0,0,190145623,3,75,190145633,2,50
134,探索：副本,探索浮游島副本。,1200,900,190145624,1,0,0,190145623,3,70,190145633,2,50
135,探索：副本,探索拉的城堡副本。,1200,900,190145624,1,0,0,190145623,4,65,190145633,2,50
136,探索：副本,探索冰淇淋庭院副本。,1200,900,190145624,1,0,0,190145623,4,60,190145633,2,50
137,探索：副本,探索珊瑚之歌副本。,1200,900,190145624,1,0,0,190145623,5,55,190145633,2,50
138,特別訓練,接受伊克納特的特別訓練。,360,3504,190145625,2,0,0,190145633,5,95,0,0,0
139,特別訓練,接受亞瑟絲的特別訓練。,180,3504,190145625,1,0,0,190145633,5,95,0,0,0
140,特別訓練,答應賽蘿的請求獲得禮物。,180,510,190145623,4,190145625,1,190145633,5,95,0,0,0
141,特別訓練,答應洛汗的請求獲得禮物。,180,510,190145624,1,190145625,1,190145633,5,95,0,0,0
142,特別訓練,答應莫亞的請求獲得禮物。,360,510,190145623,4,190145624,1,190145633,5,95,0,0,0
143,特別訓練,答應薇奧菈的請求獲得禮物。,180,3504,190146394,10,0,0,190146393,1,60,0,0,0
144,特別訓練,答應凱伊絲的請求獲得禮物。,180,510,190146394,10,0,0,190146393,2,60,0,0,0
145,特別訓練,答應伊登的請求獲得禮物。,360,3504,190146394,5,170195929,5,190146393,1,60,0,0,0
146,特別訓練,答應諾艾爾的請求獲得禮物。,360,510,190146394,5,170195930,5,190146393,1,60,0,0,0
