ID,_CutInImage,_Message,_PortalID1,_PortalID2,_PortalID3,_PortalID4,_PortalID5,_PortalID6,_PortalID7,_PortalID8,_PortalID9,_PortalID10,_PortalID11,_PortalID12,_PortalID13,_PortalID14,_PortalID15,_PortalID16,_PortalID17,_PortalID18,_PortalID19,_PortalID20
1867,207,往吉納蒂亞各地區移動。,13,14,15,16,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1868,512,往吉納蒂亞各地區移動。,13,14,15,16,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1869,514,往吉納蒂亞各地區移動。,13,14,15,16,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1870,515,往吉納蒂亞各地區移動。,13,14,15,16,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1871,516,往吉納蒂亞各地區移動。,13,14,15,16,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60601,353,我會為你引導前往黑月城的各個場所的!,42,43,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60611,118,你要前往哪裡呢?嗯∼,42,43,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60621,569,簡單地進行黑月城探險∼,42,43,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100401,319,這是為了新顧客所準備的特殊服務!這段時間無限迴廊傳點服務暫時免費提供!,2,36,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100402,319,這是為了新顧客所準備的特殊服務!這段時間無限迴廊的傳點服務暫時免費提供!,2,36,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100403,319,如果你要離開華納海姆的話我可以幫你。,2,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20561,327,你要去哪裡?呵呵…,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20571,327,你要去哪裡?呵呵…,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20581,327,你要去哪裡?呵呵…,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20591,327,你要去哪裡?呵呵…,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60681,589,你在其他地方好像有事要忙喔!,49,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,159,移動至'深夜餐廳'。,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50091,600,"展開超時空網路, 要去哪個地區呢?",57,52,53,54,58,55,56,0,0,0,0,0,0,0,0,0,0,0,0,0
10871,142,有想要去的地方嗎?,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1008,48,將幫助您移動至欲前往的狩獵區。,61,62,63,64,66,67,68,69,70,71,72,73,74,75,0,0,0,0,0,0
1035,48,將幫助您移動至欲前往的狩獵區。,61,62,63,64,66,67,68,69,70,71,72,73,74,75,0,0,0,0,0,0
1071,48,將幫助您移動至欲前往的狩獵區。,61,62,63,64,66,67,68,69,70,71,72,73,74,75,0,0,0,0,0,0
1089,48,將幫助您移動至欲前往的狩獵區。,61,62,63,64,66,67,68,69,70,71,72,73,74,75,0,0,0,0,0,0
1125,48,將幫助您移動至欲前往的狩獵區。,61,62,63,64,66,67,68,69,70,71,72,73,74,75,0,0,0,0,0,0
1131,48,將幫助您移動至欲前往的狩獵區。,61,62,63,64,66,67,68,69,70,71,72,73,74,75,0,0,0,0,0,0
1226,0,未使用,61,62,63,64,66,67,68,69,70,71,72,73,74,75,0,0,0,0,0,0
1220,0,未使用,61,62,63,64,66,67,68,69,70,71,72,73,74,75,0,0,0,0,0,0
1188,0,未使用,61,62,63,64,66,67,68,69,70,71,72,73,74,75,0,0,0,0,0,0
8002,174,轉職結束後將幫助您返回。,76,77,78,79,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8003,205,轉職順利完成了嗎?那麼我將幫助您返回村莊。,76,77,78,79,80,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8004,317,事情都辦好了嗎?要帶您回去了嗎?,76,77,78,79,80,81,82,0,0,0,0,0,0,0,0,0,0,0,0,0
8005,71,將幫助您前往時空連結。,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8006,71,將幫助您前往時空連結。,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8007,71,將幫助您前往時空連結。,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8008,71,將幫助您前往時空連結。,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8009,71,將幫助您前往時空連結。,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8010,71,將幫助您前往時空連結。,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8011,71,將幫助您前往時空連結。,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8012,71,將幫助您前往時空連結。,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2607,321,前往未知的倉庫地下。,84,85,86,87,88,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7001,811,傳送至東方大陸的猶忒王國國境地帶!,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7002,811,傳送至普雷伊奧斯大陸的收復軍臨時營地!,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
