ID,_Class,_Gender,_LV_Value,_Money_Value,_Exp_Value,_HP_Value,_SP_Value,_Fame_Value,_Inventory_Type1,_Inventory_Slot1,_Item_ID1,_Item_Stack1,_Item_Rare1,_Inventory_Type2,_Inventory_Slot2,_Item_ID2,_Item_Stack2,_Item_Rare2,_Inventory_Type3,_Inventory_Slot3,_Item_ID3,_Item_Stack3,_Item_Rare3,_Inventory_Type4,_Inventory_Slot4,_Item_ID4,_Item_Stack4,_Item_Rare4,_Inventory_Type5,_Inventory_Slot5,_Item_ID5,_Item_Stack5,_Item_Rare5,_Inventory_Type6,_Inventory_Slot6,_Item_ID6,_Item_Stack6,_Item_Rare6,_Inventory_Type7,_Inventory_Slot7,_Item_ID7,_Item_Stack7,_Item_Rare7,_Inventory_Type8,_Inventory_Slot8,_Item_ID8,_Item_Stack8,_Item_Rare8,_Inventory_Type9,_Inventory_Slot9,_Item_ID9,_Item_Stack9,_Item_Rare9,_Inventory_Type10,_Inventory_Slot10,_Item_ID10,_Item_Stack10,_Item_Rare10,_Skill_ID1,_Skill_Lv1,_Skill_ID2,_Skill_Lv2,_Skill_ID3,_Skill_Lv3,_Skill_ID4,_Skill_Lv4,_Quick_Slot_No1,_Quick_Slot_Type1,_Quick_Slot_ID1,_Quick_Slot_No2,_Quick_Slot_Type2,_Quick_Slot_ID2,_Quick_Slot_No3,_Quick_Slot_Type3,_Quick_Slot_ID3,_Quick_Slot_No4,_Quick_Slot_Type4,_Quick_Slot_ID4,_Quick_Slot_No5,_Quick_Slot_Type5,_Quick_Slot_ID5,_Quick_Slot_No6,_Quick_Slot_Type6,_Quick_Slot_ID6,_Quick_Slot_No7,_Quick_Slot_Type7,_Quick_Slot_ID7,_Quick_Slot_No8,_Quick_Slot_Type8,_Quick_Slot_ID8,_Quick_Slot_No9,_Quick_Slot_Type9,_Quick_Slot_ID9,_Quick_Slot_No10,_Quick_Slot_Type10,_Quick_Slot_ID10,_Pos_X,_Pos_Y,_Stage_ID,_MapGroup,_RevivalMap,_SkillPoint,_TownMap,_Base_Atk,_Base_Def,_Base_Ele,_Base_Luk,_Ex_Stat,_Ex_Limit,_Ex_Min,_Ex_Max,_Cardbinder,_Effect_Del1,_Effect_Del2,_Effect_Del3,_Effect_Del4,_Effect_Del5,_Effect_Del6
11,6,1,1,0,0,9999,9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,6,7,2,16,8,2,17,11,2,22,0,2,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,1344,1,0,1,5,1,20,15,8,8,0,0,0,0,0,0,0,0,0,0,0
12,6,2,1,0,0,9999,9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,6,7,2,16,8,2,17,11,2,22,0,2,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,1344,1,0,1,5,1,20,15,8,8,0,0,0,0,0,0,0,0,0,0,0
13,7,1,1,0,0,9999,9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,6,7,2,16,8,2,17,11,2,22,0,2,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,1344,1,0,1,5,1,13,20,8,10,0,0,0,0,0,0,0,0,0,0,0
14,7,2,1,0,0,9999,9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,6,7,2,16,8,2,17,11,2,22,0,2,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,1344,1,0,1,5,1,13,20,8,10,0,0,0,0,0,0,0,0,0,0,0
15,8,1,1,0,0,9999,9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,6,7,2,16,8,2,17,11,2,22,0,2,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,1344,1,0,1,5,1,13,20,8,10,0,0,0,0,0,0,0,0,0,0,0
16,8,2,1,0,0,9999,9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,6,7,2,16,8,2,17,11,2,22,0,2,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,1344,1,0,1,5,1,13,20,8,10,0,0,0,0,0,0,0,0,0,0,0
17,9,1,1,0,0,9999,9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,6,7,2,16,8,2,17,11,2,22,0,2,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,1344,1,0,1,5,1,8,10,20,13,0,0,0,0,0,0,0,0,0,0,0
18,9,2,1,0,0,9999,9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,6,7,2,16,8,2,17,11,2,22,0,2,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,1344,1,0,1,5,1,8,10,20,13,0,0,0,0,0,0,0,0,0,0,0
19,10,1,1,0,0,9999,9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,6,7,2,16,8,2,17,11,2,22,0,2,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,1344,1,0,1,5,1,8,10,20,13,0,0,0,0,0,0,0,0,0,0,0
20,10,2,1,0,0,9999,9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,6,7,2,16,8,2,17,11,2,22,0,2,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,1344,1,0,1,5,1,8,10,20,13,0,0,0,0,0,0,0,0,0,0,0
21,11,1,1,0,0,9999,9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,6,7,2,16,8,2,17,11,2,22,0,2,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,1344,1,0,1,5,1,10,10,10,21,0,0,0,0,0,0,0,0,0,0,0
22,11,2,1,0,0,9999,9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,6,7,2,16,8,2,17,11,2,22,0,2,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,1344,1,0,1,5,1,10,10,10,21,0,0,0,0,0,0,0,0,0,0,0
23,12,1,1,0,0,9999,9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,6,7,2,16,8,2,17,11,2,22,0,2,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,1344,1,0,1,5,1,10,10,10,21,0,0,0,0,0,0,0,0,0,0,0
24,12,2,1,0,0,9999,9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,6,7,2,16,8,2,17,11,2,22,0,2,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,1344,1,0,1,5,1,10,10,10,21,0,0,0,0,0,0,0,0,0,0,0
25,13,1,1,0,0,9999,9999,0,3,1,190144135,1,1,3,2,190145411,1,1,7,1,90455631,1,1,7,4,50650331,1,1,7,8,70255631,1,1,6,13,81500100,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,6,7,2,16,8,2,17,11,2,22,0,2,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137,1375,476,0,1,5,1,13,13,13,13,0,0,0,0,0,0,0,0,0,0,0
26,13,2,1,0,0,9999,9999,0,3,1,190144135,1,1,3,2,190145411,1,1,7,1,90455631,1,1,7,4,50650331,1,1,7,8,70255631,1,1,6,13,81500100,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,6,7,2,16,8,2,17,11,2,22,0,2,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137,1375,476,0,1,5,1,13,13,13,13,0,0,0,0,0,0,0,0,0,0,0
27,14,1,1,0,0,9999,9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,6,7,2,16,8,2,17,11,2,22,0,2,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,1344,1,0,1,5,1,13,13,13,13,0,0,0,0,0,0,0,0,0,0,0
28,14,2,1,0,0,9999,9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,6,7,2,16,8,2,17,11,2,22,0,2,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,1344,1,0,1,5,1,13,13,13,13,0,0,0,0,0,0,0,0,0,0,0
29,15,1,1,0,0,9999,9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,6,7,2,16,8,2,17,11,2,22,0,2,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,1344,1,0,1,5,1,20,15,8,8,412,300,1,5,0,0,0,0,0,0,0
30,15,2,1,0,0,9999,9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,6,7,2,16,8,2,17,11,2,22,0,2,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,1344,1,0,1,5,1,20,15,8,8,412,300,1,5,0,0,0,0,0,0,0
31,16,1,1,0,0,9999,9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,6,7,2,16,8,2,17,11,2,22,0,2,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,1344,1,0,1,5,1,20,15,8,8,413,200,5,5,0,0,0,0,0,0,0
32,16,2,1,0,0,9999,9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,6,7,2,16,8,2,17,11,2,22,0,2,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,1344,1,0,1,5,1,20,15,8,8,413,200,5,5,0,0,0,0,0,0,0
33,17,1,1,0,0,9999,9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,6,7,2,16,8,2,17,11,2,22,0,2,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,1344,1,0,1,5,1,13,20,8,10,414,300,5,10,0,0,0,0,0,0,0
34,17,2,1,0,0,9999,9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,6,7,2,16,8,2,17,11,2,22,0,2,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,1344,1,0,1,5,1,13,20,8,10,414,300,5,10,0,0,0,0,0,0,0
35,18,1,1,0,0,9999,9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,6,7,2,16,8,2,17,11,2,22,0,2,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,1344,1,0,1,5,1,13,20,8,10,412,300,3,5,0,0,0,0,0,0,0
36,18,2,1,0,0,9999,9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,6,7,2,16,8,2,17,11,2,22,0,2,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,1344,1,0,1,5,1,13,20,8,10,412,300,3,5,0,0,0,0,0,0,0
37,19,1,1,0,0,9999,9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,6,7,2,16,8,2,17,11,2,22,0,2,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,1344,1,0,1,5,1,8,10,20,13,412,300,1,5,0,0,0,0,0,0,0
38,19,2,1,0,0,9999,9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,6,7,2,16,8,2,17,11,2,22,0,2,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,1344,1,0,1,5,1,8,10,20,13,412,300,1,5,0,0,0,0,0,0,0
39,20,1,1,0,0,9999,9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,6,7,2,16,8,2,17,11,2,22,0,2,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,1344,1,0,1,5,1,8,10,20,13,412,300,2,4,0,0,0,0,0,0,0
40,20,2,1,0,0,9999,9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,6,7,2,16,8,2,17,11,2,22,0,2,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,1344,1,0,1,5,1,8,10,20,13,412,300,2,4,0,0,0,0,0,0,0
41,21,1,1,0,0,9999,9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,6,7,2,16,8,2,17,11,2,22,0,2,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,1344,1,0,1,5,1,10,10,10,21,416,5000,10,20,0,0,0,0,0,0,0
42,21,2,1,0,0,9999,9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,6,7,2,16,8,2,17,11,2,22,0,2,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,1344,1,0,1,5,1,10,10,10,21,416,5000,10,20,0,0,0,0,0,0,0
43,22,1,1,0,0,9999,9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,6,7,2,16,8,2,17,11,2,22,0,2,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,1344,1,0,1,5,1,10,10,10,21,417,400,0,0,0,0,0,0,0,0,0
44,22,2,1,0,0,9999,9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,6,7,2,16,8,2,17,11,2,22,0,2,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,1344,1,0,1,5,1,10,10,10,21,417,400,0,0,0,0,0,0,0,0,0
45,23,1,1,0,0,9999,9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,6,7,2,16,8,2,17,11,2,22,0,2,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,1344,1,0,1,5,1,13,13,13,13,412,300,1,5,0,0,0,0,0,0,0
46,23,2,1,0,0,9999,9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,6,7,2,16,8,2,17,11,2,22,0,2,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,1344,1,0,1,5,1,13,13,13,13,412,300,1,5,0,0,0,0,0,0,0
47,24,1,1,0,0,9999,9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,6,7,2,16,8,2,17,11,2,22,0,2,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,1344,1,0,1,0,1,23,15,5,8,412,400,3,5,0,25200901,0,0,0,0,0
