ID,_Type,_CategoryView,_PositionIndex,_Name,_IconFile,_IconIndex,_Activation_Description,_Deactivation_Description1,_Deactivation_Description2,_Decorate_Item,_Decorate_Item_Count,_DAMAGE_ImgLink,_Foot_FX1
100059,1,1,37,暢快俱樂部,10001113,82,點擊使用鍵即可使用 [暢快俱樂部] 傷害字型效果。,點擊學習鍵即可學習 [暢快俱樂部] 傷害字型效果。,[[活動] 暢快俱樂部傷害字型外觀裝扮票券] 道具不足。,190147369,1,Data/FX/DMG_FONT_065.png,0
100058,1,1,21,樹脂水晶,10001113,79,點擊使用鍵即可使用 [樹脂水晶] 傷害字型效果。,點擊學習鍵即可學習 [樹脂水晶] 傷害字型效果。,[[活動] 樹脂水晶傷害字型外觀裝扮票券] 道具不足。,190147206,1,Data/FX/DMG_FONT_062.png,0
100057,1,1,12,期待吧,10001113,81,點擊使用鍵即可使用 [期待吧] 傷害字型效果。,點擊學習鍵即可學習 [期待吧] 傷害字型效果。,[[活動] 期待吧傷害字型外觀裝扮票券] 道具不足。,190147278,1,Data/FX/DMG_FONT_064.png,0
100056,1,1,26,閃亮壓花,10001113,77,點擊使用鍵即可使用 [閃亮壓花] 傷害字型效果。,點擊學習鍵即可學習 [閃亮壓花] 傷害字型效果。,[傷害字型外觀裝扮票券] 道具不足。,190145949,1,Data/FX/DMG_FONT_060.png,0
100055,1,1,29,粉筆,10001113,78,點擊使用鍵即可使用 [粉筆] 傷害字型效果。,點擊學習鍵即可學習 [粉筆] 傷害字型效果。,[粉筆傷害字型外觀裝扮票券] 道具不足。,190147139,1,Data/FX/DMG_FONT_061.png,0
100054,1,1,52,寶石耶比,10001113,75,點擊使用鍵即可使用 [寶石耶比] 傷害字型效果。,點擊學習鍵即可學習 [寶石耶比] 傷害字型效果。,[寶石耶比傷害字型外觀裝扮票券] 道具不足。,190147098,1,Data/FX/DMG_FONT_058.png,0
100053,1,1,22,馬卡龍,10001113,74,點擊使用鍵即可使用 [馬卡龍] 傷害字型效果。,點擊學習鍵即可學習 [馬卡龍] 傷害字型效果。,[傷害字型外觀裝扮票券] 道具不足。,190145949,1,Data/FX/DMG_FONT_057.png,0
100052,1,1,8,ROSE,10001113,73,點擊使用鍵即可使用 [ROSE] 傷害字型效果。,點擊學習鍵即可學習 [ROSE] 傷害字型效果。,[ROSE傷害字型外觀裝扮票券] 道具不足。,190147011,1,Data/FX/DMG_FONT_056.png,0
100051,1,1,56,牛牛,10001113,69,點擊使用鍵即可使用[牛牛]傷害字型效果。,點擊學習鍵即可使用[牛牛]傷害字型效果。,[牛牛傷害字型外觀裝扮票券]道具不足。,190147031,1,Data/FX/DMG_FONT_050.png,0
100050,1,1,51,中立,10001113,70,點擊使用鍵即可使用 [中立] 傷害字型效果。,點擊學習鍵即可學習 [中立] 傷害字型效果。,[中立公會傷害字型外觀裝扮票券] 道具不足。,190146972,1,Data/FX/DMG_FONT_053.png,0
100049,1,1,53,秩序,10001113,71,點擊使用鍵即可使用 [秩序] 傷害字型效果。,點擊學習鍵即可學習 [秩序] 傷害字型效果。,[秩序公會傷害字型外觀裝扮票券] 道具不足。,190146973,1,Data/FX/DMG_FONT_054.png,0
100048,1,1,64,混沌,10001113,72,點擊使用鍵即可使用 [混沌] 傷害字型效果。,點擊學習鍵即可學習 [混沌] 傷害字型效果。,[混沌公會傷害字型外觀裝扮票券] 道具不足。,190146974,1,Data/FX/DMG_FONT_055.png,0
100047,1,1,49,紙飛機,10001113,66,點擊使用鍵即可使用 [紙飛機] 傷害字型效果。,點擊學習鍵即可學習 [紙飛機] 傷害字型效果。,[[活動] 紙飛機傷害字型外觀裝扮票券] 道具不足。,190146939,1,Data/FX/DMG_FONT_048.png,0
100046,1,1,48,雷根糖,10001113,67,點擊使用鍵即可使用 [雷根糖] 傷害字型效果。,點擊學習鍵即可學習 [雷根糖] 傷害字型效果。,[雷根糖傷害字型外觀裝扮票券] 道具不足。,190146938,1,Data/FX/DMG_FONT_049.png,0
100045,1,1,61,紫&黃,10001113,65,點擊使用鍵即可使用 [紫&黃] 傷害字型效果。,點擊學習鍵即可學習 [紫&黃] 傷害字型效果。,[傷害字型外觀裝扮票券] 道具不足。,190145949,1,Data/FX/DMG_FONT_047.png,0
100044,1,1,5,9999,10001113,63,點擊使用鍵即可使用 [9999] 傷害字型效果。,點擊學習鍵即可學習 [9999] 傷害字型效果。,[9999傷害字型外觀裝扮票券] 道具不足。,190146935,1,Data/FX/DMG_FONT_052.png,0
100043,1,1,11,九九九九,10001113,62,點擊使用鍵即可使用 [九九九九] 傷害字型效果。,點擊學習鍵即可學習 [九九九九] 傷害字型效果。,[九九九九傷害字型外觀裝扮票券] 道具不足。,190146936,1,Data/FX/DMG_FONT_051.png,0
100042,1,1,2,基本,10001113,61,點擊使用鍵即可使用 [基本] 傷害字型效果。,點擊學習鍵即可學習 [基本] 傷害字型效果。,[(舊)傷害字型外觀裝扮票券] 道具不足。,190146934,1,Data/FX/DMG_FONT_035.png,0
100041,1,1,16,月,10001113,60,點擊使用鍵即可使用[月]傷害字型效果。,點擊學習鍵即可使用[月]傷害字型效果。,[月傷害字型外觀裝扮票券]道具不足。,190146929,1,Data/FX/DMG_FONT_046.png,0
100040,1,1,28,蓓菈,10001113,59,點擊使用鍵即可使用 [蓓菈] 傷害字型效果。,點擊學習鍵即可學習 [蓓菈] 傷害字型效果。,[蓓菈傷害字型外觀裝扮票券] 道具不足。,190146849,1,Data/FX/DMG_FONT_045.png,0
100039,1,1,59,透明,10001113,58,點擊使用鍵即可使用 [透明] 傷害字型效果。,點擊學習鍵即可學習 [透明] 傷害字型效果。,[[活動] 透明傷害字型外觀裝扮票券] 道具不足。,190146850,1,Data/FX/DMG_FONT_034.png,0
100038,1,1,18,橡實,10001113,56,點擊使用鍵即可使用 [橡實] 傷害字型效果。,點擊學習鍵即可學習 [橡實] 傷害字型效果。,[傷害字型外觀裝扮票券] 道具不足。,190145949,1,Data/FX/DMG_FONT_043.png,0
100037,1,1,15,楓葉,10001113,57,點擊使用鍵即可使用 [楓葉] 傷害字型效果。,點擊學習鍵即可學習 [楓葉] 傷害字型效果。,[傷害字型外觀裝扮票券] 道具不足。,190145949,1,Data/FX/DMG_FONT_044.png,0
100036,1,1,41,悠尼亞,10001113,55,點擊使用鍵即可使用[悠尼亞]傷害字型效果。,點擊學習鍵即可使用[悠尼亞]傷害字型效果。,[悠尼亞傷害字型外觀裝扮票券]道具不足。,190146826,1,Data/FX/DMG_FONT_042.png,0
100035,1,1,34,暗影行者,10001113,52,點擊使用鍵即可使用[暗影行者]傷害字型效果。,點擊學習鍵即可使用[暗影行者]傷害字型效果。,[暗影行者傷害字型外觀裝扮票券]道具不足。,190146750,1,Data/FX/DMG_FONT_040.png,0
100034,1,1,13,喵喵 喵喵喵,10001113,54,點擊使用鍵即可使用[喵喵 喵喵喵]傷害字型效果。,點擊學習鍵即可使用[喵喵 喵喵喵]傷害字型效果。,[喵喵 喵喵喵傷害字型外觀裝扮票券]道具不足。,190146769,1,Data/FX/DMG_FONT_041.png,0
100033,1,1,31,下雨之日,10001113,50,點擊使用鍵即可使用[下雨之日]傷害字型效果。,點擊學習鍵即可使用[下雨之日]傷害字型效果。,[下雨之日傷害字型外觀裝扮票券]道具不足。,190146747,1,Data/FX/DMG_FONT_038.png,0
100031,1,1,19,撲克獅,10001113,49,點擊使用鍵即可使用[撲克獅]傷害字型效果。,點擊學習鍵即可使用[撲克獅]傷害字型效果。,[撲克獅傷害字型外觀裝扮票券]道具不足。,190146681,1,Data/FX/DMG_FONT_037.png,0
100030,1,1,45,玩具,10001113,48,點擊使用鍵即可使用[玩具]傷害字型效果。,點擊學習鍵即可使用[玩具]傷害字型效果。,[[活動] 玩具傷害字型外觀裝扮票券]道具不足。,190146670,1,Data/FX/DMG_FONT_036.png,0
100029,1,1,47,傑芮尼斯魔法學院,10001113,46,點擊使用鍵即可使用[傑芮尼斯魔法學院]傷害字型效果。,點擊學習鍵即可使用[傑芮尼斯魔法學院]傷害字型效果。,[傑芮尼斯魔法學院傷害字型外觀裝扮票券]道具不足。,190146645,1,Data/FX/DMG_FONT_033.png,0
100028,1,1,20,魔魔鼠,10001113,45,點擊使用鍵即可使用[魔魔鼠]傷害字型效果。,點擊學習鍵即可使用[魔魔鼠]傷害字型效果。,[傷害字型外觀裝扮票券]道具不足。,190145949,1,Data/FX/DMG_FONT_032.png,0
100027,1,1,40,YOMI,10001113,44,點擊使用鍵即可使用[YOMI]傷害字型效果。,點擊學習鍵即可使用[YOMI]傷害字型效果。,[YOMI傷害字型外觀裝扮票券]道具不足。,190146589,1,Data/FX/DMG_FONT_030.png,0
100032,1,1,23,金屬,10001113,41,點擊使用鍵即可使用[金屬]傷害字型效果。,點擊學習鍵即可使用[金屬]傷害字型效果。,[傷害字型外觀裝扮票券]道具不足。,190145949,1,Data/FX/DMG_FONT_031.png,0
100026,1,1,7,Cute Heart,10001113,40,點擊使用鍵即可使用[Cute Heart]傷害字型效果。,點擊學習鍵即可使用[Cute Heart]傷害字型效果。,[Cute Heart傷害字型外觀裝扮票券]道具不足。,190146491,1,Data/FX/DMG_FONT_025.png,0
100025,1,1,39,外星人,10001113,37,點擊使用鍵即可使用[外星人]傷害字型效果。,點擊學習鍵即可使用[外星人]傷害字型效果。,[[活動] 外星人傷害字型外觀裝扮票券]道具不足。,190146405,1,Data/FX/DMG_FONT_013.png,0
100024,1,1,9,萬聖鬼魂,10001113,38,點擊使用按鍵即可學習[萬聖鬼魂]傷害字型效果。,點擊學習按鍵即可習得[萬聖鬼魂]傷害字型效果。,[萬聖鬼魂傷害字型外觀裝扮票券]道具不足。,1300000892,1,Data/FX/DMG_FONT_024.png,0
100023,1,1,42,愛麗絲陣營,10001113,36,點擊使用按鍵即可學習[愛麗絲陣營]傷害字型效果。,點擊學習按鍵即可習得[愛麗絲陣營]傷害字型效果。,[愛麗絲陣營傷害字型外觀裝扮票券]道具不足。,190146325,1,Data/FX/DMG_FONT_023.png,0
100022,1,1,24,彩虹泡泡,10001113,34,點擊使用鍵即可使用[彩虹泡泡]傷害字型效果。,點擊學習鍵即可使用[彩虹泡泡]傷害字型效果。,[傷害字型外觀裝扮票券]道具不足。,190145949,1,Data/FX/DMG_FONT_022.png,0
100021,1,1,36,重擊力量,10001113,33,點擊使用鍵即可使用[重擊力量]傷害字型效果。,點擊學習鍵即可使用[重擊力量]傷害字型效果。,[傷害字型外觀裝扮票券]道具不足。,190145949,1,Data/FX/DMG_FONT_021.png,0
100020,1,1,9,海賊熊,10001113,32,點擊使用鍵即可使用[海賊熊]傷害字型效果。,點擊學習鍵即可使用[海賊熊]傷害字型效果。,[海賊熊傷害字型外觀裝扮票券]道具不足。,190146271,1,Data/FX/DMG_FONT_020.png,0
100019,1,1,58,鈕扣兔,10001113,31,點擊使用按鍵即可使用[鈕扣兔]。,點擊學習按鍵即可習得[鈕扣兔]。,點擊學習按鍵即可習得[鈕扣兔]。,190146225,1,Data/FX/DMG_FONT_019.png,0
100017,1,1,27,櫻花,10001113,29,點擊使用即可利用[櫻花傷害字型]。,點擊學習即可習得[櫻花傷害字型]。,點擊學習即可習得[櫻花傷害字型]。,190145949,1,Data/FX/DMG_FONT_018.png,0
100018,1,1,6,Black & White,10001113,30,點擊使用即可利用[Black & White傷害字型]。,點擊學習即可習得[Black & White傷害字型]。,點擊學習即可習得[Black & White傷害字型]。,190145949,1,Data/FX/DMG_FONT_012.png,0
100016,1,1,50,每週挑戰,10001113,28,點擊使用即可利用[每週挑戰傷害字型]。,點擊學習即可習得[每週挑戰傷害字型]。,點擊學習即可習得[每週挑戰傷害字型]。,190146194,1,Data/FX/DMG_FONT_017.png,0
100013,1,1,25,銀河,10001113,24,點擊使用鍵即可使用[銀河]。,點擊學習鍵即可習得[銀河]。,點擊學習鍵即可習得[銀河]。,190146096,1,Data/FX/DMG_FONT_014.png,0
100014,1,1,35,靈魂,10001113,25,點擊使用鍵即可使用[靈魂]。,點擊學習鍵即可習得[靈魂]。,點擊學習鍵即可習得[靈魂]。,190146095,1,Data/FX/DMG_FONT_015.png,0
100011,1,1,14,雪花,10001113,22,點擊使用鍵即可使用[雪花]。,點擊學習鍵即可習得[雪花]。,點擊學習鍵即可習得[雪花]。,190146076,1,Data/FX/DMG_FONT_010.png,0
100012,1,1,32,冰雪,10001113,23,點擊使用鍵即可使用[冰雪]。,點擊學習鍵即可習得[冰雪]。,點擊學習鍵即可習得[冰雪]。,190145949,1,Data/FX/DMG_FONT_011.png,0
100008,1,1,3,[冬季限定]Tree of Latale,10001113,9,點擊使用鍵即可使用[Tree of Latale]。,點擊學習鍵即可習得[Tree of Latale]。,點擊學習鍵即可習得[Tree of Latale]。,190146075,1,Data/FX/DMG_FONT_008.png,0
100010,1,1,33,閃亮魔法,10001113,6,點擊使用鍵即可使用[閃亮魔法]。,點擊學習鍵即可習得[閃亮魔法]。,點擊學習鍵即可習得[閃亮魔法]。,190145984,1,Data/FX/DMG_FONT_005.png,0
100001,1,1,62,耶比妹妹,10001113,2,點擊使用鍵即可使用 [耶比妹妹外觀]。,點擊獲得鍵即可獲得 [耶比妹妹外觀]。,點擊獲得鍵即可獲得 [耶比妹妹外觀]。,190145949,1,Data/FX/DMG_FONT_001.png,0
100002,1,1,63,萬聖節,10001113,4,點擊使用鍵即可使用 [萬聖節外觀]。,點擊獲得鍵即可獲得 [萬聖節外觀]。,點擊獲得鍵即可獲得 [萬聖節外觀]。,190145949,1,Data/FX/DMG_FONT_003.png,0
100003,1,1,54,餅乾蠟燭,10001113,3,點擊使用鍵即可使用 [餅乾蠟燭外觀]。,點擊獲得鍵即可獲得 [餅乾蠟燭外觀]。,點擊獲得鍵即可獲得 [餅乾蠟燭外觀]。,190145949,1,Data/FX/DMG_FONT_002.png,0
100007,1,1,17,極凍巔峰,10001113,8,點擊使用鍵即可使用 [極凍巔峰外觀]。,點擊獲得鍵即可獲得 [極凍巔峰外觀]。,點擊獲得鍵即可獲得 [極凍巔峰外觀]。,190145949,1,Data/FX/DMG_FONT_007.png,0
100009,1,1,55,小心輕放,10001113,10,點擊使用鍵即可使用 [小心輕放外觀]。,點擊獲得鍵即可獲得 [小心輕放外觀]。,點擊獲得鍵即可獲得 [小心輕放外觀]。,190145949,1,Data/FX/DMG_FONT_009.png,0
100006,1,1,30,古典莊園,10001113,7,點擊使用鍵即可使用 [古典莊園外觀]。,點擊獲得鍵即可獲得 [古典莊園外觀]。,點擊獲得鍵即可獲得 [古典莊園外觀]。,190145949,1,Data/FX/DMG_FONT_006.png,0
100004,1,1,46,電子螢幕,10001113,5,點擊使用鍵即可使用 [電子螢幕外觀]。,點擊獲得鍵即可獲得 [電子螢幕外觀]。,點擊獲得鍵即可獲得 [電子螢幕外觀]。,190145978,1,Data/FX/DMG_FONT_004.png,0
2,2,1,1,基本,10001113,20,點擊使用鍵即可使用基本職業地墊。,,,0,0,,0
200020,2,1,3,聖誕花圈,10001113,64,點擊使用鍵即可使用[聖誕花圈]地墊效果。,點擊學習鍵即可使用[聖誕花圈]地墊效果。,[聖誕花圈地墊裝扮票券]道具不足。,190146940,1,,20508
200019,2,1,15,月蝕,10001113,68,點擊使用鍵即可使用 [月蝕] 地墊效果。,點擊學習鍵即可學習 [月蝕] 地墊效果。,[月蝕地墊裝扮票券] 道具不足。,190146971,1,,20346
200018,2,1,13,衝浪板,10001113,53,點擊使用鍵即可使用[衝浪板]傷害字型效果。,點擊學習鍵即可使用[衝浪板]傷害字型效果。,[【限定版】衝浪板地墊裝扮票券]道具不足。,190146763,1,,20227
200017,2,1,16,傑芮尼斯魔法學院,10001113,47,點擊使用鍵即可使用[傑芮尼斯魔法學院]地墊效果。,點擊學習鍵即可使用[傑芮尼斯魔法學院]地墊效果。,[地墊裝扮票券]道具不足。,190145977,1,,20108
200016,2,1,20,Happy New Year 2020,10001113,43,點擊使用鍵即可使用[Happy New Year 2020地墊]。,點擊學習鍵即可習得[Happy New Year 2020地墊]。,[2020 HAPPY NEW YEAR地墊裝扮券]不足。,190146546,1,,20027
200015,2,1,4,聖誕襪,10001113,42,點擊使用鍵即可使用[聖誕襪地墊]。,點擊學習鍵即可習得[聖誕襪地墊]。,[聖誕襪地墊裝扮票券]不足。,190146533,1,,20025
200014,2,1,19,萬聖節南瓜,10001113,39,點擊使用鍵即可使用[萬聖節南瓜]地墊效果。,點擊學習鍵即可使用[萬聖節南瓜]地墊效果。,[萬聖節南瓜地墊裝扮票券]道具不足。,190146414,1,,19841
200013,2,1,12,彩色風車,10001113,35,點擊使用鍵即可使用[彩色風車]地墊效果。,點擊學習鍵即可使用[彩色風車]地墊效果。,[地墊裝扮票券]道具不足。,190145977,1,,19736
200012,2,1,17,耶比妹妹印章,10001113,26,點擊使用即可利用[耶比妹妹印章]地墊效果。,點擊學習即可習得[耶比妹妹印章]地墊效果。,點擊學習即可習得[耶比妹妹印章]地墊效果。,190145977,1,,19393
200011,2,1,14,歐若拉星星,10001113,19,點擊使用鍵即可使用[歐若拉星星地墊]。,點擊學習鍵即可習得[歐若拉星星地墊]。,點擊學習鍵即可習得[歐若拉星星地墊]。,190146113,1,,19207
200010,2,1,9,Snow Street,10001113,18,點擊使用鍵即可使用[Snow Street]地墊效果。,點擊學習鍵即可習得[Snow Street]地墊效果。,點擊學習鍵即可習得[Snow Street]地墊效果。,190145977,1,,19206
200008,2,1,5,Danger,10001113,21,點擊使用鍵即可使用 [Danger] 地墊效果。,點擊獲得鍵即可獲得 [Danger] 地墊效果。,點擊獲得鍵即可獲得 [Danger] 地墊效果。,190145977,1,,19204
200009,2,1,8,Rainbow,10001113,17,點擊使用鍵即可使用 [Rainbow] 地墊效果。,點擊獲得鍵即可獲得 [Rainbow] 地墊效果。,點擊獲得鍵即可獲得 [Rainbow] 地墊效果。,190145977,1,,19205
200002,2,1,7,Funny Flame,10001113,12,點擊使用鍵即可使用 [Funny Flame] 地墊效果。,使用背包的 [Funny Flame(30日) 學習書] 道具即可獲得。,使用背包的 [Funny Flame(30日) 學習書] 道具即可獲得。,0,0,,18399
200004,2,1,11,Thunder Storm,10001113,13,點擊使用鍵即可使用 [Thunder Storm] 地墊效果。,使用背包的 [Thunder Storm(30日) 學習書] 道具即可獲得。,使用背包的 [Thunder Storm(30日) 學習書] 道具即可獲得。,0,0,,18857
200005,2,1,6,Flower Wind,10001113,14,點擊使用鍵即可使用 [Flower Wind] 地墊效果。,使用背包的 [Flower Wind(30日) 學習書] 道具即可獲得。,使用背包的 [Flower Wind(30日) 學習書] 道具即可獲得。,0,0,,18858
200006,2,1,18,愛心霓虹燈,10001113,15,點擊使用鍵即可使用 [愛心霓虹燈] 地墊效果。,使用背包的 [愛心霓虹燈(30日) 學習書] 道具即可獲得。,使用背包的 [愛心霓虹燈(30日) 學習書] 道具即可獲得。,0,0,,18906
200007,2,1,10,Summer Night,10001113,16,點擊使用鍵即可使用 [Summer Night] 地墊效果。,使用背包的 [Summer Night(30日) 學習書] 道具即可獲得。,使用背包的 [Summer Night(30日) 學習書] 道具即可獲得。,0,0,,18907
210001,2,1,2,[Event] Flower Garden,10001312,198,點擊使用鍵即可使用 [Flower Garden] 地墊效果。,使用背包的 [Flower Garden 學習書] 道具即可獲得。,使用背包的 [Flower Garden 學習書] 道具即可獲得。,190146671,1,,18212
