ID,_Des,_Count,_Delay,_Multicolor,_SAlpha,_EAlpha,_Color_R1,_Color_G1,_Color_B1,_Color_R2,_Color_G2,_Color_B2,_Color_R3,_Color_G3,_Color_B3,_Color_R4,_Color_G4,_Color_B4,_Color_R5,_Color_G5,_Color_B5,_Color_R6,_Color_G6,_Color_B6,_Color_R7,_Color_G7,_Color_B7
65,??? ?? +5,6,5,1,50,25,245,184,119,245,184,119,245,184,119,245,184,119,245,184,119,245,184,119,0,0,0
66,??? ?? +6,7,5,1,50,20,245,184,119,245,184,119,245,184,119,245,184,119,245,184,119,245,184,119,245,184,119
67,?? ??,1,5,1,50,50,65,65,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,?? ?? +1,2,5,1,50,45,65,65,89,89,101,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,?? ?? +2,3,5,1,50,40,65,65,89,89,101,140,89,101,140,0,0,0,0,0,0,0,0,0,0,0,0
70,?? ?? +3,4,5,1,50,35,65,65,89,89,101,140,89,101,140,99,133,156,0,0,0,0,0,0,0,0,0
71,?? ?? +4,5,5,1,50,30,65,65,89,89,101,140,89,101,140,99,133,156,99,133,156,0,0,0,0,0,0
72,?? ?? +5,6,5,1,50,25,65,65,89,89,101,140,89,101,140,99,133,156,99,133,156,117,172,192,0,0,0
73,?? ?? +6,7,5,1,50,20,65,65,89,89,101,140,89,101,140,99,133,156,99,133,156,117,172,192,117,172,192
74,??? ??,1,5,1,50,50,53,43,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,??? ?? +1,2,5,1,50,45,53,43,61,121,110,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,??? ?? +2,3,5,1,50,40,53,43,61,121,110,141,64,67,87,0,0,0,0,0,0,0,0,0,0,0,0
77,??? ?? +3,4,5,1,50,35,53,43,61,121,110,141,64,67,87,118,90,66,0,0,0,0,0,0,0,0,0
78,??? ?? +4,5,5,1,50,30,53,43,61,121,110,141,64,67,87,118,90,66,112,83,107,0,0,0,0,0,0
79,??? ?? +5,6,5,1,50,25,53,43,61,121,110,141,64,67,87,118,90,66,112,83,107,85,102,133,0,0,0
80,??? ?? +6,7,5,1,50,20,53,43,61,121,110,141,64,67,87,118,90,66,112,83,107,85,102,133,200,175,158
81,?? ??,1,5,1,50,50,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,?? ?? +1,2,5,1,50,45,255,255,255,51,41,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,?? ?? +2,3,5,1,50,40,255,255,255,51,41,39,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0
84,?? ?? +3,4,5,1,50,35,255,255,255,51,41,39,255,255,255,51,41,39,0,0,0,0,0,0,0,0,0
85,?? ?? +4,5,5,1,50,30,255,255,255,51,41,39,255,255,255,51,41,39,255,255,255,0,0,0,0,0,0
86,?? ?? +5,6,5,1,50,25,255,255,255,51,41,39,255,255,255,51,41,39,255,255,255,51,41,39,0,0,0
87,?? ?? +6,7,5,1,50,20,255,255,255,51,41,39,255,255,255,51,41,39,255,255,255,51,41,39,255,255,255
88,??? ??,1,5,1,50,50,51,45,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,??? ?? +1,2,5,1,50,45,51,45,114,117,97,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,??? ?? +2,3,5,1,50,40,51,45,114,117,97,210,82,92,217,0,0,0,0,0,0,0,0,0,0,0,0
91,??? ?? +3,4,5,1,50,35,51,45,114,117,97,210,82,92,217,128,160,227,0,0,0,0,0,0,0,0,0
92,??? ?? +4,5,5,1,50,30,51,45,114,117,97,210,82,92,217,128,160,227,49,168,250,0,0,0,0,0,0
93,??? ?? +5,6,5,1,50,25,51,45,114,117,97,210,82,92,217,128,160,227,49,168,250,111,248,253,0,0,0
94,??? ?? +6,7,5,1,50,20,51,45,114,117,97,210,82,92,217,128,160,227,49,168,250,111,248,253,227,251,255
95,???? ??,1,5,1,50,50,248,104,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,???? ?? +1,2,5,1,50,45,248,104,84,241,162,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,???? ?? +2,3,5,1,50,40,248,104,84,241,162,90,241,244,121,0,0,0,0,0,0,0,0,0,0,0,0
98,???? ?? +3,4,5,1,50,35,248,104,84,241,162,90,241,244,121,131,240,125,0,0,0,0,0,0,0,0,0
99,???? ?? +4,5,5,1,50,30,248,104,84,241,162,90,241,244,121,131,240,125,125,169,240,0,0,0,0,0,0
100,???? ?? +5,6,5,1,50,25,248,104,84,241,162,90,241,244,121,131,240,125,125,169,240,139,129,237,0,0,0
101,???? ?? +6,7,5,1,50,20,248,104,84,241,162,90,241,244,121,131,240,125,125,169,240,139,129,237,191,128,238
102,???? ?? ??,1,5,1,50,20,135,102,194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,???? ?? ?? +1,2,5,1,50,20,135,102,194,184,165,219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,???? ?? ?? +2,3,5,1,50,20,135,102,194,184,165,219,208,195,231,0,0,0,0,0,0,0,0,0,0,0,0
105,???? ?? ?? +3,4,5,1,50,20,135,102,194,184,165,219,208,195,231,234,228,244,0,0,0,0,0,0,0,0,0
106,???? ?? ?? +4,5,5,1,50,20,135,102,194,184,165,219,208,195,231,234,228,244,199,206,239,0,0,0,0,0,0
107,???? ?? ?? +5,6,5,1,50,20,135,102,194,184,165,219,208,195,231,234,228,244,199,206,239,154,166,226,0,0,0
108,???? ?? ?? +6,7,5,1,50,20,135,102,194,184,165,219,208,195,231,234,228,244,199,206,239,154,166,226,86,106,206
109,???? ?? ??,1,5,1,50,20,37,219,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,???? ?? ?? +1,2,5,1,50,20,37,219,55,59,194,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,???? ?? ?? +2,3,5,1,50,20,37,219,55,59,194,54,84,168,52,0,0,0,0,0,0,0,0,0,0,0,0
112,???? ?? ?? +3,4,5,1,50,20,37,219,55,59,194,54,84,168,52,96,154,52,0,0,0,0,0,0,0,0,0
113,???? ?? ?? +4,5,5,1,50,20,37,219,55,59,194,54,84,168,52,96,154,52,132,116,50,0,0,0,0,0,0
114,???? ?? ?? +5,6,5,1,50,20,37,219,55,59,194,54,84,168,52,96,154,52,132,116,50,152,94,49,0,0,0
115,???? ?? ?? +6,7,5,1,50,20,37,219,55,59,194,54,84,168,52,96,154,52,132,116,50,152,94,49,172,73,48
116,???? ?? ??,1,5,1,50,50,150,20,96,239,233,229,150,20,96,239,233,229,150,20,96,239,233,229,150,20,96
117,???? ?? ?? +1,2,5,1,50,44,150,20,96,239,233,229,150,20,96,239,233,229,150,20,96,239,233,229,150,20,96
118,???? ?? ?? +2,3,5,1,50,38,150,20,96,239,233,229,150,20,96,239,233,229,150,20,96,239,233,229,150,20,96
119,???? ?? ?? +3,4,5,1,50,32,150,20,96,239,233,229,150,20,96,239,233,229,150,20,96,239,233,229,150,20,96
120,???? ?? ?? +4,5,5,1,50,26,150,20,96,239,233,229,150,20,96,239,233,229,150,20,96,239,233,229,150,20,96
121,???? ?? ?? +5,6,5,1,50,20,150,20,96,239,233,229,150,20,96,239,233,229,150,20,96,239,233,229,150,20,96
122,???? ?? ?? +6,7,5,1,50,14,150,20,96,239,233,229,150,20,96,239,233,229,150,20,96,239,233,229,150,20,96
123,??? ?? ??,1,5,1,50,50,88,49,115,255,239,127,88,49,115,255,239,127,88,49,115,255,239,127,88,49,115
124,??? ?? ?? +1,2,5,1,50,44,88,49,115,255,239,127,88,49,115,255,239,127,88,49,115,255,239,127,88,49,115
125,??? ?? ?? +2,3,5,1,50,38,88,49,115,255,239,127,88,49,115,255,239,127,88,49,115,255,239,127,88,49,115
126,??? ?? ?? +3,4,5,1,50,32,88,49,115,255,239,127,88,49,115,255,239,127,88,49,115,255,239,127,88,49,115
127,??? ?? ?? +4,5,5,1,50,26,88,49,115,255,239,127,88,49,115,255,239,127,88,49,115,255,239,127,88,49,115
128,??? ?? ?? +5,6,5,1,50,20,88,49,115,255,239,127,88,49,115,255,239,127,88,49,115,255,239,127,88,49,115
129,??? ?? ?? +6,7,5,1,50,14,88,49,115,255,239,127,88,49,115,255,239,127,88,49,115,255,239,127,88,49,115
130,????? ?? ??,1,5,1,50,40,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131,????? ?? ?? +1,2,5,1,50,35,255,255,255,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,????? ?? ?? +2,3,5,1,50,30,255,255,255,200,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0
133,????? ?? ?? +3,4,5,1,50,25,255,255,255,200,0,0,0,200,0,200,0,0,0,0,0,0,0,0,0,0,0
134,????? ?? ?? +4,5,5,1,50,20,255,255,255,200,0,0,0,200,0,200,0,0,0,200,0,0,0,0,0,0,0
135,????? ?? ?? +5,6,5,1,50,15,255,255,255,200,0,0,0,200,0,200,0,0,0,200,0,200,0,0,0,0,0
136,????? ?? ?? +6,7,5,1,50,10,255,255,255,200,0,0,0,200,0,200,0,0,0,200,0,200,0,0,0,200,0
137,??? ?? ??,1,5,1,50,50,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
138,??? ?? ?? +1,2,5,1,50,45,10,10,10,45,45,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139,??? ?? ?? +2,3,5,1,50,40,10,10,10,45,45,45,80,80,80,0,0,0,0,0,0,0,0,0,0,0,0
140,??? ?? ?? +3,4,5,1,50,35,10,10,10,45,45,45,80,80,80,115,115,115,0,0,0,0,0,0,0,0,0
141,??? ?? ?? +4,5,5,1,50,30,10,10,10,45,45,45,80,80,80,115,115,115,150,150,150,0,0,0,0,0,0
142,??? ?? ?? +5,6,5,1,50,25,10,10,10,45,45,45,80,80,80,115,115,115,150,150,150,185,185,185,0,0,0
143,??? ?? ?? +6,7,5,1,50,20,10,10,10,45,45,45,80,80,80,115,115,115,150,150,150,185,185,185,220,220,220
144,??? ?? ??,1,5,1,50,20,72,166,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,??? ?? ?? +1,2,5,1,50,20,72,166,155,132,202,194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
146,??? ?? ?? +2,3,5,1,50,20,72,166,155,132,202,194,177,214,215,0,0,0,0,0,0,0,0,0,0,0,0
147,??? ?? ?? +3,4,5,1,50,20,72,166,155,132,202,194,177,214,215,233,243,242,0,0,0,0,0,0,0,0,0
148,??? ?? ?? +4,5,5,1,50,20,72,166,155,132,202,194,177,214,215,233,243,242,230,215,204,0,0,0,0,0,0
149,??? ?? ?? +5,6,5,1,50,20,72,166,155,132,202,194,177,214,215,233,243,242,230,215,204,207,150,127,0,0,0
150,??? ?? ?? +6,7,5,1,50,20,72,166,155,132,202,194,177,214,215,233,243,242,230,215,204,207,150,127,173,97,65
151,??? ?? ??,1,5,1,50,50,251,69,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
152,??? ?? ?? +1,2,5,1,50,45,251,69,32,249,191,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
153,??? ?? ?? +2,3,5,1,50,40,251,69,32,249,191,88,255,220,190,0,0,0,0,0,0,0,0,0,0,0,0
154,??? ?? ?? +3,4,5,1,50,35,251,69,32,249,191,88,255,220,190,0,0,0,0,0,0,0,0,0,0,0,0
155,??? ?? ?? +4,5,5,1,50,30,251,69,32,249,191,88,255,220,190,0,0,0,19,87,142,0,0,0,0,0,0
156,??? ?? ?? +5,6,5,1,50,25,251,69,32,249,191,88,255,220,190,0,0,0,19,87,142,184,202,196,0,0,0
157,??? ?? ?? +6,7,5,1,50,20,251,69,32,249,191,88,255,220,190,0,0,0,19,87,142,184,202,196,255,255,255
158,?? ???1,7,5,1,50,20,204,97,87,227,129,103,251,167,120,255,228,152,254,248,180,255,193,201,253,166,182
159,?? ???2,7,5,1,50,20,255,76,249,255,246,0,255,255,255,113,255,255,255,76,249,255,246,0,255,255,255
160,?? ???3,7,5,1,50,20,0,0,255,255,255,255,255,0,0,255,255,255,0,0,255,255,255,255,255,0,0
161,?? ???4,7,5,1,50,20,255,125,125,230,125,150,205,125,175,180,125,200,155,125,255,125,125,255,125,125,255
162,?? ???5,7,5,1,50,20,101,19,59,248,136,32,158,25,71,44,179,253,101,19,59,248,136,32,158,25,71
163,?? ???6,7,5,1,50,20,71,71,255,71,71,255,243,140,198,243,140,198,252,201,162,252,201,162,255,255,255
164,?? ???7,7,5,1,50,20,255,0,0,255,0,0,255,128,255,255,128,255,146,122,241,146,122,241,252,201,162
165,?? ???8,7,5,1,50,20,255,0,0,255,0,0,255,255,0,255,255,0,0,255,210,0,255,210,0,255,210
166,?? ???9,7,5,1,50,20,68,30,189,92,41,220,99,80,238,255,0,92,250,47,10,245,105,174,247,146,189
167,?? ???10,7,5,1,50,20,255,125,189,255,254,245,255,125,189,255,254,245,255,125,189,255,254,245,255,125,189
168,?? ???11,7,5,1,50,20,255,0,0,255,54,0,255,110,14,255,155,47,255,201,36,255,241,125,255,242,181
169,?? ???12,7,5,1,50,20,174,152,152,174,161,153,190,177,169,206,193,185,232,219,201,244,234,211,248,245,213
170,?? ???13,7,5,1,50,20,92,68,71,248,222,78,92,68,71,248,222,78,92,68,71,248,222,78,92,68,71
171,?? ???14,7,5,1,50,20,90,201,233,82,218,208,159,245,208,159,245,208,192,255,219,255,255,207,255,255,255
172,?? ???15,7,5,1,50,20,169,216,234,188,163,245,236,185,225,255,158,164,255,223,188,255,255,211,255,255,255
173,?? ???16,7,5,1,50,20,207,255,220,207,233,255,244,207,255,243,145,224,243,145,224,255,158,164,255,184,189
174,?? ???17,7,5,1,50,20,60,15,32,98,35,20,199,8,80,228,72,131,211,101,143,255,242,101,184,251,247
175,?? ???18,7,5,1,50,20,60,15,32,98,35,20,199,8,80,228,72,131,211,101,143,255,242,101,184,251,247
176,?? ???19,7,5,1,50,20,0,93,135,0,120,174,57,153,178,122,191,184,165,215,187,192,231,189,205,238,191
177,?? ???20,7,5,1,50,20,234,255,0,222,255,0,180,248,5,130,229,10,102,216,13,32,183,20,0,168,23
178,?? ???21,7,5,1,50,20,244,169,50,245,179,78,249,200,142,251,214,181,255,255,150,255,255,35,255,255,0
179,????? ?? ??,1,5,1,50,50,255,76,249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,????? ?? ?? +1,2,5,1,50,45,255,76,249,255,246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
181,????? ?? ?? +2,3,5,1,50,40,255,76,249,255,246,0,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0
182,????? ?? ?? +3,4,5,1,50,35,255,76,249,255,246,0,255,255,255,113,255,255,0,0,0,0,0,0,0,0,0
183,????? ?? ?? +4,5,5,1,50,30,255,76,249,255,246,0,255,255,255,113,255,255,255,76,249,0,0,0,0,0,0
184,????? ?? ?? +5,6,5,1,50,25,255,76,249,255,246,0,255,255,255,113,255,255,255,76,249,255,246,0,0,0,0
185,????? ?? ?? +6,7,5,1,50,20,255,76,249,255,246,0,255,255,255,113,255,255,255,76,249,255,246,0,255,255,255
186,???? ?? ??,1,5,1,50,50,60,15,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
187,???? ?? ?? +1,2,5,1,50,45,60,15,32,98,35,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
188,???? ?? ?? +2,3,5,1,50,40,60,15,32,98,35,20,199,8,80,0,0,0,0,0,0,0,0,0,0,0,0
189,???? ?? ?? +3,4,5,1,50,35,60,15,32,98,35,20,199,8,80,228,72,131,0,0,0,0,0,0,0,0,0
190,???? ?? ?? +4,5,5,1,50,30,60,15,32,98,35,20,199,8,80,228,72,131,211,101,143,0,0,0,0,0,0
191,???? ?? ?? +5,6,5,1,50,25,60,15,32,98,35,20,199,8,80,228,72,131,211,101,143,255,242,101,0,0,0
192,???? ?? ?? +6,7,5,1,50,20,60,15,32,98,35,20,199,8,80,228,72,131,211,101,143,255,242,101,184,251,247
193,??? ?? ??,1,5,1,50,50,0,255,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
194,??? ?? ?? +1,2,5,1,50,45,0,255,210,0,255,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
195,??? ?? ?? +2,3,5,1,50,40,0,255,210,0,255,210,0,255,210,0,0,0,0,0,0,0,0,0,0,0,0
196,??? ?? ?? +3,4,5,1,50,35,0,255,210,0,255,210,0,255,210,255,255,0,0,0,0,0,0,0,0,0,0
197,??? ?? ?? +4,5,5,1,50,30,0,255,210,0,255,210,0,255,210,255,255,0,255,255,0,0,0,0,0,0,0
198,??? ?? ?? +5,6,5,1,50,25,0,255,210,0,255,210,0,255,210,255,255,0,255,255,0,255,0,0,0,0,0
199,??? ?? ?? +6,7,5,1,50,20,0,255,210,0,255,210,0,255,210,255,255,0,255,255,0,255,0,0,255,0,0
200,???? ?? ??,1,5,1,50,50,101,19,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201,???? ?? ?? +1,2,5,1,50,45,101,19,59,248,136,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202,???? ?? ?? +2,3,5,1,50,40,101,19,59,248,136,32,158,25,71,0,0,0,0,0,0,0,0,0,0,0,0
203,???? ?? ?? +3,4,5,1,50,35,101,19,59,248,136,32,158,25,71,44,179,253,0,0,0,0,0,0,0,0,0
204,???? ?? ?? +4,5,5,1,50,30,101,19,59,248,136,32,158,25,71,44,179,253,101,19,59,0,0,0,0,0,0
205,???? ?? ?? +5,6,5,1,50,25,101,19,59,248,136,32,158,25,71,44,179,253,101,19,59,248,136,32,0,0,0
206,???? ?? ?? +6,7,5,1,50,20,101,19,59,248,136,32,158,25,71,44,179,253,101,19,59,248,136,32,158,25,71
207,???? ?? ??,1,5,1,50,50,0,0,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
208,???? ?? ?? +1,2,5,1,50,45,0,0,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
209,???? ?? ?? +2,3,5,1,50,40,0,0,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210,???? ?? ?? +3,4,5,1,50,35,0,0,255,255,255,255,255,0,0,255,255,255,0,0,0,0,0,0,0,0,0
211,???? ?? ?? +4,5,5,1,50,30,0,0,255,255,255,255,255,0,0,255,255,255,0,0,255,0,0,0,0,0,0
212,???? ?? ?? +5,6,5,1,50,25,0,0,255,255,255,255,255,0,0,255,255,255,0,0,255,255,255,255,0,0,0
213,???? ?? ?? +6,7,5,1,50,20,0,0,255,255,255,255,255,0,0,255,255,255,0,0,255,255,255,255,255,0,0
214,????? ?? ??,7,5,1,50,20,165,88,155,183,106,173,201,124,191,219,142,209,237,160,227,255,178,245,255,178,245
215,??? ?? ??,7,5,1,50,20,255,90,90,255,108,108,255,126,126,255,144,144,255,162,162,255,180,180,255,198,198
216,????? ?? ??,7,5,1,50,20,251,119,185,251,140,188,136,110,230,115,125,240,161,228,255,119,88,240,251,119,185
217,Beard ?? ??,7,5,1,50,20,228,228,228,181,241,224,123,241,204,124,171,186,101,128,149,68,74,90,45,48,59
