ID,_Text,_PortalID1,_PortalID2,_PortalID3,_PortalID4,_PortalID5,_PortalID6,_PortalID7,_PortalID8,_PortalID9,_PortalID10,_PortalID11,_PortalID12,_PortalID13,_PortalID14,_PortalID15,_PortalID16,_PortalID17,_PortalID18,_PortalID19,_PortalID20
20108,???? ???? ???,2010212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20109,???? ?? ???,2010213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20602,???? ??,2010214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20603,?? ???? ??,2010214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20604,??? ?? ??,2010215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20605,?? ???? ????,2010216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20606,???? ????,2010202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20607,???? ?? ??,2010217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20608,???  ????,2010218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20609,????? ????,2010219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20610,??? ????,2010203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20611,?? ???? ??(★),2010220,2010221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20615,???? ?? ??(★),2010222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20616,??? ???? ??(★),2010223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20201,?,2010224,2010225,2010250,2010259,2010266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20202,??,2010226,2010227,2010257,2010264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20301,??? 1? ??,2010228,2010229,2010250,2010259,2010267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20302,??? 2? ??,2010217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20304,??? 4? ??,2010208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20305,??? 1? ??,2010228,2010205,2010229,2010250,2010259,2010267,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20306,??? 2? ??,2010217,2010205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20307,??? 3? ??,2010205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20308,??? 4? ??,2010208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20309,??? 1? ??,2010209,2010228,2010229,2010250,2010259,2010267,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20310,??? 2? ??,2010217,2010209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20311,??? 3? ??,2010209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20312,??? 4? ??,2010208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20313,??? ??,2010208,2010217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20401,??,2010247,2010230,2010206,2010207,2010213,2010256,2010265,0,0,0,0,0,0,0,0,0,0,0,0,0
20403,???,2010216,2010231,2010211,2010232,2010233,2010252,2010261,2010269,0,0,0,0,0,0,0,0,0,0,0,0
20404,??,2010234,2010235,2010236,2010251,2010260,2010268,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20405,???,2010237,2010248,2010238,2010253,2010263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20406,???,2010239,2010224,2010240,2010249,2010258,2010266,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20501,??1,2010230,2010241,2010242,2010243,2010254,2010262,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20502,??2,2010231,2010244,2010232,2010233,2010252,2010261,2010269,0,0,0,0,0,0,0,0,0,0,0,0,0
20503,??3,2010247,2010230,2010241,2010242,2010243,2010254,2010262,0,0,0,0,0,0,0,0,0,0,0,0,0
20504,??4,2010231,2010245,2010244,2010232,2010233,2010252,2010261,2010269,0,0,0,0,0,0,0,0,0,0,0,0
20505,??5,2010204,2010205,2010241,2010242,2010243,2010210,2010228,2010239,0,0,0,0,0,0,0,0,0,0,0,0
20506,??6,2010246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10401,?? ???_[Lv. 1 ~ 150],1410101,1410102,1410103,1410104,1410105,1410106,1410107,1410108,1410109,1410110,1410111,1410112,1410113,1410114,1410115,1410116,1410117,1410118,0,0
10402,?? ???_[Lv. 151 ~ 199],1410119,1410120,1410121,1410122,1410123,1410124,1410125,1410126,1410127,1410128,1410129,1410130,1410131,1410132,1410133,1410134,1410135,1410136,1410137,1410138
10403,?? ???_[Lv. 200 ~ 219],1410139,1410140,1410141,1410142,1410187,1410143,1410144,1410145,1410146,1410147,1410148,1410149,1410150,1410151,1410152,1410153,0,0,0,0
10404,?? ???_[Lv. 220 ~ 235],1410154,1410155,1410156,1410157,1410158,1410159,1410160,1410161,1410162,1410163,1410172,1410177,1410164,1410165,1410166,1410167,1410168,1410169,0,0
20009,??? ??,2010252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10405,?? ???_[ULv. 1 ~ 1000],1410170,1410171,1410173,1410174,1410175,1410178,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20203,??? ??,2010255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20617,???? ???? ??(★),2010256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10406,?? ???_[ULv. 1001 ~ 2000],1410179,1410180,1410182,1410181,1410183,1410184,1410185,1410186,0,0,0,0,0,0,0,0,0,0,0,0
20110,??? ???? ???,2010261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20010,??? ??,2010265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20204,??,2010265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20618,??? ???? ??(★),2010269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10407,?? ???_[ULv. 2001 ~ 3000],1410188,1410189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
