ID,_WayPoint_Group,_Name,_Description,_Type,_Rank1_Require1_Type,_Rank1_Require1_ID,_Rank1_Require1_Value1,_Rank1_Require1_Value2,_Rank1_Require2_Type,_Rank1_Require2_ID,_Rank1_Require2_Value1,_Rank1_Require2_Value2,_Rank1_Consumption_Item,_Rank1_Consumption_ItemCount,_Rank2_Require1_Type,_Rank2_Require1_ID,_Rank2_Require1_Value1,_Rank2_Require1_Value2,_Rank2_Require2_Type,_Rank2_Require2_ID,_Rank2_Require2_Value1,_Rank2_Require2_Value2,_Rank2_Consumption_Item,_Rank2_Consumption_ItemCount,_EffectID1,_EffectID2,_Error_Message,_Story,_OnOff,_Icon,_IconIndex
54,11,小章魚神殿B,"位置 : 小章魚神殿7 (2208,1024)\n> 140 等級怪物登場",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73005400,0,需要傳送水晶物品,0,1,10005000,204
114,12,聯合公會都市艾司尼爾,"位置 : 聯合公會艾司尼爾中心 (1050,1263)\n聯合公會的商店街，聯合公會本部所在的中心街道。",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73011200,0,需要傳送水晶物品,0,1,10002001,34
55,12,聯合公會前面,"位置 : 天空海1\n(2368, 768)\n 連接神秘的樹林與聯合公會的原野。",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73005500,0,需要傳送水晶物品,0,1,10002000,131
56,13,艾爾亞諾勒平原 南部,"位置 : 艾爾亞諾勒平原 南部 (1728,784)\n> 110~120等級怪物登場",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73005600,0,需要傳送水晶物品,0,1,10002000,134
57,13,艾爾亞諾勒平原 南部 2,"位置 : 艾爾亞諾勒平原 南部 (1536,624)\n> 120~130等級怪物登場",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73005700,0,需要傳送水晶物品,0,1,10002000,134
58,13,艾爾亞諾勒平原 北部,"位置 : 艾爾亞諾勒平原 北部 (1312,544)\n> 180~190等級怪物登場",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73005800,0,需要傳送水晶物品,0,1,10002000,135
59,13,艾爾亞諾勒平原 西部,"位置 : 艾爾亞諾勒平原 西部 (1792,464)\n> 140~150等級怪物登場",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73005900,0,需要傳送水晶物品,0,1,10002000,136
60,13,艾爾亞諾勒平原 東部,"位置 : 艾爾亞諾勒平原 東部 (1312,400)\n> 140~150等級怪物登場",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73006000,0,需要傳送水晶物品,0,1,10002000,137
61,13,艾爾亞諾勒山嶽地區,"位置 : 艾爾亞諾勒山嶽地區2 (1856, 416)\n> 160等級怪物登場",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73006100,0,需要傳送水晶物品,0,1,10002000,139
62,13,飛空艇墜落地帶,"位置 : 帝國軍的飛空艇墜落的地方 (1408,416)\n> 190等級怪物登場",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73006200,0,需要傳送水晶物品,0,1,10002000,138
63,14,被遺忘的平原,"位置 : 被遺忘了很長一段時間的平原 (544,400)\n> 190等級怪物登場",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73006300,0,需要傳送水晶物品,0,1,10002000,140
65,14,銀光住宅,位置 : 銀光住宅 \n> 可以通往170~180等級的怪物登場的星光平原和 200等級以上boss登場的4人副本及8人限時闖關副本的村莊。,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73006500,0,需要傳送水晶物品,0,1,10002000,148
66,3,山嶽休息所,"位置: 山嶽休息所 (736, 1424)\n>位於原野地帶和山嶽地帶間的休息所",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73006600,0,需要傳送水晶物品,0,1,10002000,26
67,2,地下洞穴,"位置: 地下洞穴 (3072, 2080)\n>10等級中,後半的怪物登場的原野",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73006700,0,需要傳送水晶物品,0,1,10002000,15
69,6,爬呀爬花瓣,"位置: 爬呀爬花瓣 (1632, 1312)\n> 88~91 等級怪物登場",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73006900,0,需要傳送水晶物品,0,1,10002000,37
70,6,克杜卡休息地,"位置: 克杜卡休息地 (352, 640)\n 在克杜卡遺址入口附近的休息地",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73007000,0,需要傳送水晶物品,0,1,10002000,26
71,2,大蘋果之城,"位置: 怪物塔大廳 (300, 479)\n依序打敗1~200級怪物的個人副本",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73007100,0,需要傳送水晶物品,0,1,10002000,91
73,12,天空海,"位置 : 天空海3 (1740, 816)\n 連接艾爾法, 艾爾亞諾勒山嶽地區, 被遺忘的平原等的交通要地。",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73007300,0,需要傳送水晶物品,0,1,10002000,130
74,14,星光平原,"位置 : 星光平原4 (2688, 608)\n> 出現170~200級怪物的利利樂",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73007400,0,需要傳送水晶物品,0,1,10002000,146
75,15,悲鳴海岸,"位置 : 崩壞之塔入口(1344, 848)\n> 出現180~200級的怪物，並配置悲鳴之塔最底層(副本)。",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73007500,0,需要傳送水晶物品,0,1,10002000,154
76,14,日落平原,"位置 : 日落平原 2 (2949, 352)\n> 197~200等級怪物登場",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73007600,0,需要傳送水晶物品,0,1,10002000,156
77,14,漂流都市,"位置 : 漂流都市 3 (1753, 451)\n> 會出現170~200級怪物的地區",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73007700,0,需要傳送水晶物品,0,1,10002000,162
78,15,華納海姆,"位置 : 華納海姆 1 (1857, 1088)\n> 200等級怪物們登場的地區",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73007800,0,需要傳送水晶物品,0,1,10002000,170
79,14,世界樹的幻影,"位置 : 世界樹的幻影 2 (800, 336)\n> 200等級怪物們登場的地區",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73007900,0,需要傳送水晶物品,0,1,10002000,175
82,3,紅高粱地(深淵),"位置 : 紅高粱地(深淵) 1 (2525, 1407)\n> 210等級的怪物登場的地區。",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73008000,0,需要傳送水晶物品,0,1,10002000,207
83,3,龍祭城,"位置 : 龍祭城 4 (450, 559)\n> 210等級的怪物們登場的地區。",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73008100,0,需要傳送水晶物品,0,1,10002000,208
84,8,吉恩蒂亞公園,"位置:吉恩蒂亞公園大廳(1900, 656)\n> 130 ~ 200級別怪物登場地區。",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73008200,0,需要傳送水晶物品,0,1,10002000,180
85,16,臨時營區,"位置:臨時營區(2500, 1408)\n> 200 ~ 220級別怪物登場地區。",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73008300,0,需要傳送水晶物品,0,1,10002000,204
86,11,佈滿青苔的小章魚神殿,"位置:佈滿青苔的小章魚神殿5(1950, 399)\n> 170級別怪物登場地區。",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73008400,0,需要傳送水晶物品,0,1,10002000,217
87,17,特洛里,"位置 : 特洛里(1500, 1455)\n>德魯伊居住的村莊",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73008500,0,需要傳送水晶物品,0,1,10002000,213
88,12,歐若拉森林,"位置 : 歐若拉森林 1 (2180, 447)\n> 花中女王歐若拉森林",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73008600,0,需要傳送水晶物品,0,1,10002000,218
89,18,立佩拉,"位置 : 自由貿易都市立佩拉 (2000, 1295)\n> 普雷伊奧斯最大的自由貿易之都",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73008700,0,需要傳送水晶物品,0,1,10002000,221
90,18,梅林島,"位置 : 梅林島 2 (2050, 479)\n> 怪物的遊樂園",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73008800,0,需要傳送水晶物品,0,1,10002000,224
91,13,惡魔之山,"位置 : 惡魔之山 4 (2730, 351)\n> 凱魯斯軍團的隱身處\n> 210 ~ 220級怪物們出現的地區",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73008900,0,需要傳送水晶物品,0,1,10002000,226
92,19,收復軍臨時營地,"位置：收復軍臨時營地 (1100, 1455)\n> 賽蕾斯神殿收復軍臨時營地\n> 220 ~ 230級別怪物登場的地區。",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73009000,0,需要傳送水晶物品,0,1,10002000,228
93,19,賽蕾斯的神殿內部,"位置：賽蕾斯的神殿內部 (1535, 351)\n> 因魔族而被破壞的賽蕾斯神殿內部\n> 225 ~ 229級別怪物登場的地區。",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73009100,0,需要傳送水晶物品,0,1,10002000,230
94,18,亞奇城,"位置 : 亞奇城 3 (1440, 319)\n> 小矮人的王國\n> 230 ~ 235等怪物登場的地區。",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73009200,0,需要傳送水晶物品,0,1,10002000,235
95,20,東部國境地帶,"位置：猶忒王國東部國境地帶 (1100, 1455)\n> 為了阻止墨斯王國軍侵略的國境地帶 \n> 230 ~ 235等級的怪物會出現的地區。",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73009300,0,需要傳送水晶物品,0,1,10002000,237
96,20,猶忒王國首都,"位置：猶忒王國首都 3(1500, 383)\n> 因墨斯王國軍而破壞的猶忒王國首都 \n> 230 ~ 235等級的怪物會出現的地區。",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73009400,0,需要傳送水晶物品,0,1,10002000,236
97,18,黃金海岸,"位置 : 黃金海岸 4(2013, 975)\n> 成為梅林島東部外圍地區的廢墟之遺址 \n> 220 ~ 225等級的怪物出現的地區。",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73009500,0,需要傳送水晶物品,0,1,10002000,241
98,21,魯曼,"位置 : 魯曼 (2300, 1495)\n> 守護東方大陸正義的希望的都市！\n> 235 ~ 240等級怪物們出現的地區。",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73009600,0,需要傳送水晶物品,0,1,10002000,246
99,21,白煤峽谷,"位置 : 白煤峽谷 3(3045, 687)\n> 生成白色礦物的奇怪地方\n> 235 ~ 240等級怪物們出現的地區。",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73009700,0,需要傳送水晶物品,0,1,10002000,248
100,2,春植島,"位置 : 春植島大廳 (800, 815)\n> 彩虹島世界最棒的主題樂園\n> 170~235等級怪物們出現的地區。",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73009800,0,需要傳送水晶物品,0,1,10002000,44
101,2,玩偶小徑,"位置 : 玩偶小徑 3(2975, 287)\n> 235 ~ 240等級怪物們出現的地區。",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73009900,0,需要傳送水晶物品,0,1,10002000,252
102,21,修練森林,"位置：修練森林 5(2081, 591)\n> 250等級的怪物會出現的地區。",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73010000,0,需要傳送水晶物品,0,1,10002001,2
103,7,珊瑚之城,"位置 : 珊瑚之城 3(1600, 751)\n> Lv250的怪物們會出現的地區。",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73010100,0,需要傳送水晶物品,0,1,10002001,3
41,7,天門,"位置: 天門 (736,1040)\n 金蘭雲系\n>110等級怪物登場",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73004100,0,需要傳送水晶物品,0,1,10002000,110
104,21,記憶的貝羅斯,"位置 : 記憶的貝羅斯 (1218, 1455)\n> 愛麗絲記憶中幼時的貝羅斯",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73010200,0,需要傳送水晶物品,0,1,10002001,7
105,21,燃燒的都市,"位置 : 燃燒的都市 4(997, 463)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73010300,0,需要傳送水晶物品,0,1,10002001,8
106,20,亞瑪倫沙漠,"位置 : 亞瑪倫沙漠3 (2366,1263)\n>雖然曾經貧瘠，卻因異常現象而變美麗的神秘沙漠。",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73010400,0,需要傳送水晶物品,0,1,10002001,10
107,22,地下都市塔爾達洛斯,"位置 : 地下都市塔爾達洛斯 (1093, 895)\n因冥王煞尼克的執著而被建造的都市。",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73010500,0,需要傳送水晶物品,0,1,10002001,13
108,22,地下都市工地,"位置 : 地下都市工地 2 (1660, 590)\n正在進行擴張塔爾達洛斯的工地。",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73010600,0,需要傳送水晶物品,0,1,10002001,14
109,16,怪物樹山林,"位置 : 怪物樹山林 2 (955,623)\n人跡罕至的不祥之山。",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73010700,0,需要傳送水晶物品,0,1,10002001,18
110,23,恪爾立,"位置 : 恪爾立 (1284, 1367)\n只有特別的存在可以找到的村莊。",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73010800,0,需要傳送水晶物品,0,1,10002001,24
111,23,亞德利卡,"位置 : 亞德利卡 2 (155,1135)\n女神蓋亞拜託龍王阿德奇納收復的地區。",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73010900,0,需要傳送水晶物品,0,1,10002001,25
112,12,傑芮尼斯山丘,"位置 : 傑芮尼斯山丘 4 (1611,367)\n保留著大法師傑芮尼斯名字的山丘，有名的魔法學院座落於此。",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73011000,0,需要傳送水晶物品,0,1,10002001,28
113,24,墨羅斯,"位置 : 墨羅斯 4 (1980,874)\n: 墨斯王國最後的領土，蘊含著過去與現在痛苦的戰場。",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73011100,0,需要傳送水晶物品,0,1,10002001,32
115,24,吉斯克領地,"位置 : 吉斯克領地 5 (2587, 767)\n: 曾經繁榮一時，卻因遭受戴伊墨斯教團的襲擊而成為廢墟的領地。",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73011300,0,需要傳送水晶物品,0,1,10002001,38
116,25,瑪爾斯,"位置 : 瑪爾斯 (1789, 1375)\n: 建立在貧瘠的土地上，相對地不受戴伊墨斯教團干擾的小城市。",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73011500,0,需要傳送水晶物品,0,1,10002001,40
117,25,福波斯,"位置 : 福波斯 2 (1574, 511)\n: 因貪婪之人而荒廢的土地，有各種惡魔出沒。",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73011600,0,需要傳送水晶物品,0,1,10002001,43
118,14,艾多斯關口,"位置 : 聖域艾多斯關口 (2180, 1359)\n: 聖域艾多斯的入口，只有獲得出入許可之人可以通過。",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73011700,0,需要傳送水晶物品,0,1,10002001,50
119,14,聖域艾多斯,"位置 : 聖域艾多斯 3 (5375, 527)\n: 聖騎士的故鄉和神之手停留的神聖之地",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73011800,0,需要傳送水晶物品,0,1,10002001,50
120,26,雪之都格爾答,"位置:格爾答(4570, 1375)\n:在底波拉雪原中心長久以來遵循傳統的雪都",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73011900,0,需要傳送水晶物品,0,1,10002001,63
