ID,_CategoryView,_CategoryIndex,_CategoryIndex2,_CategoryIndex3,_PositionIndex,_EventPage,_Name,_Description,_IconFile,_IconIndex,_Gender,_PriceType,_CashPrice,_SalePrice,_EventIcon,_ItemID1,_ItemRare1,_ItemCount1,_PriceRate1,_ItemID2,_ItemRare2,_ItemCount2,_PriceRate2,_ItemID3,_ItemRare3,_ItemCount3,_PriceRate3,_ItemID4,_ItemRare4,_ItemCount4,_PriceRate4,_ItemID5,_ItemRare5,_ItemCount5,_PriceRate5,_ItemID6,_ItemRare6,_ItemCount6,_PriceRate6,_ItemID7,_ItemRare7,_ItemCount7,_PriceRate7,_ItemID8,_ItemRare8,_ItemCount8,_PriceRate8,_MotionID,_ClassID,_Require1_Type,_Require1_ID,_Require1_Value1,_Require1_Value2,_Require2_Type,_Require2_ID,_Require2_Value1,_Require2_Value2,_Require3_Type,_Require3_ID,_Require3_Value1,_Require3_Value2,_Buy_Disable,_Give_Disable,_Limited_Time_Type
200553,1,6,14,0,7,1,Я螃棲 撮お,\nＣ 賅塢粒籀歲 �香褘� 曖鼻撮お\nＣ 陝 Я蝶: 賅萇 棟溘纂 +1%\nＣ ヴ撮お �膩�1: 唳я纂 +20%\nＣ ヴ撮お �膩�2: 羹溘 +5%\nＣ 餌辨晦除: 30橾\nＣ幗棚憮幗 か滌 っ衙,10001209,191,0,0,11800,0,4,90555201,1,1,1,20255201,1,1,1,30455201,1,1,1,10255201,1,1,1,70255201,1,1,1,40155201,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
200556,1,6,14,0,8,1,薨溯喻蝶 撮お,\nＣ 艙�母� 橈朝 濠菟曖 曖鼻 撮お.\nＣ ヴ撮お �膩�1: 唳я纂 +20%\nＣ ヴ撮お �膩�2: 螢蝶囌 +3%\nＣ 餌辨晦除: 30橾\nＣ幗棚憮幗 か滌 っ衙,10001209,242,0,0,10200,0,4,90555202,1,1,1,20255202,1,1,1,30155202,1,1,1,70255202,1,1,1,40155202,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
320121,1,3,9,0,405,1,唳я纂曖 綠擒(1~50Lv.),,10001302,140,0,0,300,0,0,170198101,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
320241,1,3,9,0,406,1,唳я纂曖 綠擒(51~80Lv.),,10001302,140,0,0,500,0,0,170198102,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
320317,1,3,9,0,407,1,唳я纂曖 綠擒(81~125Lv.),,10001302,140,0,0,700,0,0,170191101,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
320119,1,6,18,0,9,1,塵葬⑽ 衛毀撮お,Ｃ[2衛除] 衛毀 5謙撮お \nＣ 撩熱嫌 翕衛 餌辨 碳陛\nＣ剪楚 陛棟 \nＣ憧 檣漸饜葬 盪濰 陛棟\nＣ璽堅 盪濰 陛棟,10001305,230,0,0,1500,0,4,170198441,1,1,1,170198442,1,1,1,170198443,1,1,1,170198445,1,1,1,170198447,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
320120,1,6,18,0,10,1,葆徹⑽ 衛毀撮お,Ｃ[2衛除] 衛毀 5謙撮お \nＣ 撩熱嫌 翕衛 餌辨 碳陛\nＣ剪楚 陛棟 \nＣ憧 檣漸饜葬 盪濰 陛棟\nＣ璽堅 盪濰 陛棟,10001305,231,0,0,1500,0,4,170198441,1,1,1,170198442,1,1,1,170198444,1,1,1,170198446,1,1,1,170198448,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
320086,1,3,9,0,699934,1,≠ 渠⑽ 羹葬 んお x 99,羹葬蛻曖 殖巍и 擒 \n Ｃ HP曖 90% �蛹鈾nＣ剪楚 陛棟 \nＣ憧 檣漸饜葬 盪濰 陛棟\nＣ璽堅 盪濰 陛棟,10001303,93,0,0,1500,0,0,170170353,1,99,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
320092,1,3,9,0,699935,1,≠ 渠⑽ 模棻 んお x 99,模棻蛻曖 濠斛瞳檣 擒 \n Ｃ SP曖90% �蛹鈾nＣ剪楚 陛棟 \nＣ憧 檣漸饜葬 盪濰 陛棟\nＣ璽堅 盪濰 陛棟,10001303,96,0,0,1500,0,0,170170453,1,99,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
320101,1,3,9,0,699936,1,≠ 渠⑽ ん紫 んお x 99,ん紫蛻曖 億巍и 擒 \n Ｃ HP諦 SP曖90% �蛹鈾nＣ剪楚 陛棟 \nＣ憧 檣漸饜葬 盪濰 陛棟\nＣ璽堅 盪濰 陛棟,10001304,245,0,0,3500,0,0,170170953,1,99,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
320001,1,3,9,0,597648,1,濰綠 檣漸饜葬 陛寞,,10001302,133,0,0,1900,0,0,170160101,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
320002,1,3,9,0,597649,1,模綠 檣漸饜葬 陛寞,,10001302,134,0,0,1900,0,0,170160201,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
320003,1,3,9,0,597650,1,晦顫 檣漸饜葬 陛寞,,10001302,135,0,0,1900,0,0,170160301,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
320004,1,3,9,0,597651,1,檜漸お 檣漸饜葬 陛寞,,10001302,136,0,0,1900,0,0,170160401,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
300120,1,3,9,0,699906,1,睡�偯� 薑熱,,10001307,208,0,0,100,0,0,190150902,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
300121,1,6,18,0,11,1,睡�偯� 薑熱 x 5,,10001307,208,0,0,500,400,2,190150902,1,5,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
300009,1,3,10,0,505,1,瞪僥陛 ④橫蝶顫橾 瓔ア,,10001302,195,0,0,4900,0,2,190160103,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
300012,1,3,10,0,506,1,瞪僥陛 換撩⑽ 瓔ア,,10001302,196,0,0,3800,0,2,190160303,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
200454,1,1,1,5,1100046,1,檣疆お 陛賊,,10001203,105,0,0,3000,0,4,100197201,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
320075,1,3,11,19,12,1,憮幗 葆檜觼,,10001303,255,0,0,700,0,0,170200101,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
