ID,_FxGroup,_Description
110011,381_01_JUMP_UP.FXG,381_?? ??
110012,381_01_JUMP_FALL.FXG,381_?? ??
110013,381_01_JUMP_LAND.FXG,381_?? ??
110014,381_01_SIT_DOWN.FXG,381_?? ??
110015,381_01_SIT_DOWN_WAIT.FXG,381_?? ????
110016,381_01_SIT_STAND_UP.FXG,381_?? ????
110017,381_01_ITEM_GAIN.FXG,381_?? ??? ?? ??
110018,381_01_ITEM_GAIN_STAND_UP.FXG,381_?? ??? ?? ????
110019,381_02_ATTACK_A_01.FXG,381_?? ??? 01
110020,381_02_ATTACK_A_02.FXG,381_?? ??? 02
110021,381_02_ATTACK_A_03.FXG,381_?? ??? 03
110022,381_02_ATTACK_A_04.FXG,381_?? ??? 04
110023,381_02_ATTACK_B_01.FXG,381_?? ??? 01
110024,381_02_ATTACK_B_02.FXG,381_?? ??? 02
110025,381_02_ATTACK_B_03.FXG,381_?? ??? 03
110026,381_02_ATTACK_C_01.FXG,381_?? ???? 01
110027,381_02_ATTACK_JUMP_A.FXG,381_?? ?? ???
110028,381_02_ATTACK_JUMP_B.FXG,381_?? ?? ???
110029,381_03_CRITICAL_DAMAGE.FXG,381_?? ?? ??
110030,381_03_DAMAGE.FXG,381_?? ??
110031,381_03_DOWN.FXG,381_?? ???
110032,381_03_DOWN_STAND.FXG,381_?? ???
110033,381_03_GUARD.FXG,381_?? ??
110034,381_04_DEATH.FXG,381_?? ??
110035,381_04_DEATH_STAND.FXG,381_?? ??
110036,381_03_STUN.FXG,381_?? ??
110037,,
110038,,
110039,,
110040,,
120000,382-01-STAND.FXG,???fxm??
120001,382-01-MOVE.FXG,d
120002,382-01-DASH.FXG,d
120003,382-01-GAIN.FXG,d
120004,382-01-GAINUP.FXG,d
120005,382-01-CABLEMOVE.FXG,d
120006,382-01-CABLESTOP.FXG,d
120007,382-01-JUMP.FXG,d
120008,382-01-FALL.FXG,d
120009,382-01-LAND.FXG,d
120010,382-01-SIT.FXG,d
120011,382-01-SITWAIT.FXG,d
120012,382-01-SITUP.FXG,d
120013,382-01-GUARD.FXG,d
120014,382-01-ROPEUP.FXG,d
120015,382-01-ROPEWAIT.FXG,d
120016,382-01-ROPEDOWN.FXG,d
120017,382-01-LADDERUP.FXG,d
120018,382-01-LADDERWAIT.FXG,d
120019,382-01-LADDERDOWN.FXG,d
120020,382-01-DAMAGE.FXG,d
120021,382-01-CRITICAL.FXG,d
120022,382-01-SKILLROBOT.FXG,d
120023,382-01-DOWN.FXG,d
120024,382-01-DEATH.FXG,d
120025,382-01-DOWNSTAND.FXG,d
120026,,
120027,382-01-DEATHSTAND.FXG,d
120028,382-01-STUN.FXG,d
120029,382-01-LOWATTACK01.FXG,d
120030,382-01-LOWATTACK02.FXG,d
120031,382-01-LOWATTACK03.FXG,d
120032,382-01-LOWATTACK04.FXG,d
120033,382-01-HIGHATTACK01.FXG,d
120034,382-01-HIGHATTACK02.FXG,d
120035,382-01-HIGHATTACK03.FXG,d
120036,382-01-JUMPATTACK01.FXG,d
120037,382-01-JUMPATTACK02.FXG,d
120038,382-01-DASHATTACK.FXG,d
120039,,
120040,,
120041,,
120042,,
120043,,
130000,LV120-150_STAND.FXG,LV120~150?? ??
130001,LV120-150_MOVE.FXG,LV120~150?? ??
130002,LV120-150_RUN.FXG,LV120~150?? ??
130003,LV120-150_CABLE_STOP.FXG,LV120~150?? ??? ??
130004,LV120-150_CABLE_MOVE.FXG,LV120~150?? ??? ??
130005,LV120-150_LADDER_STOP.FXG,LV120~150?? ??? ??
130006,LV120-150_LADDER_MOVE_UP.FXG,LV120~150?? ??? ??
130007,LV120-150_LADDER_MOVE_DOWN.FXG,LV120~150?? ??? ???
130008,LV120-150_ROPE_STOP.FXG,LV120~150?? ??? ??
130009,LV120-150_ROPE_MOVE_UP.FXG,LV120~150?? ??? ??
130010,LV120-150_ROPE_MOVE_DOWN.FXG,LV120~150?? ??? ???
130011,LV120-150_JUMP_UP.FXG,LV120~150?? ??
130012,LV120-150_JUMP_FALL.FXG,LV120~150?? ??
130013,LV120-150_JUMP_LAND.FXG,LV120~150?? ??
130014,LV120-150_SIT_DOWN.FXG,LV120~150?? ??
130015,LV120-150_SIT_DOWN_WAIT.FXG,LV120~150?? ????
130016,LV120-150_STAND_UP.FXG,LV120~150?? ??
130017,LV120-150_ITEM_GAIN.FXG,LV120~150?? ??? ?? ??
130018,LV120-150_ITEM_GAIN_STAND_UP.FXG,LV120~150?? ??? ?? ????
130019,LV120-150_GUARD.FXG,LV120~150?? ??
130020,LV120-150_SKILL.FXG,LV120~150?? ??
130021,LV120-150_DAMAGE.FXG,LV120~150?? ??
130022,LV120-150_CRITICAL_DAMAGE_D.FXG,LV120~150?? ????
130023,LV120-150_DOWN.FXG,LV120~150?? ???
130024,LV120-150_DOWN_STAND.FXG,LV120~150?? ???
130025,LV120-150_DEATH.FXG,LV120~150?? ??
130026,,
130027,LV120-150_STUN.FXG,LV120~150?? ??
130028,LV120-150_DEATH_STAND.FXG,LV120~150?? ??
130029,LV120-150_ATTACK_A_01.FXG,LV120~150?? ??? 01
130030,LV120-150_ATTACK_A_02.FXG,LV120~150?? ??? 02
130031,LV120-150_ATTACK_A_03.FXG,LV120~150?? ??? 03
130032,LV120-150_ATTACK_A_04.FXG,LV120~150?? ??? 04
130033,LV120-150_ATTACK_B_01.FXG,LV120~150?? ??? 01
130034,LV120-150_ATTACK_B_02.FXG,LV120~150?? ??? 02
130035,LV120-150_ATTACK_B_03.FXG,LV120~150?? ??? 03
130036,LV120-150_ATTACK_C_01.FXG,LV120~150?? ???? 01
130037,LV120-150_ATTACK_JUMP_A.FXG,LV120~150?? ?? ???01
130038,LV120-150_ATTACK_JUMP_B.FXG,LV120~150?? ?? ???02
130039,,
140000,384_01_STAND.FXG,
140001,384_01_ITEM_GAIN.FXG,
140002,384_01_ITEM_GAIN_STAND_UP.FXG,
140003,384_01_SIT_DOWN.FXG,
140004,384_01_SIT_DOWN_WAIT.FXG,
140005,384_01_STAND_UP.FXG,
140006,384_01_MOVE.FXG,
140007,384_01_RUN.FXG,
140008,384_01_CABLE_MOVE.FXG,
140009,384_01_CABLE_STOP.FXG,
140010,384_01_LADDER_MOVE_UP.FXG,
140011,384_01_LADDER_STOP.FXG,
140012,384_01_LADDER_MOVE_DOWN.FXG,
140013,384_01_ROPE_MOVE_UP.FXG,
140014,384_01_ROPE_STOP.FXG,
140015,384_01_ROPE_MOVE_DOWN.FXG,
140016,384_01_JUMP_UP.FXG,
140017,384_01_JUMP_FALL.FXG,
140018,384_01_JUMP_LAND.FXG,
140019,,
140020,384_03_STUN.FXG,
140021,384_03_DAMAGE.FXG,
140022,384_03_CRITICAL_DAMAGE.FXG,
140023,384_03_GUARD.FXG,
140024,384_03_DOWN.FXG,
140025,384_03_DOWN_STAND.FXG,
140026,384_04_DEATH.FXG,
140027,384_04_DEATH_STAND.FXG,
140028,384_02_ATTACK_A_01.FXG,
140029,384_02_ATTACK_A_02.FXG,
140030,384_02_ATTACK_A_03.FXG,
140031,384_02_ATTACK_A_04.FXG,
140032,384_02_ATTACK_JUMP_A.FXG,
140033,384_02_ATTACK_JUMP_B.FXG,
140034,384_02_ATTACK_C_01.FXG,
140035,384_02_ATTACK_B_01.FXG,
140036,384_02_ATTACK_B_02.FXG,
140037,384_02_ATTACK_B_03.FXG,
140038,384_02_ATTACK_B_04.FXG,
140039,384_02_ATTACK_B_05.FXG,
140040,384_02_ATTACK_B_06.FXG,
140041,,
140042,,
140043,,
140044,,
140045,,
140046,,
140047,,
140048,,
140049,,
140050,,
140051,,
140052,,
140053,,
140054,,
140055,,
140056,,
140057,,
140058,,
140059,,
150001,[Robot]_Saja_STAND.FXG,[Robot] ????_??
150002,[Robot]_Saja_MOVE.FXG,[Robot] ????_??
150003,[Robot]_Saja_RUN.FXG,[Robot] ????_???
150004,[Robot]_Saja_JUMP_UP.FXG,[Robot] ????_?? ??
150005,[Robot]_Saja_JUMP_DOWN.FXG,[Robot] ????_?? ??
150006,[Robot]_Saja_CABLE_MOVE.FXG,[Robot] ????_????
150007,[Robot]_Saja_CABLE_STAND.FXG,[Robot] ????_??????
150008,[Robot]_Saja_ROPE_UP.FXG,[Robot] ????_?????
150009,[Robot]_Saja_ROPE_DOWN.FXG,[Robot] ????_??????
150010,[Robot]_Saja_ROPE_STAND.FXG,[Robot] ????_??????
150011,[Robot]_Saja_GUARD.FXG,[Robot] ????_??
150012,[Robot]_Saja_ITEM_STAND.FXG,[Robot] ????_?????
150013,[Robot]_Saja_ITEM_UP.FXG,[Robot] ????_??????
150014,[Robot]_Saja_SIT_DOWN.FXG,[Robot] ????_????
150015,[Robot]_Saja_SIT_DOWN_STAND.FXG,[Robot] ????_????
150016,[Robot]_Saja_STAND_UP.FXG,[Robot] ????_?????
150017,[Robot]_Saja_JUMP_LAND.FXG,[Robot] ????_?? ??
150018,[Robot]_Saja_BEATTACK.FXG,[Robot] ????_??
150019,[Robot]_Saja_CRITICAL.FXG,[Robot] ????_????
150020,[Robot]_Saja_DOWN.FXG,[Robot] ????_?????
150021,[Robot]_Saja_DEATH.FXG,[Robot] ????_??
150022,[Robot]_Saja_DOWN_UP.FXG,[Robot] ????_?????
150023,,
150024,[Robot]_Saja_STUN.FXG,[Robot] ????_??
150025,[Robot]_Saja_NORMAL_ATTACK01.FXG,[Robot] ????_???1
150026,[Robot]_Saja_NORMAL_ATTACK02.FXG,[Robot] ????_???2
150027,[Robot]_Saja_NORMAL_ATTACK03.FXG,[Robot] ????_???3
150028,[Robot]_Saja_NORMAL_ATTACK04.FXG,[Robot] ????_???4
150029,[Robot]_Saja_HEAVY_ATTACK01.FXG,[Robot] ????_???1
150030,[Robot]_Saja_HEAVY_ATTACK02.FXG,[Robot] ????_???2
150031,[Robot]_Saja_HEAVY_ATTACK03.FXG,[Robot] ????_???3
150032,[Robot]_Saja_CHARGE_ATTACK01.FXG,[Robot] ????_????1
150033,[Robot]_Saja_CHARGE_ATTACK02.FXG,[Robot] ????_????2
150034,[Robot]_Saja_CHARGE_ATTACK03.FXG,[Robot] ????_????3
150035,[Robot]_Saja_JUMP_ATTACK01.FXG,[Robot] ????_????1
150036,[Robot]_Saja_JUMP_ATTACK02.FXG,[Robot] ????_????2
150037,[Robot]_Saja_DASH_ATTACK.FXG,[Robot] ????_????
150038,,
150039,481_01_RUN.FXG,2? ?? ??? ???
150040,482_01_RUN.FXG,2? ?? ??? ???
150041,483_01_RUN.FXG,2? ?? ??? ???
150042,484_01_RUN.FXG,2? ?? ??? ???
150043,485_01_RUN.FXG,2? ?? ??? ???
150044,486_01_RUN.FXG,2? ?? ??? ???
150045,487_01_RUN.FXG,2? ?? ??? ???
150046,488_01_RUN.FXG,3? ?? ??? ???
150047,,
150048,,
150049,,
150050,,
150051,,
150052,,
150053,,
150054,,
160000,386_01_STAND.FXG,LV 170 ??
160001,386_01_ITEM_GAIN.FXG,LV 170 ??
160002,386_01_ITEM_GAIN_STAND_UP.FXG,LV 170 ??
160003,386_01_SIT_DOWN.FXG,LV 170 ??
160004,386_01_SIT_DOWN_WAIT.FXG,LV 170 ??
160005,386_01_STAND_UP.FXG,LV 170 ??
160006,386_01_MOVE.FXG,LV 170 ??
160007,386_01_RUN.FXG,LV 170 ??
160008,386_01_CABLE_MOVE.FXG,LV 170 ??
160009,386_01_CABLE_STOP.FXG,LV 170 ??
160010,386_01_LADDER_MOVE_UP.FXG,LV 170 ??
160011,386_01_LADDER_STOP.FXG,LV 170 ??
160012,386_01_LADDER_MOVE_DOWN.FXG,LV 170 ??
160013,386_01_ROPE_MOVE_UP.FXG,LV 170 ??
160014,386_01_ROPE_STOP.FXG,LV 170 ??
160015,386_01_ROPE_MOVE_DOWN.FXG,LV 170 ??
160016,386_01_JUMP_UP.FXG,LV 170 ??
160017,386_01_JUMP_FALL.FXG,LV 170 ??
160018,386_01_JUMP_LAND.FXG,LV 170 ??
160019,,
160020,386_03_STUN.FXG,LV 170 ??
160021,386_03_DAMAGE.FXG,LV 170 ??
160022,386_03_CRITICAL_DAMAGE.FXG,LV 170 ??
160023,386_03_GUARD.FXG,LV 170 ??
160024,386_03_DOWN.FXG,LV 170 ??
160025,386_03_DOWN_STAND.FXG,LV 170 ??
160026,386_04_DEATH.FXG,LV 170 ??
160027,386_04_DEATH_STAND.FXG,LV 170 ??
160028,386_02_ATTACK_A_01.FXG,LV 170 ??
160029,386_02_ATTACK_A_02.FXG,LV 170 ??
160030,386_02_ATTACK_A_03.FXG,LV 170 ??
160031,386_02_ATTACK_A_04.FXG,LV 170 ??
160032,386_02_ATTACK_B_00.FXG,LV 170 ??
160033,386_02_ATTACK_B_01.FXG,LV 170 ??
160034,386_02_ATTACK_B_02.FXG,LV 170 ??
160035,386_02_ATTACK_B_03.FXG,LV 170 ??
160036,386_02_ATTACK_B_04.FXG,LV 170 ??
160037,386_02_ATTACK_B_05.FXG,LV 170 ??
160038,386_02_ATTACK_C_01.FXG,LV 170 ??
160039,386_02_ATTACK_JUMP_A.FXG,LV 170 ??
170001,[Robot]_Colosaja_STAND.FXG,[Robot] ????_????_??
170002,[Robot]_Colosaja_MOVE.FXG,[Robot] ????_????_??
170003,[Robot]_Colosaja_RUN.FXG,[Robot] ????_????_???
170004,[Robot]_Colosaja_JUMP_UP.FXG,[Robot] ????_????_?? ??
170005,[Robot]_Colosaja_JUMP_DOWN.FXG,[Robot] ????_????_?? ??
170006,[Robot]_Colosaja_CABLE_MOVE.FXG,[Robot] ????_????_????
170007,[Robot]_Colosaja_CABLE_STAND.FXG,[Robot] ????_????_??????
170008,[Robot]_Colosaja_ROPE_UP.FXG,[Robot] ????_????_?????
170009,[Robot]_Colosaja_ROPE_DOWN.FXG,[Robot] ????_????_??????
170010,[Robot]_Colosaja_ROPE_STAND.FXG,[Robot] ????_????_??????
170011,[Robot]_Colosaja_GUARD.FXG,[Robot] ????_????_??
170012,[Robot]_Colosaja_ITEM_STAND.FXG,[Robot] ????_????_?????
170013,[Robot]_Colosaja_ITEM_UP.FXG,[Robot] ????_????_??????
170014,[Robot]_Colosaja_SIT_DOWN.FXG,[Robot] ????_????_????
170015,[Robot]_Colosaja_SIT_DOWN_STAND.FXG,[Robot] ????_????_????
170016,[Robot]_Colosaja_STAND_UP.FXG,[Robot] ????_????_?????
170017,[Robot]_Colosaja_JUMP_LAND.FXG,[Robot] ????_????_?? ??
170018,[Robot]_Colosaja_BEATTACK.FXG,[Robot] ????_????_??
170019,[Robot]_Colosaja_CRITICAL.FXG,[Robot] ????_????_????
170020,[Robot]_Colosaja_DOWN.FXG,[Robot] ????_????_?????
170021,[Robot]_Colosaja_DEATH.FXG,[Robot] ????_????_??
170022,[Robot]_Colosaja_DOWN_UP.FXG,[Robot] ????_????_?????
170023,,
170024,[Robot]_Colosaja_STUN.FXG,[Robot] ????_????_??
170025,[Robot]_Colosaja_NORMAL_ATTACK01.FXG,[Robot] ????_????_???1
170026,[Robot]_Colosaja_NORMAL_ATTACK02.FXG,[Robot] ????_????_???2
170027,[Robot]_Colosaja_NORMAL_ATTACK03.FXG,[Robot] ????_????_???3
170028,[Robot]_Colosaja_NORMAL_ATTACK04.FXG,[Robot] ????_????_???4
170029,[Robot]_Colosaja_HEAVY_ATTACK01.FXG,[Robot] ????_????_???1
170030,[Robot]_Colosaja_HEAVY_ATTACK02.FXG,[Robot] ????_????_???2
170031,[Robot]_Colosaja_HEAVY_ATTACK03.FXG,[Robot] ????_????_???3
170032,[Robot]_Colosaja_CHARGE_ATTACK01.FXG,[Robot] ????_????_????1
170033,[Robot]_Colosaja_CHARGE_ATTACK02.FXG,[Robot] ????_????_????2
170034,[Robot]_Colosaja_CHARGE_ATTACK03.FXG,[Robot] ????_????_????3
170035,[Robot]_Colosaja_JUMP_ATTACK01.FXG,[Robot] ????_????_????1
170036,[Robot]_Colosaja_JUMP_ATTACK02.FXG,[Robot] ????_????_????2
170037,[Robot]_Colosaja_DASH_ATTACK.FXG,[Robot] ????_????_????
170038,,
170039,,
170040,,
170041,,
170042,,
170043,,
170044,,
170045,,
170046,,
170047,,
170048,,
170049,,
180000,388_01_STAND.FXG,LV 190 ??
180001,388_01_ITEM_GAIN.FXG,LV 190 ??
180002,388_01_ITEM_GAIN_STAND_UP.FXG,LV 190 ??
180003,388_01_SIT_DOWN.FXG,LV 190 ??
180004,388_01_SIT_DOWN_WAIT.FXG,LV 190 ??
180005,388_01_STAND_UP.FXG,LV 190 ??
180006,388_01_MOVE.FXG,LV 190 ??
180007,388_01_RUN.FXG,LV 190 ??
180008,388_01_CABLE_MOVE.FXG,LV 190 ??
180009,388_01_CABLE_STOP.FXG,LV 190 ??
180010,388_01_LADDER_MOVE_UP.FXG,LV 190 ??
180011,388_01_LADDER_STOP.FXG,LV 190 ??
180012,388_01_LADDER_MOVE_DOWN.FXG,LV 190 ??
180013,388_01_ROPE_MOVE_UP.FXG,LV 190 ??
180014,388_01_ROPE_STOP.FXG,LV 190 ??
180015,388_01_ROPE_MOVE_DOWN.FXG,LV 190 ??
180016,388_01_JUMP_UP.FXG,LV 190 ??
180017,388_01_JUMP_FALL.FXG,LV 190 ??
180018,388_01_JUMP_LAND.FXG,LV 190 ??
180019,,
180020,388_03_STUN.FXG,LV 190 ??
180021,388_03_DAMAGE.FXG,LV 190 ??
180022,388_03_CRITICAL_DAMAGE.FXG,LV 190 ??
180023,388_03_GUARD.FXG,LV 190 ??
180024,388_03_DOWN.FXG,LV 190 ??
180025,388_03_DOWN_STAND.FXG,LV 190 ??
180026,388_04_DEATH.FXG,LV 190 ??
180027,388_04_DEATH_STAND.FXG,LV 190 ??
180028,388_02_ATTACK_A_01.FXG,LV 190 ??
180029,388_02_ATTACK_A_02.FXG,LV 190 ??
180030,388_02_ATTACK_A_03.FXG,LV 190 ??
180031,388_02_ATTACK_A_04.FXG,LV 190 ??
180032,388_02_ATTACK_B_00.FXG,LV 190 ??
180033,388_02_ATTACK_B_01.FXG,LV 190 ??
180034,388_02_ATTACK_B_02.FXG,LV 190 ??
180035,388_02_ATTACK_B_03.FXG,LV 190 ??
180036,388_02_ATTACK_B_04.FXG,LV 190 ??
180037,388_02_ATTACK_B_05.FXG,LV 190 ??
180038,388_02_ATTACK_C_01.FXG,LV 190 ??
180039,388_02_ATTACK_JUMP_A.FXG,LV 190 ??
180040,388_02_ATTACK_B_06.FXG,LV 190 ??
180041,388_02_ATTACK_B_07.FXG,LV 190 ??
180042,,
180043,,
180044,,
180045,,
180046,389_01_CABLE_MOVE.FXG,389_?? ?? ?? ??
180047,389_01_CABLE_STOP.FXG,389_?? ?? ??
180048,389_01_ITEM_GAIN.FXG,389_??? ?? ??
180049,389_01_ITEM_GAIN_STAND_UP.FXG,389_??? ?? ????
180050,389_01_JUMP_FALL.FXG,389_??
180051,389_01_JUMP_LAND.FXG,389_??
180052,389_01_JUMP_UP.FXG,389_??
180053,389_01_LADDER_MOVE_DOWN.FXG,389_??? ???
180054,389_01_LADDER_MOVE_UP.FXG,389_??? ??
180055,389_01_LADDER_STOP.FXG,389_??? ??
180056,389_01_MOVE.FXG,389_??
180057,389_01_ROPE_MOVE_DOWN.FXG,389_??? ???
180058,389_01_ROPE_MOVE_UP.FXG,389_??? ??
180059,389_01_ROPE_STOP.FXG,389_??? ??
180060,389_01_RUN.FXG,389_???
180061,389_01_SIT_DOWN.FXG,389_??
180062,389_01_SIT_DOWN_WAIT.FXG,389_????
180063,389_01_STAND_UP.FXG,389_??
180064,389_01_STAND.FXG,389_??
180065,389_02_ATTACK_A_01.FXG,389_??? 01
180066,389_02_ATTACK_A_02.FXG,389_??? 02
180067,389_02_ATTACK_A_04.FXG,389_??? 04
180068,389_02_ATTACK_B_01.FXG,389_??? 01
180069,389_02_ATTACK_B_02.FXG,389_??? 02
180070,389_02_ATTACK_B_03.FXG,389_??? 03
180071,389_02_ATTACK_B_04.FXG,389_??? 04
180072,389_02_ATTACK_A_03.FXG,389_??? 03
180073,389_02_ATTACK_C_01.FXG,389_???? 01
180074,389_02_ATTACK_JUMP_A.FXG,389_?? ???
180075,389_02_ATTACK_JUMP_B.FXG,389_?? ???
180076,389_03_CRITICAL_DAMAGE.FXG,389_????
180077,389_03_DAMAGE.FXG,389_??
180078,389_03_DOWN.FXG,389_???
180079,389_03_DOWN_STAND.FXG,389_???
180080,389_03_GUARD.FXG,389_??
180081,389_03_STUN.FXG,389_??
180082,389_04_DEATH.FXG,389_??
180083,389_04_DEATH_STAND.FXG,389_??
180084,,
180085,,
180086,,
180087,489_01_RUN.FXG,2? ?? ??? ???
180088,680_11_SKILL_04.FXG,[3???] ??? / ???? / back up
180089,680_11_SKILL_01.FXG,[3???] ??? / ?? ? ??? / ????
180090,680_11_SKILL_02.FXG,[3???] ??? / ?? ? ?? ?? / ????
180091,680_11_SKILL_03.FXG,[3???] ??? / ?? ? ?? / ??? ??
180092,061_01_CABLE_MOVE.FXG,[??] UFO
180093,061_01_CABLE_STOP.FXG,[??] UFO
180094,061_01_JUMP_FALL.FXG,[??] UFO
180095,061_01_JUMP_LAND.FXG,[??] UFO
180096,061_01_JUMP_UP.FXG,[??] UFO
180097,061_01_LADDER_MOVE_DOWN.FXG,[??] UFO
180098,061_01_LADDER_MOVE_STOP.FXG,[??] UFO
180099,061_01_LADDER_MOVE_UP.FXG,[??] UFO
180100,061_01_MOVE.FXG,[??] UFO
180101,061_01_ROPE_DOWN.FXG,[??] UFO
180102,061_01_ROPE_STOP.FXG,[??] UFO
180103,061_01_ROPE_UP.FXG,[??] UFO
180104,061_01_RUN.FXG,[??] UFO
180105,061_01_STAND.FXG,[??] UFO
180106,061_03_CRITICAL_DAMAGE.FXG,[??] UFO
180107,061_03_DAMAGE.FXG,[??] UFO
180108,064_03_DAMAGE.FXG,[??] ???
180109,064_03_CRITICAL_DAMAGE.FXG,[??] ???
180110,064_01_STAND.FXG,[??] ???
180111,,
180112,064_01_RUN.FXG,[??] ???
180113,064_01_ROPE_MOVE_UP.FXG,[??] ???
180114,064_01_ROPE_MOVE_STOP.FXG,[??] ???
180115,064_01_ROPE_MOVE_DOWN.FXG,[??] ???
180116,064_01_MOVE.FXG,[??] ???
180117,064_01_LADDER_MOVE_UP.FXG,[??] ???
180118,064_01_LADDER_MOVE_STOP.FXG,[??] ???
180119,064_01_LADDER_MOVE_DOWN.FXG,[??] ???
180120,064_01_JUMP_UP.FXG,[??] ???
180121,064_01_JUMP_LAND.FXG,[??] ???
180122,064_01_JUMP_FALL.FXG,[??] ???
180123,064_01_CABLE_STOP.FXG,[??] ???
180124,064_01_CABLE_MOVE.FXG,[??] ???
180125,066_01_CABLE_MOVE.FXG,[??] ??
180126,066_01_CABLE_STOP.FXG,[??] ??
180127,066_01_JUMP_FALL.FXG,[??] ??
180128,066_01_JUMP_LAND.FXG,[??] ??
180129,066_01_JUMP_UP.FXG,[??] ??
180130,066_01_LADDER_MOVE_DOWN.FXG,[??] ??
180131,066_01_LADDER_MOVE_STOP.FXG,[??] ??
180132,066_01_LADDER_MOVE_UP.FXG,[??] ??
180133,066_01_MOVE.FXG,[??] ??
180134,066_01_ROPE_MOVE_DOWN.FXG,[??] ??
180135,066_01_ROPE_MOVE_STOP.FXG,[??] ??
180136,066_01_ROPE_MOVE_UP.FXG,[??] ??
180137,066_01_RUN.FXG,[??] ??
180138,066_01_STAND.FXG,[??] ??
180139,066_03_CRITICAL_DAMAGE.FXG,[??] ??
180140,066_03_DAMAGE.FXG,[??] ??
180141,062_01_CABLE_MOVE.FXG,[??] ????
180142,062_01_CABLE_STOP.FXG,[??] ????
180143,062_01_JUMP_FALL.FXG,[??] ????
180144,062_01_JUMP_LAND.FXG,[??] ????
180145,062_01_JUMP_UP.FXG,[??] ????
180146,062_01_LADDER_MOVE_DOWN.FXG,[??] ????
180147,062_01_LADDER_MOVE_STOP.FXG,[??] ????
180148,062_01_LADDER_MOVE_UP.FXG,[??] ????
180149,062_01_MOVE.FXG,[??] ????
180150,062_01_ROPE_MOVE_DOWN.FXG,[??] ????
180151,062_01_ROPE_MOVE_STOP.FXG,[??] ????
180152,062_01_ROPE_MOVE_UP.FXG,[??] ????
180153,062_01_RUN.FXG,[??] ????
180154,062_01_STAND.FXG,[??] ????
180155,062_03_CRITICAL_DAMAGE.FXG,[??] ????
180156,062_03_DAMAGE.FXG,[??] ????
180157,065_01_STAND.FXG,[??] ??? ???
180158,065_01_RUN.FXG,[??] ??? ???
180159,065_01_MOVE.FXG,[??] ??? ??
180160,065_03_DAMAGE.FXG,[??] ??? ???
180161,065_03_CRITICAL_DAMAGE.FXG,[??] ??? ???? ???
180162,065_01_JUMP_UP.FXG,[??] ??? ?? ?
180163,065_01_JUMP_FALL.FXG,[??] ??? ?? ?
180164,065_01_JUMP_LAND.FXG,[??] ??? ?? ??
180165,065_01_CABLE_MOVE.FXG,[??] ??? ??? ??
180166,065_01_CABLE_STOP.FXG,[??] ??? ??? ??
180167,065_01_LADDER_MOVE_UP.FXG,[??] ??? ??? ?
180168,065_01_LADDER_MOVE_STOP.FXG,[??] ??? ??? ??
180169,065_01_LADDER_MOVE_DOWN.FXG,[??] ??? ??? ??
180170,065_01_ROPE_MOVE_UP.FXG,[??] ??? ?? ?
