ID,_Class,_Name,_Image,_Enable_Left,_Enable_Top,_Enable_Right,_Enable_Bottom,_Disable_Left,_Disable_Top,_Disable_Right,_Disable_Bottom,_MouseOver_Left,_MouseOver_Top,_MouseOver_Right,_MouseOver_Bottom,_Click_Left,_Click_Top,_Click_Right,_Click_Bottom,_Select_Left,_Select_Top,_Select_Right,_Select_Bottom,_SubID1,_SubID2,_SubID3,_SubID4,_SubID5,_SubID6,_SubID7,_SubID8
603,6,????,Data/Interface/Concept/UI_Button_016.png,203,1,303,85,203,341,303,425,203,86,303,170,203,171,303,255,203,256,303,340,101,0,0,0,0,0,0,0
604,6,????,Data/Interface/Concept/UI_Button_016.png,304,1,404,85,304,341,404,425,304,86,404,170,304,171,404,255,304,256,404,340,501,502,0,0,0,0,0,0
605,6,???,Data/Interface/Concept/UI_Button_016.png,405,1,505,85,405,341,505,425,405,86,505,170,405,171,505,255,405,256,505,340,470,0,0,0,0,0,0,0
701,7,????,Data/Interface/Concept/UI_Button_016.png,1,1,101,85,1,341,101,425,1,86,101,170,1,171,101,255,1,256,101,340,213,215,407,0,0,0,0,0
702,7,????,Data/Interface/Concept/UI_Button_016.png,102,1,202,85,102,341,202,425,102,86,202,170,102,171,202,255,102,256,202,340,461,450,451,460,0,0,0,0
703,7,????,Data/Interface/Concept/UI_Button_016.png,203,1,303,85,203,341,303,425,203,86,303,170,203,171,303,255,203,256,303,340,101,0,0,0,0,0,0,0
704,7,????,Data/Interface/Concept/UI_Button_016.png,304,1,404,85,304,341,404,425,304,86,404,170,304,171,404,255,304,256,404,340,501,502,0,0,0,0,0,0
705,7,???,Data/Interface/Concept/UI_Button_016.png,405,1,505,85,405,341,505,425,405,86,505,170,405,171,505,255,405,256,505,340,470,0,0,0,0,0,0,0
801,8,????,Data/Interface/Concept/UI_Button_016.png,1,1,101,85,1,341,101,425,1,86,101,170,1,171,101,255,1,256,101,340,222,408,0,0,0,0,0,0
802,8,????,Data/Interface/Concept/UI_Button_016.png,102,1,202,85,102,341,202,425,102,86,202,170,102,171,202,255,102,256,202,340,461,450,451,460,0,0,0,0
803,8,????,Data/Interface/Concept/UI_Button_016.png,203,1,303,85,203,341,303,425,203,86,303,170,203,171,303,255,203,256,303,340,101,0,0,0,0,0,0,0
804,8,????,Data/Interface/Concept/UI_Button_016.png,304,1,404,85,304,341,404,425,304,86,404,170,304,171,404,255,304,256,404,340,501,502,0,0,0,0,0,0
805,8,???,Data/Interface/Concept/UI_Button_016.png,405,1,505,85,405,341,505,425,405,86,505,170,405,171,505,255,405,256,505,340,470,0,0,0,0,0,0,0
901,9,????,Data/Interface/Concept/UI_Button_016.png,1,1,101,85,1,341,101,425,1,86,101,170,1,171,101,255,1,256,101,340,306,409,0,0,0,0,0,0
902,9,????,Data/Interface/Concept/UI_Button_016.png,102,1,202,85,102,341,202,425,102,86,202,170,102,171,202,255,102,256,202,340,461,450,451,460,0,0,0,0
903,9,????,Data/Interface/Concept/UI_Button_016.png,203,1,303,85,203,341,303,425,203,86,303,170,203,171,303,255,203,256,303,340,101,0,0,0,0,0,0,0
904,9,????,Data/Interface/Concept/UI_Button_016.png,304,1,404,85,304,341,404,425,304,86,404,170,304,171,404,255,304,256,404,340,501,502,0,0,0,0,0,0
905,9,???,Data/Interface/Concept/UI_Button_016.png,405,1,505,85,405,341,505,425,405,86,505,170,405,171,505,255,405,256,505,340,470,0,0,0,0,0,0,0
1001,10,????,Data/Interface/Concept/UI_Button_016.png,1,1,101,85,1,341,101,425,1,86,101,170,1,171,101,255,1,256,101,340,219,410,0,0,0,0,0,0
1002,10,????,Data/Interface/Concept/UI_Button_016.png,102,1,202,85,102,341,202,425,102,86,202,170,102,171,202,255,102,256,202,340,461,450,451,460,0,0,0,0
1003,10,????,Data/Interface/Concept/UI_Button_016.png,203,1,303,85,203,341,303,425,203,86,303,170,203,171,303,255,203,256,303,340,101,0,0,0,0,0,0,0
1004,10,????,Data/Interface/Concept/UI_Button_016.png,304,1,404,85,304,341,404,425,304,86,404,170,304,171,404,255,304,256,404,340,501,502,0,0,0,0,0,0
1005,10,???,Data/Interface/Concept/UI_Button_016.png,405,1,505,85,405,341,505,425,405,86,505,170,405,171,505,255,405,256,505,340,470,0,0,0,0,0,0,0
1101,11,????,Data/Interface/Concept/UI_Button_016.png,1,1,101,85,1,341,101,425,1,86,101,170,1,171,101,255,1,256,101,340,223,217,218,411,0,0,0,0
1102,11,????,Data/Interface/Concept/UI_Button_016.png,102,1,202,85,102,341,202,425,102,86,202,170,102,171,202,255,102,256,202,340,461,450,451,460,0,0,0,0
1103,11,????,Data/Interface/Concept/UI_Button_016.png,203,1,303,85,203,341,303,425,203,86,303,170,203,171,303,255,203,256,303,340,101,0,0,0,0,0,0,0
1104,11,????,Data/Interface/Concept/UI_Button_016.png,304,1,404,85,304,341,404,425,304,86,404,170,304,171,404,255,304,256,404,340,501,502,0,0,0,0,0,0
1105,11,???,Data/Interface/Concept/UI_Button_016.png,405,1,505,85,405,341,505,425,405,86,505,170,405,171,505,255,405,256,505,340,470,0,0,0,0,0,0,0
1201,12,????,Data/Interface/Concept/UI_Button_016.png,1,1,101,85,1,341,101,425,1,86,101,170,1,171,101,255,1,256,101,340,220,412,0,0,0,0,0,0
1202,12,????,Data/Interface/Concept/UI_Button_016.png,102,1,202,85,102,341,202,425,102,86,202,170,102,171,202,255,102,256,202,340,461,450,451,460,0,0,0,0
1203,12,????,Data/Interface/Concept/UI_Button_016.png,203,1,303,85,203,341,303,425,203,86,303,170,203,171,303,255,203,256,303,340,101,0,0,0,0,0,0,0
1204,12,????,Data/Interface/Concept/UI_Button_016.png,304,1,404,85,304,341,404,425,304,86,404,170,304,171,404,255,304,256,404,340,501,502,0,0,0,0,0,0
1205,12,???,Data/Interface/Concept/UI_Button_016.png,405,1,505,85,405,341,505,425,405,86,505,170,405,171,505,255,405,256,505,340,470,0,0,0,0,0,0,0
1301,13,????,Data/Interface/Concept/UI_Button_016.png,1,1,101,85,1,341,101,425,1,86,101,170,1,171,101,255,1,256,101,340,224,413,0,0,0,0,0,0
1302,13,????,Data/Interface/Concept/UI_Button_016.png,102,1,202,85,102,341,202,425,102,86,202,170,102,171,202,255,102,256,202,340,461,450,451,460,0,0,0,0
1303,13,????,Data/Interface/Concept/UI_Button_016.png,203,1,303,85,203,341,303,425,203,86,303,170,203,171,303,255,203,256,303,340,101,0,0,0,0,0,0,0
1304,13,????,Data/Interface/Concept/UI_Button_016.png,304,1,404,85,304,341,404,425,304,86,404,170,304,171,404,255,304,256,404,340,501,502,0,0,0,0,0,0
1305,13,???,Data/Interface/Concept/UI_Button_016.png,405,1,505,85,405,341,505,425,405,86,505,170,405,171,505,255,405,256,505,340,470,0,0,0,0,0,0,0
1401,14,????,Data/Interface/Concept/UI_Button_016.png,1,1,101,85,1,341,101,425,1,86,101,170,1,171,101,255,1,256,101,340,225,414,0,0,0,0,0,0
1402,14,????,Data/Interface/Concept/UI_Button_016.png,102,1,202,85,102,341,202,425,102,86,202,170,102,171,202,255,102,256,202,340,461,450,451,460,0,0,0,0
1403,14,????,Data/Interface/Concept/UI_Button_016.png,203,1,303,85,203,341,303,425,203,86,303,170,203,171,303,255,203,256,303,340,101,0,0,0,0,0,0,0
1404,14,????,Data/Interface/Concept/UI_Button_016.png,304,1,404,85,304,341,404,425,304,86,404,170,304,171,404,255,304,256,404,340,501,502,0,0,0,0,0,0
1405,14,???,Data/Interface/Concept/UI_Button_016.png,405,1,505,85,405,341,505,425,405,86,505,170,405,171,505,255,405,256,505,340,470,0,0,0,0,0,0,0
1501,15,????,Data/Interface/Concept/UI_Button_016.png,1,1,101,85,1,341,101,425,1,86,101,170,1,171,101,255,1,256,101,340,1214,1216,1405,0,0,0,0,0
1502,15,????,Data/Interface/Concept/UI_Button_016.png,102,1,202,85,102,341,202,425,102,86,202,170,102,171,202,255,102,256,202,340,461,450,451,460,0,0,0,0
1503,15,????,Data/Interface/Concept/UI_Button_016.png,203,1,303,85,203,341,303,425,203,86,303,170,203,171,303,255,203,256,303,340,101,0,0,0,0,0,0,0
1504,15,????,Data/Interface/Concept/UI_Button_016.png,304,1,404,85,304,341,404,425,304,86,404,170,304,171,404,255,304,256,404,340,501,502,0,0,0,0,0,0
1505,15,???,Data/Interface/Concept/UI_Button_016.png,405,1,505,85,405,341,505,425,405,86,505,170,405,171,505,255,405,256,505,340,470,0,0,0,0,0,0,0
1601,16,????,Data/Interface/Concept/UI_Button_016.png,1,1,101,85,1,341,101,425,1,86,101,170,1,171,101,255,1,256,101,340,1206,1406,0,0,0,0,0,0
1602,16,????,Data/Interface/Concept/UI_Button_016.png,102,1,202,85,102,341,202,425,102,86,202,170,102,171,202,255,102,256,202,340,461,450,451,460,0,0,0,0
1603,16,????,Data/Interface/Concept/UI_Button_016.png,203,1,303,85,203,341,303,425,203,86,303,170,203,171,303,255,203,256,303,340,101,0,0,0,0,0,0,0
1604,16,????,Data/Interface/Concept/UI_Button_016.png,304,1,404,85,304,341,404,425,304,86,404,170,304,171,404,255,304,256,404,340,501,502,0,0,0,0,0,0
1605,16,???,Data/Interface/Concept/UI_Button_016.png,405,1,505,85,405,341,505,425,405,86,505,170,405,171,505,255,405,256,505,340,470,0,0,0,0,0,0,0
1701,17,????,Data/Interface/Concept/UI_Button_016.png,1,1,101,85,1,341,101,425,1,86,101,170,1,171,101,255,1,256,101,340,1213,1215,1407,0,0,0,0,0
1702,17,????,Data/Interface/Concept/UI_Button_016.png,102,1,202,85,102,341,202,425,102,86,202,170,102,171,202,255,102,256,202,340,461,450,451,460,0,0,0,0
1703,17,????,Data/Interface/Concept/UI_Button_016.png,203,1,303,85,203,341,303,425,203,86,303,170,203,171,303,255,203,256,303,340,101,0,0,0,0,0,0,0
1704,17,????,Data/Interface/Concept/UI_Button_016.png,304,1,404,85,304,341,404,425,304,86,404,170,304,171,404,255,304,256,404,340,501,502,0,0,0,0,0,0
1705,17,???,Data/Interface/Concept/UI_Button_016.png,405,1,505,85,405,341,505,425,405,86,505,170,405,171,505,255,405,256,505,340,470,0,0,0,0,0,0,0
1801,18,????,Data/Interface/Concept/UI_Button_016.png,1,1,101,85,1,341,101,425,1,86,101,170,1,171,101,255,1,256,101,340,1222,1408,0,0,0,0,0,0
1802,18,????,Data/Interface/Concept/UI_Button_016.png,102,1,202,85,102,341,202,425,102,86,202,170,102,171,202,255,102,256,202,340,461,450,451,460,0,0,0,0
1803,18,????,Data/Interface/Concept/UI_Button_016.png,203,1,303,85,203,341,303,425,203,86,303,170,203,171,303,255,203,256,303,340,101,0,0,0,0,0,0,0
1804,18,????,Data/Interface/Concept/UI_Button_016.png,304,1,404,85,304,341,404,425,304,86,404,170,304,171,404,255,304,256,404,340,501,502,0,0,0,0,0,0
1805,18,???,Data/Interface/Concept/UI_Button_016.png,405,1,505,85,405,341,505,425,405,86,505,170,405,171,505,255,405,256,505,340,470,0,0,0,0,0,0,0
1901,19,????,Data/Interface/Concept/UI_Button_016.png,1,1,101,85,1,341,101,425,1,86,101,170,1,171,101,255,1,256,101,340,1310,1311,1409,0,0,0,0,0
1902,19,????,Data/Interface/Concept/UI_Button_016.png,102,1,202,85,102,341,202,425,102,86,202,170,102,171,202,255,102,256,202,340,461,450,451,460,0,0,0,0
1903,19,????,Data/Interface/Concept/UI_Button_016.png,203,1,303,85,203,341,303,425,203,86,303,170,203,171,303,255,203,256,303,340,101,0,0,0,0,0,0,0
1904,19,????,Data/Interface/Concept/UI_Button_016.png,304,1,404,85,304,341,404,425,304,86,404,170,304,171,404,255,304,256,404,340,501,502,0,0,0,0,0,0
1905,19,???,Data/Interface/Concept/UI_Button_016.png,405,1,505,85,405,341,505,425,405,86,505,170,405,171,505,255,405,256,505,340,470,0,0,0,0,0,0,0
2001,20,????,Data/Interface/Concept/UI_Button_016.png,1,1,101,85,1,341,101,425,1,86,101,170,1,171,101,255,1,256,101,340,1219,1410,0,0,0,0,0,0
2002,20,????,Data/Interface/Concept/UI_Button_016.png,102,1,202,85,102,341,202,425,102,86,202,170,102,171,202,255,102,256,202,340,461,450,451,460,0,0,0,0
2003,20,????,Data/Interface/Concept/UI_Button_016.png,203,1,303,85,203,341,303,425,203,86,303,170,203,171,303,255,203,256,303,340,101,0,0,0,0,0,0,0
2004,20,????,Data/Interface/Concept/UI_Button_016.png,304,1,404,85,304,341,404,425,304,86,404,170,304,171,404,255,304,256,404,340,501,502,0,0,0,0,0,0
2005,20,???,Data/Interface/Concept/UI_Button_016.png,405,1,505,85,405,341,505,425,405,86,505,170,405,171,505,255,405,256,505,340,470,0,0,0,0,0,0,0
2101,21,????,Data/Interface/Concept/UI_Button_016.png,1,1,101,85,1,341,101,425,1,86,101,170,1,171,101,255,1,256,101,340,1226,1217,1218,1411,1315,0,0,0
2102,21,????,Data/Interface/Concept/UI_Button_016.png,102,1,202,85,102,341,202,425,102,86,202,170,102,171,202,255,102,256,202,340,461,450,451,460,0,0,0,0
2103,21,????,Data/Interface/Concept/UI_Button_016.png,203,1,303,85,203,341,303,425,203,86,303,170,203,171,303,255,203,256,303,340,101,0,0,0,0,0,0,0
2104,21,????,Data/Interface/Concept/UI_Button_016.png,304,1,404,85,304,341,404,425,304,86,404,170,304,171,404,255,304,256,404,340,501,502,0,0,0,0,0,0
2105,21,???,Data/Interface/Concept/UI_Button_016.png,405,1,505,85,405,341,505,425,405,86,505,170,405,171,505,255,405,256,505,340,470,0,0,0,0,0,0,0
2201,22,????,Data/Interface/Concept/UI_Button_016.png,1,1,101,85,1,341,101,425,1,86,101,170,1,171,101,255,1,256,101,340,1220,1412,0,0,0,0,0,0
2202,22,????,Data/Interface/Concept/UI_Button_016.png,102,1,202,85,102,341,202,425,102,86,202,170,102,171,202,255,102,256,202,340,461,450,451,460,0,0,0,0
2203,22,????,Data/Interface/Concept/UI_Button_016.png,203,1,303,85,203,341,303,425,203,86,303,170,203,171,303,255,203,256,303,340,101,0,0,0,0,0,0,0
2204,22,????,Data/Interface/Concept/UI_Button_016.png,304,1,404,85,304,341,404,425,304,86,404,170,304,171,404,255,304,256,404,340,501,502,0,0,0,0,0,0
2205,22,???,Data/Interface/Concept/UI_Button_016.png,405,1,505,85,405,341,505,425,405,86,505,170,405,171,505,255,405,256,505,340,470,0,0,0,0,0,0,0
2301,23,????,Data/Interface/Concept/UI_Button_016.png,1,1,101,85,1,341,101,425,1,86,101,170,1,171,101,255,1,256,101,340,1225,1414,0,0,0,0,0,0
2302,23,????,Data/Interface/Concept/UI_Button_016.png,102,1,202,85,102,341,202,425,102,86,202,170,102,171,202,255,102,256,202,340,461,450,451,460,0,0,0,0
2303,23,????,Data/Interface/Concept/UI_Button_016.png,203,1,303,85,203,341,303,425,203,86,303,170,203,171,303,255,203,256,303,340,101,0,0,0,0,0,0,0
2304,23,????,Data/Interface/Concept/UI_Button_016.png,304,1,404,85,304,341,404,425,304,86,404,170,304,171,404,255,304,256,404,340,501,502,0,0,0,0,0,0
2305,23,???,Data/Interface/Concept/UI_Button_016.png,405,1,505,85,405,341,505,425,405,86,505,170,405,171,505,255,405,256,505,340,470,0,0,0,0,0,0,0
2401,24,????,Data/Interface/Concept/UI_Button_016.png,1,1,101,85,1,341,101,425,1,86,101,170,1,171,101,255,1,256,101,340,226,3001,3002,3003,2724,2801,510,0
2402,24,????,Data/Interface/Concept/UI_Button_016.png,102,1,202,85,102,341,202,425,102,86,202,170,102,171,202,255,102,256,202,340,461,450,451,460,0,0,0,0
2403,24,????,Data/Interface/Concept/UI_Button_016.png,203,1,303,85,203,341,303,425,203,86,303,170,203,171,303,255,203,256,303,340,101,0,0,0,0,0,0,0
2404,24,????,Data/Interface/Concept/UI_Button_016.png,304,1,404,85,304,341,404,425,304,86,404,170,304,171,404,255,304,256,404,340,501,502,0,0,0,0,0,0
2405,24,???,Data/Interface/Concept/UI_Button_016.png,405,1,505,85,405,341,505,425,405,86,505,170,405,171,505,255,405,256,505,340,470,0,0,0,0,0,0,0
2501,25,????,Data/Interface/Concept/UI_Button_016.png,1,1,101,85,1,341,101,425,1,86,101,170,1,171,101,255,1,256,101,340,227,3004,3005,3006,2725,2802,510,0
2502,25,????,Data/Interface/Concept/UI_Button_016.png,102,1,202,85,102,341,202,425,102,86,202,170,102,171,202,255,102,256,202,340,461,450,451,460,0,0,0,0
2503,25,????,Data/Interface/Concept/UI_Button_016.png,203,1,303,85,203,341,303,425,203,86,303,170,203,171,303,255,203,256,303,340,101,0,0,0,0,0,0,0
2504,25,????,Data/Interface/Concept/UI_Button_016.png,304,1,404,85,304,341,404,425,304,86,404,170,304,171,404,255,304,256,404,340,501,502,0,0,0,0,0,0
2505,25,???,Data/Interface/Concept/UI_Button_016.png,405,1,505,85,405,341,505,425,405,86,505,170,405,171,505,255,405,256,505,340,470,0,0,0,0,0,0,0
2601,26,????,Data/Interface/Concept/UI_Button_016.png,1,1,101,85,1,341,101,425,1,86,101,170,1,171,101,255,1,256,101,340,228,3007,3008,3009,2726,2803,510,0
2602,26,????,Data/Interface/Concept/UI_Button_016.png,102,1,202,85,102,341,202,425,102,86,202,170,102,171,202,255,102,256,202,340,461,450,451,460,0,0,0,0
2603,26,????,Data/Interface/Concept/UI_Button_016.png,203,1,303,85,203,341,303,425,203,86,303,170,203,171,303,255,203,256,303,340,101,0,0,0,0,0,0,0
2604,26,????,Data/Interface/Concept/UI_Button_016.png,304,1,404,85,304,341,404,425,304,86,404,170,304,171,404,255,304,256,404,340,501,502,0,0,0,0,0,0
2605,26,???,Data/Interface/Concept/UI_Button_016.png,405,1,505,85,405,341,505,425,405,86,505,170,405,171,505,255,405,256,505,340,470,0,0,0,0,0,0,0
2701,27,????,Data/Interface/Concept/UI_Button_016.png,1,1,101,85,1,341,101,425,1,86,101,170,1,171,101,255,1,256,101,340,229,3010,3011,3012,2727,2804,510,0
2702,27,????,Data/Interface/Concept/UI_Button_016.png,102,1,202,85,102,341,202,425,102,86,202,170,102,171,202,255,102,256,202,340,461,450,451,460,0,0,0,0
2703,27,????,Data/Interface/Concept/UI_Button_016.png,203,1,303,85,203,341,303,425,203,86,303,170,203,171,303,255,203,256,303,340,101,0,0,0,0,0,0,0
2704,27,????,Data/Interface/Concept/UI_Button_016.png,304,1,404,85,304,341,404,425,304,86,404,170,304,171,404,255,304,256,404,340,501,502,0,0,0,0,0,0
2705,27,???,Data/Interface/Concept/UI_Button_016.png,405,1,505,85,405,341,505,425,405,86,505,170,405,171,505,255,405,256,505,340,470,0,0,0,0,0,0,0
2801,28,????,Data/Interface/Concept/UI_Button_016.png,1,1,101,85,1,341,101,425,1,86,101,170,1,171,101,255,1,256,101,340,230,3013,3014,3015,2728,2805,510,0
2802,28,????,Data/Interface/Concept/UI_Button_016.png,102,1,202,85,102,341,202,425,102,86,202,170,102,171,202,255,102,256,202,340,461,450,451,460,0,0,0,0
2803,28,????,Data/Interface/Concept/UI_Button_016.png,203,1,303,85,203,341,303,425,203,86,303,170,203,171,303,255,203,256,303,340,101,0,0,0,0,0,0,0
2804,28,????,Data/Interface/Concept/UI_Button_016.png,304,1,404,85,304,341,404,425,304,86,404,170,304,171,404,255,304,256,404,340,501,502,0,0,0,0,0,0
2805,28,???,Data/Interface/Concept/UI_Button_016.png,405,1,505,85,405,341,505,425,405,86,505,170,405,171,505,255,405,256,505,340,470,0,0,0,0,0,0,0
2901,29,????,Data/Interface/Concept/UI_Button_016.png,1,1,101,85,1,341,101,425,1,86,101,170,1,171,101,255,1,256,101,340,231,3016,3017,3018,2729,2806,510,0
2902,29,????,Data/Interface/Concept/UI_Button_016.png,102,1,202,85,102,341,202,425,102,86,202,170,102,171,202,255,102,256,202,340,461,450,451,460,0,0,0,0
2903,29,????,Data/Interface/Concept/UI_Button_016.png,203,1,303,85,203,341,303,425,203,86,303,170,203,171,303,255,203,256,303,340,101,0,0,0,0,0,0,0
2904,29,????,Data/Interface/Concept/UI_Button_016.png,304,1,404,85,304,341,404,425,304,86,404,170,304,171,404,255,304,256,404,340,501,502,0,0,0,0,0,0
2905,29,???,Data/Interface/Concept/UI_Button_016.png,405,1,505,85,405,341,505,425,405,86,505,170,405,171,505,255,405,256,505,340,470,0,0,0,0,0,0,0
3001,30,????,Data/Interface/Concept/UI_Button_016.png,1,1,101,85,1,341,101,425,1,86,101,170,1,171,101,255,1,256,101,340,232,3019,3020,3021,2730,2807,510,0
3002,30,????,Data/Interface/Concept/UI_Button_016.png,102,1,202,85,102,341,202,425,102,86,202,170,102,171,202,255,102,256,202,340,461,450,451,460,0,0,0,0
3003,30,????,Data/Interface/Concept/UI_Button_016.png,203,1,303,85,203,341,303,425,203,86,303,170,203,171,303,255,203,256,303,340,101,0,0,0,0,0,0,0
3004,30,????,Data/Interface/Concept/UI_Button_016.png,304,1,404,85,304,341,404,425,304,86,404,170,304,171,404,255,304,256,404,340,501,502,0,0,0,0,0,0
3005,30,???,Data/Interface/Concept/UI_Button_016.png,405,1,505,85,405,341,505,425,405,86,505,170,405,171,505,255,405,256,505,340,470,0,0,0,0,0,0,0
3101,31,????,Data/Interface/Concept/UI_Button_016.png,1,1,101,85,1,341,101,425,1,86,101,170,1,171,101,255,1,256,101,340,233,3022,3023,3024,2731,2808,510,0
3102,31,????,Data/Interface/Concept/UI_Button_016.png,102,1,202,85,102,341,202,425,102,86,202,170,102,171,202,255,102,256,202,340,461,450,451,460,0,0,0,0
3103,31,????,Data/Interface/Concept/UI_Button_016.png,203,1,303,85,203,341,303,425,203,86,303,170,203,171,303,255,203,256,303,340,101,0,0,0,0,0,0,0
3104,31,????,Data/Interface/Concept/UI_Button_016.png,304,1,404,85,304,341,404,425,304,86,404,170,304,171,404,255,304,256,404,340,501,502,0,0,0,0,0,0
3105,31,???,Data/Interface/Concept/UI_Button_016.png,405,1,505,85,405,341,505,425,405,86,505,170,405,171,505,255,405,256,505,340,470,0,0,0,0,0,0,0
3201,32,????,Data/Interface/Concept/UI_Button_016.png,1,1,101,85,1,341,101,425,1,86,101,170,1,171,101,255,1,256,101,340,234,3025,3026,3027,2732,2809,510,0
3202,32,????,Data/Interface/Concept/UI_Button_016.png,102,1,202,85,102,341,202,425,102,86,202,170,102,171,202,255,102,256,202,340,461,450,451,460,0,0,0,0
3203,32,????,Data/Interface/Concept/UI_Button_016.png,203,1,303,85,203,341,303,425,203,86,303,170,203,171,303,255,203,256,303,340,101,0,0,0,0,0,0,0
3204,32,????,Data/Interface/Concept/UI_Button_016.png,304,1,404,85,304,341,404,425,304,86,404,170,304,171,404,255,304,256,404,340,501,502,0,0,0,0,0,0
3205,32,???,Data/Interface/Concept/UI_Button_016.png,405,1,505,85,405,341,505,425,405,86,505,170,405,171,505,255,405,256,505,340,470,0,0,0,0,0,0,0
