ID,_CutInImage,_Message,_event1,_event2,_event3,_event4,_event5,_event6,_event7,_event8,_event9,_event10,_event11,_event12,_event13,_event14,_event15,_event16,_event17,_event18,_event19,_event20,_event21,_event22,_event23,_event24,_event25,_event26,_event27,_event28,_event29,_event30,_event31,_event32,_event33,_event34,_event35,_event36,_event37,_event38,_event39,_event40,_event41,_event42,_event43,_event44,_event45,_event46,_event47,_event48,_event49,_event50
371,68,[修普勒] \n 如果是有關公會的事情…那麼就來找我吧。,37101,37105,37115,37116,37117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
381,69,[修普勒] \n 如果是有關公會的事情…那麼就來找我吧。,38101,38105,37115,37123,37117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
391,70,[修普勒] \n 如果是有關公會的事情…那麼就來找我吧。,39101,39105,37115,37124,37117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
421,78,[碧安卡]\n 如果是要製作套裝或是果凍，那我可有自信!,42101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
422,78,[碧安卡]\n 如果是要製作套裝或是果凍，那我可有自信!,42201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
471,83,[寧]\n 請利用格鬥點數兌換物品。,1047101,1047102,1047103,1047104,1047106,1047107,1047108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
651,101,[柳香帥]\n 變更性別後，我也可以替你修改衣服。,19101,19102,19103,19104,19105,19106,19107,19108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
811,137,[亞美]\n 變更性別後，我會替你修改衣服的。,19101,19102,19103,19104,19105,19106,19107,19108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
351,66,[亞瑟絲] 完成SS5秘技卷軸(120級以上的怪物掉落)的最終任務時，可獲得SS5 硬幣，透過SS5 硬幣可以兌換5轉技能書。,8101,8102,8103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1151,164,[亞伊薩]\n 變更性別後，我可以替你修改衣服。,19101,19102,19103,19104,19105,19106,19107,19108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1281,177,[加納思]\n 變更性別後，修改衣服這種小事對我來說非常地簡單。,19101,19102,19103,19104,19105,19106,19107,19108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2231,311,[愛因斯特] \n 你想要暴風監視者的物品!果然是有眼光的人。,223113,223123,223114,223116,223117,223119,223120,223121,223122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2261,317,[傑伊特] \n 歡迎光臨，希望你可以找到你想要的東西。,226113,226124,226114,226116,226117,226118,226120,226121,226122,226123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2341,327,[莉茲]\n 知識的聖殿，歡迎你來到佩爾法。,234112,234137,234113,234115,234116,234117,234132,234133,234134,234125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2251,314,[雷娜夏伊蓮]\n 你想要銀色腳趾的物品嗎?,225110,225127,225111,225113,225114,225123,225124,225125,225120,225122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
229,319,[無限迴廊魔法師]\n 歡迎來到無限~迴廊!嗯，請確認限時闖關物品吧!,22902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101020,490,[塔比]\n 我擁有很多升級膠囊。,1010701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50071,64,[釣魚達人夏奴伊]\n 釣到的魚請交給我，我會用好的東西和你兌換的。,5007101,5009001,5009002,5009003,5009004,5007109,5007113,5007114,5007115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2881,491,[達比] \n 聲望的獎勵可以在這裡交易!,288101,288102,288103,288104,288106,288107,288108,288109,288110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60471,530,[紅甜椒投入口] 如在這裡投入紅甜椒，就會出現兌換的物品。,6047101,6049001,6049002,6049003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60481,530,[紅甜椒投入口] 如在這裡投入紅甜椒，就會出現兌換的物品。,6048101,6049004,6049005,6049006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
242,56,[努納佩爾] \n 我可以兌換競技場的物品。,24120,24111,24107,24109,24103,24102,24106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11291,178,"[奴安] \n 呵呵呵，我正在兌換紋章""可雅""的特殊武器!",1129101,1129102,1129103,1129104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12002,232,[情人] \n 光榮的史達林格勒!!以及閃耀發光的冰魔卡妙武器!!,1200201,1200202,1200203,1200204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10171,51,[賽蘿] \n 可認養特殊的寵物。,1017108,1017109,1017107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10172,51,[賽蘿] \n 我擁有可以將醜醜蛋做成黃金蛋的才能。^^,1017201,1017202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10181,51,[賽蘿] \n 可認養特殊的寵物。,1018107,1018108,1018106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10182,51,[賽蘿] \n 我擁有可以將醜醜蛋做成黃金蛋的才能。^^,1018201,1018202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11131,51,[賽蘿] \n 可認養特殊的寵物。,1113107,1113108,1113106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11132,51,[賽蘿] \n 我擁有可以將醜醜蛋做成黃金蛋的才能。^^,1113201,1113202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11141,51,[賽蘿] \n 可認養特殊的寵物。,1114107,1114108,1114106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11142,51,[賽蘿] \n 我擁有可以將醜醜蛋做成黃金蛋的才能。^^,1114201,1114202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11801,51,[賽蘿] \n 可認養特殊的寵物。,1180107,1180108,1180106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11802,51,[賽蘿] \n 我擁有可以將醜醜蛋做成黃金蛋的才能。^^,1180201,1180202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11811,51,[賽蘿] \n 可認養特殊的寵物。,1181107,1181108,1181106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11812,51,[賽蘿] \n 我擁有可以將醜醜蛋做成黃金蛋的才能。^^,1181201,1181202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11911,51,[賽蘿] \n 可認養特殊的寵物。,1191107,1191108,1191106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11912,51,[賽蘿] \n 我擁有可以將醜醜蛋做成黃金蛋的才能。^^,1191201,1191202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10831,139,[基恩] \n 你有不完整的轉職防具兌換券啊!,1083111,1083121,1083131,1083141,1083151,1083161,1083171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20281,27101102,[樹木大使] \n 讓彩虹島物語一片綠油油吧~,30333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20291,27101101,[樹木大使] \n 星期四艾利亞斯超迷你樹木會產生巨大的變化喔!,30333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20301,27101101,[樹木大使] \n 別拍打我呀~請珍惜大自然~,30333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20311,27101101,[樹木大使] \n 尋找種吧種吧樹木王!,30332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20321,131,[傑利] \n 一起參加呼喊彩虹島物語吧!!,30337,30338,30339,30340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12951,327,[莉茲]\n 歡迎來到華納海姆 崩壞之塔。,234112,234113,234114,234115,234116,234117,234118,234119,234120,234121,234122,234123,234124,234125,234126,234127,234128,234129,234130,234131,234132,234133,234134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12952,327,[莉茲]\n 歡迎來到華納海姆 崩壞之塔。,1295201,1295202,1295203,1295204,1295205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10071,19,[紅色阿飛歐]\n 可以跟我兌換新手專屬武器喔~,1007101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20472,249,[彩虹島世界奉春植]\n 歡迎歡迎~,2047201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50081,351,[釣魚狂冰女]\n把釣到的魚交給我的話，我可以跟你交換好東西喔~~,5007106,5007107,5007108,5008101,5008102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20851,232,[情人]\n 和美味的GM糖果一起度過情人節吧!!!,2085101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20881,258,[煙斗先生]\n 要乖乖上課也要乖乖玩彩虹島唷!,2088101,2088104,2088102,2088103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
311,63,[兔女郎]\n 來找我兌換萬能木錘喔~! ^^*,2135101,31101,31102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20891,27101103,[植樹節 樹木王]\n 和彩虹島物語一起度過一個有意義的植樹節吧!!,2089103,2089104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20901,131,[彩虹島物語的聲音]\n 彩虹島物語在呼喊你唷~快回來團員吧!!,2090101,2090102,2090103,2090104,2090105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20911,312,[最高級支援 夏拉亞賽蘿]\n 我會全力支援大家的!!包在我身上!!,2091101,2091102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12991,246,[M.D]\n 快來兌換深夜餐廳配方唷!!,1299101,1299102,1299103,1299104,1299105,1299106,1299107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21241,77,[5月就是要德尼歐]\n 快來找我玩~~,2124101,2124102,2124103,2124104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21271,64,[老爹 夏奴伊]\n 你是個懂得尊敬父母的好孩子!這送你!!,2127101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21321,189,[成為大人的寶馬]\n 呀呼~~~~我是大人啦!!!,2132101,2132102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10471,83,[寧]\n 格鬥場第2季開跑!!可以使用格鬥點數購買物品喔!,1047101,1047102,1047103,1047104,1047105,1047106,1047107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20921,233,[777 德雷歐]\n 暑假!彩虹島物語7周年!和彩虹島物語一起狂歡吧!!!,2092101,2092102,2092103,2092104,2092105,2092106,2092107,2092108,2092109,2092110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20922,233,[德雷歐]\n 歡迎來到活動地圖!!,2092127,2092128,2092129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20923,233,[777 德雷歐]\n 暑假!彩虹島物語7周年!和彩虹島物語一起狂歡吧!!!,2092116,2092117,2092118,2092119,2092120,2092126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20924,233,[777 德雷歐]\n 暑假!彩虹島物語7周年!和彩虹島物語一起狂歡吧!!!,2092121,2092122,2092123,2092124,2092125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20912,312,[夏拉亞賽蘿]\n 燃燒伺服器玩家專屬超強支援!我會大力支援的!!,2091201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60701,249,[莉茲]\n 大家可以找我兌換哥德式博物館配方喔!,6070101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10311,63,[寶拉]\n 快來找我兌換珍貴的皇家物品喔!,1031114,1031101,1031102,1031109,1031110,1031108,1031113,1031115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20925,233,[德雷歐]\n 快過來拿走活動道具啊!!,2092712,2092579,7857101,7857102,7201106,30405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21431,191,[歐備倫 & 泰翼娜]\n 秋天來臨了9月活動由我幫你兌換。,2143101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21471,145,[學測加油]\n 祝大家學測滿分唷!!,2147101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10871,142,[塔莫里]\n 為您兌換黑月一族聲望~,1087101,1087102,1087103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70151,98,[雷比]\n 為您兌換吉恩蒂亞聲望~,7015101,7015102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70221,318,[王宮內的少女]\n 為您兌換普雷伊奧斯聲望~,7022101,7022102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21481,10011001,[雷比魯道夫]\n Merry Christmas就和彩虹島物語一起吧!!^^,2092562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21491,10011002,[愛麗絲聖誕老人]\n Merry Christmas就和彩虹島物語一起吧!!^^,2092563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13004,318,[公園的少女]\n 使用旅行者的硬幣可以幫您兌換各種物品唷~,1003401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21581,27101103,"[活動樹木王]\n 只要多多愛護我的話,我也會回報你的…",2158101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20926,233,[德雷歐]\n 活動兌換嗎?請來我這邊!!!,2092602,2092603,2092604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10361,67,[修普勒] \n 如果是有關公會的事情…那麼就來找我吧。,1036101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26061,778,[嘻哈鴿]\n嘻哈鴿帶給大家滿滿的幸運!快來領取豐富的獎勵!,2606103,2606104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70961,784,[貝麗泰]\n為您兌換特洛里地區的聲望~!,7096101,7096102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20927,233,[德雷歐]\n 大家都努力朝著夢想前進，換取更多超值優惠的道具獎勵吧!,2092701,2092702,2092703,2092704,2092705,2092706,2092707,2092708,2092709,2092710,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71311,797,[加油隊長奇毅]\n 要送給家族們的感謝禮物可以和我兌換哦~謝謝!,7131113,7131116,7131114,7131115,7131117,7131118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
