ID,_Name,_Description,_DisableDescription,_Special_Description,_Status_Type1,_Status_Value1,_Status_Type2,_Status_Value2,_EFFECT_1,_EFFECT_2,_Special_Status_Type1,_Special_Status_Value1,_Special_Status_Type2,_Special_Status_Value2,_Special_EFFECT_1,_Special_EFFECT_2
116,《瘋狂》,\n『 解除封印的瘋狂符文 』\n\n※效果※\n固定傷害增加 8%,\n『 被封印的古代符文 』\n\n※ 寫著目前無法解讀的古代文字 ※,\n『 增幅欄位 』\n\n※效果※\n固定傷害 16%,141,8,0,0,0,0,141,16,0,0,0,0
117,《生命》,\n『 解除封印的生命符文 』\n\n※效果※\n最大 HP增加 5%,\n『 被封印的古代符文 』\n\n※ 寫著目前無法解讀的古代文字 ※,\n『 增幅欄位 』\n\n※效果※\n最大HP增加 10%,31,5,0,0,0,0,31,10,0,0,0,0
118,《和平》,\n『 解除封印的和平符文 』\n\n※效果※\n所有能力值增加 1500,\n『 被封印的古代符文 』\n\n※ 寫著目前無法解讀的古代文字 ※,\n『 增幅欄位 』\n\n※效果※\所有能力值增加 3000,455,1500,0,0,0,0,455,3000,0,0,0,0
119,《調和》,\n『 解除封印的調和符文 』\n\n※效果※\n所有能力值增加 5%,\n『 被封印的古代符文 』\n\n※ 寫著目前無法解讀的古代文字 ※,\n『 增幅欄位 』\n\n※效果※\所有能力值增加 10%,456,5,0,0,0,0,456,10,0,0,0,0
120,《洞察》,\n『 解除封印的洞察符文 』\n\n※效果※\n貫穿力增加 10%\n打擊時以 0.1%的機率減少技能冷卻時間 1秒,\n『 被封印的古代符文 』\n\n※ 寫著目前無法解讀的古代文字 ※,\n『 增幅欄位 』\n\n※效果※\n貫穿力增加 20% \n打擊時以0.2%的機率減少技能冷卻時間1秒,148,10,0,0,25200418,0,148,20,0,0,25200427,0
121,《 和平&調和 》,\n『 解除封印的和平&調和符文 』\n\n※效果※\n所有能力值增加 1500\n所有能力值增加 5%,\n『 被封印的古代超越符文 』\n\n※ 記載著仍無法分析的古代文字 ※,\n『 增幅欄位 』\n\n※效果※\所有能力值增加 3000\所有能力值增加 10%,455,1500,456,5,0,0,455,3000,456,10,0,0
122,《 熱情&憤怒 》,\n『 解除封印的熱情&憤怒符文 』\n\n※效果※\n固定傷害增加 1500 \n武器功擊力增加 70,\n『 被封印的古代超越符文 』\n\n※ 記載著仍無法分析的古代文字 ※,\n『 增幅欄位 』\n\n※效果※\n固定傷害增加 3000 \n武器功擊力增加 140,140,1500,492,70,0,0,140,3000,492,140,0,0
123,《 鋼鐵&生命 》,\n『 解除封印的鋼鐵&生命符文 』\n\n※效果※\n體力增加 1500 \n最大HP增加 5%,\n『 被封印的古代超越符文 』\n\n※ 記載著仍無法分析的古代文字 ※,\n『 增幅欄位 』\n\n※效果※\n體力增加 3000 \n最大HP增加 10%,26,1500,31,5,0,0,26,3000,31,10,0,0
124,《 忍耐&誓約 》,\n『 解除封印的忍耐&誓約符文 』\n\n※效果※\n經驗值獲得量增加 100%\n任務獎勵增加30%,\n『 被封印的古代超越符文 』\n\n※ 記載著仍無法分析的古代文字 ※,\n『 增幅欄位 』\n\n※效果※\n經驗值獲得量增加 200% \n任務獎勵增加60%,124,100,488,30,0,0,124,200,488,60,0,0
125,《 瘋狂&激怒 》,\n『 解除封印的瘋狂&激怒符文 』\n\n※效果※\n固定傷害增加 8% \n武器功擊力增加 5%,\n『 被封印的古代超越符文 』\n\n※ 記載著仍無法分析的古代文字 ※,\n『 增幅欄位 』\n\n※效果※\n固定傷害增加 16% \n武器功擊力增加 10%,141,8,493,5,0,0,141,16,493,10,0,0
126,《 奉獻&破壞 》,\n『 解除封印的奉獻&破壞符文 』\n\n※效果※\n最小傷害增加 50% \n最大傷害增加 50%,\n『 被封印的古代超越符文 』\n\n※ 記載著仍無法分析的古代文字 ※,\n『 增幅欄位 』\n\n※效果※\n最小傷害增加 100% \n最大傷害增加 100%,90,50,94,50,0,0,90,100,94,100,0,0
127,《 祝福&豐饒 》,\n『 解除封印的祝福&豐饒符文 』\n\n※效果※\n彩虹幣獲得量增加 50% \n道具掉落率增加 20%,\n『 被封印的古代超越符文 』\n\n※ 記載著仍無法分析的古代文字 ※,\n『 增幅欄位 』\n\n※效果※\n彩虹幣獲得量增加 100% \n道具掉落率增加 40%,128,50,132,20,0,0,128,100,132,40,0,0
128,《 野性&支配 》,\n『 解除封印的野性&支配符文 』\n\n※效果※\n一般怪物追加傷害 6000\n一般怪物支配力 3%,\n『 被封印的古代超越符文 』\n\n※ 記載著仍無法分析的古代文字 ※,\n『 增幅欄位 』\n\n※效果※\n一般怪物追加傷害 12000\n一般怪物支配力 6%,566,6000,573,30,0,0,566,12000,573,60,0,0
129,《 噩夢&死亡 》,\n『 解除封印的噩夢&死亡符文 』\n\n※效果※\nBOSS怪物追加傷害 10000\nBOSS怪物支配力 5%,\n『 被封印的古代超越符文 』\n\n※ 記載著仍無法分析的古代文字 ※,\n『 增幅欄位 』\n\n※效果※\nBOSS怪物追加傷害 20000\nBOSS怪物支配力 10%,570,10000,574,50,0,0,570,20000,574,100,0,0
130,《 破滅&暴走 》,\n『 解除封印的破滅&暴走符文 』\n\n※效果※\n爆擊傷害增加 50% \n爆擊率增加 1%,\n『 被封印的古代超越符文 』\n\n※ 記載著仍無法分析的古代文字 ※,\n『 增幅欄位 』\n\n※效果※\n爆擊傷害增加 100% \n爆擊率增加 2%,156,50,158,1,0,0,156,100,158,2,0,0
201,《 血統 》,\n『 解除封印的血統符文 』\n\n※效果※\n魔力增加 1500,\n『 被封印的古代符文 』\n\n※ 記載著仍無法分析的古代文字 ※,\n『 增幅欄位 』\n\n※效果※\n魔力增加 3000,22,1500,0,0,0,0,22,3000,0,0,0,0
202,《 鋼鐵 》,\n『 解除封印的鋼鐵符文 』\n\n※效果※\n體力增加 1500,\n『 被封印的古代符文 』\n\n※ 記載著仍無法分析的古代文字 ※,\n『 增幅欄位 』\n\n※效果※\n體力增加 3000,26,1500,0,0,0,0,26,3000,0,0,0,0
203,《 幸運 》,\n『 解除封印的幸運符文 』\n\n※效果※\n幸運增加 1500,\n『 被封印的古代符文 』\n\n※ 記載著仍無法分析的古代文字 ※,\n『 增幅欄位 』\n\n※效果※\n幸運增加 3000,18,1500,0,0,0,0,18,3000,0,0,0,0
204,《 誓約 》,\n『 解除封印的誓約符文 』\n\n※效果※\n任務獎勵增加 20% \n屬性發生率 500%,\n『 被封印的古代符文 』\n\n※ 記載著仍無法分析的古代文字 ※,\n『 增幅欄位 』\n\n※效果※\n任務獎勵增加 40% \n屬性發生率 1000%,488,20,136,500,0,0,488,40,136,1000,0,0
205,《 憤怒 》,\n『 解除封印的憤怒符文 』\n\n※效果※\n屬性增加70,\n『 被封印的古代符文 』\n\n※ 記載著仍無法分析的古代文字 ※,\n『 增幅欄位 』\n\n※效果※\n屬性增加140,38,70,0,0,0,0,38,140,0,0,0,0
206,《 祝福 》,\n『 解除封印的祝福符文 』\n\n※效果※\n彩虹幣獲得量增加 50%,\n『 被封印的古代符文 』\n\n※ 記載著仍無法分析的古代文字 ※,\n『 增幅欄位 』\n\n※效果※\n彩虹幣獲得量增加 100%,128,50,0,0,0,0,128,100,0,0,0,0
207,《 奉獻 》,\n『 解除封印的奉獻符文 』\n\n※效果※\n最小傷害增加 50%,\n『 被封印的古代符文 』\n\n※ 記載著仍無法分析的古代文字 ※,\n『 增幅欄位 』\n\n※效果※\n最小傷害增加 100%,98,50,0,0,0,0,98,100,0,0,0,0
208,《 豐饒 》,\n『 解除封印的豐饒符文 』\n\n※效果※\n道具掉落率增加 20%,\n『 被封印的古代符文 』\n\n※ 記載著仍無法分析的古代文字 ※,\n『 增幅欄位 』\n\n※效果※\n道具掉落率增加 40%,132,20,0,0,0,0,132,40,0,0,0,0
209,《 破壞 》,\n『 解除封印的破壞符文 』\n\n※效果※\n最大傷害增加 50%,\n『 被封印的古代符文 』\n\n※ 記載著仍無法分析的古代文字 ※,\n『 增幅欄位 』\n\n※效果※\n最大傷害增加 100%,102,50,0,0,0,0,102,100,0,0,0,0
210,《 智慧 》,\n『 解除封印的智慧符文 』\n\n※效果※\n組合成功率增加5%,\n『 被封印的古代符文 』\n\n※ 記載著仍無法分析的古代文字 ※,\n『 增幅欄位 』\n\n※效果※\n組合成功率增加10%,384,5,0,0,0,0,384,10,0,0,0,0
211,《 破滅 》,\n『 解除封印的破滅符文 』\n\n※效果※\n爆擊傷害增加 50%,\n『 被封印的古代符文 』\n\n※ 記載著仍無法分析的古代文字 ※,\n『 增幅欄位 』\n\n※效果※\n爆擊傷害增加 100%,162,50,0,0,0,0,162,100,0,0,0,0
212,《 信任 》,\n『 解除封印的信任符文 』\n\n※效果※\n鑲崁成功率增加 1%,\n『 被封印的古代符文 』\n\n※ 記載著仍無法分析的古代文字 ※,\n『 增幅欄位 』\n\n※效果※\n鑲崁成功率增加 2%,369,1,0,0,0,0,369,2,0,0,0,0
213,《 熱情 》,\n『 解除封印的熱情符文 』\n\n※效果※\n固定傷害增加 1500,\n『 被封印的古代符文 』\n\n※ 記載著仍無法分析的古代文字 ※,\n『 增幅欄位 』\n\n※效果※\n固定傷害增加 3000,240,1500,0,0,0,0,240,3000,0,0,0,0
214,《 忍耐 》,\n『 解除封印的忍耐符文 』\n\n※效果※\n經驗值獲得量增加 100%,\n『 被封印的古代符文 』\n\n※ 記載著仍無法分析的古代文字 ※,\n『 增幅欄位 』\n\n※效果※\n經驗值獲得量增加 200%,124,100,0,0,0,0,124,200,0,0,0,0
215,《 激怒 》,\n『 解除封印的激怒符文 』\n\n※效果※\n屬性增加5%,\n『 被封印的古代符文 』\n\n※ 記載著仍無法分析的古代文字 ※,\n『 增幅欄位 』\n\n※效果※\n屬性增加10%,39,5,0,0,0,0,39,10,0,0,0,0
216,《 瘋狂 》,\n『 解除封印的瘋狂符文 』\n\n※效果※\n固定傷害增加 8%,\n『 被封印的古代符文 』\n\n※ 記載著仍無法分析的古代文字 ※,\n『 增幅欄位 』\n\n※效果※\n固定傷害增加 16%,241,8,0,0,0,0,241,16,0,0,0,0
217,《 生命 》,\n『 解除封印的生命符文 』\n\n※效果※\n最大HP增加 5%,\n『 被封印的古代符文 』\n\n※ 記載著仍無法分析的古代文字 ※,\n『 增幅欄位 』\n\n※效果※\n最大HP增加 10%,31,5,0,0,0,0,31,10,0,0,0,0
218,《 和平 》,\n『 解除封印的和平符文 』\n\n※效果※\n所有能力值增加 1500,\n『 被封印的古代符文 』\n\n※ 記載著仍無法分析的古代文字 ※,\n『 增幅欄位 』\n\n※效果※\所有能力值增加 3000,455,1500,0,0,0,0,455,3000,0,0,0,0
219,《 調和 》,\n『 解除封印的調和符文 』\n\n※效果※\n所有能力值增加 5%,\n『 被封印的古代符文 』\n\n※ 記載著仍無法分析的古代文字 ※,\n『 增幅欄位 』\n\n※效果※\所有能力值增加 10%,456,5,0,0,0,0,456,10,0,0,0,0
220,《 洞察 》,\n『 解除封印的洞察符文 』\n\n※效果※\n貫穿力增加 10% \n打擊時以0.1%的機率減少技能冷卻時間1秒,\n『 被封印的古代符文 』\n\n※ 記載著仍無法分析的古代文字 ※,\n『 增幅欄位 』\n\n※效果※\n貫穿力增加 20% \n打擊時以0.2%的機率減少技能冷卻時間1秒,292,10,0,0,25200420,0,292,20,0,0,25200429,0
221,《 和平&調和 》,\n『 解除封印的和平&調和符文 』\n\n※效果※\n所有能力值增加 1500 \n所有能力值增加 5%,\n『 被封印的古代超越符文 』\n\n※ 記載著仍無法分析的古代文字 ※,\n『 增幅欄位 』\n\n※效果※\所有能力值增加 3000 \所有能力值增加 10%,455,1500,456,5,0,0,455,3000,456,10,0,0
222,《 熱情&憤怒 》,\n『 解除封印的熱情&憤怒符文 』\n\n※效果※\n固定傷害增加 1500 \n屬性增加70,\n『 被封印的古代超越符文 』\n\n※ 記載著仍無法分析的古代文字 ※,\n『 增幅欄位 』\n\n※效果※\n固定傷害增加 3000 \n屬性增加140,240,1500,38,70,0,0,240,3000,38,140,0,0
223,《 鋼鐵&生命 》,\n『 解除封印的鋼鐵&生命符文 』\n\n※效果※\n體力增加 1500 \n最大HP增加 5%,\n『 被封印的古代超越符文 』\n\n※ 記載著仍無法分析的古代文字 ※,\n『 增幅欄位 』\n\n※效果※\n體力增加 3000 \n最大HP增加 10%,26,1500,31,5,0,0,26,3000,31,10,0,0
224,《 忍耐&誓約 》,\n『 解除封印的忍耐&誓約符文 』\n\n※效果※\n經驗值獲得量增加 100% \n任務獎勵增加30%,\n『 被封印的古代超越符文 』\n\n※ 記載著仍無法分析的古代文字 ※,\n『 增幅欄位 』\n\n※效果※\n經驗值獲得量增加 200% \n任務獎勵增加60%,124,100,488,30,0,0,124,200,488,60,0,0
225,《 瘋狂&激怒 》,\n『 解除封印的瘋狂&激怒符文 』\n\n※效果※\n固定傷害增加 8% \n屬性增加5%,\n『 被封印的古代超越符文 』\n\n※ 記載著仍無法分析的古代文字 ※,\n『 增幅欄位 』\n\n※效果※\n固定傷害增加 16% \n屬性增加10%,241,8,39,5,0,0,241,16,39,10,0,0
226,《 奉獻&破壞 》,\n『 解除封印的奉獻&破壞符文 』\n\n※效果※\n最小傷害增加 50% \n最大傷害增加 50%,\n『 被封印的古代超越符文 』\n\n※ 記載著仍無法分析的古代文字 ※,\n『 增幅欄位 』\n\n※效果※\n最小傷害增加 100% \n最大傷害增加 100%,98,50,102,50,0,0,98,100,102,100,0,0
227,《 祝福&豐饒 》,\n『 解除封印的祝福&豐饒符文 』\n\n※效果※\n彩虹幣獲得量增加 50% \n道具掉落率增加 20%,\n『 被封印的古代超越符文 』\n\n※ 記載著仍無法分析的古代文字 ※,\n『 增幅欄位 』\n\n※效果※\n彩虹幣獲得量增加 100% \n道具掉落率增加 40%,128,50,132,20,0,0,128,100,132,40,0,0
228,《 野性&支配 》,\n『 解除封印的野性&支配符文 』\n\n※效果※\n一般怪物追加傷害 6000\n一般怪物支配力 3%,\n『 被封印的古代超越符文 』\n\n※ 記載著仍無法分析的古代文字 ※,\n『 增幅欄位 』\n\n※效果※\n一般怪物追加傷害 12000\n一般怪物支配力 6%,566,6000,573,30,0,0,566,12000,573,60,0,0
229,《 噩夢&死亡 》,\n『 解除封印的噩夢&死亡符文 』\n\n※效果※\nBOSS怪物追加傷害 10000\nBOSS怪物支配力 5%,\n『 被封印的古代超越符文 』\n\n※ 記載著仍無法分析的古代文字 ※,\n『 增幅欄位 』\n\n※效果※\nBOSS怪物追加傷害 20000\nBOSS怪物支配力 10%,570,10000,574,50,0,0,570,20000,574,100,0,0
230,《 破滅&暴走 》,\n『 解除封印的破滅&暴走符文 』\n\n※效果※\n爆擊傷害增加 50% \n爆擊率增加 1%,\n『 被封印的古代超越符文 』\n\n※ 記載著仍無法分析的古代文字 ※,\n『 增幅欄位 』\n\n※效果※\n爆擊傷害增加 100% \n爆擊率增加 2%,162,50,164,1,0,0,162,100,164,2,0,0
301,《 血統 》,\n『 解除封印的血統符文 』\n\n※效果※\n力量及魔力增加1500,\n『 被封印的古代符文 』\n\n※ 記載著仍無法分析的古代文字 ※,\n『 增幅欄位 』\n\n※效果※\n力量及魔力增加3000,14,1500,22,1500,0,0,14,3000,22,3000,0,0
302,《 鋼鐵 》,\n『 解除封印的鋼鐵符文 』\n\n※效果※\n體力增加 1500,\n『 被封印的古代符文 』\n\n※ 記載著仍無法分析的古代文字 ※,\n『 增幅欄位 』\n\n※效果※\n體力增加 3000,26,1500,0,0,0,0,26,3000,0,0,0,0
303,《 幸運 》,\n『 解除封印的幸運符文 』\n\n※效果※\n幸運增加 1500,\n『 被封印的古代符文 』\n\n※ 記載著仍無法分析的古代文字 ※,\n『 增幅欄位 』\n\n※效果※\n幸運增加 3000,18,1500,0,0,0,0,18,3000,0,0,0,0
304,《 誓約 》,\n『 解除封印的誓約符文 』\n\n※效果※\n任務獎勵增加 20% \n屬性發生率 500%,\n『 被封印的古代符文 』\n\n※ 記載著仍無法分析的古代文字 ※,\n『 增幅欄位 』\n\n※效果※\n任務獎勵增加 40% \n屬性發生率 1000%,488,20,136,500,0,0,488,40,136,1000,0,0
305,《 憤怒 》,\n『 解除封印的憤怒符文 』\n\n※效果※\n武器攻擊力及屬性增加70,\n『 被封印的古代符文 』\n\n※ 記載著仍無法分析的古代文字 ※,\n『 增幅欄位 』\n\n※效果※\n武器攻擊力及屬性增加140,492,70,38,70,0,0,492,140,38,140,0,0
306,《 祝福 》,\n『 解除封印的祝福符文 』\n\n※效果※\n彩虹幣獲得量增加 50%,\n『 被封印的古代符文 』\n\n※ 記載著仍無法分析的古代文字 ※,\n『 增幅欄位 』\n\n※效果※\n彩虹幣獲得量增加 100%,128,50,0,0,0,0,128,100,0,0,0,0
307,《 奉獻 》,\n『 解除封印的奉獻符文 』\n\n※效果※\n物理/魔法最小傷害增加50%,\n『 被封印的古代符文 』\n\n※ 記載著仍無法分析的古代文字 ※,\n『 增幅欄位 』\n\n※效果※\n最小傷害增加 100%,462,50,0,0,0,0,462,100,0,0,0,0
308,《 豐饒 》,\n『 解除封印的豐饒符文 』\n\n※效果※\n道具掉落率增加 20%,\n『 被封印的古代符文 』\n\n※ 記載著仍無法分析的古代文字 ※,\n『 增幅欄位 』\n\n※效果※\n道具掉落率增加 40%,132,20,0,0,0,0,132,40,0,0,0,0
309,《 破壞 》,\n『 解除封印的破壞符文 』\n\n※效果※\n物理/魔法最大傷害增加50%,\n『 被封印的古代符文 』\n\n※ 記載著仍無法分析的古代文字 ※,\n『 增幅欄位 』\n\n※效果※\n最大傷害增加 100%,461,50,0,0,0,0,461,100,0,0,0,0
310,《 智慧 》,\n『 解除封印的智慧符文 』\n\n※效果※\n組合成功率增加5%,\n『 被封印的古代符文 』\n\n※ 記載著仍無法分析的古代文字 ※,\n『 增幅欄位 』\n\n※效果※\n組合成功率增加10%,384,5,0,0,0,0,384,10,0,0,0,0
311,《 破滅 》,\n『 解除封印的破滅符文 』\n\n※效果※\n物理/魔法爆擊傷害 50%,\n『 被封印的古代符文 』\n\n※ 記載著仍無法分析的古代文字 ※,\n『 增幅欄位 』\n\n※效果※\n爆擊傷害增加 100%,464,50,0,0,0,0,464,100,0,0,0,0
312,《 信任 》,\n『 解除封印的信任符文 』\n\n※效果※\n鑲崁成功率增加 1%,\n『 被封印的古代符文 』\n\n※ 記載著仍無法分析的古代文字 ※,\n『 增幅欄位 』\n\n※效果※\n鑲崁成功率增加 2%,369,1,0,0,0,0,369,2,0,0,0,0
313,《 熱情 》,\n『 解除封印的熱情符文 』\n\n※效果※\n物理/魔法固定傷害 1500,\n『 被封印的古代符文 』\n\n※ 記載著仍無法分析的古代文字 ※,\n『 增幅欄位 』\n\n※效果※\n固定傷害增加 3000,140,1500,240,1500,0,0,140,3000,240,3000,0,0
314,《 忍耐 》,\n『 解除封印的忍耐符文 』\n\n※效果※\n經驗值獲得量增加 100%,\n『 被封印的古代符文 』\n\n※ 記載著仍無法分析的古代文字 ※,\n『 增幅欄位 』\n\n※效果※\n經驗值獲得量增加 200%,124,100,0,0,0,0,124,200,0,0,0,0
315,《 激怒 》,\n『 解除封印的激怒符文 』\n\n※效果※\n武器攻擊力及屬性增加 5%,\n『 被封印的古代符文 』\n\n※ 記載著仍無法分析的古代文字 ※,\n『 增幅欄位 』\n\n※效果※\n武器攻擊力及屬性增加 10%,493,5,39,5,0,0,493,10,39,10,0,0
316,《 瘋狂 》,\n『 解除封印的瘋狂符文 』\n\n※效果※\n物理/魔法固定傷害 8%,\n『 被封印的古代符文 』\n\n※ 記載著仍無法分析的古代文字 ※,\n『 增幅欄位 』\n\n※效果※\n物理/魔法固定傷害 16%,141,8,241,8,0,0,141,16,241,16,0,0
317,《 生命 》,\n『 解除封印的生命符文 』\n\n※效果※\n最大HP增加 5%,\n『 被封印的古代符文 』\n\n※ 記載著仍無法分析的古代文字 ※,\n『 增幅欄位 』\n\n※效果※\n最大HP增加 10%,31,5,0,0,0,0,31,10,0,0,0,0
318,《 和平 》,\n『 解除封印的和平符文 』\n\n※效果※\n所有能力值增加 1500,\n『 被封印的古代符文 』\n\n※ 記載著仍無法分析的古代文字 ※,\n『 增幅欄位 』\n\n※效果※\所有能力值增加 3000,455,1500,0,0,0,0,455,3000,0,0,0,0
319,《 調和 》,\n『 解除封印的調和符文 』\n\n※效果※\n所有能力值增加 5%,\n『 被封印的古代符文 』\n\n※ 記載著仍無法分析的古代文字 ※,\n『 增幅欄位 』\n\n※效果※\所有能力值增加 10%,456,5,0,0,0,0,456,10,0,0,0,0
320,《 洞察 》,\n『 解除封印的洞察符文 』\n\n※效果※\n物理/魔法貫穿力增加 10% \n打擊時以0.1%的機率減少技能冷卻時間1秒,\n『 被封印的古代符文 』\n\n※ 記載著仍無法分析的古代文字 ※,\n『 增幅欄位 』\n\n※效果※\n物理/魔法貫穿力增加 20% \n打擊時以0.2%的機率減少技能冷卻時間1秒,463,10,0,0,25200422,25200424,463,20,0,0,25200431,25200433
321,《 和平&調和 》,\n『 解除封印的和平&調和符文 』\n\n※效果※\n所有能力值增加 1500 \n所有能力值增加 5%,\n『 被封印的古代超越符文 』\n\n※ 記載著仍無法分析的古代文字 ※,\n『 增幅欄位 』\n\n※效果※\所有能力值增加 3000 \所有能力值增加 10%,455,1500,456,5,0,0,455,3000,456,10,0,0
322,《 熱情&憤怒 》,\n『 解除封印的熱情&憤怒符文 』\n\n※效果※\n固定傷害增加 1500 \n武器攻擊力及屬性增加70,\n『 被封印的古代超越符文 』\n\n※ 記載著仍無法分析的古代文字 ※,\n『 增幅欄位 』\n\n※效果※\n固定傷害增加 3000 \n武器攻擊力及屬性增加140,496,1500,586,70,0,0,496,3000,586,140,0,0
323,《 鋼鐵&生命 》,\n『 解除封印的鋼鐵&生命符文 』\n\n※效果※\n體力增加 1500 \n最大HP增加 5%,\n『 被封印的古代超越符文 』\n\n※ 記載著仍無法分析的古代文字 ※,\n『 增幅欄位 』\n\n※效果※\n體力增加 3000 \n最大HP增加 10%,26,1500,31,5,0,0,26,3000,31,10,0,0
324,《 忍耐&誓約 》,\n『 解除封印的忍耐&誓約符文 』\n\n※效果※\n經驗值獲得量增加 100% \n任務獎勵增加30%,\n『 被封印的古代超越符文 』\n\n※ 記載著仍無法分析的古代文字 ※,\n『 增幅欄位 』\n\n※效果※\n經驗值獲得量增加 200% \n任務獎勵增加60%,124,100,488,30,0,0,124,200,488,60,0,0
325,《 瘋狂&激怒 》,\n『 解除封印的瘋狂&激怒符文 』\n\n※效果※\n固定傷害增加 8% \n武器攻擊力及屬性增加 5%,\n『 被封印的古代超越符文 』\n\n※ 記載著仍無法分析的古代文字 ※,\n『 增幅欄位 』\n\n※效果※\n固定傷害增加 16% \n武器攻擊力及屬性增加 10%,588,8,587,5,0,0,588,16,587,10,0,0
326,《 奉獻&破壞 》,\n『 解除封印的奉獻&破壞符文 』\n\n※效果※\n最小傷害增加 50% \n最大傷害增加 50%,\n『 被封印的古代超越符文 』\n\n※ 記載著仍無法分析的古代文字 ※,\n『 增幅欄位 』\n\n※效果※\n最小傷害增加 100% \n最大傷害增加 100%,585,50,0,0,0,0,585,100,0,100,0,0
