ID,_Description,_AddTime1,_Material1,_AddTime2,_Material2,_AddTime3,_Material3,_AddTime4,_Material4,_AddTime5,_Material5,_AddTime6,_Material6
700100301,????? ?(Lv.1),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700100302,????? ?(Lv.2),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700100303,????? ?(Lv.3),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700100304,????? ?(Lv.4),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700100305,????? ?(Lv.5),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700100306,?? ?????(Lv.6),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700100307,?? ?????(Lv.7),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700100308,?? ?????(Lv.8),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700100309,?? ?????(Lv.9),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700100310,?? ?????(Lv.10),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700100311,?? ?????(Lv.11),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700100312,?? ?????(Lv.12),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700100313,?? ?????(Lv.13),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700100314,?? ?????(Lv.14),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700100315,?? ?????(Lv.15),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700100316,?? ?????(Lv.16),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700100317,?? ?????(Lv.17),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700100318,?? ?????(Lv.18),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700100319,?? ?????(Lv.19),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700100401,???? ?(Lv.1),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700100402,???? ?(Lv.2),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700100403,???? ?(Lv.3),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700100404,???? ?(Lv.4),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700100405,???? ?(Lv.5),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700100406,?? ????(Lv.6),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700100407,?? ????(Lv.7),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700100408,?? ????(Lv.8),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700100409,?? ????(Lv.9),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700100410,?? ????(Lv.10),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700100411,?? ????(Lv.11),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700100412,?? ????(Lv.12),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700100413,?? ????(Lv.13),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700100414,?? ????(Lv.14),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700100415,?? ????(Lv.15),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700100416,?? ????(Lv.16),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700100417,?? ????(Lv.17),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700100418,?? ????(Lv.18),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700100419,?? ????(Lv.19),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700100101,??? ?(Lv.1),360,190170102,720,190170108,0,0,0,0,0,0,0,0
700100102,??? ?(Lv.2),360,190170102,720,190170108,0,0,0,0,0,0,0,0
700100103,??? ?(Lv.3),360,190170102,720,190170108,0,0,0,0,0,0,0,0
700100104,??? ?(Lv.4),360,190170102,720,190170108,0,0,0,0,0,0,0,0
700100105,??? ?(Lv.5),360,190170102,720,190170108,0,0,0,0,0,0,0,0
700100106,??? ?(Lv.6),360,190170102,720,190170108,0,0,0,0,0,0,0,0
700100107,??? ?(Lv.7),360,190170102,720,190170108,0,0,0,0,0,0,0,0
700100108,??? ?(Lv.8),360,190170102,720,190170108,0,0,0,0,0,0,0,0
700100109,??? ?(Lv.9),360,190170102,720,190170108,0,0,0,0,0,0,0,0
700100110,??? ?(Lv.10),360,190170102,720,190170108,0,0,0,0,0,0,0,0
700100111,??? ?(Lv.11),360,190170102,720,190170108,0,0,0,0,0,0,0,0
700100112,??? ?(Lv.12),360,190170102,720,190170108,0,0,0,0,0,0,0,0
700100113,??? ?(Lv.13),360,190170102,720,190170108,0,0,0,0,0,0,0,0
700100114,??? ?(Lv.14),360,190170102,720,190170108,0,0,0,0,0,0,0,0
700100115,??? ?(Lv.15),360,190170102,720,190170108,0,0,0,0,0,0,0,0
700100116,??? ?(Lv.16),360,190170102,720,190170108,0,0,0,0,0,0,0,0
700100117,??? ?(Lv.17),360,190170102,720,190170108,0,0,0,0,0,0,0,0
700100118,??? ?(Lv.18),360,190170102,720,190170108,0,0,0,0,0,0,0,0
700100119,??? ?(Lv.19),360,190170102,720,190170108,0,0,0,0,0,0,0,0
700100120,??? ?(Lv.20),360,190170102,720,190170108,0,0,0,0,0,0,0,0
700100501,???? ?(Lv.1),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700100502,???? ?(Lv.2),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700100503,???? ?(Lv.3),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700100504,???? ?(Lv.4),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700100505,?? ????(Lv.5),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700100506,?? ????(Lv.6),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700100507,?? ????(Lv.7),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700100508,?? ????(Lv.8),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700100509,?? ????(Lv.9),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700100510,????(Lv.10),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700100511,????(Lv.11),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700100512,????(Lv.12),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700100513,????(Lv.13),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700100514,????(Lv.14),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700100515,????(Lv.15),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700100516,????(Lv.16),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700100517,????(Lv.17),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700100518,????(Lv.18),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700100519,????(Lv.19),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700100520,????(Lv.20),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700100521,?? ????,720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700100601,??? ?(Lv.1),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700100602,??? ?(Lv.2),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700100603,??? ?(Lv.3),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700100604,??? ?(Lv.4),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700100605,?? ???(Lv.5),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700100606,?? ???(Lv.6),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700100607,?? ???(Lv.7),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700100608,?? ???(Lv.8),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700100609,?? ???(Lv.9),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700100610,???(Lv.10),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700100611,???(Lv.11),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700100612,???(Lv.12),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700100613,???(Lv.13),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700100614,???(Lv.14),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700100615,???(Lv.15),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700100616,???(Lv.16),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700100617,???(Lv.17),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700100618,???(Lv.18),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700100619,???(Lv.19),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700100701,?? ?(Lv.1),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700100702,?? ?(Lv.2),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700100703,?? ?(Lv.3),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700100704,?? ?(Lv.4),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700100705,?? ??(Lv.5),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700100706,?? ??(Lv.6),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700100707,?? ??(Lv.7),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700100708,?? ??(Lv.8),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700100709,?? ??(Lv.9),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700100710,??(Lv.10),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700100711,??(Lv.11),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700100712,??(Lv.12),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700100713,??(Lv.13),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700100714,??(Lv.14),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700100715,??(Lv.15),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700100716,??(Lv.16),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700100717,??(Lv.17),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700100718,??(Lv.18),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700100719,??(Lv.19),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700100801,??? ?(Lv.1),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700100802,??? ?(Lv.2),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700100803,??? ?(Lv.3),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700100804,??? ?(Lv.4),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700100805,?? ???(Lv.5),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700100806,?? ???(Lv.6),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700100807,?? ???(Lv.7),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700100808,?? ???(Lv.8),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700100809,?? ???(Lv.9),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700100810,???(Lv.10),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700100811,???(Lv.11),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700100812,???(Lv.12),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700100813,???(Lv.13),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700100814,???(Lv.14),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700100815,???(Lv.15),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700100816,???(Lv.16),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700100817,???(Lv.17),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700100818,???(Lv.18),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700100819,???(Lv.19),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700100901,??? ?(Lv.1),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700100902,??? ?(Lv.2),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700100903,??? ?(Lv.3),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700100904,??? ?(Lv.4),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700100905,?? ???(Lv.5),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700100906,?? ???(Lv.6),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700100907,?? ???(Lv.7),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700100908,?? ???(Lv.8),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700100909,?? ???(Lv.9),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700100910,???(Lv.10),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700100911,???(Lv.11),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700100912,???(Lv.12),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700100913,???(Lv.13),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700100914,???(Lv.14),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700100915,???(Lv.15),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700100916,???(Lv.16),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700100917,???(Lv.17),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700100918,???(Lv.18),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700100919,???(Lv.19),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700101101,?? ?(Lv.1),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700101102,?? ?(Lv.2),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700101103,?? ?(Lv.3),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700101104,?? ?(Lv.4),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700101105,?? ??(Lv.5),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700101106,?? ??(Lv.6),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700101107,?? ??(Lv.7),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700101108,?? ??(Lv.8),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700101109,?? ??(Lv.9),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700101110,??(Lv.10),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700101111,??(Lv.11),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700101112,??(Lv.12),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700101113,??(Lv.13),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700101114,??(Lv.14),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700101115,??(Lv.15),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700101116,??(Lv.16),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700101117,??(Lv.17),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700101118,??(Lv.18),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700101119,??(Lv.19),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700101120,??(Lv.20),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700101121,?? ??,720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700101001,?? ?(Lv.1),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700101002,?? ?(Lv.2),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700101003,?? ?(Lv.3),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700101004,?? ?(Lv.4),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700101005,?? ??(Lv.5),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700101006,?? ??(Lv.6),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700101007,?? ??(Lv.7),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700101008,?? ??(Lv.8),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700101009,?? ??(Lv.9),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700101010,??(Lv.10),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700101011,??(Lv.11),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700101012,??(Lv.12),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700101013,??(Lv.13),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700101014,??(Lv.14),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700101015,??(Lv.15),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700101016,??(Lv.16),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700101017,??(Lv.17),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700101018,??(Lv.18),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700101019,??(Lv.19),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700101020,??(Lv.20),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700101021,?? ??,720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700101201,????? ?(Lv.1),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700101202,????? ?(Lv.2),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700101203,????? ?(Lv.3),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700101204,????? ?(Lv.4),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700101205,?? ?????(Lv.5),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700101206,?? ?????(Lv.6),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700101207,?? ?????(Lv.7),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700101208,?? ?????(Lv.8),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700101209,?? ?????(Lv.9),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700101210,?????(Lv.10),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700101211,?????(Lv.11),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700101212,?????(Lv.12),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700101213,?????(Lv.13),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700101214,?????(Lv.14),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700101215,?????(Lv.15),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700101216,?????(Lv.16),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700101217,?????(Lv.17),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700101218,?????(Lv.18),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700101219,?????(Lv.19),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700101220,?????(Lv.20),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700101221,?? ?????,720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700101301,??? ?(Lv.1),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700101302,??? ?(Lv.2),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700101303,??? ?(Lv.3),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700101304,??? ?(Lv.4),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700101305,?? ???(Lv.5),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700101306,?? ???(Lv.6),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700101307,?? ???(Lv.7),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700101308,?? ???(Lv.8),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700101309,?? ???(Lv.9),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700101310,???(Lv.10),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700101311,???(Lv.11),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700101312,???(Lv.12),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700101313,???(Lv.13),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700101314,???(Lv.14),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700101315,???(Lv.15),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700101316,???(Lv.16),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700101317,???(Lv.17),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700101318,???(Lv.18),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700101319,???(Lv.19),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700101401,???? ?(Lv.1),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700101402,???? ?(Lv.2),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700101403,???? ?(Lv.3),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700101404,???? ?(Lv.4),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700101405,?? ????(Lv.5),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700101406,?? ????(Lv.6),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700101407,?? ????(Lv.7),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700101408,?? ????(Lv.8),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700101409,?? ????(Lv.9),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700101410,????(Lv.10),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700101411,????(Lv.11),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700101412,????(Lv.12),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700101413,????(Lv.13),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700101414,????(Lv.14),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700101415,????(Lv.15),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700101416,????(Lv.16),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700101417,????(Lv.17),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700101418,????(Lv.18),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700101419,????(Lv.19),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700101501,?? ?(Lv.1),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700101502,?? ?(Lv.2),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700101503,?? ?(Lv.3),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700101504,?? ?(Lv.4),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700101505,?? ??(Lv.5),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
