ID,_CutInImage,_Npcname,_Message,_EventType1,_TypeID1,_Text1,_EventType2,_TypeID2,_Text2,_EventType3,_TypeID3,_Text3,_EventType4,_TypeID4,_Text4,_EventType5,_TypeID5,_Text5,_EventType6,_TypeID6,_Text6
1045,81,瑪琳,歡迎光臨~歡迎歡迎 ~,1,115626000,1. 對話,4,10451,2. 任務,0,0,,0,0,,0,0,,0,0,
1046,82,雷米,格鬥場終於開張了!,1,115627000,1. 對話,4,10461,2. 任務,0,0,,0,0,,0,0,,0,0,
1047,83,寧,現在格鬥場已經公開了。,1,115628000,1. 對話,4,10471,2. 任務,0,0,,0,0,,0,0,,0,0,
1048,84,海洋,如要使用隊伍格鬥場，那麼就請去找葛莉思。,1,115629000,1. 對話,4,10481,2. 任務,0,0,,0,0,,0,0,,0,0,
1049,85,娜娜,格鬥場開放了，請去找雷米吧。,1,115630000,1. 對話,4,10491,2. 任務,0,0,,0,0,,0,0,,0,0,
1050,86,葛莉思,想要隊伍格鬥，那就來找我吧!∼,1,115631000,1. 對話,4,10501,2. 任務,0,0,,0,0,,0,0,,0,0,
1051,87,嵐,很高興見到你，有什麼事情嗎?,1,115631003,1. 對話,4,10511,2. 任務,0,0,,0,0,,0,0,,0,0,
1052,88,春花,我有可以幫助你的事情嗎?,1,115632000,1. 對話,4,10521,2. 任務,0,0,,0,0,,0,0,,0,0,
1053,89,迎花,你好，我是迎花。,1,115633000,1. 對話,4,10531,2. 任務,0,0,,0,0,,0,0,,0,0,
1054,90,金花,你好，我是金花。,1,115634000,1. 對話,4,10541,2. 任務,0,0,,0,0,,0,0,,0,0,
1055,91,蘭花,歡迎歡迎∼這裡是艾利亞斯王宮!,1,115635000,1. 對話,4,10551,2. 任務,0,0,,0,0,,0,0,,0,0,
1056,92,蓮花,啊，你好啊，有什麼事情嗎?,1,115636000,1. 對話,4,10561,2. 任務,0,0,,0,0,,0,0,,0,0,
1057,93,南宮,有什麼事情?,1,115637000,1. 對話,4,10571,2. 任務,0,0,,0,0,,0,0,,0,0,
1058,94,西君,有什麼事情嗎?,1,115638000,1. 對話,4,224,2. 任務,0,0,,0,0,,0,0,,0,0,
1059,95,東宮,請問有什麼事情嗎?,1,115639000,1. 對話,4,223,2. 任務,0,0,,0,0,,0,0,,0,0,
1060,96,海樂妮,你好嗎?我是王女海樂妮。,1,115640000,1. 對話,4,226,2. 任務,1,115668000,3. 欣賞劇情漫畫,0,0,,0,0,,0,0,
1061,97,惠宗,嗯，你來拜見我，是有什麼所求?,1,115641000,1. 對話,4,227,2. 任務,0,0,,0,0,,0,0,,0,0,
1062,49,排名佈告欄,要公佈了---啊!,17,12345678,1. 排名,0,0,,0,0,,0,0,,0,0,,0,0,
1063,49,排名佈告欄,要公佈了---啊!,17,12345678,1. 排名,0,0,,0,0,,0,0,,0,0,,0,0,
1064,49,排名佈告欄,要公佈了---啊!,17,12345678,1. 排名,0,0,,0,0,,0,0,,0,0,,0,0,
1065,101,柳香帥,很高興見到你!來看看龍京的首飾物品喔!,1,115642000,1. 對話,4,309,2. 任務,2,651,3. 交易首飾物品,1,116650300,4. 有關龍京的氣氛,0,0,,0,0,
1066,102,瓊基恩,你是具有才智雙備的人嗎?那麼你來的正好。,1,115643000,1. 對話,4,307,2. 任務,0,0,,0,0,,0,0,,0,0,
1067,48,龍京區域傳點,"超時空網路通訊中…H-E-L-L-O,我是拉姆亞。",9,671,1. 使用區域傳點,0,0,,0,0,,0,0,,0,0,,0,0,
1068,103,宜靜,歡迎，請問有什麼可以幫助你的嗎?,1,115644000,1. 對話,4,21951,2. 任務,0,0,,0,0,,0,0,,0,0,
1069,104,琳寧,想要和琳寧對話嗎?還是和我們夏奇?,1,115645000,1. 對話,4,310,2. 任務,0,0,,0,0,,0,0,,0,0,
1070,105,拉瓦爾,歡迎光臨，請挑挑看物品喔!,1,115646000,1. 對話,4,303,2. 任務,2,701,3. 道具交易,2,702,4. 拼圖和魔盒,0,0,,0,0,
1071,106,喬治夫,很高興見到你，我叫做喬治夫。,1,115647000,1. 對話,4,301,2. 任務,2,71301,3. 武器交易(物理系列),2,71303,4. 武器交易(魔法系列),2,71302,5. 武器交易(副職業),0,0,
1072,107,偉恩,你是從遠方來的客人啊，很高興見到你。,1,115648000,1. 對話,4,10721,2. 任務,2,722,3. 交易防具,0,0,,0,0,,0,0,
1073,108,蘭蒂安,你要點餐嗎?還是要在住宿處休息呢?,1,115649000,1. 對話,4,305,2. 任務,10,10731,3. 兌換任務道具,0,0,,0,0,,0,0,
1074,109,亞菲,你找我有什麼事情嗎?,1,115650000,1. 對話,4,306,2. 任務,0,0,,0,0,,0,0,,0,0,
1075,49,排名佈告欄,要公佈了---啊!,17,12345678,1. 排名,0,0,,0,0,,0,0,,0,0,,0,0,
1076,49,排名佈告欄,要公佈了---啊!,17,12345678,1. 排名,0,0,,0,0,,0,0,,0,0,,0,0,
1077,49,排名佈告欄,要公佈了---啊!,17,12345678,1. 排名,0,0,,0,0,,0,0,,0,0,,0,0,
1078,71,夏洛,今天，明天，每天都很歡樂的彩虹島物語!,4,10781,1. 任務,20,29800007,2. 屬性物品鎖定以及解除,1,115621000,3. 物品鎖定功能是什麼?,0,0,,0,0,,0,0,
1079,50,莫亞,莫亞的拍賣場!你來的正好!,1,115607000,1. 對話,4,10791,2. 任務,0,0,,0,0,,0,0,,0,0,
1080,49,排名佈告欄,要公佈了---啊!,17,12345678,1. 排名,0,0,,0,0,,0,0,,0,0,,0,0,
1081,137,亞美,時尚的最前端就是奧亦奇模式啊，你要不要也擁有一個呢?,1,115651000,1. 對話,4,407,2. 任務,2,811,3. 交易首飾物品,0,0,,0,0,,0,0,
1082,138,艾咪,歡迎光臨!這裡是吉恩蒂亞最棒最自豪的奧亦奇武器商店!,1,115652000,1. 對話,4,401,2. 任務,2,82301,3. 武器交易(物理系列),2,82303,4. 武器交易(魔法系列),2,82302,5. 武器交易(副職業),0,0,
1083,139,基恩,這是我製作的防具…請你慢慢挑選。,1,115653000,1. 對話,4,402,2. 任務,2,832,3. 交易防具,0,0,,0,0,,0,0,
1084,140,卡莉林,歡迎光臨，不管是物品還是物品，又或是物品!都可以在這裡找的到。,1,115654000,1. 對話,4,403,2. 任務,2,841,3. 道具交易,2,842,4. 拼圖和魔盒,0,0,,0,0,
1085,141,蘿拉,歡迎來到奧亦奇的物品保管處!我是蘿拉，而他是西羅。,1,115655000,1. 對話,4,10851,2. 任務,0,0,,0,0,,0,0,,0,0,
1086,48,奧亦奇區域傳點,"超時空網路通訊中…H-E-L-L-O,我是拉姆亞。",9,861,1. 使用區域傳點,0,0,,0,0,,0,0,,0,0,,0,0,
1087,142,塔莫里,…………你找我有什麼事情嗎?,1,115656000,1. 對話,4,408,2. 任務,10,10871,3. 黑月一族聲望兌換,4,10871,4. 黑月一族聲望任務,9,10871,5. 使用區域傳送門,0,0,
1088,143,凱伊,歡迎光臨!我會誠心地服侍你的。,1,115657000,1. 對話,4,405,2. 任務,10,10881,3. 兌換任務道具,0,0,,0,0,,0,0,
1089,144,辛卓,喔喔喔喔喔---!你想要討論看看有關正義的事情嗎?,1,115658000,1. 對話,4,406,2. 任務,0,0,,0,0,,0,0,,0,0,
1090,49,排名佈告欄,要公佈了---啊!,17,12345678,1. 排名,0,0,,0,0,,0,0,,0,0,,0,0,
1091,49,排名佈告欄,要公佈了---啊!,17,12345678,1. 排名,0,0,,0,0,,0,0,,0,0,,0,0,
1092,191,歐備倫&泰翼娜,哼!嘖!嗶!,1,116648000,1. 對話,0,0,,0,0,,0,0,,0,0,,0,0,
1093,301,霍爾,…呼，多虧你的幫忙，精神有振作一點了，謝謝你。,4,9410,1. 瞭解任務,0,0,,0,0,,0,0,,0,0,,0,0,
1102,135,影波克,日後使用,1,0,,0,0,,0,0,,0,0,,0,0,,0,0,
1103,136,耶比妹妹,日後使用,1,0,,0,0,,0,0,,0,0,,0,0,,0,0,
1105,157,傑瑞,GO~你在睡覺嗎，GO GO GO!,1,8620100,1. 想要進行對話,4,1051,2. 瞭解任務,0,0,,0,0,,0,0,,0,0,
1106,158,艾妮,你好啊∼親愛的∼?,1,8630100,1. 想要進行對話,4,1061,2. 瞭解任務,2,1062,3. 道具交易,0,0,,0,0,,0,0,
1107,159,阿蓮,"Go ahead, make my day。",1,8610100,1. 想要進行對話,4,1071,2. 瞭解任務,4,30029,3. 每日任務,9,107,4. 往怪物塔各層移動,9,108,5. 移動至'深夜餐廳',0,0,
1108,160,傑尼斯,想要回到<艾利亞斯>的客人，只要來找我就可以了。,1,85110,1. 想要進行對話,9,1081,2. 想回到艾利亞斯,0,0,,0,0,,0,0,,0,0,
1109,161,卡特,感謝您使用艾利亞斯機場。,1,85210,1. 想要進行對話,0,0,,0,0,,0,0,,0,0,,0,0,
1110,162,艾薩克神父,我是負責這個神殿的普利斯特。,1,115659000,1. 想要聆聽有關結婚的更詳盡內容,18,8801,2. 申請結婚,2,1101,3. 購買求婚物品,0,0,,0,0,,0,0,
1111,163,莉莉安修女,我正在為這個神殿奉獻。,1,115660000,1. 想要先瞭解分手的詳細內容,19,88021,2. 申請分手,0,0,,0,0,,0,0,,0,0,
1113,51,賽蘿,好可愛…快來看看可愛的同伴動物喔!,2,1131,1. 購買寵物物品,10,11131,2. 領養特殊的寵物,10,11132,3. 寵物活動,10,11133,4. [活動]領養特殊的寵物,0,0,,0,0,
1114,51,賽蘿,好可愛…快來看看可愛的同伴動物喔!,2,1141,1. 購買寵物物品,10,11141,2. 領養特殊的寵物,10,11142,3. 寵物活動,4,11141,4. 任務,10,11143,5. [活動]領養特殊的寵物,0,0,
1115,164,亞伊薩,願夏特郝勒女神的祝福與你同在…。,1,116601000,1. 對話,4,115,2. 任務,2,1151,3. 交易首飾物品,0,0,,0,0,,0,0,
1116,165,伊恩波特,歡迎歡迎，從遠方而來的客人!,1,116602000,1. 對話,4,11161,2. 任務,2,116301,3. 武器交易(物理系列),2,116303,4. 武器交易(魔法系列),2,116302,5. 武器交易(副職業),0,0,
1117,166,泰特,您好，有需要什麼儘管說。,1,116603000,1. 對話,2,1172,2. 交易防具,4,11171,3. 任務,0,0,,0,0,,0,0,
1118,167,悠納斯,呼呼，有需要什麼物品的嗎?,1,116604000,1. 對話,4,118,2. 任務,2,1181,3. 道具交易,2,1182,4. 拼圖和魔盒,0,0,,0,0,
1119,168,莉婕,……這裡是物品保管處。,1,116605000,1. 對話,4,119,2. 任務,0,0,,0,0,,0,0,,0,0,
1120,169,拉希特,給幸運的你!辛苦的旅程是會因耐心而有所改變得。,1,116606000,1. 對話,4,11202,2. 任務,10,11201,3. 交易任務物品,0,0,,0,0,,0,0,
1122,171,希羅,天啊，你是對我感到很好奇嗎?,1,116607000,1. 對話,4,1221,2. 任務,0,0,,0,0,,0,0,,0,0,
1123,172,卡地佛,你可以戰勝沙漠的危險嗎?,1,116608000,1. 對話,4,123,2. 任務,0,0,,0,0,,0,0,,0,0,
1124,173,托特,智慧是存在於各個地方的，如果你有感到疑惑的地方，就請說出來吧。,1,116609000,1. 對話,4,124,2. 任務,0,0,,0,0,,0,0,,0,0,
1125,174,琪拉,你想要知道變強悍的方法嗎?,1,116610000,1. 對話,1,117101003,2. 有關1次轉職,4,125,3. 任務,0,0,,0,0,,0,0,
1126,175,布馬,嗯!我們家族是歷史悠久的帕拉泰族後裔!,1,116111000,1. 對話,4,126,2. 任務,2,126301,3. 武器交易(物理系列),2,126303,4. 武器交易(魔法系列),2,126302,5. 武器交易(副職業),0,0,
1127,176,特裡莎,歡迎光臨∼我正在向爺爺學習東西呢。,1,116612000,1. 對話,2,12720,2. 交易防具,4,11271,3. 任務,0,0,,0,0,,0,0,
1128,177,加納思,我可以幫助你嗎?,1,116613000,1. 對話,4,128,2. 任務,2,1281,3. 交易首飾物品,0,0,,0,0,,0,0,
1129,178,奴安,我，我我我，我!那個，請等我一下。,1,116614000,1. 對話,2,1291,2. 道具交易,2,1292,3. 拼圖和魔盒,4,11291,4. 任務,0,0,,0,0,
1130,179,沙堤,有什麼可以幫助你的呢?,1,116615000,1. 對話,0,0,,0,0,,0,0,,0,0,,0,0,
1131,180,西斯藍,啊-哈，簡短的…拜託你…。,1,116616000,1. 對話,4,131,2. 任務,0,0,,0,0,,0,0,,0,0,
1132,181,宣聖,水金地火木土天海冥!冥王星以後會怎樣呢?,4,132,1. 任務,0,0,,0,0,,0,0,,0,0,,0,0,
1133,182,拉塔特,是的，要什麼儘管說-。,1,116618000,1. 對話,4,133,2. 任務,0,0,,0,0,,0,0,,0,0,
1134,183,貝拉,熱情的都市貝斯!你來對地方了∼!,1,116619000,1. 對話,4,1342,2. 任務,10,11341,3. 交易任務物品,0,0,,0,0,,0,0,
1135,184,露比亞,Ra?La? Tara?La… 嗯?我嗎?,1,116620000,1. 對話,0,0,,0,0,,0,0,,0,0,,0,0,
1136,188,鞋貓,大家好~(微笑),1,116625000,1. 對話,2,1361,2. 道具交易,0,0,,0,0,,0,0,,0,0,
1137,189,寶妮,噗咻---,1,116623000,1. 對話,4,137,2. 任務,0,0,,0,0,,0,0,,0,0,
1138,190,白鶴王子,魔鏡啊-魔鏡-啊~,1,116624000,1. 對話,0,0,,0,0,,0,0,,0,0,,0,0,
1139,191,歐備倫&泰翼娜,哼!嘖!嗶!,1,116648000,1. 對話,0,0,,0,0,,0,0,,0,0,,0,0,
1140,206,佩爾柯特,這老人…。就只知道丟下一堆問題…。,4,140,1. 任務,0,0,,0,0,,0,0,,0,0,,0,0,
1141,205,摩莉絲修女,不知道多久沒有見面了，很高興見到你啊!必滅者。,1,94047200,1. 對話,4,141,2. 任務,9,1862,3. 往吉納蒂亞其他地區移動,2,11411,4. 道具交易,0,0,,0,0,
1142,508,愛蓮修女,你來到吉納蒂亞正好，旅行者。,1,116627000,1. 對話,4,142,2. 任務,9,1863,3. 往吉納蒂亞其他地區移動,2,11421,4. 道具交易,0,0,,0,0,
1143,509,西斯蒂娜修女,吉納蒂亞的暴風三姊妹!我是第三個姊妹，歡迎歡迎，必滅者!,1,116628000,1. 對話,4,143,2. 任務,9,1864,3. 往吉納蒂亞其他地區移動,2,11431,4. 道具交易,0,0,,0,0,
1144,510,波利斯修女,很高興見到你，旅行者。,1,116629000,1. 對話,4,144,2. 任務,9,1865,3. 往吉納蒂亞其他地區移動,2,11441,4. 道具交易,0,0,,0,0,
1145,511,娜莉亞修女,你-好? 我是聖歌團長娜莉亞? 我正在編寫貢獻給姊妹們的歌曲?,1,116630000,1. 對話,4,145,2. 任務,9,1866,3. 往吉納蒂亞其他地區移動,0,0,,0,0,,0,0,
1146,207,普拉蒂娜,在這麼意外的地方很高興能夠見到你，希望藍色光芒的守護會與你同在。,1,116631000,1. 對話,4,146,2. 任務,9,1867,3. 往吉納蒂亞其他地區移動,0,0,,0,0,,0,0,
1147,512,科卡貝,知道要幫助別人，同時能夠不停下腳步的人啊!勝利與光榮會與你們同在的!,1,116632000,1. 對話,4,147,2. 任務,9,1868,3. 往吉納蒂亞其他地區移動,0,0,,0,0,,0,0,
1148,214,姊妹艾伊爾,讓祭司的庭園變得如此混亂的魔王妖怪啊，我是絕對不會原諒你們的，就算是你們消失在廣大虛無的空間裡。,1,116633000,1. 對話,0,0,,0,0,,0,0,,0,0,,0,0,
1149,513,火王拉巴娜,太好了，我現在正好感到無聊呢!,1,116634000,1. 對話,0,0,,0,0,,0,0,,0,0,,0,0,
1150,514,神官希穆勒克,在天空中那閃耀的光線，我還以為是星星呢，仔細一看原來是你啊，必滅者。,1,116635000,1. 對話,4,150,2. 任務,9,1869,3. 往吉納蒂亞其他地區移動,2,11501,4. 道具交易,0,0,,0,0,
1151,515,神官克拉托斯,喔，年輕的冒險家啊，這裡可是很危險的。,1,116636000,1. 對話,4,151,2. 任務,9,1870,3. 往吉納蒂亞其他地區移動,0,0,,0,0,,0,0,
1152,516,神官 卡魔人,喔喔，我可以感受到一股優秀的銳氣…。很高興見到你，勇士。,1,116637000,1. 對話,4,152,2. 任務,9,1871,3. 往吉納蒂亞其他地區移動,0,0,,0,0,,0,0,
1153,517,貞德的石像?,………。\n(感覺在哪裡散發出奇怪氣息的石像。),1,116638000,1. 對話,0,0,,0,0,,0,0,,0,0,,0,0,
1154,194,沙拉,歡迎來到奧利佛王國。,1,116641000,1. 對話,2,154301,2. 武器交易(物理系列),2,154303,3. 武器交易(魔法系列),2,154302,4. 武器交易(副職業),0,0,,0,0,
1155,195,路伊,奧利佛好久沒有外人來了。,1,116642000,1. 對話,2,1552,2. 交易防具,0,0,,0,0,,0,0,,0,0,
1156,196,朗妮,不管是什麼，請儘管開口，客人!,1,116643000,1. 對話,2,1561,2. 道具交易,0,0,,0,0,,0,0,,0,0,
1157,197,安樂,在奧利佛也有物品保管處，嚇一跳吧?,1,116644000,1. 對話,0,0,,0,0,,0,0,,0,0,,0,0,
1158,198,穆拉,不知道這裡有沒有適合外來客人的食物。,1,116645000,1. 對話,4,158,2. 任務,0,0,,0,0,,0,0,,0,0,
1159,199,蘇比,歡迎來到奧利佛。,1,116646000,1. 對話,4,159,2. 任務,0,0,,0,0,,0,0,,0,0,
1160,200,納伊,最強最大無敵的奧利佛國軍總帥，我是納伊元帥!,1,116647000,1. 對話,0,0,,0,0,,0,0,,0,0,,0,0,
1161,156,龍克斯,流浪商人3兄妹超越了時空，來到了這裡!,4,161,1. 任務,2,1611,2. 道具交易,2,1612,3. 拼圖和魔盒,0,0,,0,0,,0,0,
1162,155,托勒妮亞,在這個地區，有很多獨特的特產物。,2,1622,1. 防具交易,4,162,2. 任務,0,0,,0,0,,0,0,,0,0,
1163,154,海伊凱爾,我是海伊凱爾!我也會在這裡努力地工作的!,4,163,1. 任務,2,163301,2. 武器交易(物理系列),2,163303,3. 武器交易(魔法系列),2,163302,4. 武器交易(副職業),0,0,,0,0,
1180,51,賽蘿,好可愛…快來看看可愛的同伴寵物喔!,2,1801,1. 購買寵物物品,10,11801,2. 領養特殊的寵物,10,11802,3. 寵物活動,10,11803,4. [活動]領養特殊的寵物,0,0,,0,0,
1181,51,賽蘿,好可愛…快來看看可愛的同伴寵物喔!,2,1811,1. 購買寵物物品,10,11811,2. 領養特殊的寵物,10,11812,3. 寵物活動,10,11813,4. [活動]領養特殊的寵物,0,0,,0,0,
1182,48,阿法區域傳點,"超時空網路通訊中…H-E-L-L-O,我是拉姆亞。",9,1821,1. 使用區域傳點,0,0,,0,0,,0,0,,0,0,,0,0,
1183,48,貝斯區域傳點,"超時空網路通訊中…H-E-L-L-O,我是拉姆亞。",9,1831,1. 使用區域傳點,0,0,,0,0,,0,0,,0,0,,0,0,
1186,1029,吉恩蒂亞石像,(是第一次看見的石塔樣式，總覺得好像有某種少女的模樣存在於其中…。),9,1861,1. 往吉納蒂亞各地區移動,4,28009,2. 任務,0,0,,0,0,,0,0,,0,0,
1187,219,拉裡薩,拉裡薩來了，波屋-,1,71000,1. 想要進行對話,0,0,,0,0,,0,0,,0,0,,0,0,
1188,220,索妮爾,Hip & Voo~。,1,70800,1. 想要進行對話,4,188,2. 任務,0,0,,0,0,,0,0,,0,0,
1189,221,安娜史塔莎,…?,1,71100,1. 想要進行對話,4,189,2. 任務,0,0,,0,0,,0,0,,0,0,
1190,222,修普勒,歡迎光臨。,4,190,1. 任務,0,0,,0,0,,0,0,,0,0,,0,0,
