ID,_EffectRequire1_ID,_EffectRequire1_Value1,_Normal_Attack,_EffectRequire2_ID,_EffectRequire2_Value1,_Normal_Attack2,_EffectRequire3_ID,_EffectRequire3_Value1,_Heavy_Attack,_EffectRequire4_ID,_EffectRequire4_Value1,_Heavy_Attack2,_EffectRequire5_ID,_EffectRequire5_Value1,_Light_Attack,_EffectRequire6_ID,_EffectRequire6_Value1,_Light_Attack2,_EffectRequire7_ID,_EffectRequire7_Value1,_Strong_Attack,_EffectRequire8_ID,_EffectRequire8_Value1,_Strong_Attack2
3119,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3120,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3146,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3147,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4006,0,0,46,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4016,0,0,17,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4017,0,0,18,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4018,0,0,16,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4019,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4046,0,0,16,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5016,0,0,17,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5017,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6006,0,0,46,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6016,0,0,17,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0
6017,0,0,18,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0
6018,0,0,40,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0
6019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0
6020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0
6040,0,0,41,0,0,0,0,0,19,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0
6041,0,0,42,0,0,0,0,0,20,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0
6042,0,0,43,0,0,0,0,0,47,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0
6043,0,0,44,0,0,0,0,0,48,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0
6044,0,0,0,0,0,0,0,0,49,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0
6046,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0
6048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0
6049,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0
6050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0
6071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,81,0,0,0
6081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0,0,0
6082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0,0,0
6083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,24000182,84,0,0,0
6084,0,0,16,0,0,0,0,0,19,0,0,0,0,0,72,0,0,0,1,24000182,85,0,0,0
7006,0,0,46,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0
7016,0,0,17,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7017,0,0,18,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7018,0,0,16,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7019,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7020,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7046,0,0,16,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7047,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0,0,0
7082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0,0,0
7083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0
7106,0,0,46,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0
7116,0,0,17,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7117,0,0,18,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7118,0,0,16,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7119,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7120,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7146,0,0,16,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7147,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0,0,0
7182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0,0,0
7183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0
7206,0,0,18,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8006,0,0,46,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8016,0,0,17,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8017,0,0,18,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8018,0,0,16,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8019,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8046,0,0,16,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9006,0,0,46,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9016,0,0,17,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9017,0,0,18,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9018,0,0,17,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9046,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10006,0,0,46,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10016,0,0,17,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10017,0,0,18,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10018,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10019,0,0,16,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10046,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22006,0,0,46,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23006,0,0,46,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25019,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25020,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25047,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25048,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25049,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25050,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26006,0,0,46,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26016,0,0,17,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26017,0,0,18,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26018,0,0,16,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26019,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26046,0,0,16,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27006,0,0,46,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27016,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27017,0,0,18,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27018,0,0,40,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27040,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27046,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28006,0,0,46,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28016,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28017,0,0,18,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28018,0,0,40,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28019,0,0,16,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28040,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28046,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28048,0,0,16,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29006,0,0,46,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29016,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29017,0,0,18,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29018,0,0,40,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29040,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29046,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30006,0,0,46,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30016,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30017,0,0,18,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30018,0,0,40,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30019,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30020,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30040,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30046,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30049,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30050,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31006,0,0,46,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31016,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31017,0,0,18,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31018,0,0,40,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31019,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31020,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31040,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31046,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31049,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31050,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32006,0,0,46,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32016,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32017,0,0,18,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32018,0,0,40,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32019,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32020,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32040,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32046,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32049,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32050,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33006,0,0,46,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33016,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33017,0,0,18,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33018,0,0,40,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33040,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33046,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33048,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33049,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34006,0,0,46,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34016,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34017,0,0,18,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34018,0,0,40,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34040,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34046,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34047,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34048,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34049,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34050,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35006,0,0,46,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35016,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35017,0,0,18,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35018,0,0,40,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35040,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35046,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35047,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36006,0,0,46,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36016,1,31100001,42,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36017,1,31100001,43,0,0,18,1,31100001,50,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0
36018,1,31100001,44,0,0,40,1,31100001,51,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0
36019,1,31100001,42,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36040,0,0,0,0,0,0,1,31100001,52,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0
36042,1,31100001,43,0,0,18,1,31100001,50,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0
36043,1,31100001,44,0,0,40,1,31100001,51,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0
36044,0,0,0,0,0,0,1,31100001,52,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0
36046,0,0,17,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36048,0,0,0,0,0,0,1,31100001,53,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0
36052,0,0,0,0,0,0,1,31100001,53,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0
37006,0,0,46,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37016,0,0,17,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37017,0,0,18,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37018,0,0,40,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37019,0,0,17,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37020,0,0,17,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37040,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37046,0,0,17,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38006,0,0,46,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38016,1,31300001,41,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38017,1,31300001,42,0,0,18,1,31300001,49,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0
38018,1,31300001,43,0,0,40,1,31300001,50,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0
38019,1,31300001,41,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38020,1,31300001,42,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38040,0,0,0,0,0,0,1,31300001,51,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0
38041,1,31300001,42,0,0,18,1,31300001,49,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0
38042,1,31300001,43,0,0,40,1,31300001,50,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0
38043,0,0,0,0,0,0,1,31300001,51,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0
38046,0,0,16,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38047,1,31300001,43,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38049,1,31300001,42,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38050,1,31300001,43,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,1,31300001,85,0,0,81
38072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,1,31300001,86,0,0,82
38073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,1,31300001,87,0,0,83
38074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,1,31300001,88,0,0,84
38075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,1,31300001,88,0,0,84
39006,0,0,46,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39016,0,0,17,0,0,0,0,0,19,0,0,0,1,21013164,72,0,0,74,0,0,0,0,0,0
39017,0,0,18,0,0,0,0,0,20,0,0,0,1,21013164,72,0,0,74,0,0,0,0,0,0
39018,0,0,40,0,0,0,0,0,47,0,0,0,1,21013164,72,0,0,74,0,0,0,0,0,0
39019,0,0,17,0,0,0,0,0,20,0,0,0,1,21013164,72,0,0,74,0,0,0,0,0,0
39020,0,0,18,0,0,0,0,0,47,0,0,0,1,21013164,72,0,0,74,0,0,0,0,0,0
39040,0,0,41,0,0,0,0,0,48,0,0,0,1,21013164,72,0,0,74,0,0,0,0,0,0
39041,0,0,42,0,0,0,0,0,49,0,0,0,1,21013164,72,0,0,74,0,0,0,0,0,0
39042,0,0,0,0,0,0,0,0,50,0,0,0,1,21013164,72,0,0,74,0,0,0,0,0,0
39046,0,0,16,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39047,0,0,40,0,0,0,0,0,48,0,0,0,1,21013164,72,0,0,74,0,0,0,0,0,0
39048,0,0,41,0,0,0,0,0,49,0,0,0,1,21013164,72,0,0,74,0,0,0,0,0,0
