ID,_Month,_VIPGrade,_GradePoint,_SpecialReward1,_SpecialReward2,_SpecialReward3,_SpecialReward4,_SpecialReward5,_LoopReward1,_LoopReward2,_LoopReward3,_LoopReward4,_LoopReward5
63,7,3,699,1150,1141,0,0,0,0,0,0,0,0
64,7,4,1299,1142,1143,1144,0,0,0,0,0,0,0
65,7,5,2599,1146,1145,0,0,0,0,0,0,0,0
66,7,6,4699,1147,1148,0,0,0,0,0,0,0,0
67,7,7,7699,1149,0,0,0,0,0,0,0,0,0
68,7,8,11799,1151,0,0,0,0,0,0,0,0,0
69,7,9,17099,1152,0,0,0,0,0,0,0,0,0
70,7,10,23299,1153,0,0,0,0,0,0,0,0,0
71,8,1,169,1139,0,0,0,0,0,0,0,0,0
72,8,2,299,1139,1140,0,0,0,0,0,0,0,0
73,8,3,699,1150,1141,0,0,0,0,0,0,0,0
74,8,4,1299,1142,1143,1144,0,0,0,0,0,0,0
75,8,5,2599,1146,1145,0,0,0,0,0,0,0,0
76,8,6,4699,1147,1148,0,0,0,0,0,0,0,0
77,8,7,7699,1149,0,0,0,0,0,0,0,0,0
78,8,8,11799,1151,0,0,0,0,0,0,0,0,0
79,8,9,17099,1152,0,0,0,0,0,0,0,0,0
80,8,10,23299,1153,0,0,0,0,0,0,0,0,0
81,9,1,169,1139,0,0,0,0,0,0,0,0,0
82,9,2,299,1139,1140,0,0,0,0,0,0,0,0
83,9,3,699,1150,1141,0,0,0,0,0,0,0,0
84,9,4,1299,1142,1143,1144,0,0,0,0,0,0,0
85,9,5,2599,1146,1145,0,0,0,0,0,0,0,0
86,9,6,4699,1147,1148,0,0,0,0,0,0,0,0
87,9,7,7699,1149,0,0,0,0,0,0,0,0,0
88,9,8,11799,1151,0,0,0,0,0,0,0,0,0
89,9,9,17099,1152,0,0,0,0,0,0,0,0,0
90,9,10,23299,1153,0,0,0,0,0,0,0,0,0
91,10,1,169,1139,0,0,0,0,0,0,0,0,0
92,10,2,299,1139,1140,0,0,0,0,0,0,0,0
93,10,3,699,1150,1141,0,0,0,0,0,0,0,0
94,10,4,1299,1142,1143,1144,0,0,0,0,0,0,0
95,10,5,2599,1146,1145,0,0,0,0,0,0,0,0
96,10,6,4699,1147,1148,0,0,0,0,0,0,0,0
97,10,7,7699,1149,0,0,0,0,0,0,0,0,0
98,10,8,11799,1151,0,0,0,0,0,0,0,0,0
99,10,9,17099,1152,0,0,0,0,0,0,0,0,0
100,10,10,23299,1153,0,0,0,0,0,0,0,0,0
101,11,1,169,1139,0,0,0,0,0,0,0,0,0
102,11,2,299,1139,1140,0,0,0,0,0,0,0,0
103,11,3,699,1150,1141,0,0,0,0,0,0,0,0
104,11,4,1299,1142,1143,1144,0,0,0,0,0,0,0
105,11,5,2599,1146,1145,0,0,0,0,0,0,0,0
106,11,6,4699,1147,1148,0,0,0,0,0,0,0,0
107,11,7,7699,1149,0,0,0,0,0,0,0,0,0
108,11,8,11799,1151,0,0,0,0,0,0,0,0,0
109,11,9,17099,1152,0,0,0,0,0,0,0,0,0
110,11,10,23299,1153,0,0,0,0,0,0,0,0,0
111,12,1,169,1139,0,0,0,0,0,0,0,0,0
112,12,2,299,1139,1140,0,0,0,0,0,0,0,0
113,12,3,699,1150,1141,0,0,0,0,0,0,0,0
114,12,4,1299,1142,1143,1144,0,0,0,0,0,0,0
115,12,5,2599,1146,1145,0,0,0,0,0,0,0,0
116,12,6,4699,1147,1148,0,0,0,0,0,0,0,0
117,12,7,7699,1149,0,0,0,0,0,0,0,0,0
118,12,8,11799,1151,0,0,0,0,0,0,0,0,0
119,12,9,17099,1152,0,0,0,0,0,0,0,0,0
120,12,10,23299,1153,0,0,0,0,0,0,0,0,0
