ID,_Option_Group1,_Option_Group2,_Option_Group3,_Option_Group4,_Option_Group5,_Option_Group6,_Option_Group7,_Option_Group8,_Option_Group9,_Option_Group10,_Option_Group11,_Option_Group12,_Option_Group13,_Option_Group14,_Option_Group15,_Option_Group16,_Option_Group17,_Option_Group18,_Option_Group19,_Option_Group20,_Option_Description,_Option_Check
90,215,216,217,218,219,220,221,0,0,0,0,0,0,0,0,0,0,0,0,0,Level will be unchanged and stats will be reassigned.,1
91,222,223,230,231,232,233,234,235,250,0,0,0,0,0,0,0,0,0,0,0,Level will be unchanged and stats will be reassigned.,1
92,224,223,244,249,235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Level will be unchanged and stats will be reassigned.,1
93,225,223,245,246,247,248,237,236,251,253,0,0,0,0,0,0,0,0,0,0,Level will be unchanged and stats will be reassigned.,1
94,265,227,235,222,264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Level will be unchanged and stats will be reassigned.,1
95,266,227,235,224,264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Level will be unchanged and stats will be reassigned.,1
96,267,227,236,225,264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Level will be unchanged and stats will be reassigned.,1
97,238,239,240,241,242,243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Level will be unchanged and stats will be reassigned.,1
98,268,269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Level will be unchanged and stats will be reassigned.,1
99,270,271,272,273,25,275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Level will be unchanged and stats will be reassigned.,1
100,270,271,272,273,275,274,25,0,0,0,0,0,0,0,0,0,0,0,0,0,Level will be unchanged and stats will be reassigned.,1
101,270,271,272,273,275,274,25,0,0,0,0,0,0,0,0,0,0,0,0,0,Level will be unchanged and stats will be reassigned.,1
102,270,271,272,273,25,276,277,275,0,0,0,0,0,0,0,0,0,0,0,0,Level will be unchanged and stats will be reassigned.,1
103,270,271,272,273,25,21,32,275,0,0,0,0,0,0,0,0,0,0,0,0,Level will be unchanged and stats will be reassigned.,1
104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Level will be unchanged and stats will be reassigned.,0
105,278,281,292,293,280,282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Level will be unchanged and stats will be reassigned.,1
106,278,281,292,293,279,285,291,0,0,0,0,0,0,0,0,0,0,0,0,0,Level will be unchanged and stats will be reassigned.,1
107,278,281,292,293,283,286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Level will be unchanged and stats will be reassigned.,1
108,278,281,292,293,280,290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Level will be unchanged and stats will be reassigned.,1
109,278,281,292,293,287,288,289,0,0,0,0,0,0,0,0,0,0,0,0,0,Level will be unchanged and stats will be reassigned.,1
110,278,281,292,293,280,284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Level will be unchanged and stats will be reassigned.,1
111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Level will be unchanged and stats will be reassigned.,0
112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Level will be unchanged and stats will be reassigned.,0
113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Level will be unchanged and stats will be reassigned.,0
114,294,295,296,297,25,275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Level will be unchanged and stats will be reassigned.,1
115,294,295,296,297,275,274,25,0,0,0,0,0,0,0,0,0,0,0,0,0,Level will be unchanged and stats will be reassigned.,1
116,294,295,296,297,275,274,25,0,0,0,0,0,0,0,0,0,0,0,0,0,Level will be unchanged and stats will be reassigned.,1
117,294,295,296,297,25,276,277,275,0,0,0,0,0,0,0,0,0,0,0,0,Level will be unchanged and stats will be reassigned.,1
118,294,295,296,297,25,21,32,275,0,0,0,0,0,0,0,0,0,0,0,0,Level will be unchanged and stats will be reassigned.,1
119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Level will be unchanged and stats will be reassigned.,0
120,298,299,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Level will be unchanged and stats will be reassigned.,1
121,301,302,303,304,305,306,307,308,0,0,0,0,0,0,0,0,0,0,0,0,Level will be unchanged and stats will be reassigned.,1
122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
123,309,310,311,312,313,314,315,316,0,0,0,0,0,0,0,0,0,0,0,0,,1
124,309,310,311,312,313,314,318,0,0,0,0,0,0,0,0,0,0,0,0,0,,1
125,309,310,311,312,313,314,319,0,0,0,0,0,0,0,0,0,0,0,0,0,,1
126,309,310,311,312,313,314,316,317,0,0,0,0,0,0,0,0,0,0,0,0,,1
127,309,310,311,312,313,314,320,321,0,0,0,0,0,0,0,0,0,0,0,0,,1
128,322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1
129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
131,323,324,325,326,327,328,329,330,331,332,333,0,0,0,0,0,0,0,0,0,,1
132,334,335,343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
133,336,338,346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
134,337,339,344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
135,340,341,342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
136,345,347,348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
137,349,350,351,352,353,354,355,0,0,0,0,0,0,0,0,0,0,0,0,0,,1
138,356,357,358,359,360,361,362,363,364,365,366,367,368,369,370,371,372,373,374,375,,0
139,376,377,378,379,380,381,382,383,384,385,386,387,388,389,390,391,392,393,394,395,,1
140,396,397,398,399,400,401,402,403,404,405,406,407,408,409,410,411,412,413,414,415,,1
141,416,417,418,419,420,421,422,423,424,425,426,427,428,429,430,431,432,433,434,435,,1
142,436,437,438,439,440,441,442,443,444,445,446,447,448,449,450,451,452,453,454,455,,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1
