ID,_ResultID1,_ResultProbability1,_ResultCount1Min,_ResultCount1Max,_ResultID2,_ResultProbability2,_ResultCount2Min,_ResultCount2Max,_ResultID3,_ResultProbability3,_ResultCount3Min,_ResultCount3Max,_ResultID4,_ResultProbability4,_ResultCount4Min,_ResultCount4Max
1290,0,0,0,0,0,0,0,0,0,0,0,0,180134429,10000,8,36
1300,0,0,0,0,0,0,0,0,0,0,0,0,180134429,10000,8,36
101010,180134426,10000,12,12,0,0,0,0,0,0,0,0,180134430,5000,4,4
101020,180134426,10000,12,12,0,0,0,0,0,0,0,0,180134430,5000,4,4
101030,180134426,10000,12,24,0,0,0,0,0,0,0,0,180134430,5000,4,4
101040,180134426,10000,12,24,0,0,0,0,0,0,0,0,180134430,5000,4,4
101050,180134426,10000,12,36,0,0,0,0,0,0,0,0,180134430,5000,4,4
101060,180134426,10000,12,36,180134427,1000,3,10,0,0,0,0,180134430,5000,4,8
101070,180134426,10000,12,48,180134427,2000,3,20,0,0,0,0,180134430,5000,4,8
101080,180134426,10000,12,48,180134427,3000,3,30,0,0,0,0,180134430,5000,4,8
101090,180134426,10000,12,60,180134427,4000,3,40,0,0,0,0,180134430,5000,4,8
101100,180134426,10000,12,60,180134427,5000,3,50,0,0,0,0,180134430,5000,4,8
101110,0,0,0,0,180134427,10000,5,50,180134428,1000,2,8,180134430,5000,4,12
101120,0,0,0,0,180134427,10000,5,50,180134428,2000,2,16,180134430,5000,4,12
101130,0,0,0,0,180134427,10000,5,60,180134428,3000,2,24,180134430,5000,4,12
101140,0,0,0,0,180134427,10000,5,60,180134428,4000,2,32,180134430,5000,4,12
101150,0,0,0,0,180134427,10000,5,70,180134428,5000,2,40,180134430,5000,4,12
101160,180134429,1000,2,8,0,0,0,0,180134428,10000,4,40,180134430,5000,4,16
101170,180134429,2000,2,16,0,0,0,0,180134428,10000,4,40,180134430,5000,4,16
101180,180134429,3000,2,24,0,0,0,0,180134428,10000,4,48,180134430,5000,4,16
101190,180134429,4000,2,32,0,0,0,0,180134428,10000,4,48,180134430,5000,4,16
101200,180134429,5000,2,40,0,0,0,0,180134428,10000,4,56,180134430,5000,4,16
101210,180134429,10000,4,40,0,0,0,0,0,0,0,0,180134430,5000,4,20
101220,180134429,10000,4,40,0,0,0,0,0,0,0,0,180134430,5000,4,20
101230,180134429,10000,4,48,0,0,0,0,0,0,0,0,180134430,5000,4,20
101240,180134429,10000,4,48,0,0,0,0,0,0,0,0,180134430,5000,4,20
101250,180134429,10000,4,56,0,0,0,0,0,0,0,0,180134430,5000,4,20
101260,180134429,10000,8,56,0,0,0,0,0,0,0,0,180134430,5000,4,24
101270,180134429,10000,8,64,0,0,0,0,0,0,0,0,180134430,5000,4,24
101280,180134429,10000,8,64,0,0,0,0,0,0,0,0,180134430,5000,4,24
101290,180134429,10000,8,72,0,0,0,0,0,0,0,0,180134430,5000,4,24
101300,180134429,10000,8,72,0,0,0,0,0,0,0,0,180134430,5000,4,24
101201,180134429,5000,0,10,180134431,10000,1,1,180134428,10000,1,14,180134430,5000,1,4
101202,190144510,3300,1,1,190144511,3300,1,1,190144512,3300,1,1,0,0,0,0
101203,190144687,10000,1,3,190144688,10000,1,3,0,0,0,0,0,0,0,0
101204,180134502,10000,1,1,0,0,0,0,0,0,0,0,0,0,0,0
101205,190144987,10000,1,4,190144988,10000,1,4,0,0,0,0,0,0,0,0
101206,180134585,10000,1,4,180134586,10000,1,4,180134587,10000,1,4,0,0,0,0
101207,190145356,10000,1,4,190145355,10000,1,4,190145354,10000,1,4,0,0,0,0
101208,190145505,10000,1,4,190145506,10000,1,4,190145507,10000,1,4,190145751,10,1,1
101209,190144674,10000,90,90,0,0,0,0,0,0,0,0,0,0,0,0
101211,190144674,10000,180,180,0,0,0,0,0,0,0,0,0,0,0,0
101212,190144674,10000,270,270,0,0,0,0,0,0,0,0,0,0,0,0
101213,190144674,10000,360,360,0,0,0,0,0,0,0,0,0,0,0,0
101214,190144674,10000,450,450,0,0,0,0,0,0,0,0,0,0,0,0
101215,190145814,10000,1,4,190145815,10000,1,4,190145816,10000,1,4,0,0,0,0
101216,190145811,10000,1,4,190145812,10000,1,4,190145813,10000,1,4,0,0,0,0
101217,190146036,10000,1,4,190146037,10000,1,4,190146038,10000,1,4,0,0,0,0
101218,190146270,10000,1,4,190146268,10000,1,4,190146269,10000,1,4,0,0,0,0
101219,190146266,10000,1,4,190146267,10000,1,4,0,0,0,0,0,0,0,0
101221,190146487,10000,1,4,190146488,10000,1,4,190146489,10000,1,4,0,0,0,0
101222,190146485,10000,1,4,190146486,10000,1,4,0,0,0,0,0,0,0,0
101223,190146482,10000,1,4,190146483,10000,1,4,190146484,10000,1,4,0,0,0,0
101224,190146516,10000,1,4,190146517,10000,1,4,190146518,10000,1,4,0,0,0,0
101225,190146649,10000,1,1,0,0,0,0,0,0,0,0,0,0,0,0
101226,190146649,10000,1,1,0,0,0,0,0,0,0,0,0,0,0,0
101227,190146650,10000,1,1,0,0,0,0,0,0,0,0,0,0,0,0
101228,190146650,10000,1,1,0,0,0,0,0,0,0,0,0,0,0,0
101229,190146653,10000,1,1,0,0,0,0,0,0,0,0,0,0,0,0
101231,190146619,10000,1,4,190146620,10000,1,4,190146621,10000,1,4,0,0,0,0
101232,190146622,10000,1,4,190146623,10000,1,4,190146624,10000,1,4,0,0,0,0
101233,190146727,10000,1,4,190146728,10000,1,4,0,0,0,0,0,0,0,0
101234,190146724,10000,1,4,190146723,10000,1,4,0,0,0,0,0,0,0,0
101235,190146725,10000,1,4,190146726,10000,1,4,0,0,0,0,0,0,0,0
101236,190146822,10000,1,4,190146823,10000,1,4,0,0,0,0,0,0,0,0
101237,190146820,10000,1,4,190146821,10000,1,4,0,0,0,0,0,0,0,0
101238,190146920,10000,1,4,190146921,10000,1,4,190146930,100,1,1,0,0,0,0
101239,190146922,10000,1,4,190146923,10000,1,4,0,0,0,0,0,0,0,0
101241,190147093,10000,1,4,190147094,10000,1,4,0,0,0,0,0,0,0,0
101242,190147095,10000,1,4,190147096,10000,1,4,0,0,0,0,0,0,0,0
101243,190147328,10000,1,4,190147329,10000,1,4,0,0,0,0,0,0,0,0
101244,190147330,10000,1,1,190147331,10000,1,1,0,0,0,0,0,0,0,0
101245,190147332,10000,1,4,190147333,10000,1,4,0,0,0,0,0,0,0,0
101246,180134428,10000,1,33,180134429,10000,1,33,180134430,10000,1,33,0,0,0,0
