ID,_Point,_Exp_Factor
238,238,194220
239,239,195000
240,240,195840
241,241,196680
242,242,197460
243,243,198300
244,244,199080
245,245,199920
246,246,200760
247,247,201540
248,248,202380
249,249,203160
250,250,204000
251,251,204840
252,252,205620
253,253,206460
254,254,207240
255,255,208080
256,256,208920
257,257,209700
258,258,210540
259,259,211320
260,260,212160
261,261,213000
262,262,213780
263,263,214620
264,264,215400
265,265,216240
266,266,217080
267,267,217860
268,268,218700
269,269,219480
270,270,220320
271,271,221160
272,272,221940
273,273,222780
274,274,223560
275,275,224400
276,276,225240
277,277,226020
278,278,226860
279,279,227640
280,280,228480
281,281,229320
282,282,230100
283,283,230940
284,284,231720
285,285,232560
286,286,233400
287,287,234180
288,288,235020
289,289,235800
290,290,236640
291,291,237480
292,292,238260
293,293,239100
294,294,239880
295,295,240720
296,296,241560
297,297,242340
298,298,243180
299,299,243960
300,300,244800
301,301,260040
302,302,260940
303,303,261780
304,304,262680
305,305,263520
306,306,264360
307,307,265260
308,308,266100
309,309,267000
310,310,267840
311,311,268680
312,312,269580
313,313,270420
314,314,271320
315,315,272160
316,316,273000
317,317,273900
318,318,274740
319,319,275640
320,320,276480
321,321,277320
322,322,278220
323,323,279060
324,324,279960
325,325,280800
326,326,281640
327,327,282540
328,328,283380
329,329,284280
330,330,285120
331,331,285960
332,332,286860
333,333,287700
334,334,288600
335,335,289440
336,336,290280
337,337,291180
338,338,292020
339,339,292920
340,340,293760
341,341,294600
342,342,295500
343,343,296340
344,344,297240
345,345,298080
346,346,298920
347,347,299820
348,348,300660
349,349,301560
350,350,302400
351,351,303240
352,352,304140
353,353,304980
354,354,305880
355,355,306720
356,356,307560
357,357,308460
358,358,309300
359,359,310200
360,360,311040
361,361,311880
362,362,312780
363,363,313620
364,364,314520
365,365,315360
366,366,316200
367,367,317100
368,368,317940
369,369,318840
370,370,319680
371,371,320520
372,372,321420
373,373,322260
374,374,323160
375,375,324000
376,376,324840
377,377,325740
378,378,326580
379,379,327480
380,380,328320
381,381,329160
382,382,330060
383,383,330900
384,384,331800
385,385,332640
386,386,333480
387,387,334380
388,388,335220
389,389,336120
390,390,336960
391,391,337800
392,392,338700
393,393,339540
394,394,340440
395,395,341280
396,396,342120
397,397,343020
398,398,343860
399,399,344760
400,400,345600
401,401,365700
402,402,366600
403,403,367560
404,404,368460
405,405,369360
406,406,370260
407,407,371160
408,408,372120
409,409,373020
410,410,373920
411,411,374820
412,412,375720
413,413,376680
414,414,377580
415,415,378480
416,416,379380
417,417,380280
418,418,381240
419,419,382140
420,420,383040
421,421,383940
422,422,384840
423,423,385800
424,424,386700
425,425,387600
426,426,388500
427,427,389400
428,428,390360
429,429,391260
430,430,392160
431,431,393060
432,432,393960
433,433,394920
434,434,395820
435,435,396720
436,436,397620
437,437,398520
438,438,399480
439,439,400380
440,440,401280
441,441,402180
442,442,403080
443,443,404040
444,444,404940
445,445,405840
446,446,406740
447,447,407640
448,448,408600
449,449,409500
450,450,410400
451,451,411300
452,452,412200
453,453,413160
454,454,414060
455,455,414960
456,456,415860
457,457,416760
458,458,417720
459,459,418620
460,460,419520
461,461,420420
462,462,421320
463,463,422280
464,464,423180
465,465,424080
466,466,424980
467,467,425880
468,468,426840
469,469,427740
470,470,428640
471,471,429540
472,472,430440
473,473,431400
474,474,432300
475,475,433200
476,476,434100
477,477,435000
478,478,435960
479,479,436860
480,480,437760
481,481,438660
482,482,439560
483,483,440520
484,484,441420
485,485,442320
486,486,443220
487,487,444120
488,488,445080
489,489,445980
490,490,446880
491,491,447780
492,492,448680
493,493,449640
494,494,450540
495,495,451440
496,496,452340
497,497,453240
498,498,454200
499,499,455100
500,500,456000
501,501,480960
502,502,481920
503,503,482880
504,504,483840
505,505,484800
506,506,485760
507,507,486720
508,508,487680
509,509,488640
510,510,489600
511,511,490560
512,512,491520
513,513,492480
514,514,493440
515,515,494400
516,516,495360
517,517,496320
518,518,497280
519,519,498240
520,520,499200
521,521,500160
522,522,501120
523,523,502080
524,524,503040
525,525,504000
526,526,504960
527,527,505920
528,528,506880
529,529,507840
530,530,508800
531,531,509760
532,532,510720
533,533,511680
534,534,512640
535,535,513600
536,536,514560
537,537,515520
538,538,516480
539,539,517440
540,540,518400
541,541,519360
542,542,520320
543,543,521280
544,544,522240
545,545,523200
546,546,524160
547,547,525120
548,548,526080
549,549,527040
550,550,528000
551,551,528960
552,552,529920
553,553,530880
554,554,531840
555,555,532800
556,556,533760
557,557,534720
558,558,535680
559,559,536640
560,560,537600
561,561,538560
562,562,539520
563,563,540480
564,564,541440
565,565,542400
566,566,543360
567,567,544320
568,568,545280
569,569,546240
570,570,547200
571,571,548160
572,572,549120
573,573,550080
574,574,551040
575,575,552000
576,576,552960
577,577,553920
578,578,554880
579,579,555840
580,580,556800
581,581,557760
582,582,558720
583,583,559680
584,584,560640
585,585,561600
586,586,562560
587,587,563520
588,588,564480
589,589,565440
590,590,566400
591,591,567360
592,592,568320
593,593,569280
594,594,570240
595,595,571200
596,596,572160
597,597,573120
598,598,574080
599,599,575040
600,600,576000
601,601,720000
602,602,721120
603,603,722240
604,604,723360
605,605,724480
606,606,725600
607,607,726720
608,608,727840
609,609,728960
610,610,730080
611,611,731200
612,612,732320
613,613,733440
614,614,734560
615,615,735680
616,616,736800
617,617,737920
618,618,739040
619,619,740160
620,620,741280
621,621,742400
622,622,743520
623,623,744640
624,624,745760
625,625,746880
626,626,748000
627,627,749120
628,628,750240
629,629,751360
630,630,752480
631,631,753600
632,632,754720
633,633,755840
634,634,756960
635,635,758080
636,636,759200
637,637,760320
638,638,761440
639,639,762560
640,640,763680
641,641,764800
642,642,765920
643,643,767040
644,644,768160
645,645,769280
646,646,770400
647,647,771520
648,648,772640
649,649,773760
650,650,774880
651,651,776000
652,652,777120
653,653,778240
654,654,779360
655,655,780480
656,656,781600
657,657,782720
658,658,783840
659,659,784960
660,660,786080
661,661,787200
662,662,788320
663,663,789440
664,664,790560
665,665,791680
666,666,792800
667,667,793920
668,668,795040
669,669,796160
670,670,797280
671,671,798400
672,672,799520
673,673,800640
674,674,801760
675,675,802880
676,676,804000
677,677,805120
678,678,806240
679,679,807360
680,680,808480
681,681,809600
682,682,810720
683,683,811840
684,684,812960
685,685,814080
686,686,815200
687,687,816320
688,688,817440
689,689,818560
690,690,819680
691,691,820800
692,692,821920
693,693,823040
694,694,824160
695,695,825280
696,696,826400
697,697,827520
698,698,828640
699,699,829760
700,700,830880
701,701,900000
702,702,901120
703,703,902240
704,704,903360
705,705,904480
706,706,905600
707,707,906720
708,708,907840
709,709,908960
710,710,910080
711,711,911200
712,712,912320
713,713,913440
714,714,914560
715,715,915680
716,716,916800
717,717,917920
718,718,919040
719,719,920160
720,720,921280
721,721,922400
722,722,923520
723,723,924640
724,724,925760
725,725,926880
726,726,928000
727,727,929120
728,728,930240
729,729,931360
730,730,932480
731,731,933600
732,732,934720
733,733,935840
734,734,936960
735,735,938080
736,736,939200
737,737,940320
738,738,941440
739,739,942560
740,740,943680
741,741,944800
742,742,945920
743,743,947040
744,744,948160
745,745,949280
746,746,950400
747,747,951520
748,748,952640
749,749,953760
750,750,954880
751,751,956000
752,752,957120
753,753,958240
754,754,959360
755,755,960480
756,756,961600
757,757,962720
758,758,963840
759,759,964960
760,760,966080
761,761,967200
762,762,968320
763,763,969440
764,764,970560
765,765,971680
766,766,972800
767,767,973920
768,768,975040
769,769,976160
770,770,977280
771,771,978400
772,772,979520
773,773,980640
774,774,981760
775,775,982880
776,776,984000
777,777,985120
778,778,986240
779,779,987360
780,780,988480
781,781,989600
782,782,990720
783,783,991840
784,784,992960
785,785,994080
786,786,995200
787,787,996320
788,788,997440
789,789,998560
790,790,999680
791,791,1000800
792,792,1001920
793,793,1003040
794,794,1004160
795,795,1005280
796,796,1006400
797,797,1007520
798,798,1008640
799,799,1009760
800,800,1010880
