ID,_Quest_Type,_Category,_ChapterNumber,_SectionNumber,_Name,_Quest_Link,_Require_Lv,_Require_ULv,_Require_Message,_Require1_Type,_Require1_ID,_Require1_Value1,_Require1_Value2,_Require2_Type,_Require2_ID,_Require2_Value1,_Require2_Value2,_Require3_Type,_Require3_ID,_Require3_Value1,_Require3_Value2,_Require4_Type,_Require4_ID,_Require4_Value1,_Require4_Value2
22,1,2,3,19,3. 怪物樹山林,1119,235,600,- 超越等級 600 以上,24,1,1118,0,0,0,0,0,0,0,0,0,0,0,0,0
23,1,2,3,20,4. 幻影大地亞德利卡,1120,235,800,- 超越等級 800 以上,24,1,1119,0,0,0,0,0,0,0,0,0,0,0,0,0
24,1,2,3,21,5. 魔法學院傑芮尼斯,1121,235,1000,- 超越等級 1000 以上,24,1,1120,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1,2,3,22,6. 破滅的墨羅斯,1122,235,1300,- 超越等級 1300 以上,24,1,1121,0,0,0,0,0,0,0,0,0,0,0,0,0
26,1,2,3,23,7. 吉斯克領地,1123,235,1600,- 超越等級 1600 以上,24,1,1122,0,0,0,0,0,0,0,0,0,0,0,0,0
27,1,2,3,24,8. 惡魔庭園,1124,235,1750,- 超越等級 1750 以上,24,1,1123,0,0,0,0,0,0,0,0,0,0,0,0,0
28,1,2,3,25,9. 聖域,1125,235,1900,- 超越等級 1900 以上,24,1,1124,0,0,0,0,0,0,0,0,0,0,0,0,0
29,2,1,1,0,輔助 1,0,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,2,2,1,1,前往普雷伊奧斯,1176,120,0,- 等級 120 以上\n- 主要[喬安潘] 完成,24,1,1103,0,0,0,0,0,0,0,0,0,0,0,0,0
31,2,2,1,2,星星搖籃,1127,170,0,- 等級 170 以上\n- 主要[時空旅行者] 完成,24,1,1105,0,0,0,0,0,0,0,0,0,0,0,0,0
32,2,2,1,3,破碎的封印,1126,180,0,- 等級 180 以上\n- 主要[華納海姆] 完成,24,1,1106,0,0,0,0,0,0,0,0,0,0,0,0,0
33,2,1,2,0,輔助 2,0,0,0,- 主要章節 1 通關,24,1,1107,0,0,0,0,0,0,0,0,0,0,0,0,0
34,2,2,2,4,青空城,1174,200,0,- 等級 200 以上\n- 主要 [奧斯古拉斯傭兵團] 完成,24,1,1108,0,0,0,0,0,0,0,0,0,0,0,0,0
35,2,2,2,5,歐若拉森林,1129,202,0,- 等級 202 以上\n- 主要 [奧斯古拉斯傭兵團] 完成,24,1,1108,0,0,0,0,0,0,0,0,0,0,0,0,0
36,2,2,2,6,惡魔之山,1130,201,0,- 等級 201 以上\n- 主要 [奧斯古拉斯傭兵團] 完成,24,1,1108,0,0,0,0,0,0,0,0,0,0,0,0,0
37,2,2,2,7,扭曲的世界樹,1131,216,0,- 等級 216 以上\n- 主要[燃燒的賽蕾斯神殿] 完成,24,1,1112,0,0,0,0,0,0,0,0,0,0,0,0,0
38,2,2,2,8,亞奇城,1132,217,0,- 等級 217 以上\n- 主要[革命的立佩拉] 完成,24,1,1111,0,0,0,0,0,0,0,0,0,0,0,0,0
39,2,2,2,9,黃金海岸,1133,222,0,- 等級 222 以上\n- 主要[痛苦的猶忒王國] 完成,24,1,1113,0,0,0,0,0,0,0,0,0,0,0,0,0
40,2,2,2,10,日落森林,1134,218,0,- 等級 218 以上\n- 主要[遭到襲擊的白煤峽谷] 完成,24,1,1114,0,0,0,0,0,0,0,0,0,0,0,0,0
41,2,2,2,11,玩偶小徑,1135,230,0,- 等級 230 以上\n- 主要[修練森林] 完成,24,1,1115,0,0,0,0,0,0,0,0,0,0,0,0,0
42,2,2,2,12,珊瑚之城,1136,235,0,- 等級 235 以上\n- 主要[修練森林] 完成,24,1,1115,0,0,0,0,0,0,0,0,0,0,0,0,0
43,2,1,3,0,輔助 3,0,0,0,- 主要章節 2 通關,24,1,1116,0,0,0,0,0,0,0,0,0,0,0,0,0
44,2,2,3,13,猶忒王國重建支援,1137,235,500,- 超越等級 500 以上\n- 主要 [地下都市塔爾達洛斯] 完成,24,1,1118,0,0,0,0,0,0,0,0,0,0,0,0,0
45,2,2,3,14,恪爾立族交流支援,1138,235,500,- 超越等級 500 以上\n- 主要 [地下都市塔爾達洛斯] 完成,24,1,1118,0,0,0,0,0,0,0,0,0,0,0,0,0
46,2,2,3,15,專屬薇爾的食物,1139,235,500,- 超越等級 500 以上\n- 主要 [地下都市塔爾達洛斯] 完成,24,1,1118,0,0,0,0,0,0,0,0,0,0,0,0,0
47,2,2,3,16,嶄新的緣分,1140,235,500,- 超越等級 500 以上\n- 主要 [地下都市塔爾達洛斯] 完成,24,1,1118,0,0,0,0,0,0,0,0,0,0,0,0,0
48,2,2,3,17,不足的精氣,1141,235,600,- 超越等級 600 以上\n- 主要 [怪物樹山林] 完成,24,1,1119,0,0,0,0,0,0,0,0,0,0,0,0,0
49,2,2,3,18,記憶的線索,1142,235,600,- 超越等級 600 以上\n- 主要 [怪物樹山林] 完成,24,1,1119,0,0,0,0,0,0,0,0,0,0,0,0,0
50,2,2,3,19,寶石交易仲介,1143,235,600,- 超越等級 600 以上\n- 主要 [怪物樹山林] 完成,24,1,1119,0,0,0,0,0,0,0,0,0,0,0,0,0
51,2,2,3,20,問候,1144,235,600,- 超越等級 600 以上\n- 主要 [怪物樹山林] 完成,24,1,1119,0,0,0,0,0,0,0,0,0,0,0,0,0
52,2,2,3,21,記憶的破片,1145,235,800,- 超越等級 800 以上\n- 主要 [幻影大地亞德利卡] 完成,24,1,1120,0,0,0,0,0,0,0,0,0,0,0,0,0
53,2,2,3,22,恪爾立族的信任,1146,235,800,- 超越等級 800 以上\n- 主要 [幻影大地亞德利卡] 完成,24,1,1120,0,0,0,0,0,0,0,0,0,0,0,0,0
54,2,2,3,23,等待時機的遺物,1147,235,800,- 超越等級 800 以上\n- 主要 [幻影大地亞德利卡] 完成\n- 輔助[記憶的破片] 完成,24,1,1120,0,24,1,1145,0,0,0,0,0,0,0,0,0
55,2,2,3,24,愛麗絲的不安,1148,235,800,- 超越等級 800 以上\n- 主要 [幻影大地亞德利卡] 完成,24,1,1120,0,0,0,0,0,0,0,0,0,0,0,0,0
56,2,2,3,25,疑問,1149,235,800,- 超越等級 800 以上\n- 主要 [幻影大地亞德利卡] 完成,24,1,1120,0,0,0,0,0,0,0,0,0,0,0,0,0
57,2,2,3,26,亞德利卡篇結尾,1150,235,800,- 超越等級 800 以上\n- 主要 [幻影大地亞德利卡] 完成\n- 相關輔助劇情完成,24,1,1120,0,24,1,1149,0,0,0,0,0,0,0,0,0
58,2,2,3,27,渴望力量之人,1151,235,1000,- 超越等級 1000 以上\n- 主要 [魔法學院傑芮尼斯] 完成,24,1,1121,0,0,0,0,0,0,0,0,0,0,0,0,0
59,2,2,3,28,龜裂的痕跡,1152,235,1000,- 超越等級 1000 以上\n- 主要 [魔法學院傑芮尼斯] 完成,24,1,1121,0,0,0,0,0,0,0,0,0,0,0,0,0
60,2,2,3,29,朋友的下落,1153,235,1000,- 超越等級 1000 以上\n- 主要 [魔法學院傑芮尼斯] 完成,24,1,1121,0,0,0,0,0,0,0,0,0,0,0,0,0
61,2,2,3,30,某個都市的進出資格,1154,235,1000,- 超越等級 1000 以上\n- 主要[魔法學院傑芮尼斯] 完成\n- 輔助 [龜裂的痕跡] 完成,24,1,1121,0,24,1,1152,0,0,0,0,0,0,0,0,0
62,2,2,3,31,魔法學院傑芮尼斯篇結尾,1155,235,1000,- 超越等級 1000 以上\n- 主要[魔法學院傑芮尼斯] 完成\n- 輔助 [朋友的下落] 完成\n- 相關輔助劇情完成,24,1,1121,0,24,1,1153,0,24,1,1154,0,0,0,0,0
63,2,2,3,32,少女的記憶,1156,235,1500,- 超越等級 1500 以上\n- 主要 [破滅的墨羅斯] 完成,24,1,1122,0,0,0,0,0,0,0,0,0,0,0,0,0
64,2,2,3,33,魔道靈魂,1157,235,1500,- 超越等級 1500 以上\n- 主要 [破滅的墨羅斯] 完成,24,1,1122,0,0,0,0,0,0,0,0,0,0,0,0,0
65,2,2,3,34,劍神的試驗,1158,235,1500,- 超越等級 1500 以上\n- 主要 [破滅的墨羅斯] 完成,24,1,1122,0,0,0,0,0,0,0,0,0,0,0,0,0
66,2,2,3,35,普雷依亞的希爾帝斯維尼,1159,235,1500,- 超越等級 1500 以上\n- 主要[破滅的墨羅斯] 完成\n- 輔助 [魔道靈魂] 完成,24,1,1122,0,24,1,1157,0,0,0,0,0,0,0,0,0
67,2,2,3,36,墨羅斯篇結尾,1160,235,1500,- 超越等級 1500 以上\n- 主要[破滅的墨羅斯] 完成\n- 輔助劇情完成,24,1,1122,0,24,1,1156,0,24,1,1158,0,0,0,0,0
68,2,2,3,37,魔女的痕跡,1161,235,1700,- 超越等級 1700 以上\n- 主要 [吉斯克領地] 完成,24,1,1123,0,0,0,0,0,0,0,0,0,0,0,0,0
69,2,2,3,38,赫爾摩妮亞的項鍊,1162,235,1700,- 超越等級 1700 以上\n- 主要 [吉斯克領地] 完成,24,1,1123,0,0,0,0,0,0,0,0,0,0,0,0,0
70,2,2,3,39,西娜之歌,1163,235,1700,- 超越等級 1700 以上\n- 主要[吉斯克領地] 完成\n- 輔助 [赫爾摩妮亞的項鍊] 完成,24,1,1123,0,24,1,1162,0,0,0,0,0,0,0,0,0
71,2,2,3,40,吉斯克領地篇結尾,1164,235,1700,- 超越等級 1700 以上\n- 主要[吉斯克領地] 完成\n- 相關輔助劇情完成,24,1,1123,0,24,1,1161,0,24,1,1163,0,0,0,0,0
72,2,2,3,41,玫瑰的誓約,1165,235,1800,- 超越等級 1800 以上\n- 主要 [惡魔庭園] 完成,24,1,1124,0,0,0,0,0,0,0,0,0,0,0,0,0
73,2,2,3,42,赤地的沉睡熊,1166,235,1800,- 超越等級 1800 以上\n- 主要 [惡魔庭園] 完成,24,1,1124,0,0,0,0,0,0,0,0,0,0,0,0,0
74,2,2,3,43,耶比耶比魔耶比,1167,235,1800,- 超越等級 1800 以上\n- 主要 [惡魔庭園] 完成\n- 輔助 [玫瑰的誓約] 完成,24,1,1124,0,24,1,1165,0,0,0,0,0,0,0,0,0
75,2,2,3,44,神諭的場所,1168,235,1800,- 超越等級 1800 以上\n- 主要 [惡魔庭園] 完成,24,1,1124,0,0,0,0,0,0,0,0,0,0,0,0,0
76,2,2,3,45,福波斯篇結尾,1169,235,1800,- 超越等級 1800 以上\n- 主要[惡魔庭園] 完成\n- 相關輔助劇情完成,24,1,1124,0,24,1,1166,0,24,1,1167,0,0,0,0,0
77,2,2,3,46,無預期的見面,1170,235,2000,- 超越等級 2000 以上\n- 主要 [聖域] 完成,24,1,1125,0,0,0,0,0,0,0,0,0,0,0,0,0
78,2,2,3,47,禮物和餅乾,1171,235,2000,- 超越等級 2000 以上\n- 主要 [聖域] 完成,24,1,1125,0,0,0,0,0,0,0,0,0,0,0,0,0
79,2,2,3,48,負傷之月,1172,235,2000,- 超越等級 2000 以上\n- 主要 [聖域] 完成\n- 輔助 [無預期的見面] 完成,24,1,1125,0,24,1,1170,0,0,0,0,0,0,0,0,0
80,2,2,3,49,聖域艾多斯篇結尾,1173,235,2000,- 超越等級 2000 以上\n- 主要[聖域] 完成\n- 相關輔助劇情完成,24,1,1125,0,24,1,1171,0,24,1,1172,0,0,0,0,0
81,1,2,3,26,10. 格爾答的暴風雪,1177,235,2100,- 超越等級 2100 以上,24,1,1125,0,0,0,0,0,0,0,0,0,0,0,0,0
82,2,2,3,50,在恪爾立吃的飯,1178,235,2200,- 超越等級2200以上\n- 主要[格爾答的暴風雪]完成,24,1,1177,0,0,0,0,0,0,0,0,0,0,0,0,0
83,2,2,3,51,請去收集優惠券,1179,235,2200,- 超越等級2200以上\n- 主要[格爾答的暴風雪]完成\n- 輔助[在恪爾立吃的飯]完成,24,1,1177,0,24,1,1178,0,0,0,0,0,0,0,0,0
84,2,2,3,52,尋找答案的道路,1180,235,2200,- 超越等級2200以上\n- 主要[格爾答的暴風雪]完成\n- 輔助[請去收集優惠券]完成,24,1,1177,0,24,1,1179,0,0,0,0,0,0,0,0,0
85,2,2,3,53,某個禮物,1181,235,2200,- 超越等級2200以上\n- 主要[格爾答的暴風雪]完成\n- 輔助[請去收集優惠券]完成,24,1,1177,0,24,1,1179,0,0,0,0,0,0,0,0,0
86,2,2,3,54,底波拉雪原篇結尾,1182,235,2200,- 超越等級2200以上\n- 主要[格爾答的暴風雪]完成\n- 相關輔助劇情完成,24,1,1177,0,24,1,1180,0,24,1,1181,0,0,0,0,0
