ID,_Text,_QuestID1,_QuestID2,_QuestID3,_QuestID4,_QuestID5,_QuestID6,_QuestID7,_QuestID8,_QuestID9,_QuestID10,_QuestID11,_QuestID12,_QuestID13,_QuestID14,_QuestID15,_QuestID16,_QuestID17,_QuestID18,_QuestID19,_QuestID20,_QuestID21,_QuestID22,_QuestID23,_QuestID24,_QuestID25,_QuestID26,_QuestID27,_QuestID28,_QuestID29,_QuestID30
1115,修練森林,182000001,182000002,182000003,182000004,182000005,182000006,182000007,182000008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1116,內心世界,184000001,184000002,184000003,184000004,184000005,184000006,184000007,184000008,184000009,184000010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1117,亞瑪倫沙漠,191000001,191000002,191000003,191000004,191000005,191000006,191000007,191000008,191000009,191000010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1118,地下都市塔爾達洛斯,192000001,192000002,192000003,192000004,192000005,192000006,192000007,192000008,192000009,192000010,192000011,192000012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1119,怪物樹山林,193000001,193000002,193000003,193000004,193000005,193000006,193000007,193000008,193000009,193000010,193000011,193000012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1120,幻影大地亞德利卡,194000001,194000002,194000003,194000004,194000005,194000006,194000007,194000008,194000009,194000010,194000011,194000012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1121,魔法學院傑芮尼斯,201000001,201000002,201000003,201000004,201000005,201000006,201000007,201000008,201000009,201000010,201000011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1122,破滅的墨羅斯,202000001,202000002,202000003,202000004,202000005,202000006,202000007,202000008,202000009,202000010,202000011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1123,吉斯克領地,203000001,203000002,203000003,203000004,203000005,203000006,203000007,203000008,203000009,203000010,203000011,203000012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1124,惡魔庭園,204000001,204000002,204000003,204000004,204000005,204000006,204000007,204000008,204000009,204000010,204000011,204000012,204000013,204000014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1125,聖域,211000001,211000002,211000003,211000004,211000005,211000006,211000007,211000008,211000009,211000010,211000011,211000012,211000013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1126,破碎的封印,10210586,219009002,219009003,219009004,219009005,219009006,219009007,219009008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1127,星星搖籃，利利樂,219009101,119202000,119206000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1128,臨時,211006102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1129,歐若拉森林,161000000,161000001,161000028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1130,惡魔之山,163000000,163000001,163000002,163000003,163000004,163000005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1131,扭曲的世界樹,171001000,171001001,171001002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1132,亞奇城,171000000,171000001,171000002,171000003,171000004,171000005,171000006,171000007,171000008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1133,黃金海岸,173000000,173000001,173000002,173000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1134,日落森林,173001000,173001001,173001002,173001003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1135,玩偶小徑,181000001,181000002,181000003,181000004,181000005,181000006,181000007,181000008,181000009,181000010,181000011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1136,珊瑚之城,183000000,183000001,183000002,183000003,183000004,183000005,183000006,183000007,183000008,183000009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1137,猶忒王國重建支援,192005102,192005103,192005104,192005105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1138,恪爾立族交流支援,192006102,192006103,192006104,192006105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1139,專屬薇爾的食物,192007102,192007103,192007104,192007105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1140,嶄新的緣分,192008101,192008102,192008103,192008104,192008105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1141,不足的精氣,193005101,193005102,193005103,193005104,193005105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1142,記憶的線索,193006101,193006102,193006103,193006104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1143,寶石交易仲介,193007101,193007102,193007103,193007104,193007105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1144,問候,193008101,193008102,193008103,193008104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1145,記憶的破片,194005101,194005102,194005103,194005104,194005105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1146,恪爾立族的信任,194006101,194006102,194006103,194006104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1147,等待時機的遺物,194007101,194007102,194007103,194007104,194007105,194007106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1148,愛麗絲的不安,194008101,194008102,194008103,194008104,194008105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1149,疑問,194205101,194205102,194205103,194205104,194205105,194205106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1150,亞德利卡結尾,194206101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1151,渴望力量之人,201005101,201005102,201005103,201005104,201005105,201005106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1152,龜裂的痕跡,201006101,201006102,201006103,201006104,201006105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1153,朋友的下落,201007101,201007102,201007103,201007104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1154,某個都市的進出資格,201008101,201008102,201008103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1155,魔法學院傑芮尼斯,201009501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1156,少女的記憶,202005101,202005102,202005103,202005104,202005105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1157,魔道靈魂,202006101,202006102,202006103,202006104,202006105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1158,劍神的試驗,202007101,202007102,202007103,202007104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1159,普雷依亞的希爾帝斯維尼,202008101,202008102,202008103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1160,結尾 ~ 安慰的話,202009501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1161,魔女的痕跡,203005101,203005102,203005103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1162,赫爾摩妮亞的項鍊,203006101,203006102,203006103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1163,西娜之歌,203007101,203007102,203007103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1164,結尾 ~ 記憶的彼端,203009501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1165,玫瑰的誓約,204005001,204005002,204005003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1166,赤地的沉睡熊,204006001,204006002,204006003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1167,耶比耶比魔耶比,204007001,204007002,204007003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1168,神諭的場所,204008001,204008002,204008003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1169,結尾 ~ 某個聚會,204009501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1170,無預期的見面,211005101,211005102,211005103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1171,禮物和餅乾,211006101,211006102,211006103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1172,負傷之月,211007101,211007102,211007103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1173,結尾 ~ 愛麗絲的冒險家,211009501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1174,青空城,149010001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1175,臨時,211006102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1176,前往普雷伊奧斯,102702000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1177,格爾答的暴風雪,212000000,212000001,212000002,212000003,212000004,212000005,212000006,212000007,212000008,212000009,212000010,212000011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1178,????? ??,212005101,212005102,212005103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1179,??? ?????,212006101,212006102,212006103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1180,?? ?? ?,212007101,212007102,212007103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1181,?? ??,212008101,212008102,212008103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1182,???? ~ ??,212009501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
