ID,_Type,_Name,_Image,_Enable_Left,_Enable_Top,_Enable_Right,_Enable_Bottom,_Disable_Left,_Disable_Top,_Disable_Right,_Disable_Bottom,_MouseOver_Left,_MouseOver_Top,_MouseOver_Right,_MouseOver_Bottom,_Click_Left,_Click_Top,_Click_Right,_Click_Bottom,_Select_Left,_Select_Top,_Select_Right,_Select_Bottom,_CustomCombo
211,1,盾牌技能,Data/Interface/Concept/UI_Button_013.png,181,1,225,28,181,85,225,112,181,29,225,56,181,57,225,84,181,57,225,84,0
212,1,法杖技能,Data/Interface/Concept/UI_Button_013.png,226,1,270,28,226,85,270,112,226,29,270,56,226,57,270,84,226,57,270,84,0
213,1,單手劍技能,Data/Interface/Concept/UI_Button_012.png,1,113,45,140,1,197,45,224,1,141,45,168,1,169,45,196,1,169,45,196,0
214,1,雙手劍技能,Data/Interface/Concept/UI_Button_012.png,361,1,405,28,361,85,405,112,361,29,405,56,361,57,405,84,361,57,405,84,0
215,1,鈍器技能,Data/Interface/Concept/UI_Button_012.png,46,113,90,140,46,197,90,224,46,141,90,168,46,169,90,196,46,169,90,196,0
216,1,矛槍技能,Data/Interface/Concept/UI_Button_012.png,406,1,450,28,406,85,450,112,406,29,450,56,406,57,450,84,406,57,450,84,0
217,1,弓箭技能,Data/Interface/Concept/UI_Button_012.png,451,113,495,140,451,197,495,224,451,141,495,168,451,169,495,196,451,169,495,196,0
218,1,十字弓技能,Data/Interface/Concept/UI_Button_012.png,1,225,45,252,1,309,45,336,1,253,45,280,1,281,45,308,1,281,45,308,0
219,1,吉他技能,Data/Interface/Concept/UI_Button_012.png,316,113,360,140,316,197,360,224,316,141,360,168,316,169,360,196,316,169,360,196,0
220,1,槍技能,Data/Interface/Concept/UI_Button_012.png,46,225,90,252,46,309,90,336,46,253,90,280,46,281,90,308,46,281,90,308,0
221,1,魔杖技能,Data/Interface/Concept/UI_Button_013.png,361,1,405,28,361,85,405,112,361,29,405,56,361,57,405,84,361,57,405,84,0
222,1,拳套技能,Data/Interface/Concept/UI_Button_012.png,91,113,135,140,91,197,135,224,91,141,135,168,91,169,135,196,91,169,135,196,0
223,1,短劍技能,Data/Interface/Concept/UI_Button_012.png,406,113,450,140,406,197,450,224,406,141,450,168,406,169,450,196,406,169,450,196,0
301,1,水屬性魔法,Data/Interface/Concept/UI_Button_012.png,181,113,225,140,181,197,225,224,181,141,225,168,181,169,225,196,181,169,225,196,0
302,1,風屬性魔法,Data/Interface/Concept/UI_Button_012.png,226,113,270,140,226,197,270,224,226,141,270,168,226,169,270,196,226,169,270,196,0
303,1,火屬性魔法,Data/Interface/Concept/UI_Button_012.png,136,113,180,140,136,197,180,224,136,141,180,168,136,169,180,196,136,169,180,196,0
304,1,地屬性魔法,Data/Interface/Concept/UI_Button_012.png,271,113,315,140,271,197,315,224,271,141,315,168,271,169,315,196,271,169,315,196,0
305,1,共通,Data/Interface/Concept/UI_Button_013.png,316,1,360,28,316,85,360,112,316,29,360,56,316,57,360,84,316,57,360,84,0
306,1,水屬性魔法,Data/Interface/Concept/UI_Button_013.png,316,1,360,28,316,85,360,112,316,29,360,56,316,57,360,84,316,57,360,196,0
307,1,風屬性魔法,Data/Interface/Concept/UI_Button_012.png,226,113,270,140,226,197,270,224,226,141,270,168,226,169,270,196,226,169,270,196,0
308,1,火屬性魔法,Data/Interface/Concept/UI_Button_012.png,136,113,180,140,136,197,180,224,136,141,180,168,136,169,180,196,136,169,180,196,0
309,1,地屬性魔法,Data/Interface/Concept/UI_Button_012.png,271,113,315,140,271,197,315,224,271,141,315,168,271,169,315,196,271,169,315,196,0
311,1,恢復魔法,Data/Interface/Concept/UI_Button_013.png,271,1,315,28,271,85,315,112,271,29,315,56,271,57,315,84,271,57,315,84,0
401,1,戰士技能,Data/Interface/Concept/UI_Button_012.png,91,1,135,28,91,85,135,112,91,29,135,56,91,57,135,84,91,57,135,84,0
402,1,騎士技能,Data/Interface/Concept/UI_Button_012.png,91,1,135,28,91,85,135,112,91,29,135,56,91,57,135,84,91,57,135,84,0
403,1,法師技能,Data/Interface/Concept/UI_Button_012.png,91,1,135,28,91,85,135,112,91,29,135,56,91,57,135,84,91,57,135,84,0
404,1,遊俠技能,Data/Interface/Concept/UI_Button_012.png,91,1,135,28,91,85,135,112,91,29,135,56,91,57,135,84,91,57,135,84,0
405,1,督軍技能,Data/Interface/Concept/UI_Button_012.png,91,1,135,28,91,85,135,112,91,29,135,56,91,57,135,84,91,57,135,84,0
406,1,劍鬥士技能,Data/Interface/Concept/UI_Button_012.png,91,1,135,28,91,85,135,112,91,29,135,56,91,57,135,84,91,57,135,84,0
407,1,聖殿騎士技能,Data/Interface/Concept/UI_Button_012.png,91,1,135,28,91,85,135,112,91,29,135,56,91,57,135,84,91,57,135,84,0
408,1,武術家技能,Data/Interface/Concept/UI_Button_012.png,91,1,135,28,91,85,135,112,91,29,135,56,91,57,135,84,91,57,135,84,0
409,1,魔導士技能,Data/Interface/Concept/UI_Button_012.png,91,1,135,28,91,85,135,112,91,29,135,56,91,57,135,84,91,57,135,84,0
410,1,吟遊詩人技能,Data/Interface/Concept/UI_Button_012.png,91,1,135,28,91,85,135,112,91,29,135,56,91,57,135,84,91,57,135,84,0
411,1,寶藏獵人技能,Data/Interface/Concept/UI_Button_012.png,91,1,135,28,91,85,135,112,91,29,135,56,91,57,135,84,91,57,135,84,0
412,1,神槍手技能,Data/Interface/Concept/UI_Button_012.png,91,1,135,28,91,85,135,112,91,29,135,56,91,57,135,84,91,57,135,84,0
450,2,輔助技能,Data/Interface/Concept/UI_Button_012.png,136,1,180,28,136,85,180,112,136,29,180,56,136,57,180,84,136,57,180,84,0
451,4,道具技能,Data/Interface/Concept/UI_Button_012.png,181,1,225,28,181,85,225,112,181,29,225,56,181,57,225,84,181,57,225,84,0
501,3,表情符號_A,Data/Interface/Concept/UI_Button_012.png,46,1,90,28,46,85,90,112,46,29,90,56,46,57,90,84,46,57,90,84,0
502,3,表情符號_B,Data/Interface/Concept/UI_Button_012.png,46,1,90,28,46,85,90,112,46,29,90,56,46,57,90,84,46,57,90,84,0
460,1,彩虹幣技能,Data/Interface/Concept/UI_Button_012.png,226,1,270,28,226,85,270,90,226,29,270,56,226,57,270,84,226,57,270,84,0
224,1,工具箱技能,Data/Interface/Concept/UI_Button_013.png,406,1,450,28,406,85,450,112,406,29,450,56,406,57,450,84,406,57,450,84,0
413,1,工程師技能,Data/Interface/Concept/UI_Button_012.png,91,1,135,28,91,85,135,112,91,29,135,56,91,57,135,84,91,57,135,84,0
225,1,MG技能,Data/Interface/Concept/UI_Button_012.png,91,225,135,252,91,309,135,336,91,253,135,280,91,281,135,308,91,281,135,308,0
414,1,機甲師技能,Data/Interface/Concept/UI_Button_012.png,91,1,135,28,91,85,135,112,91,29,135,56,91,57,135,84,91,57,135,84,0
310,1,水屬性魔法,Data/Interface/Concept/UI_Button_012.png,181,113,225,140,181,197,225,224,181,141,225,168,181,169,225,196,181,169,225,196,0
314,1,水屬性魔法,Data/Interface/Concept/UI_Button_012.png,181,113,225,140,181,197,225,224,181,141,225,168,181,169,225,196,181,169,225,196,0
1206,1,雙刀技能,Data/Interface/Concept/UI_Button_012.png,451,1,495,28,451,85,495,112,451,29,495,56,451,57,495,84,451,57,495,84,0
1213,1,單手劍技能,Data/Interface/Concept/UI_Button_012.png,1,113,45,140,1,197,45,224,1,141,45,168,1,169,45,196,1,169,45,196,0
1214,1,雙手劍技能,Data/Interface/Concept/UI_Button_012.png,361,1,405,28,361,85,405,112,361,29,405,56,361,57,405,84,361,57,405,84,0
1215,1,鈍器技能,Data/Interface/Concept/UI_Button_012.png,46,113,90,140,46,197,90,224,46,141,90,168,46,169,90,196,46,169,90,196,0
1216,1,矛槍技能,Data/Interface/Concept/UI_Button_012.png,406,1,450,28,406,85,450,112,406,29,450,56,406,57,450,84,406,57,450,84,0
1217,1,弓箭技能,Data/Interface/Concept/UI_Button_012.png,451,113,495,140,451,197,495,224,451,141,495,168,451,169,495,196,451,169,495,196,0
1218,1,十字弓技能,Data/Interface/Concept/UI_Button_012.png,1,225,45,252,1,309,45,336,1,253,45,280,1,281,45,308,1,281,45,308,0
1219,1,吉他技能,Data/Interface/Concept/UI_Button_012.png,316,113,360,140,316,197,360,224,316,141,360,168,316,169,360,196,316,169,360,196,0
1220,1,槍技能,Data/Interface/Concept/UI_Button_012.png,46,225,90,252,46,309,90,336,46,253,90,280,46,281,90,308,46,281,90,308,0
1221,1,魔杖技能,Data/Interface/Concept/UI_Button_012.png,361,1,405,28,361,85,405,112,361,29,405,56,361,57,405,84,361,57,405,84,0
1222,1,拳套技能,Data/Interface/Concept/UI_Button_012.png,91,113,135,140,91,197,135,224,91,141,135,168,91,169,135,196,91,169,135,196,0
1223,1,短劍技能,Data/Interface/Concept/UI_Button_012.png,406,113,450,140,406,197,450,224,406,141,450,168,406,169,450,196,406,169,450,196,0
1225,1,MG技能,Data/Interface/Concept/UI_Button_012.png,91,225,135,252,91,309,135,336,91,253,135,280,91,281,135,308,91,281,135,308,0
1306,1,水屬性魔法,Data/Interface/Concept/UI_Button_012.png,181,113,225,140,181,197,225,224,181,141,225,168,181,169,225,196,181,169,225,196,0
1307,1,風屬性魔法,Data/Interface/Concept/UI_Button_012.png,226,113,270,140,226,197,270,224,226,141,270,168,226,169,270,196,226,169,270,196,0
1308,1,火屬性魔法,Data/Interface/Concept/UI_Button_012.png,136,113,180,140,136,197,180,224,136,141,180,168,136,169,180,196,136,169,180,196,0
1309,1,地屬性魔法,Data/Interface/Concept/UI_Button_012.png,271,113,315,140,271,197,315,224,271,141,315,168,271,169,315,196,271,169,315,196,0
1310,1,屬性專門化,Data/Interface/Concept/UI_Button_013.png,361,1,405,28,361,85,405,112,361,29,405,56,361,57,405,84,361,57,405,84,0
1311,1,魔法技能,Data/Interface/Concept/UI_Button_013.png,91,113,135,140,91,197,135,224,91,141,135,168,91,169,135,196,91,169,135,196,0
1314,1,水屬性魔法,Data/Interface/Concept/UI_Button_012.png,181,113,225,140,181,197,225,224,181,141,225,168,181,169,225,196,181,169,225,196,0
1405,1,龍騎兵技能,Data/Interface/Concept/UI_Button_012.png,91,1,135,28,91,85,135,112,91,29,135,56,91,57,135,84,91,57,135,84,0
1406,1,劍聖技能,Data/Interface/Concept/UI_Button_012.png,91,1,135,28,91,85,135,112,91,29,135,56,91,57,135,84,91,57,135,84,0
1407,1,神騎士技能,Data/Interface/Concept/UI_Button_012.png,91,1,135,28,91,85,135,112,91,29,135,56,91,57,135,84,91,57,135,84,0
1408,1,宗師技能,Data/Interface/Concept/UI_Button_012.png,91,1,135,28,91,85,135,112,91,29,135,56,91,57,135,84,91,57,135,84,0
1409,1,元素使技能,Data/Interface/Concept/UI_Button_012.png,91,1,135,28,91,85,135,112,91,29,135,56,91,57,135,84,91,57,135,84,0
1410,1,演奏家技能,Data/Interface/Concept/UI_Button_012.png,91,1,135,28,91,85,135,112,91,29,135,56,91,57,135,84,91,57,135,84,0
1411,1,神射手技能,Data/Interface/Concept/UI_Button_012.png,91,1,135,28,91,85,135,112,91,29,135,56,91,57,135,84,91,57,135,84,0
1412,1,狙擊手技能,Data/Interface/Concept/UI_Button_012.png,91,1,135,28,91,85,135,112,91,29,135,56,91,57,135,84,91,57,135,84,0
1414,1,機甲師技能,Data/Interface/Concept/UI_Button_012.png,91,1,135,28,91,85,135,112,91,29,135,56,91,57,135,84,91,57,135,84,0
1315,1,職業專用技能,Data/Interface/Concept/UI_Button_013.png,91,1,135,28,91,85,135,112,91,29,135,56,91,57,135,84,91,57,135,84,0
1316,1,職業專用技能,Data/Interface/Concept/UI_Button_013.png,91,1,135,28,91,85,135,112,91,29,135,56,91,57,135,84,91,57,135,84,0
226,1,螺旋劍技能,Data/Interface/Concept/UI_Button_012.png,181,225,225,252,181,309,225,336,181,253,225,280,181,281,225,308,181,281,225,308,0
227,1,飛燕劍技能,Data/Interface/Concept/UI_Button_012.png,226,225,270,252,226,309,270,336,226,253,270,280,226,281,270,308,226,281,270,308,0
228,1,長拳套技能,Data/Interface/Concept/UI_Button_012.png,271,225,315,252,271,309,315,336,271,253,315,280,271,281,315,308,271,281,315,308,0
229,1,神擊手技能,Data/Interface/Concept/UI_Button_012.png,316,225,360,252,316,309,360,336,316,253,360,280,316,281,360,308,316,281,360,308,0
230,1,戰擊拐杖技能,Data/Interface/Concept/UI_Button_013.png,46,1,90,28,46,85,90,112,46,29,90,56,46,57,90,84,46,57,90,84,0
231,1,音樂權杖技能,Data/Interface/Concept/UI_Button_012.png,361,225,405,252,361,309,405,336,361,253,405,280,361,281,405,308,361,281,405,308,0
232,1,盜賊短劍技能,Data/Interface/Concept/UI_Button_012.png,406,225,450,252,406,309,450,336,406,253,450,280,406,281,450,308,406,281,450,308,0
233,1,神槍劍技能,Data/Interface/Concept/UI_Button_012.png,451,225,495,252,451,309,495,336,451,253,495,280,451,281,495,308,451,281,495,308,0
234,1,禦守珠技能,Data/Interface/Concept/UI_Button_013.png,1,1,45,28,1,85,45,112,1,29,45,56,1,57,45,84,1,57,45,84,0
424,1,魂之勇者技能,Data/Interface/Concept/UI_Button_012.png,91,1,135,28,91,85,135,112,91,29,135,56,91,57,135,84,91,57,135,84,0
425,1,劍刃舞者技能,Data/Interface/Concept/UI_Button_012.png,91,1,135,28,91,85,135,112,91,29,135,56,91,57,135,84,91,57,135,84,0
426,1,恐懼騎士技能,Data/Interface/Concept/UI_Button_012.png,91,1,135,28,91,85,135,112,91,29,135,56,91,57,135,84,91,57,135,84,0
427,1,鬥神技能,Data/Interface/Concept/UI_Button_012.png,91,1,135,28,91,85,135,112,91,29,135,56,91,57,135,84,91,57,135,84,0
428,1,幻術師技能,Data/Interface/Concept/UI_Button_012.png,91,1,135,28,91,85,135,112,91,29,135,56,91,57,135,84,91,57,135,84,0
429,1,音樂大師技能,Data/Interface/Concept/UI_Button_012.png,91,1,135,28,91,85,135,112,91,29,135,56,91,57,135,84,91,57,135,84,0
430,1,忍者大師技能,Data/Interface/Concept/UI_Button_012.png,91,1,135,28,91,85,135,112,91,29,135,56,91,57,135,84,91,57,135,84,0
431,1,審判者技能,Data/Interface/Concept/UI_Button_012.png,91,1,135,28,91,85,135,112,91,29,135,56,91,57,135,84,91,57,135,84,0
432,1,改造大師技能,Data/Interface/Concept/UI_Button_012.png,91,1,135,28,91,85,135,112,91,29,135,56,91,57,135,84,91,57,135,84,0
1226,1,短劍技能,Data/Interface/Concept/UI_Button_012.png,406,113,450,140,406,197,450,224,406,141,450,168,406,169,450,196,406,169,450,196,0
235,1,靈魂石技能,Data/Interface/Concept/UI_Button_012.png,136,225,180,252,136,309,180,336,136,253,180,280,136,281,180,308,136,281,180,308,0
236,1,靈魂石技能,Data/Interface/Concept/UI_Button_012.png,136,225,180,252,136,309,180,336,136,253,180,280,136,281,180,308,136,281,180,308,0
1236,1,靈魂石技能,Data/Interface/Concept/UI_Button_012.png,136,225,180,252,136,309,180,336,136,253,180,280,136,281,180,308,136,281,180,308,0
433,1,靈魂破壞者技能,Data/Interface/Concept/UI_Button_012.png,91,1,135,28,91,85,135,112,91,29,135,56,91,57,135,84,91,57,135,84,0
434,1,靈魂掠奪者技能,Data/Interface/Concept/UI_Button_012.png,91,1,135,28,91,85,135,112,91,29,135,56,91,57,135,84,91,57,135,84,0
1434,1,靈魂統治者技能,Data/Interface/Concept/UI_Button_012.png,91,1,135,28,91,85,135,112,91,29,135,56,91,57,135,84,91,57,135,84,0
316,1,屬性技能,Data/Interface/Concept/UI_Button_013.png,316,1,360,28,316,85,360,112,316,29,360,56,316,57,360,84,316,57,360,84,0
2206,1,雙刀技能,Data/Interface/Concept/UI_Button_012.png,451,1,495,28,451,85,495,112,451,29,495,56,451,57,495,84,451,57,495,84,0
2213,1,單手劍技能,Data/Interface/Concept/UI_Button_012.png,1,113,45,140,1,197,45,224,1,141,45,168,1,169,45,196,1,169,45,196,0
2214,1,雙手劍技能,Data/Interface/Concept/UI_Button_012.png,361,1,405,28,361,85,405,112,361,29,405,56,361,57,405,84,361,57,405,84,0
2215,1,鈍器技能,Data/Interface/Concept/UI_Button_012.png,46,113,90,140,46,197,90,224,46,141,90,168,46,169,90,196,46,169,90,196,0
2216,1,矛槍技能,Data/Interface/Concept/UI_Button_012.png,406,1,450,28,406,85,450,112,406,29,450,56,406,57,450,84,406,57,450,84,0
2217,1,弓箭技能,Data/Interface/Concept/UI_Button_012.png,451,113,495,140,451,197,495,224,451,141,495,168,451,169,495,196,451,169,495,196,0
2218,1,十字弓技能,Data/Interface/Concept/UI_Button_012.png,1,225,45,252,1,309,45,336,1,253,45,280,1,281,45,308,1,281,45,308,0
2219,1,吉他技能,Data/Interface/Concept/UI_Button_012.png,316,113,360,140,316,197,360,224,316,141,360,168,316,169,360,196,316,169,360,196,0
2220,1,槍技能,Data/Interface/Concept/UI_Button_012.png,46,225,90,252,46,309,90,336,46,253,90,280,46,281,90,308,46,281,90,308,0
2221,1,魔杖技能,Data/Interface/Concept/UI_Button_012.png,361,1,405,28,361,85,405,112,361,29,405,56,361,57,405,84,361,57,405,84,0
2222,1,拳套技能,Data/Interface/Concept/UI_Button_012.png,91,113,135,140,91,197,135,224,91,141,135,168,91,169,135,196,91,169,135,196,0
2223,1,短劍技能,Data/Interface/Concept/UI_Button_012.png,406,113,450,140,406,197,450,224,406,141,450,168,406,169,450,196,406,169,450,196,0
2225,1,MG技能,Data/Interface/Concept/UI_Button_012.png,91,225,135,252,91,309,135,336,91,253,135,280,91,281,135,308,91,281,135,308,0
2306,1,水屬性魔法,Data/Interface/Concept/UI_Button_012.png,181,113,225,140,181,197,225,224,181,141,225,168,181,169,225,196,181,169,225,196,0
2307,1,風屬性魔法,Data/Interface/Concept/UI_Button_012.png,226,113,270,140,226,197,270,224,226,141,270,168,226,169,270,196,226,169,270,196,0
2308,1,火屬性魔法,Data/Interface/Concept/UI_Button_012.png,136,113,180,140,136,197,180,224,136,141,180,168,136,169,180,196,136,169,180,196,0
2309,1,地屬性魔法,Data/Interface/Concept/UI_Button_012.png,271,113,315,140,271,197,315,224,271,141,315,168,271,169,315,196,271,169,315,196,0
2310,1,屬性專門化,Data/Interface/Concept/UI_Button_013.png,361,1,405,28,361,85,405,112,361,29,405,56,361,57,405,84,361,57,405,84,0
2311,1,魔法技能,Data/Interface/Concept/UI_Button_013.png,316,1,360,28,316,85,360,112,316,29,360,56,316,57,360,84,316,57,360,196,0
2314,1,水屬性魔法,Data/Interface/Concept/UI_Button_012.png,181,113,225,140,181,197,225,224,181,141,225,168,181,169,225,196,181,169,225,196,0
2405,1,天之王者技能,Data/Interface/Concept/UI_Button_012.png,91,1,135,28,91,85,135,112,91,29,135,56,91,57,135,84,91,57,135,84,0
2406,1,幻武劍豪技能,Data/Interface/Concept/UI_Button_012.png,91,1,135,28,91,85,135,112,91,29,135,56,91,57,135,84,91,57,135,84,0
2407,1,創世主技能,Data/Interface/Concept/UI_Button_012.png,91,1,135,28,91,85,135,112,91,29,135,56,91,57,135,84,91,57,135,84,0
2408,1,諸神使者技能,Data/Interface/Concept/UI_Button_012.png,91,1,135,28,91,85,135,112,91,29,135,56,91,57,135,84,91,57,135,84,0
2409,1,大毀滅者技能,Data/Interface/Concept/UI_Button_012.png,91,1,135,28,91,85,135,112,91,29,135,56,91,57,135,84,91,57,135,84,0
2410,1,流行天王技能,Data/Interface/Concept/UI_Button_012.png,91,1,135,28,91,85,135,112,91,29,135,56,91,57,135,84,91,57,135,84,0
2411,1,風之潛行者技能,Data/Interface/Concept/UI_Button_012.png,91,1,135,28,91,85,135,112,91,29,135,56,91,57,135,84,91,57,135,84,0
2412,1,裁決射手技能,Data/Interface/Concept/UI_Button_012.png,91,1,135,28,91,85,135,112,91,29,135,56,91,57,135,84,91,57,135,84,0
2414,1,究極兵甲技能,Data/Interface/Concept/UI_Button_012.png,91,1,135,28,91,85,135,112,91,29,135,56,91,57,135,84,91,57,135,84,0
2226,1,短劍技能,Data/Interface/Concept/UI_Button_012.png,406,113,450,140,406,197,450,224,406,141,450,168,406,169,450,196,406,169,450,196,0
2236,1,靈魂石技能,Data/Interface/Concept/UI_Button_012.png,136,225,180,252,136,309,180,336,136,253,180,280,136,281,180,308,136,281,180,308,0
2434,1,弒魂者技能,Data/Interface/Concept/UI_Button_012.png,91,1,135,28,91,85,135,112,91,29,135,56,91,57,135,84,91,57,135,84,0
2724,1,一般特性,Data/Interface/Concept/UI_Button_012.png,316,1,360,28,316,85,360,112,316,29,360,56,316,57,360,84,316,57,360,84,0
2725,1,一般特性,Data/Interface/Concept/UI_Button_012.png,316,1,360,28,316,85,360,112,316,29,360,56,316,57,360,84,316,57,360,84,0
2726,1,一般特性,Data/Interface/Concept/UI_Button_012.png,316,1,360,28,316,85,360,112,316,29,360,56,316,57,360,84,316,57,360,84,0
2727,1,一般特性,Data/Interface/Concept/UI_Button_012.png,316,1,360,28,316,85,360,112,316,29,360,56,316,57,360,84,316,57,360,84,0
2728,1,一般特性,Data/Interface/Concept/UI_Button_012.png,316,1,360,28,316,85,360,112,316,29,360,56,316,57,360,84,316,57,360,84,0
2729,1,一般特性,Data/Interface/Concept/UI_Button_012.png,316,1,360,28,316,85,360,112,316,29,360,56,316,57,360,84,316,57,360,84,0
2730,1,一般特性,Data/Interface/Concept/UI_Button_012.png,316,1,360,28,316,85,360,112,316,29,360,56,316,57,360,84,316,57,360,84,0
2731,1,一般特性,Data/Interface/Concept/UI_Button_012.png,316,1,360,28,316,85,360,112,316,29,360,56,316,57,360,84,316,57,360,84,0
2732,1,一般特性,Data/Interface/Concept/UI_Button_012.png,316,1,360,28,316,85,360,112,316,29,360,56,316,57,360,84,316,57,360,84,0
2736,1,一般特性,Data/Interface/Concept/UI_Button_012.png,316,1,360,28,316,85,360,112,316,29,360,56,316,57,360,84,316,57,360,84,0
2737,1,一般特性,Data/Interface/Concept/UI_Button_012.png,316,1,360,28,316,85,360,112,316,29,360,56,316,57,360,84,316,57,360,84,0
2738,1,一般特性,Data/Interface/Concept/UI_Button_012.png,316,1,360,28,316,85,360,112,316,29,360,56,316,57,360,84,316,57,360,84,0
2739,1,一般特性,Data/Interface/Concept/UI_Button_012.png,316,1,360,28,316,85,360,112,316,29,360,56,316,57,360,84,316,57,360,84,0
2740,1,一般特性,Data/Interface/Concept/UI_Button_012.png,316,1,360,28,316,85,360,112,316,29,360,56,316,57,360,84,316,57,360,84,0
2741,1,一般特性,Data/Interface/Concept/UI_Button_012.png,316,1,360,28,316,85,360,112,316,29,360,56,316,57,360,84,316,57,360,84,0
2742,1,一般特性,Data/Interface/Concept/UI_Button_012.png,316,1,360,28,316,85,360,112,316,29,360,56,316,57,360,84,316,57,360,84,0
2743,1,一般特性,Data/Interface/Concept/UI_Button_012.png,316,1,360,28,316,85,360,112,316,29,360,56,316,57,360,84,316,57,360,84,0
2744,1,一般特性,Data/Interface/Concept/UI_Button_012.png,316,1,360,28,316,85,360,112,316,29,360,56,316,57,360,84,316,57,360,84,0
2745,1,一般特性,Data/Interface/Concept/UI_Button_012.png,316,1,360,28,316,85,360,112,316,29,360,56,316,57,360,84,316,57,360,84,0
503,3,演奏技能,Data/Interface/Concept/UI_Button_012.png,361,113,405,140,361,197,405,224,361,141,405,168,361,169,405,196,361,169,405,196,0
470,2,期間制技能,Data/Interface/Concept/UI_Button_012.png,271,1,315,28,271,85,315,112,271,29,315,56,271,57,315,84,271,57,315,84,0
510,1,格鬥場技能,Data/Interface/Concept/UI_Button_012.png,181,1,225,28,181,85,225,112,181,29,225,56,181,57,225,84,181,57,225,84,0
4001,1,魔力卡片技能,Data/Interface/Concept/UI_Button_013.png,451,1,495,28,451,85,495,112,451,29,495,56,451,57,495,84,451,57,495,84,0
4101,1,卡片大師技能,Data/Interface/Concept/UI_Button_012.png,91,1,135,28,91,85,135,112,91,29,135,56,91,57,135,84,91,57,135,84,0
4002,1,魔力卡片技能,Data/Interface/Concept/UI_Button_013.png,451,1,495,28,451,85,495,112,451,29,495,56,451,57,495,84,451,57,495,84,0
4102,1,高階大師技能,Data/Interface/Concept/UI_Button_012.png,91,1,135,28,91,85,135,112,91,29,135,56,91,57,135,84,91,57,135,84,0
4202,1,封印技能,Data/Interface/Concept/UI_Button_013.png,91,1,135,28,91,85,135,112,91,29,135,56,91,57,135,84,91,57,135,84,0
4003,1,魔力卡片技能,Data/Interface/Concept/UI_Button_013.png,451,1,495,28,451,85,495,112,451,29,495,56,451,57,495,84,451,57,495,84,0
4103,1,神聖大師技能,Data/Interface/Concept/UI_Button_012.png,91,1,135,28,91,85,135,112,91,29,135,56,91,57,135,84,91,57,135,84,0
4203,1,封印技能,Data/Interface/Concept/UI_Button_013.png,91,1,135,28,91,85,135,112,91,29,135,56,91,57,135,84,91,57,135,84,0
4004,1,魔力卡片技能,Data/Interface/Concept/UI_Button_013.png,451,1,495,28,451,85,495,112,451,29,495,56,451,57,495,84,451,57,495,84,0
4104,1,弧形大師技能,Data/Interface/Concept/UI_Button_012.png,91,1,135,28,91,85,135,112,91,29,135,56,91,57,135,84,91,57,135,84,0
4204,1,封印技能,Data/Interface/Concept/UI_Button_013.png,91,1,135,28,91,85,135,112,91,29,135,56,91,57,135,84,91,57,135,84,0
4749,1,一般特性,Data/Interface/Concept/UI_Button_012.png,316,1,360,28,316,85,360,112,316,29,360,56,316,57,360,84,316,57,360,84,0
4005,1,魔力卡片技能,Data/Interface/Concept/UI_Button_013.png,451,1,495,28,451,85,495,112,451,29,495,56,451,57,495,84,451,57,495,84,0
4105,1,決鬥大師技能,Data/Interface/Concept/UI_Button_012.png,91,1,135,28,91,85,135,112,91,29,135,56,91,57,135,84,91,57,135,84,0
