ID,_Map,_Name,_type
130,23-04,偽造數據,Field
131,23-05,櫻樹湖畔 3,Field
132,24-00,沙漠地帶 1,Field
133,24-01,沙漠地帶 5,Field
134,24-02,沙漠地帶 2,Field
135,24-03,沙漠地帶 4,Field
136,24-04,沙漠地帶 6,Field
137,24-05,沙漠地帶 3,Field
138,25-00,山林礦場 1層,Field
139,25-01,山林礦場 2層,Field
140,25-02,山林礦場 3層,Field
141,25-03,山林礦場 4層,Field
142,25-04,山林礦場 5層,Field
143,25-05,山林礦場 6層,Field
144,25-06,山林礦場 7層,Field
145,25-07,山林礦場 8層,Field
146,26-00,影子之書 1,PARTY
147,26-01,影子之書 2,PARTY
148,26-02,影子之書 3,PARTY
149,26-03,影子之書 4,PARTY
150,26-04,影子之書 5,PARTY
151,26-05,影子之書 6,PARTY
152,26-06,影子之書 7,PARTY
153,27-00,[偽造數據],Safety zone
154,28-00,[偽造數據],Safety zone
155,29-00,[偽造數據],Safety zone
156,30-00,黑暗森林 1,Field
157,30-01,黑暗森林 2,Field
158,30-02,黑暗森林 3,Field
159,30-03,黑暗森林 4,Field
160,30-04,黑暗森林 5,Field
161,31-00,陰森住宅庭園,Safety zone
162,31-01,陰森住宅 1,Field
163,31-02,陰森住宅 2,Field
164,31-03,陰森住宅 3,Field
165,31-04,陰森住宅 4,Field
166,31-05,陰森住宅 5,Field
167,31-06,陰森住宅 6,Field
168,31-07,萬聖節活動庭院,Safety zone
169,31-08,和彩虹島物語一起歡度萬聖節,Safety zone
170,32-00,黑月城監獄,Safety zone
171,32-01,鬼魂的地盤,Safety zone
172,32-02,哥布林地盤,Safety zone
173,32-03,醜頭怪世界,Safety zone
174,33-00,奧爾卡海邊 1,Field
175,33-01,奧爾卡海邊 2,Field
176,33-02,奧爾卡海邊 3,Field
177,33-03,奧爾卡海邊 4,Field
178,33-04,奧爾卡海邊 5,Field
179,33-05,以熱治熱海邊,Field
180,34-00,萬聖節活動,Safety zone
181,35-00,爬呀爬大樹,Field
182,35-01,爬呀爬花瓣,Field
183,35-02,爬呀爬花瓣,Field
184,35-03,路在哪裡啊,Safety zone
185,35-04,路在哪裡啊,Safety zone
186,36-00,超級瑪琍大廳,Safety zone
187,36-01,超級瑪琍 Level 1,Safety zone
188,36-02,超級瑪琍 Level 2,Safety zone
189,36-03,超級瑪琍 Level 3,Safety zone
190,36-04,超級瑪琍 Level 4,Safety zone
191,36-05,超級瑪琍 Level 5,Safety zone
192,36-06,超級瑪琍 Level 6,Safety zone
193,36-07,超級瑪琍 Level 7,Safety zone
194,36-08,超級瑪琍,Safety zone
195,36-09,超級瑪琍,Safety zone
196,36-10,超級瑪琍,Safety zone
197,36-11,超級瑪琍,Safety zone
198,36-12,教師節的顛倒超級瑪琍,Safety zone
199,36-13,教師節的顛倒超級瑪琍,Safety zone
200,36-14,教師節的顛倒超級瑪琍,Safety zone
201,36-15,教師節的顛倒超級瑪琍,Safety zone
202,36-16,超級瑪琍 2-2,Field
203,36-17,超級瑪琍 2-1,Safety zone
204,36-18,超級瑪琍 2-3,Safety zone
205,36-19,超級瑪琍 2-4,Safety zone
206,36-20,超級瑪琍大廳 2,Safety zone
207,37-00,貝斯都市,Safety zone
208,37-01,戰鬥用品店,Safety zone
209,37-02,餐廳,Safety zone
210,37-03,貝斯港口,Safety zone
211,38-00,雨林地帶 1,Field
212,38-01,雨林地帶 2,Field
213,38-02,雨林地帶 5,Field
214,38-03,雨林地帶 3,Field
215,38-04,雨林地帶 6,Field
216,38-05,雨林地帶 4,Field
217,38-06,雨林冒險,Field
218,39-00,克杜卡遺址 1,Field
219,39-01,克杜卡遺址 2,Field
220,39-02,克杜卡遺址 3,Field
221,39-03,克杜卡遺址 4,Field
222,39-04,克杜卡遺址 5,Field
223,39-05,克杜卡遺址 6,Field
224,39-06,克杜卡休息地,Safety zone
225,40-00,克杜卡心臟,Field
226,40-01,克杜卡遺址地下,Field
227,40-02,克杜卡遺址地下,Field
228,40-03,克杜卡遺址地下,Field
229,41-00,春植地下通道 區域1,Field
230,41-01,春植地下通道 區域2,Field
231,41-02,春植地下通道 區域3,Field
232,41-03,春植地下通道 區域4,Field
233,42-00,春植島 1,Field
234,42-01,春植島 4,Field
235,42-02,春植島 5,Field
236,42-03,春植島 2,Field
237,42-04,春植島 3,Field
238,42-05,春植島休息地,Safety zone
239,42-06,耶比妹妹指路,Single
240,43-00,貓頭鷹城 1,Field
241,43-01,貓頭鷹城 2,Field
242,43-02,貓頭鷹城 3,Field
243,43-03,貓頭鷹城 4,Field
244,43-04,貓頭鷹城 5,Field
245,43-05,貓頭鷹城 6,Field
246,43-06,貓頭鷹城 7,Field
247,43-07,貓頭鷹城 8,Field
248,44-00,醜頭怪巢穴入口,Safety zone
249,44-01,醜頭怪巢穴入口,Safety zone
250,44-02,聖誕快樂,Safety zone
251,45-00,幽靈海盜船 1,Field
252,45-01,幽靈海盜船 2,Field
253,45-02,幽靈海盜船 3,Field
254,45-03,幽靈海盜船 5,Field
255,45-04,幽靈海盜船 4,Field
256,45-05,幽靈海盜船 6,Field
257,45-06,殺人鯨號,Safety zone
258,45-07,彩虹島世界幽靈船,Field
259,45-08,幽靈之家等候室,Field
260,46-00,[偽造數據],Safety zone
261,47-00,古木林 1,Field
262,47-01,古木林 2,Field
263,47-02,古木林 2,Field
264,47-03,古木林 4,Field
265,47-04,古木林 - 活動,Field
266,48-00,列車機房,Field
267,48-01,列車 煤炭車廂,Field
268,48-02,列車 餐廳車廂,Field
269,48-03,列車客房,Field
270,48-04,列車機房,Field
271,49-00,火車站,Safety zone
272,50-00,兔女郎的活動,Safety zone
273,50-01,暢快俱樂部,Safety zone
274,50-02,暢快俱樂部 2,Safety zone
275,50-03,Game5 - 可以忍受的誘惑等候室,Safety zone
276,50-04,Game5 - 可以忍受的誘惑,Safety zone
277,50-05,Game5 - 可以忍受的誘惑獎勵房,Safety zone
278,51-00,水晶礦場,Safety zone
279,52-00,蛇龍巢穴  1,PARTY
280,52-01,蛇龍巢穴  2,PARTY
281,52-02,蛇龍巢穴  3,PARTY
282,52-03,蛇龍巢穴  4,PARTY
283,52-04,蛇龍巢穴  5,PARTY
284,52-05,蛇龍巢穴深處,PARTY
285,52-06,蛇龍巢穴深處,PARTY
286,52-07,蛇龍巢穴深處,PARTY
287,52-08,蛇龍巢穴,PARTY
288,53-00,史前村莊,Safety zone
289,53-01,薩勒斯原野 1,Field
290,53-02,薩勒斯原野 2,Field
291,53-03,薩勒斯原野 3,Field
292,53-04,薩勒斯原野 4,Field
293,53-05,薩勒斯森林 1,Field
294,53-06,薩勒斯森林 2,Field
295,53-07,偷取寶物的哥布林住所,Safety zone
296,54-00,貝希摩斯肚子 1,Field
297,54-01,貝希摩斯肚子 2,Field
298,54-02,貝希摩斯肚子 3,Field
299,54-03,貝希摩斯肚子 4,Field
300,54-04,貝希摩斯肚子 5,Field
301,54-05,貝希摩斯肚子 6,Field
302,55-00,奧利佛海邊,Field
303,55-01,奧利佛森林,Field
304,55-02,奧利佛高速公路,Field
305,56-00,奧利佛都市,Field
306,57-00,唉唷唉唷城上層,Field
307,57-01,唉唷唉唷城上層,Field
308,57-02,?M ??? ?,Safety zone
309,58-00,餅乾花園 1,Field
310,58-01,餅乾花園 2,Field
311,58-02,餅乾花園 3,Field
312,58-03,餅乾花園 6,Field
313,58-04,餅乾花園 5,Field
314,58-05,餅乾花園 4,Field
315,58-06,2017年蛋糕滿滿,Field
316,59-00,中立公會房間,guild
317,60-00,極地迷宮1,PARTY
318,60-01,極地迷宮2,PARTY
319,60-02,極地迷宮3,PARTY
320,60-03,極地迷宮4,PARTY
321,60-04,極地迷宮5,PARTY
322,60-05,極地迷宮6,PARTY
323,60-06,極地迷宮7,PARTY
324,60-07,極地迷宮8,PARTY
325,60-08,極地迷宮9,PARTY
326,60-09,極地迷宮5,PARTY
327,60-10,極地迷宮5,PARTY
328,61-00,香格里拉1,PARTY
329,61-01,香格里拉2,PARTY
330,61-02,香格里拉3,PARTY
331,61-03,香格里拉4,PARTY
332,61-04,香格里拉5,PARTY
333,61-05,香格里拉玄武房,PARTY
334,62-00,哥德房屋,PARTY
335,62-01,哥德房屋,PARTY
336,62-02,哥德房屋,PARTY
337,63-00,十六日的月 1,PARTY
338,63-01,十六日的月 2,PARTY
339,63-02,十六日的黑月,PARTY
340,63-03,十六日的黑月,PARTY
341,63-04,十六日的黑月,PARTY
342,63-05,十六日的黑月,PARTY
343,63-06,十六日的黑月,PARTY
344,63-07,十六日的黑月,PARTY
345,63-08,十六日的黑月,PARTY
346,63-09,十六日的黑月,PARTY
347,64-00,金字塔墓室 1,PARTY
348,64-01,金字塔墓室 2,PARTY
349,64-02,金字塔墓室 3,PARTY
350,64-03,金字塔墓室 4,PARTY
351,64-04,人面獅身像房間,PARTY
352,64-05,寶物倉庫,PARTY
353,64-06,尋找寶物,Field
354,64-07,尋找寶物的等待房,Field
355,64-08,黃金宮殿 1,Field
356,64-09,黃金宮殿 2,Field
357,64-10,黃金宮殿 3,Field
358,64-11,尋寶紅綠燈等候,Field
359,65-00,已冷卻的心臟  1,PARTY
360,65-01,已冷卻的心臟  2,PARTY
361,65-02,已冷卻的心臟  3,PARTY
362,65-03,已冷卻的心臟  4,PARTY
363,65-04,已冷卻的心臟  5,PARTY
364,65-05,已冷卻的心臟  6,PARTY
365,66-00,潛水艇,Safety zone
366,66-01,潛水艇,Safety zone
367,67-00,亞特蘭提斯都市,Safety zone
368,68-00,深淵的遺址 1,Field
369,68-01,深淵的遺址 2,Field
370,68-02,深淵的遺址 3,Field
371,68-03,深淵的遺址 4,Field
372,68-04,深淵的遺址 5,Field
373,68-05,深淵的遺址 6,Field
374,69-00,轉職中心,Safety zone
375,69-01,哥布林內部,Safety zone
376,70-00,格鬥場 一般戰,Safety zone
377,71-00,格鬥場 物品戰,Safety zone
378,72-00,格鬥場 傳點戰,Safety zone
379,73-00,蛇龍巢穴  1,Field
380,73-01,蛇龍巢穴  2,Field
381,73-02,蛇龍巢穴  3,Field
382,74-00,極地迷宮 1,Field
383,74-01,極地迷宮 2,Field
384,75-00,香格里拉 1,Field
385,75-01,香格里拉 2,Field
386,75-02,香格里拉 3,Field
387,76-00,金字塔墓室 1,Field
388,76-01,金字塔墓室 2,Field
389,76-02,金字塔墓室 3,Field
390,77-00,幽靈海盜船 1,Field
391,77-01,幽靈海盜船 2,Field
392,78-00,爬呀爬活動,Safety zone
393,78-01,恭喜獲得第1名!,Safety zone
394,78-02,恭喜獲得第2名!,Safety zone
395,78-03,恭喜獲得第3名!,Safety zone
396,78-04,恭喜獲得第4名!,Safety zone
397,78-05,恭喜獲得第5名!,Safety zone
398,78-06,已完成全程,Safety zone
399,79-00,限時闖關,Safety zone
400,79-01,2017年紀念馬拉松,Field
401,80-00,開拓視野,Safety zone
402,80-01,開拓視野,Safety zone
403,80-02,開拓視野,Field
404,81-00,春植領主館 1,Field
405,81-01,春植領主館 3,Field
406,81-02,春植領主館 2,Field
407,81-03,春植領主館 4,Field
408,81-04,春植領主館 5,Field
409,81-05,愛的彩虹島物語博物館,Field
410,82-00,奇邁羅研究所3,PARTY
411,82-01,奇邁羅研究所2,PARTY
412,82-02,奇邁羅研究所5,PARTY
413,82-03,奇邁羅研究所4,PARTY
414,82-04,奇邁羅研究所1,PARTY
415,82-05,奇邁羅研究所6,PARTY
416,82-06,奇邁羅研究所6,PARTY
417,82-07,奇邁羅研究所6,PARTY
418,83-00,奉春植房間,PARTY
419,83-01,奉春植房間,PARTY
420,83-02,奉春植房間,PARTY
421,84-00,年糕地區,PARTY
422,84-01,年糕地區,PARTY
423,84-02,年糕地區,PARTY
424,85-00,水族館 1,Field
425,85-01,水族館 2,Field
426,85-02,水族館 3,Field
427,85-03,美人魚房間,Safety zone
428,85-04,Under the sea,Field
429,86-00,米德卡勒特,Safety zone
430,86-01,戰鬥用品店,Safety zone
431,86-02,酒館,Safety zone
432,87-00,比佛羅斯特,Safety zone
433,87-01,彩虹橋,Safety zone
434,87-02,耳環之房,Safety zone
435,87-03,項鍊之房,Safety zone
436,87-04,朝向頂峰,Field
437,88-00,瓦爾哈拉 1,PARTY
438,88-01,瓦爾哈拉 2,PARTY
439,88-02,瓦爾哈拉 3,PARTY
440,88-03,瓦爾哈拉 4,PARTY
441,88-04,瓦爾哈拉 5,PARTY
442,88-05,瓦爾哈拉 6,PARTY
443,88-06,瓦爾哈拉 7,PARTY
444,88-07,瓦爾哈拉 8,PARTY
445,88-08,瓦爾哈拉 9,PARTY
446,88-09,瓦爾哈拉 9,PARTY
447,88-10,瓦爾哈拉 9,PARTY
448,89-00,大蘋果之城,Safety zone
449,89-01,怪物塔大廳,Safety zone
450,89-02,休息室,Safety zone
451,89-03,休息室,Safety zone
452,89-04,休息室,Safety zone
453,89-05,休息室,Safety zone
454,89-06,休息室,Safety zone
455,89-07,休息室,Safety zone
456,89-08,休息室,Safety zone
457,89-09,休息室,Safety zone
458,89-10,休息室,Safety zone
459,89-11,休息室,Safety zone
460,89-12,休息室,Safety zone
461,89-13,休息室,Safety zone
462,89-14,休息室,Safety zone
463,89-15,大蘋果之城 機場,Safety zone
464,89-16,飛行中的機艙內,Safety zone
465,89-17,休息室,Safety zone
466,89-18,休息室,Safety zone
467,89-19,休息室,Safety zone
468,89-20,休息室,Safety zone
469,89-21,休息室,Safety zone
470,89-22,休息室,Safety zone
471,89-23,休息室,Safety zone
472,89-24,地鐵站入口,Safety zone
473,89-25,彩諾恩事務所,Field
474,89-26,保護守護神,Single
475,89-27,獎勵房,Single
476,89-28,限時闖關等待房,Safety zone
477,90-00,消滅鼴鼠,Safety zone
478,90-01,消滅鼴鼠,Safety zone
479,91-00,羅馬競技場,Safety zone
480,92-00,一般聊天室,NORMAL
481,93-00,市集聊天室,MARKET
482,94-00,尋人聊天室,TAKE
483,95-00,交誼聊天室,MEET
484,95-01,剪刀、石頭、布,Field
485,95-02,剪刀、石頭、布,Field
486,95-03,剪刀、石頭、布,Field
487,95-04,勝利房,Field
488,95-05,剪刀、石頭、布,Field
489,95-06,剪刀、石頭、布,Field
490,95-07,剪刀、石頭、布,Field
491,95-08,敗北房,Field
492,95-09,剪刀、石頭、布大廳,Single
493,96-00,怪物塔 1F,Single
494,96-01,怪物塔 2F,Single
495,96-02,怪物塔 3F,Single
496,96-03,怪物塔 4F,Single
497,96-04,怪物塔 5F,Single
498,96-05,怪物塔 6F,Single
499,96-06,怪物塔 7F,Single
500,96-07,怪物塔 8F,Single
501,96-08,怪物塔 9F,Single
502,96-09,怪物塔 10F,Single
503,96-10,休息室,Single
504,96-11,獎勵房 1號房,Single
505,96-12,獎勵房 2號房,Single
506,96-13,獎勵房 3號房,Single
507,96-14,獎勵房 4號房,Single
508,96-15,中間獎勵房,Single
509,97-00,怪物塔 11F,Single
510,97-01,怪物塔 12F,Single
511,97-02,怪物塔 13F,Single
512,97-03,怪物塔 14F,Single
513,97-04,怪物塔 15F,Single
514,97-05,怪物塔 16F,Single
515,97-06,怪物塔 17F,Single
516,97-07,怪物塔 18F,Single
517,97-08,怪物塔 19F,Single
518,97-09,怪物塔 20F,Single
519,97-10,休息室,Single
520,97-11,獎勵房 1號房,Single
521,97-12,獎勵房 2號房,Single
522,97-13,獎勵房 3號房,Single
523,97-14,獎勵房 4號房,Single
524,97-15,中間獎勵房,Single
525,97-16,獎勵之房,Safety zone
526,98-00,怪物塔 21F,Single
527,98-01,怪物塔 22F,Single
528,98-02,怪物塔 23F,Single
529,98-03,怪物塔 24F,Single
530,98-04,怪物塔 25F,Single
531,98-05,怪物塔 26F,Single
532,98-06,怪物塔 27F,Single
533,98-07,怪物塔 28F,Single
534,98-08,怪物塔 29F,Single
535,98-09,怪物塔 30F,Single
536,98-10,休息室,Single
537,98-11,獎勵房 1號房,Single
538,98-12,獎勵房 2號房,Single
539,98-13,獎勵房 3號房,Single
540,98-14,獎勵房 4號房,Single
541,98-15,中間獎勵房,Single
542,99-00,怪物塔 31F,Single
543,99-01,怪物塔 32F,Single
544,99-02,怪物塔 33F,Single
545,99-03,怪物塔 34F,Single
546,99-04,怪物塔 35F,Single
547,99-05,怪物塔 36F,Single
548,99-06,怪物塔 37F,Single
549,99-07,怪物塔 38F,Single
550,99-08,怪物塔 39F,Single
551,99-09,怪物塔 40F,Single
552,99-10,休息室,Single
553,99-11,獎勵房 1號房,Single
554,99-12,獎勵房 2號房,Single
555,99-13,獎勵房 3號房,Single
556,99-14,獎勵房 4號房,Single
557,99-15,中間獎勵房,Single
558,100-00,怪物塔 41F,Single
559,100-01,怪物塔 42F,Single
560,100-02,怪物塔 43F,Single
561,100-03,怪物塔 44F,Single
562,100-04,怪物塔 45F,Single
563,100-05,怪物塔 46F,Single
564,100-06,怪物塔 47F,Single
565,100-07,怪物塔 48F,Single
566,100-08,怪物塔 49F,Single
567,100-09,怪物塔 50F,Single
568,100-10,休息室,Single
569,100-11,獎勵房 1號房,Single
570,100-12,獎勵房 2號房,Single
571,100-13,獎勵房 3號房,Single
572,100-14,獎勵房 4號房,Single
573,100-15,中間獎勵房,Single
574,101-00,怪物塔 51F,Single
575,101-01,怪物塔 52F,Single
576,101-02,怪物塔 53F,Single
577,101-03,怪物塔 54F,Single
578,101-04,怪物塔 55F,Single
579,101-05,怪物塔 56F,Single
580,101-06,怪物塔 57F,Single
581,101-07,怪物塔 58F,Single
582,101-08,怪物塔 59F,Single
583,101-09,怪物塔 60F,Single
584,101-10,休息室,Single
585,101-11,獎勵房 1號房,Single
586,101-12,獎勵房 2號房,Single
587,101-13,獎勵房 3號房,Single
588,101-14,獎勵房 4號房,Single
589,101-15,中間獎勵房,Single
590,102-00,怪物塔 61F,Single
591,102-01,怪物塔 62F,Single
592,102-02,怪物塔 63F,Single
593,102-03,怪物塔 64F,Single
594,102-04,怪物塔 65F,Single
595,102-05,怪物塔 66F,Single
596,102-06,怪物塔 67F,Single
597,102-07,怪物塔 68F,Single
598,102-08,怪物塔 69F,Single
599,102-09,怪物塔 70F,Single
600,102-10,休息室,Single
601,102-11,獎勵房 1號房,Single
602,102-12,獎勵房 2號房,Single
603,102-13,獎勵房 3號房,Single
604,102-14,獎勵房 4號房,Single
605,102-15,中間獎勵房,Single
606,103-00,怪物塔 71F,Single
607,103-01,怪物塔 72F,Single
608,103-02,怪物塔 73F,Single
609,103-03,怪物塔 74F,Single
610,103-04,怪物塔 75F,Single
611,103-05,怪物塔 76F,Single
612,103-06,怪物塔 77F,Single
613,103-07,怪物塔 78F,Single
614,103-08,怪物塔 79F,Single
615,103-09,怪物塔 80F,Single
616,103-10,休息室,Single
617,103-11,獎勵房 1號房,Single
618,103-12,獎勵房 2號房,Single
619,103-13,獎勵房 3號房,Single
620,103-14,獎勵房 4號房,Single
621,103-15,中間獎勵房,Single
622,104-00,怪物塔 81F,Single
623,104-01,怪物塔 82F,Single
624,104-02,怪物塔 83F,Single
625,104-03,怪物塔 84F,Single
626,104-04,怪物塔 85F,Single
627,104-05,怪物塔 86F,Single
628,104-06,怪物塔 87F,Single
629,104-07,怪物塔 88F,Single
630,104-08,怪物塔 89F,Single
631,104-09,怪物塔 90F,Single
632,104-10,休息室,Single
633,104-11,獎勵房 1號房,Single
634,104-12,獎勵房 2號房,Single
635,104-13,獎勵房 3號房,Single
636,104-14,獎勵房 4號房,Single
637,104-15,中間獎勵房,Single
638,105-00,怪物塔 91F,Single
639,105-01,怪物塔 92F,Single
640,105-02,怪物塔 93F,Single
641,105-03,怪物塔 94F,Single
642,105-04,怪物塔 95F,Single
643,105-05,怪物塔 96F,Single
644,105-06,怪物塔 97F,Single
645,105-07,怪物塔 98F,Single
646,105-08,怪物塔 99F,Single
647,105-09,怪物塔 100F,Single
648,105-10,休息室,Single
649,105-11,獎勵房 1號房,Single
650,105-12,獎勵房 2號房,Single
651,105-13,獎勵房 3號房,Single
652,105-14,獎勵房 4號房,Single
653,105-15,中間獎勵房,Single
654,106-00,怪物塔 101F,Single
655,106-01,怪物塔 102F,Single
656,106-02,怪物塔 103F,Single
657,106-03,怪物塔 104F,Single
658,106-04,怪物塔 105F,Single
659,106-05,怪物塔 106F,Single
660,106-06,怪物塔 107F,Single
661,106-07,怪物塔 108F,Single
662,106-08,怪物塔 109F,Single
663,106-09,怪物塔 110F,Single
664,106-10,休息室,Single
665,106-11,獎勵房 1號房,Single
666,106-12,獎勵房 2號房,Single
667,106-13,獎勵房 3號房,Single
668,106-14,獎勵房 4號房,Single
669,106-15,中間獎勵房,Single
670,107-00,怪物塔 111F,Single
671,107-01,怪物塔 112F,Single
672,107-02,怪物塔 113F,Single
673,107-03,怪物塔 114F,Single
674,107-04,怪物塔 115F,Single
675,107-05,怪物塔 116F,Single
676,107-06,怪物塔 117F,Single
677,107-07,怪物塔 118F,Single
678,107-08,怪物塔 119F,Single
679,107-09,怪物塔 120F,Single
680,107-10,休息室,Single
681,107-11,獎勵房 1號房,Single
682,107-12,獎勵房 2號房,Single
683,107-13,獎勵房 3號房,Single
684,107-14,獎勵房 4號房,Single
685,107-15,中間獎勵房,Single
686,108-00,怪物塔 121F,Single
687,108-01,怪物塔 122F,Single
688,108-02,怪物塔 123F,Single
689,108-03,怪物塔 124F,Single
690,108-04,怪物塔 125F,Single
691,108-05,怪物塔 126F,Single
692,108-06,怪物塔 127F,Single
693,108-07,怪物塔 128F,Single
694,108-08,怪物塔 129F,Single
695,108-09,怪物塔 130F,Single
696,108-10,休息室,Single
697,108-11,獎勵房 1號房,Single
698,108-12,獎勵房 2號房,Single
699,108-13,獎勵房 3號房,Single
700,108-14,獎勵房 4號房,Single
701,108-15,中間獎勵房,Single
702,109-00,恐怖村莊 1,PARTY
703,109-01,恐怖村莊 2,PARTY
704,109-02,恐怖村莊 3,PARTY
705,109-03,恐怖村莊 4,PARTY
706,109-04,恐怖村莊 祭殿,PARTY
707,110-00,[偽造數據],Field
708,111-00,太空梭發射台,Safety zone
709,111-01,基礎號,Safety zone
710,112-00,癩蛤蟆聚落 1,Field
711,112-01,癩蛤蟆聚落 2,Field
712,112-02,癩蛤蟆聚落 3,Field
713,112-03,癩蛤蟆聚落 4,Field
714,112-04,山谷入口,Safety zone
715,113-00,癩蛤蟆樹林 1,PARTY
716,113-01,秘密的梯子,PARTY
717,113-02,癩蛤蟆樹林 2,PARTY
718,113-03,混亂的燭火,PARTY
719,113-04,癩蛤蟆樹林 3,PARTY
720,113-05,猜不透,PARTY
721,113-06,秘密基地,PARTY
722,114-00,癩蛤蟆山 1,PARTY
723,114-01,神秘的超級瑪琍,PARTY
724,114-02,癩蛤蟆山 2,PARTY
725,114-03,猜謎石像,PARTY
