ID,_EventName,_RewardType,_Require1_Type,_Require1_ID,_Require1_Value1,_Require1_Value2,_Require2_Type,_Require2_ID,_Require2_Value1,_Require2_Value2,_RequireItem1,_Count1,_RequireItem2,_Count2,_ReueireEly,_ErrMessage,_Item1,_ItemProbability1,_Item2,_ItemProbability2,_Item3,_ItemProbability3,_Item4,_ItemProbability4,_Item5,_ItemProbability5,_Item6,_ItemProbability6,_Item7,_ItemProbability7,_Item8,_ItemProbability8,_Item9,_ItemProbability9,_Item10,_ItemProbability10,_Item11,_ItemProbability11,_Item12,_ItemProbability12,_Item13,_ItemProbability13,_Item14,_ItemProbability14,_Item15,_ItemProbability15,_Item16,_ItemProbability16,_Item17,_ItemProbability17,_Item18,_ItemProbability18,_Item19,_ItemProbability19,_Item20,_ItemProbability20,_Item21,_ItemProbability21,_Item22,_ItemProbability22,_Item23,_ItemProbability23,_Item24,_ItemProbability24,_Item25,_ItemProbability25,_Item26,_ItemProbability26,_Item27,_ItemProbability27,_Item28,_ItemProbability28,_Item29,_ItemProbability29,_Item30,_ItemProbability30,_Item31,_ItemProbability31,_Item32,_ItemProbability32,_Item33,_ItemProbability33,_Item34,_ItemProbability34,_Item35,_ItemProbability35,_Item36,_ItemProbability36,_Item37,_ItemProbability37,_Item38,_ItemProbability38,_Item39,_ItemProbability39,_Item40,_ItemProbability40,_Item41,_ItemProbability41,_Item42,_ItemProbability42,_Item43,_ItemProbability43,_Item44,_ItemProbability44,_Item45,_ItemProbability45,_Item46,_ItemProbability46,_Item47,_ItemProbability47,_Item48,_ItemProbability48,_Item49,_ItemProbability49,_Item50,_ItemProbability50,_RequirePpt
19101,修繕為男性用服飾(上衣),1,0,0,0,0,0,0,0,0,0,0,0,0,0,,50040101,0,50040102,0,50040103,0,50040104,0,50040105,0,50040106,0,50040107,0,50040108,0,50040109,0,50040110,0,50040111,0,50040112,0,50040113,0,50040114,0,50040115,0,50040116,0,50040117,0,50040118,0,50040119,0,50040120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19102,修繕為男性用服飾(褲裙),1,0,0,0,0,0,0,0,0,0,0,0,0,0,,50050101,0,50050102,0,50050103,0,50050104,0,50050105,0,50050106,0,50050107,0,50050108,0,50050109,0,50050110,0,50050111,0,50050112,0,50050113,0,50050114,0,50050115,0,50050116,0,50050117,0,50050118,0,50050119,0,50050120,0,50050121,0,50050122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19103,修繕為男性用服飾(套裝),1,0,0,0,0,0,0,0,0,0,0,0,0,0,,50070101,0,50070102,0,50070103,0,50070104,0,50070105,0,50070106,0,50070107,0,50070108,0,50070109,0,50070110,0,50070111,0,50070112,0,50070113,0,50070114,0,50070116,0,50070117,0,50070118,0,50070119,0,50070120,0,50070121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19104,修繕為女性用服飾(上衣),1,0,0,0,0,0,0,0,0,0,0,0,0,0,,50040201,0,50040202,0,50040203,0,50040204,0,50040205,0,50040206,0,50040207,0,50040208,0,50040209,0,50040210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19105,修繕為女性用服飾(褲裙),1,0,0,0,0,0,0,0,0,0,0,0,0,0,,50050201,0,50050202,0,50050203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19106,修繕為女性用服飾(套裝),1,0,0,0,0,0,0,0,0,0,0,0,0,0,,50070201,0,50070202,0,50070203,0,50070204,0,50070205,0,50070206,0,50070207,0,50070208,0,50070209,0,50070210,0,50070211,0,50070212,0,50070213,0,50070214,0,50070215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19107,修繕為男性用帽子/手套/鞋子,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,50010101,0,50010102,0,50090101,0,50090102,0,50090103,0,50090104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19108,修繕為女性用帽子/手套/鞋子,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,50010201,0,50080216,0,50090201,0,50090202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24101,兌換競技場物品,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,60160102,0,60160101,0,60020101,0,60020201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24102,兌換競技場防具(屬性2個),1,0,0,0,0,0,0,0,0,0,0,0,0,0,,60011101,0,60011201,0,60011301,0,60011401,0,60011501,0,60012101,0,60012201,0,60012301,0,60012401,0,60012501,0,60013101,0,60013201,0,60013301,0,60013401,0,60013501,0,60014101,0,60014201,0,60014301,0,60014401,0,60014501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24103,兌換競技場武器(屬性2個),1,0,0,0,0,0,0,0,0,0,0,0,0,0,,60050101,0,60050201,0,60050301,0,60050401,0,60050501,0,60050601,0,60050701,0,60050801,0,60050901,0,60051001,0,60051101,0,60051201,0,60051301,0,60051401,0,60051501,0,60051601,0,60051701,0,60051801,0,60051901,0,60052001,0,60052101,0,60052201,0,60052301,0,60052401,0,60052501,0,13001009,0,13001041,0,13001059,0,13001070,0,13001081,0,13001091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24104,兌換競技場魔法石(屬性2個),1,0,0,0,0,0,0,0,0,0,0,0,0,0,,60052601,0,60052701,0,60052801,0,60052901,0,60053601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24105,兌換競技場狙擊魔法石(屬性2個),1,0,0,0,0,0,0,0,0,0,0,0,0,0,,60053001,0,60053101,0,60053201,0,60053301,0,60053401,0,60053501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24106,兌換競技場飾品(屬性2個),1,0,0,0,0,0,0,0,0,0,0,0,0,0,,60070101,0,60090101,0,60110101,0,60070201,0,60090201,0,60110201,0,60070301,0,60090301,0,60110301,0,60070401,0,60090401,0,60110401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24107,兌換高級競技場武器(屬性2個),1,0,0,0,0,0,0,0,0,0,0,0,0,0,,60060101,0,60060201,0,60060301,0,60060401,0,60060501,0,60060601,0,60060701,0,60060801,0,60060901,0,60061001,0,60061101,0,60061201,0,60061301,0,60061401,0,60061501,0,60061601,0,60061701,0,60061801,0,60061901,0,60062001,0,60062101,0,60062201,0,60062301,0,60062401,0,60062501,0,13001017,0,13001042,0,13001060,0,13001071,0,13001082,0,13001092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24108,兌換高級競技場武器(屬性2個/製作法),1,0,0,0,0,0,0,0,0,190197402,10,190124702,90,0,"需要 [競技場藍寶石硬幣] x10, [鬥士的徽章] x90",60060102,0,60060202,0,60060302,0,60060402,0,60060502,0,60060602,0,60060702,0,60060802,0,60060902,0,60061002,0,60061102,0,60061202,0,60061302,0,60061402,0,60061502,0,60061602,0,60061702,0,60061802,0,60061902,0,60062002,0,60062102,0,60062202,0,60062302,0,60062402,0,60062502,0,13001025,0,13001043,0,13001061,0,13001072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24109,兌換高級競技場飾品(屬性2個),1,0,0,0,0,0,0,0,0,0,0,0,0,0,,60080101,0,60100101,0,60120101,0,60080201,0,60100201,0,60120201,0,60080301,0,60100301,0,60120301,0,60080401,0,60100401,0,60120401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24110,兌換高級競技場飾品(屬性2個/製作法),1,0,0,0,0,0,0,0,0,190197402,10,190124702,90,0,"需要 [競技場藍寶石硬幣] x10, [鬥士的徽章] x90",60080102,0,60100102,0,60120102,0,60080202,0,60100202,0,60120202,0,60080302,0,60100302,0,60120302,0,60080402,0,60100402,0,60120402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24111,兌換特殊能力值戒指,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,60150101,0,60150201,0,60150102,0,60150202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24112,兌換黃玉硬幣 (競技場武器),1,0,0,0,0,0,0,0,0,0,0,0,0,0,,60130101,0,60130201,0,60130301,0,60130401,0,60130501,0,60130601,0,60130701,0,60130801,0,60130901,0,60131001,0,60131101,0,60131201,0,60131301,0,60131401,0,60131501,0,60131601,0,60131701,0,60131801,0,60131901,0,60132001,0,60132101,0,60132201,0,60132301,0,60132401,0,60132501,0,13001010,0,13001044,0,13001052,0,13001063,0,13001074,0,13001084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24113,兌換黃玉硬幣 (競技場武器+1),1,0,0,0,0,0,0,0,0,0,0,0,0,0,,60130102,0,60130202,0,60130302,0,60130402,0,60130502,0,60130602,0,60130702,0,60130802,0,60130902,0,60131002,0,60131102,0,60131202,0,60131302,0,60131402,0,60131502,0,60131602,0,60131702,0,60131802,0,60131902,0,60132002,0,60132102,0,60132202,0,60132302,0,60132402,0,60132502,0,13001011,0,13001045,0,13001053,0,13001064,0,13001075,0,13001085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24114,兌換黃玉硬幣 (競技場武器+2),1,0,0,0,0,0,0,0,0,0,0,0,0,0,,60130103,0,60130203,0,60130303,0,60130403,0,60130503,0,60130603,0,60130703,0,60130803,0,60130903,0,60131003,0,60131103,0,60131203,0,60131303,0,60131403,0,60131503,0,60131603,0,60131703,0,60131803,0,60131903,0,60132003,0,60132103,0,60132203,0,60132303,0,60132403,0,60132503,0,13001012,0,13001046,0,13001054,0,13001065,0,13001076,0,13001086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24115,兌換黃玉硬幣 (競技場武器+3),1,0,0,0,0,0,0,0,0,0,0,0,0,0,,60130104,0,60130204,0,60130304,0,60130404,0,60130504,0,60130604,0,60130704,0,60130804,0,60130904,0,60131004,0,60131104,0,60131204,0,60131304,0,60131404,0,60131504,0,60131604,0,60131704,0,60131804,0,60131904,0,60132004,0,60132104,0,60132204,0,60132304,0,60132404,0,60132504,0,13001013,0,13001047,0,13001055,0,13001066,0,13001077,0,13001087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24116,兌換黃玉硬幣 (競技場武器+4),1,0,0,0,0,0,0,0,0,0,0,0,0,0,,60130105,0,60130205,0,60130305,0,60130405,0,60130505,0,60130605,0,60130705,0,60130805,0,60130905,0,60131005,0,60131105,0,60131205,0,60131305,0,60131405,0,60131505,0,60131605,0,60131705,0,60131805,0,60131905,0,60132005,0,60132105,0,60132205,0,60132305,0,60132405,0,60132505,0,13001014,0,13001048,0,13001056,0,13001067,0,13001078,0,13001088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24117,兌換黃玉硬幣 (競技場武器+5),1,0,0,0,0,0,0,0,0,0,0,0,0,0,,60130106,0,60130206,0,60130306,0,60130406,0,60130506,0,60130606,0,60130706,0,60130806,0,60130906,0,60131006,0,60131106,0,60131206,0,60131306,0,60131406,0,60131506,0,60131606,0,60131706,0,60131806,0,60131906,0,60132006,0,60132106,0,60132206,0,60132306,0,60132406,0,60132506,0,13001015,0,13001049,0,13001057,0,13001068,0,13001079,0,13001089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24118,兌換黃玉硬幣 (競技場武器+6),1,0,0,0,0,0,0,0,0,0,0,0,0,0,,60130107,0,60130207,0,60130307,0,60130407,0,60130507,0,60130607,0,60130707,0,60130807,0,60130907,0,60131007,0,60131107,0,60131207,0,60131307,0,60131407,0,60131507,0,60131607,0,60131707,0,60131807,0,60131907,0,60132007,0,60132107,0,60132207,0,60132307,0,60132407,0,60132507,0,13001016,0,13001050,0,13001058,0,13001069,0,13001080,0,13001090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24119,兌換藍寶石硬幣 (高級競技場武器),1,0,0,0,0,0,0,0,0,0,0,0,0,0,,60140101,0,60140201,0,60140301,0,60140401,0,60140501,0,60140601,0,60140701,0,13001018,0,60140801,0,60140901,0,60141001,0,60141101,0,60141201,0,60141301,0,60141401,0,60141501,0,60141601,0,60141701,0,60141801,0,60141901,0,60142001,0,60142101,0,60142201,0,60142301,0,60142401,0,60142501,0,13001051,0,13001062,0,13001073,0,13001083,0,13001093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30101,變更特殊兌換券,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,70010101,0,70010201,0,70010301,0,70020101,0,70020201,0,70020301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30102,兌換特殊武器,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,70340101,0,70040102,0,13001001,0,70050103,0,70350104,0,70070105,0,70150106,0,70080107,0,70110108,0,70130109,0,70110110,0,70120111,0,13001002,0,70340112,0,70150113,0,70040114,0,70080115,0,70130116,0,70120117,0,70050118,0,70070119,0,70150120,0,70350121,0,13001003,0,70130122,0,70110123,0,70110124,0,70110125,0,70110126,0,70110127,0,70110128,0,70110129,0,70110130,0,70110131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30103,兌換高級特殊武器,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,70110201,0,70030202,0,70100203,0,70140204,0,70090205,0,70160206,0,70070207,0,70340208,0,70070209,0,70050210,0,70090211,0,70030212,0,70100213,0,13001004,0,70140214,0,70070215,0,70040216,0,70120217,0,13001005,0,70110218,0,70350219,0,13001006,0,70100220,0,70030221,0,70090222,0,70100223,0,13001007,0,70140224,0,70010225,0,70050226,0,70130227,0,70130228,0,70130229,0,70130230,0,70130231,0,70130232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30104,兌換特殊防具,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,70060101,0,70060102,0,70060103,0,70060104,0,70060205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30105,兌換特殊飾品,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,70300106,0,70300107,0,70300108,0,70300109,0,70300110,0,70310111,0,70310112,0,70310113,0,70310114,0,70310115,0,70300116,0,70310117,0,70310118,0,70310119,0,70310120,0,70310121,0,70290122,0,70260123,0,70280124,0,70270125,0,70270126,0,70300126,0,70310127,0,70330128,0,70300201,0,70290202,0,70260203,0,70280204,0,70270205,0,70270206,0,70320206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
