ID,_Test,_Page,_Image,_Left,_Top,_Right,_Bottom,_Image_PosX,_Image_PosY,_Image_Width,_Image_Height,_Text_PosX,_Text_PosY,_Text_Width,_Text_Height,_Text_Size,_Red,_Green,_Blue,_Bold,_Horizontal_Align,_Vertical_Align,_Text
12,???,2,DATA/INTERFACE/CONCEPT/CASHSHOP01_ver2.PNG,505,361,509,365,206,123,594,248,-1,-1,-1,-1,-1,0,0,0,0,0,0,
13,?????,2,DATA/INTERFACE/CONCEPT/CASHSHOP01_ver2.PNG,473,351,489,367,238,145,16,16,261,147,496,14,14,49,76,97,1,1,0,關於購物車
14,??????,2,DATA/INTERFACE/CONCEPT/CASHSHOP01_ver2.PNG,493,359,501,367,246,178,8,8,261,177,496,12,12,70,140,124,0,1,0,先在購物車中放置多個物品後，最後再選擇欲購買之物品的方式較具效率。
15,??????,2,DATA/INTERFACE/CONCEPT/CASHSHOP01_ver2.PNG,493,359,501,367,246,197,8,8,261,196,496,12,12,70,140,124,0,1,0,可點擊[購買]鍵購買選擇之物品。
16,??????,2,DATA/INTERFACE/CONCEPT/CASHSHOP01_ver2.PNG,493,359,501,367,246,216,8,8,261,215,496,12,12,70,140,124,0,1,0,可點擊[刪除]鍵將選擇之物品從購物車中刪除。
17,??????,2,DATA/INTERFACE/CONCEPT/CASHSHOP01_ver2.PNG,493,359,501,367,246,235,8,8,261,234,496,12,12,70,140,124,0,1,0,可點擊[初始化]鍵將置於購物車中的物品全數刪除。
18,?????,2,DATA/INTERFACE/CONCEPT/CASHSHOP01_ver2.PNG,473,351,489,367,238,261,16,16,261,263,496,14,14,49,76,97,1,1,0,關於購買後金幣物品使用
19,??????,2,DATA/INTERFACE/CONCEPT/CASHSHOP01_ver2.PNG,493,359,501,367,246,294,8,8,261,293,496,12,12,70,140,124,0,1,0,購買的金幣物品可在商店背包確認，時效物品開始計時。
20,??????,2,DATA/INTERFACE/CONCEPT/CASHSHOP01_ver2.PNG,493,359,501,367,246,313,8,8,261,312,496,12,12,70,140,124,0,1,0,商店背包中的金幣物品可使用滑鼠拉至各自的背包中。
21,??????,2,DATA/INTERFACE/CONCEPT/CASHSHOP01_ver2.PNG,493,359,501,367,246,332,8,8,261,331,496,12,12,70,140,124,0,1,0,相反的情況也是同樣的操作模式。
22,??????,2,DATA/INTERFACE/CONCEPT/CASHSHOP01_ver2.PNG,493,359,501,367,246,351,8,8,261,350,496,12,12,70,140,124,0,1,0,但，期間制物品和消耗性物品無法再次移至商店背包中。
23,???,3,DATA/INTERFACE/CONCEPT/CASHSHOP01_ver2.PNG,505,361,509,365,206,123,594,248,-1,-1,-1,-1,-1,0,0,0,0,0,0,
24,?????,3,DATA/INTERFACE/CONCEPT/CASHSHOP01_ver2.PNG,473,351,489,367,238,145,16,16,261,147,496,14,14,49,76,97,1,1,0,關於預付辦法
25,??????,3,DATA/INTERFACE/CONCEPT/CASHSHOP01_ver2.PNG,493,359,501,367,246,178,8,8,261,177,496,12,12,70,140,124,0,1,0,金幣餘額不足時請點擊[儲值]鍵儲值。
26,?????,3,DATA/INTERFACE/CONCEPT/CASHSHOP01_ver2.PNG,473,351,489,367,238,203,16,16,261,205,496,14,14,49,76,97,1,1,0,關於追蹤
27,??????,3,DATA/INTERFACE/CONCEPT/CASHSHOP01_ver2.PNG,493,359,501,367,246,235,8,8,261,234,496,12,12,70,140,124,0,1,0,想買卻無法立刻買的物品請加入追蹤清單中。
28,??????,3,DATA/INTERFACE/CONCEPT/CASHSHOP01_ver2.PNG,493,359,501,367,246,254,8,8,261,253,496,12,12,70,140,124,0,1,0,之後可直接於清單中購買已追蹤的物品。
29,??????,3,DATA/INTERFACE/CONCEPT/CASHSHOP01_ver2.PNG,493,359,501,367,246,273,8,8,261,272,496,12,12,70,140,124,0,1,0,最多可登錄6個物品，超過6個後便無法繼續登錄。
30,??????,3,DATA/INTERFACE/CONCEPT/CASHSHOP01_ver2.PNG,493,359,501,367,246,292,8,8,261,291,496,12,12,70,140,124,0,1,0,若欲刪除追蹤清單中的物品，則選擇該物品後
31,,3,,-1,-1,-1,-1,-1,-1,-1,-1,261,310,496,12,12,70,140,124,0,1,0,請點擊[刪除]鍵。
32,??????,3,DATA/INTERFACE/CONCEPT/CASHSHOP01_ver2.PNG,493,359,501,367,246,330,8,8,261,329,496,12,12,70,140,124,0,1,0,於追蹤清單中點擊[送禮]鍵後，便可直接贈送該物品給好友。
33,???,4,DATA/INTERFACE/CONCEPT/CASHSHOP01_ver2.PNG,505,361,509,365,206,123,594,248,-1,-1,-1,-1,-1,0,0,0,0,0,0,
34,?????,4,DATA/INTERFACE/CONCEPT/CASHSHOP01_ver2.PNG,473,351,489,367,238,145,16,16,261,147,496,14,14,49,76,97,1,1,0,關於送禮
35,??????,4,DATA/INTERFACE/CONCEPT/CASHSHOP01_ver2.PNG,493,359,501,367,246,178,8,8,261,177,496,12,12,70,140,124,0,1,0,欲贈送物品給好友時，請點擊[送禮]鍵。
36,??????,4,DATA/INTERFACE/CONCEPT/CASHSHOP01_ver2.PNG,493,359,501,367,246,197,8,8,261,196,496,12,12,70,140,124,0,1,0,送禮給好友時，請利用位於輸入角色ID視窗右方的好友清單。
37,??????,4,DATA/INTERFACE/CONCEPT/CASHSHOP01_ver2.PNG,493,359,501,367,246,216,8,8,261,215,496,12,12,70,140,124,0,1,0,出現送禮失敗訊息時請稍候再嘗試。
38,??????,4,DATA/INTERFACE/CONCEPT/CASHSHOP01_ver2.PNG,493,359,501,367,246,235,8,8,261,234,496,12,12,70,140,124,0,1,0,可於村莊的郵筒中確認好友寄送的禮物。
39,?????,4,DATA/INTERFACE/CONCEPT/CASHSHOP01_ver2.PNG,473,351,489,367,238,261,16,16,261,263,496,14,14,49,76,97,1,1,0,關於賣給NPC
40,??????,4,DATA/INTERFACE/CONCEPT/CASHSHOP01_ver2.PNG,493,359,501,367,246,294,8,8,261,293,496,12,12,70,140,124,0,1,0,部分金幣物品可透過賣給NPC累積紅利。
41,??????,4,DATA/INTERFACE/CONCEPT/CASHSHOP01_ver2.PNG,493,359,501,367,246,313,8,8,261,312,496,12,12,70,140,124,0,1,0,只需將金幣物品拖曳至位於時尚商店下方中間的[販賣框]中便可進行賣給NPC。
42,??????,4,DATA/INTERFACE/CONCEPT/CASHSHOP01_ver2.PNG,493,359,501,367,246,332,8,8,261,331,496,12,12,70,140,124,0,1,0,將欲賣給NPC的金幣物品拖曳至[販賣框]後便會顯示可獲得之紅利。
43,??????,4,DATA/INTERFACE/CONCEPT/CASHSHOP01_ver2.PNG,493,359,501,367,246,351,8,8,261,350,496,12,12,70,140,124,0,1,0,但，期間制物品和消耗性物品無法再次移至商店背包中。
44,???,5,DATA/INTERFACE/CONCEPT/CASHSHOP01_ver2.PNG,505,361,509,365,206,123,594,248,-1,-1,-1,-1,-1,0,0,0,0,0,0,
45,?????,5,DATA/INTERFACE/CONCEPT/CASHSHOP01_ver2.PNG,473,351,489,367,238,145,16,16,261,147,496,14,14,49,76,97,1,1,0,時尚商店物品
46,??????,5,DATA/INTERFACE/CONCEPT/CASHSHOP01_ver2.PNG,493,359,501,367,246,178,8,8,261,177,496,12,12,70,140,124,0,1,0,時尚商店中所販賣的服裝物品、寵物和期間制物品
47,,5,,-1,-1,-1,-1,-1,-1,-1,-1,261,196,496,12,12,70,140,124,0,1,0,皆為不可交易和倉庫移動。
48,??????,5,DATA/INTERFACE/CONCEPT/CASHSHOP01_ver2.PNG,493,359,501,367,246,216,8,8,261,215,496,12,12,70,140,124,0,1,0,但，服裝物品和期間制物品可透過商店背包
49,,5,,-1,-1,-1,-1,-1,-1,-1,-1,261,234,496,12,12,70,140,124,0,1,0,移至同一帳號的同一伺服器角色上。(寵物除外)
50,,0,,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
51,,0,,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
52,,0,,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
53,,0,,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
54,,0,,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
55,,0,,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
56,,0,,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
57,,0,,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
58,,0,,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
59,,0,,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
60,,0,,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
61,,0,,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
62,,0,,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
63,,0,,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
64,,0,,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
65,,0,,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
66,,0,,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
67,,0,,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
68,,0,,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
69,,0,,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
70,,0,,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
71,,0,,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
72,,0,,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
73,,0,,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
74,,0,,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
75,,0,,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
76,,0,,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
77,,0,,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
78,,0,,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
79,,0,,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
80,,0,,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
