ID,_Sequence,_ImageResource,_Type,_Message_Ani_Index1,_Message_Probability1,_Message1_1,_Message1_2,_Message1_3,_Message_Ani_Index2,_Message_Probability2,_Message2_1,_Message2_2,_Message2_3,_Message_Ani_Index3,_Message_Probability3,_Message3_1,_Message3_2,_Message3_3,_Stage,_Name,_Icon,_IconIndex,_Description,_Tip,_Name_Visible,_Hp_Visible,_Creation_FX,_Shadow_Visible,_Mark_Icon,_Mark_IconIndex,_BossHPCount
810000177,2_001_77,2_001_77_10,1,0,0,,,,0,0,,,,0,0,,,,30,花花蛇,10004000,78,,,1,1,0,1,10007000,1,1
810000178,2_001_78,2_001_78_10,1,0,0,,,,0,0,,,,0,0,,,,11,螞蟻士兵,10004000,79,,,1,1,0,1,10007000,2,1
810000179,2_001_79,2_001_79_10,1,0,0,,,,0,0,,,,0,0,,,,36,刺蝟君,10004000,80,,,1,0,0,0,10007000,2,1
810000180,2_001_83,2_001_21_10,1,0,0,,,,0,0,,,,0,0,,,,32,鐵王哥布林,10004000,9,,,1,1,0,1,10007000,4,1
810000181,2_001_83,2_001_22_10,1,0,0,,,,0,0,,,,0,0,,,,32,明王哥布林,10004000,81,,,1,1,0,1,10007000,4,1
810000182,2_001_81,2_001_58_10,1,0,0,,,,0,0,,,,0,0,,,,32,醜頭怪,10004000,59,,,1,1,0,1,10007000,4,1
810000183,3_1012_01,,6,0,0,,,,0,0,,,,0,0,,,,32,幽靈君主,10004000,30,,,1,1,0,1,10007000,4,1
810000184,2_001_59,2_001_59_10,1,0,0,,,,0,0,,,,0,0,,,,32,斯諾比王,10004000,60,,,1,1,0,1,10007000,4,1
810000185,2_001_84,2_001_84_10,1,0,0,,,,0,0,,,,0,0,,,,33,螃蟹怪,10004000,82,,,1,1,0,1,10007000,2,1
810000186,2_001_85,2_001_85_10,1,0,0,,,,0,0,,,,0,0,,,,33,藍螃蟹怪,10004000,83,,,1,1,0,1,10007000,2,1
810000187,2_001_86,2_001_86_10,1,0,0,,,,0,0,,,,0,0,,,,33,海之星,10004000,84,,,1,1,0,1,10007000,2,1
810000188,2_001_87,2_001_87_10,1,0,0,,,,0,0,,,,0,0,,,,38,森林金剛,10004000,85,,,1,1,0,1,10007000,5,1
810000189,2_001_88,2_001_88_10,1,0,0,,,,0,0,,,,0,0,,,,38,野蠻族,10004000,86,,,1,1,0,1,10007000,2,1
810000190,2_001_89,2_001_89_10,1,0,0,,,,0,0,,,,0,0,,,,"38,39,40,218",火圖騰,10004000,87,,,0,0,0,0,0,0,1
810000191,2_001_90,2_001_90_10,1,0,0,,,,0,0,,,,0,0,,,,35,螳螂怪,10004000,88,,,1,1,0,1,10007000,2,1
810000192,2_001_91,2_001_91_10,1,0,0,,,,0,0,,,,0,0,,,,"38,39,40,218",風圖騰,10004000,89,,,0,0,0,0,0,0,1
810000193,2_001_92,2_001_92_10,1,0,0,,,,0,0,,,,0,0,,,,"38,39,40,218",水圖騰,10004000,90,,,0,0,0,0,0,0,1
810000194,2_001_93,2_001_93_10,1,0,0,,,,0,0,,,,0,0,,,,"38,39,40,218",地圖騰,10004000,91,,,0,0,0,0,0,0,1
810000195,2_001_94,2_001_94_10,1,0,0,,,,0,0,,,,0,0,,,,35,蜂怪長矛手,10004000,92,,,1,1,0,0,10007000,2,1
810000196,2_001_95,2_001_95_10,1,0,0,,,,0,0,,,,0,0,,,,35,蜂怪弓箭手,10004000,93,,,1,1,0,0,10007000,2,1
810000197,2_001_96,2_001_96_10,1,0,0,,,,0,0,,,,0,0,,,,35,蜂怪戰士,10004000,94,,,1,1,0,0,10007000,2,1
810000198,2_001_97,2_001_97_10,1,0,0,,,,0,0,,,,0,0,,,,35,女王蜂,10004000,95,,,1,1,0,0,10007000,5,1
810000199,3_1002_01,,6,1,20,在這�奡N不會被主人發現了！,,,8,100,離開家原來這麼苦T_T,,,4,20,我真的沒有逃跑 T_T,,,3,拉車的兵蟻G,10004000,2,,,1,1,0,1,10007000,1,1
810000200,2_001_72,2_001_72_10,1,1,20,葫蘆科的一年生蔓性蔬菜，西葫蘆哦。,煎成餅也行，煮了也蠻好吃的。,,0,0,,,,0,0,,,,12,南瓜王,10004000,73,,,1,1,0,1,10007000,2,1
810000201,3_1013_01,,6,1,20,要死就死，要活就活…。,什麼叫死了一半，沒死完。,,8,100,這下真死了…。,,,0,0,,,,18,不死殭屍,10004000,53,,,1,1,0,1,10007000,2,1
810000202,2_001_51,2_001_51_10,1,1,20,咯啦啦啦 呼啦啦啦,呸-呸！,咕嚕咕嚕,8,100,仙人掌精死了，音樂也不會死…。,,,0,0,,,,24,音癡刺花妹妹,10004000,52,,,1,1,0,1,10007000,2,1
810000203,3_1011_01,,6,1,20,謊言1：世上最簡單的事情就是學習。,謊言2：只專心於學業了。,謊言3：相比環境，覺得個人的努力更重要。,8,100,…討厭幼年…。,,,0,0,,,,23,半吊子忍者,10004000,25,,,1,1,0,1,10007000,2,1
810000204,2_001_03,2_001_03_10,1,0,0,,,,0,0,,,,0,0,,,,15,原始的機器耶比,10004000,45,,,1,1,0,1,10007000,2,1
810000205,2_001_98,2_001_98_10,1,0,0,,,,0,0,,,,0,0,,,,39,蜂鳥,10004000,96,,,1,1,0,0,10007000,2,1
810000206,2_001_99,2_001_99_10,1,0,0,,,,0,0,,,,0,0,,,,39,食人花,10004000,97,,,1,1,0,1,10007000,2,1
810000207,2_002_00,2_002_00_10,1,0,0,,,,0,0,,,,0,0,,,,39,金剛芭比,10004000,98,,,1,1,0,1,10007000,5,1
810000208,2_002_01,2_002_01_10,1,0,0,,,,0,0,,,,0,0,,,,"40,218",野蠻族飛鏢手,10004000,99,,,1,1,0,1,10007000,2,1
810000209,2_002_02,2_002_02_10,1,0,0,,,,0,0,,,,0,0,,,,"40,218",野蠻族火炬手,10004000,100,,,1,1,0,1,10007000,2,1
810000210,2_002_03,2_002_03_10,1,0,0,,,,0,0,,,,0,0,,,,"40,218",野蠻族持杖手,10004000,101,,,1,1,0,1,10007000,2,1
810000211,2_002_04,2_002_04_10,1,10,100,← ↙ ↓ ↘ →  LV ?,→ ↓ ↘  LV ?,,11,100,→ ↗ ↑ ↖ ← ↙ ↓ ↘ →  LV ?,← → ← ↙ ↓ ↘ →  LV ???,→ ↘ ↓ ↙ ←  LV ?,12,100,↓ ★ ↑  LV ?,← ★ →  LV ?,,"40,218",可雅,10004000,102,,,1,1,0,1,10007000,5,1
810000212,2_002_05,2_002_05_10,1,0,0,,,,0,0,,,,0,0,,,,41,挖地工頭,10004000,102,,,1,1,0,1,10007000,3,1
810000213,2_002_06,2_002_06_10,1,0,0,,,,0,0,,,,0,0,,,,41,挖地弟弟,10004000,103,,,1,1,0,1,10007000,3,1
810000214,2_002_07,2_002_07_10,1,0,0,,,,0,0,,,,0,0,,,,41,挖地妹妹,10004000,104,,,1,1,0,1,10007000,3,1
810000215,2_002_08,2_002_08_10,1,0,0,,,,0,0,,,,0,0,,,,42,大眼劍,10004000,105,,,1,1,0,1,10007000,3,1
810000216,2_002_09,2_002_09_10,1,0,0,,,,0,0,,,,0,0,,,,43,青巾盜賊,10004000,107,,,1,1,0,1,10007000,2,1
810000217,2_002_10,2_002_10_10,1,0,0,,,,0,0,,,,0,0,,,,43,紫巾盜賊,10004000,108,,,1,1,0,1,10007000,2,1
810000218,2_002_11,2_002_11_10,1,0,0,,,,0,0,,,,0,0,,,,43,黑巾盜賊,10004000,109,,,1,1,0,1,10007000,2,1
810000219,2_002_14,2_002_14_10,1,0,0,,,,0,0,,,,0,0,,,,42,紅心3,10004000,112,,,1,1,0,1,10007000,3,1
810000220,2_002_15,2_002_15_10,1,0,0,,,,0,0,,,,0,0,,,,42,黑桃5,10004000,113,,,1,1,0,1,10007000,3,1
810000221,2_002_16,2_002_16_10,1,0,0,,,,0,0,,,,0,0,,,,42,跳棋騎士,10004000,114,,,1,1,0,1,10007000,3,1
810000222,2_002_17,2_002_17_10,1,1,33,那，那個！,哇哢哢。還蠻能挺得嗎。,你所指的蓬鬆頭，難道就真的沒有鬢角的痕跡嗎？,2,33,死亡通知的日期是寫的今天，對吧？,路路旁 路路皮 路路丫！,幫你分開肉和骨頭！,5,33,頭！胸！身體！,什麼嗎？這就是奉春植瘋狂的速度。,如果奉春植出動會怎樣呢？,42,奉春植,10004000,81,,,1,0,0,1,0,0,1
810000223,2_002_20,2_002_20_10,1,0,0,,,,0,0,,,,0,0,,,,45,殭屍船員,10004000,116,,,1,1,0,1,10007000,2,1
810000224,2_002_21,2_002_21_10,1,0,0,,,,0,0,,,,0,0,,,,45,骷髏船員,10004000,117,,,1,1,0,1,10007000,2,1
810000225,2_002_22,2_002_22_10,1,0,0,,,,0,0,,,,0,0,,,,213,強尼船長,10004000,118,,,1,1,0,1,10007000,5,1
810000226,3_003_03,,6,0,0,,,,0,0,,,,0,0,,,,45,海妖的腿,10004000,0,,,0,0,0,0,0,0,1
810000227,3_001_01,,6,0,0,,,,0,0,,,,0,0,,,,43,赤巾盜賊,10004000,143,,,1,1,0,1,10007000,2,1
810000228,3_002_01,,6,0,0,,,,0,0,,,,0,0,,,,43,白巾盜賊,10004000,144,,,1,1,0,1,10007000,4,1
810000229,3_003_01,,6,0,0,,,,0,0,,,,0,0,,,,45,海妖的頭,10004000,186,,,1,1,0,0,10007000,5,1
810000230,2_002_23,2_002_23_10,1,0,0,,,,0,0,,,,0,0,,,,36,大砲彈君,0,0,,,1,0,0,0,0,0,1
810000231,2_002_12,2_002_12_10,1,0,0,,,,0,0,,,,0,0,,,,51,寶箱子怪,10004000,110,,,0,0,0,1,10007000,2,1
810000232,2_002_13,2_002_13_10,1,0,0,,,,0,0,,,,0,0,,,,38,枯樹精,10004000,111,,,1,1,0,1,10007000,2,1
810000233,2_002_18,2_002_18_10,1,0,0,,,,0,0,,,,0,0,,,,47,野豬,10004000,115,,,1,1,0,1,10007000,1,1
810000234,2_002_19,2_002_19_10,1,0,0,,,,0,0,,,,0,0,,,,,行走水母,0,0,,,1,1,0,1,0,0,1
810000235,3_022_01,,6,0,0,,,,0,0,,,,0,0,,,,51,沙魯,10004000,161,,,1,1,0,1,10007000,3,1
810000236,2_002_25,2_002_25_10,1,0,0,,,,0,0,,,,0,0,,,,60,牛魔王,10004000,165,,,1,1,0,1,0,4,1
810000237,2_002_26,2_002_26_10,1,0,0,,,,0,0,,,,0,0,,,,,綠蜥蜴人,0,0,,,1,1,0,1,0,0,1
810000238,2_002_27,2_002_27_10,1,0,0,,,,0,0,,,,0,0,,,,39,綠龍,10004000,120,,,1,1,0,1,10007000,2,1
810000239,2_002_28,2_002_28_10,1,0,0,,,,0,0,,,,0,0,,,,38,匹諾曹,10004000,121,,,1,1,0,1,10007000,2,1
810000240,2_002_29,2_002_29_10,1,0,0,,,,0,0,,,,0,0,,,,39,老妖枯樹精,10004000,122,,,1,1,0,1,10007000,2,1
810000241,3_1003_03,,6,0,0,,,,0,0,,,,0,0,,,,60,白狼,10004000,123,,,1,1,0,1,0,3,1
810000242,2_002_31,2_002_31_10,1,0,0,,,,0,0,,,,0,0,,,,47,小綠龍,10004000,124,,,1,1,0,1,10007000,1,1
810000243,2_002_32,2_002_32_10,1,0,0,,,,0,0,,,,0,0,,,,,巴爾隆,0,0,,,1,1,0,1,0,0,1
810000244,2_002_33,2_002_33_10,1,0,0,,,,0,0,,,,0,0,,,,48,蒙面仙人掌,10004000,125,,,1,1,0,1,10007000,2,1
810000245,2_002_34,2_002_34_10,1,0,0,,,,0,0,,,,0,0,,,,48,土撥鼠快槍手,10004000,126,,,1,1,0,1,10007000,2,1
810000246,2_002_35,2_002_35_10,1,0,0,,,,0,0,,,,0,0,,,,48,響尾蛇姑娘,10004000,127,,,1,1,0,1,10007000,2,1
810000247,3_005_01,,6,0,0,,,,0,0,,,,0,0,,,,63,舞扇忍者,10004000,145,,,1,1,0,1,10007000,5,1
810000248,3_006_01,,6,0,0,,,,0,0,,,,0,0,,,,48,吟遊詩人珍,10004000,146,,,1,1,0,1,10007000,5,1
810000249,3_007_01,,6,0,0,,,,0,0,,,,0,0,,,,16,雪爾奇,10004000,147,,,1,1,0,1,10007000,5,1
810000250,2_002_40,2_002_40_10,1,0,0,,,,0,0,,,,0,0,,,,53,小紫龍,10004000,130,,,1,1,0,1,10007000,2,1
810000251,2_002_39,2_002_39_10,1,0,0,,,,0,0,,,,0,0,,,,53,劍齒虎,10004000,129,,,1,1,0,1,10007000,2,1
810000252,2_002_39,2_002_39_10,1,0,0,,,,0,0,,,,0,0,,,,"53,338",劍齒虎首領,10004000,129,,,1,1,0,1,10007000,2,1
810000253,3_019_01,,6,0,0,,,,0,0,,,,0,0,,,,"53,338",雷龍,10004000,158,,,0,0,0,0,10007000,0,1
810000254,2_002_44,2_002_44_10,1,0,0,,,,0,0,,,,0,0,,,,53,司戴高,10004000,134,,,1,1,0,1,10007000,2,1
810000255,2_002_44,2_002_44_10,1,0,0,,,,0,0,,,,0,0,,,,53,大力司戴高,10004000,134,,,1,1,0,1,10007000,2,1
810000256,2_002_41,2_002_41_10,1,0,0,,,,0,0,,,,0,0,,,,53,翼手龍,10004000,131,,,1,1,0,0,10007000,2,1
810000257,2_002_48,2_002_48_10,1,0,0,,,,0,0,,,,0,0,,,,54,球狀病毒,10004000,137,,,1,1,0,0,10007000,2,1
810000258,2_002_48,2_002_48_10,1,0,0,,,,0,0,,,,0,0,,,,54,球狀大病毒,10004000,137,,,1,1,0,0,10007000,2,1
810000259,3_014_01,,6,0,0,,,,0,0,,,,0,0,,,,54,白血球護士,10004000,153,,,1,1,0,1,10007000,3,1
810000260,2_002_47,2_002_47_10,1,0,0,,,,0,0,,,,0,0,,,,54,紅血球醫生,10004000,135,,,1,1,0,1,10007000,3,1
810000261,2_002_49,2_002_49_10,1,0,0,,,,0,0,,,,0,0,,,,54,桿狀病毒,10004000,138,,,1,1,0,1,10007000,3,1
810000262,2_002_49,2_002_49_10,1,0,0,,,,0,0,,,,0,0,,,,54,桿狀大病毒,10004000,138,,,1,1,0,1,10007000,3,1
810000263,3_020_01,,6,0,0,,,,0,0,,,,0,0,,,,54,痢疾病毒細菌,10004000,159,,,1,1,0,1,10007000,3,1
810000264,2_002_46,2_002_46_10,1,0,0,,,,0,0,,,,0,0,,,,55,奧利佛空軍,10004000,135,,,1,1,0,0,10007000,3,1
810000265,3_011_01,,6,0,0,,,,0,0,,,,0,0,,,,57,奧利佛海軍,10004000,150,,,1,1,0,0,10007000,3,1
810000266,3_021_01,,6,0,0,,,,0,0,,,,0,0,,,,57,新奧利佛海軍,10004000,160,,,1,1,0,0,10007000,3,1
810000267,3_012_01,,6,0,0,,,,0,0,,,,0,0,,,,57,雜技團,10004000,151,,,1,1,0,1,10007000,3,1
810000268,3_012_01,,6,0,0,,,,0,0,,,,0,0,,,,57,新雜技團,10004000,151,,,1,1,0,1,10007000,3,1
810000269,3_016_01,,6,0,0,,,,0,0,,,,0,0,,,,57,奧利佛炮兵,10004000,155,,,1,1,0,1,10007000,3,1
810000270,3_015_01,,6,0,0,,,,0,0,,,,0,0,,,,57,飛艇兵團,10004000,154,,,1,1,0,0,10007000,3,1
810000271,3_015_01,,6,0,0,,,,0,0,,,,0,0,,,,57,超級飛艇兵團,10004000,154,,,1,1,0,0,10007000,3,1
810000272,3_017_01,,6,0,0,,,,0,0,,,,0,0,,,,57,唉唷唉唷砲兵,10004000,156,,,1,1,0,1,10007000,3,1
810000273,3_018_01,,6,0,0,,,,0,0,,,,0,0,,,,57,哎呦特攻隊,10004000,157,,,1,1,0,1,10007000,3,1
810000274,3_018_01,,6,0,0,,,,0,0,,,,0,0,,,,57,超級哎呦特攻隊,10004000,157,,,1,1,0,1,10007000,3,1
810000275,3_013_01,,6,0,0,,,,0,0,,,,0,0,,,,57,奧列佛雕像,10004000,152,,,1,1,0,1,10007000,3,1
810000276,2_002_53,2_002_53_10,1,0,0,,,,0,0,,,,0,0,,,,58,冰棒棒,10004000,141,,,1,1,0,1,10007000,3,1
810000277,2_002_53,2_002_53_10,1,0,0,,,,0,0,,,,0,0,,,,58,冰棒棒(兄),10004000,141,,,1,1,0,1,10007000,3,1
810000278,2_002_52,2_002_52_10,1,0,0,,,,0,0,,,,0,0,,,,58,春植堡,10004000,140,,,1,1,0,1,10007000,3,1
