ID,_Mission_Name,_Mission_Description,_Mission_Kind1,_Mission_ID1,_Mission_Count1,_Mission_Kind2,_Mission_ID2,_Mission_Count2,_Mission_Purpseposition,_Mission_Reward_Point
100063,無法得知的(1),執行地區：未知的倉庫 51層\n\n「原本打算安靜過日子的，居然讓我暴露真面目，你果然 ………」,1,810007374,1,0,0,0,286,500
100064,無法得知的(2),執行地區：未知的倉庫 52層\n\n「不能就這樣倒下，我必須擊敗你。」,1,810007375,1,0,0,0,286,500
100065,無法得知的(3),執行地區：未知的倉庫 53層\n\n「誰說一定要打敗我？是誰指使你的？」,1,810007376,1,0,0,0,286,500
100066,無法得知的(4),執行地區：未知的倉庫 54層\n\n「這是我自己的選擇。」,1,810007377,1,0,0,0,286,500
100067,無法得知的(5),執行地區：未知的倉庫 55層\n\n「是嗎？那麼我也做出選擇吧。哈哈，真是開心啊。小鬼…雖然我們初次見面，但謝謝你讓我不無聊。」,1,810007378,1,0,0,0,286,500
100068,揮砍內部的不祥存在 (1),執行地區：暴風監視者廢墟 3\n\n「回來了嗎？以不祥之姿出現的劍是怎麼處理掉的?」,1,810003187,5,0,0,0,307,500
100069,保管內部的不祥工具 (1),執行地區：暴風監視者廢墟 3\n\n「是不祥的的結晶體，但是可以感受到力量。」,2,190144542,10,0,0,0,307,500
100070,保管內部的不祥工具 (2),執行地區：暴風監視者廢墟 3\n\n「雖是充滿不祥的液體，但好好使用的話應該也會有所幫助。」,2,190144543,10,0,0,0,307,500
100071,保管內部的不祥工具 (3),執行地區：暴風監視者廢墟 3\n\n「這個就是聚集了變形生命體力量的融合體…真神秘啊。」,2,190144540,10,0,0,0,307,500
100072,揮砍內部的不祥存在 (2),執行地區：龍祭城3\n\n「中邪的武士…若對人們造成威脅，我就把他解決掉。」,1,810003585,5,0,0,0,322,500
100073,保管內部的不祥書籍 (1),執行地區：龍祭城3\n\n「技術書…要參考一下才行。意外地記錄了很多不錯的技術呢。」,2,190144683,10,0,0,0,322,500
100074,保管內部的不祥書籍 (2),執行地區：龍祭城3\n\n「分成好幾本，要都看才行。」,2,190144684,10,0,0,0,322,500
100075,保管內部的不祥書籍 (3),執行地區：龍祭城3\n\n「我會把一切都變成是我的。不要太擔心。」,2,190144685,10,0,0,0,322,500
100076,揮砍內部的不祥存在 (3),執行地區：歐若拉森林 3\n\n「少年你知道嗎？你再次沉睡的時刻到了…。他去砍殺不祥的東西了。」,1,810006741,5,0,0,0,336,500
100077,保管內部的可疑工具 (1),執行地區：歐若拉森林 3\n\n「不祥存在所使用過的斷鐮該怎麼處理？」,2,190144879,10,0,0,0,336,500
100078,保管內部的可疑工具 (2),執行地區：歐若拉森林 3\n\n「不祥存在穿過的衣服有點不同。」,2,190144880,10,0,0,0,336,500
100079,保管內部的可疑工具 (3),執行地區：歐若拉森林 3\n\n「這個不祥存在的靈魂原本是誰呢？」,2,190144881,10,0,0,0,336,500
100080,驅逐暗黑巨人,"執行地區：惡魔之山 3, 4\n\n「我必須擺脫這個恐懼。擊倒巨人的話，可以從恐懼中解脫嗎？」",1,810006971,5,0,0,0,344,500
100081,巨人擁有黑暗痕跡 (1),"執行地區：惡魔之山 3, 4\n\n「巨人的物品滿是黑暗，必須阻止相信扭曲者的人們。」",2,180134555,10,0,0,0,344,500
100082,巨人擁有黑暗痕跡 (2),"執行地區：惡魔之山 3, 4\n\n「巨人物品上是如何注入黑暗的？頭好暈…。」",2,180134556,10,0,0,0,344,500
100083,整理妨礙淨化之人(1),執行地區：白煤峽谷\n\n「經過峽谷的途中突然感到很好奇，吉恩蒂亞是什麼樣的地方…?」,1,810007448,50,0,0,0,370,500
100084,整理妨礙淨化之人(2),執行地區：白煤峽谷\n\n「峽谷現在還是一團糟，東方大陸為什麼會變成這樣？」,1,810007449,50,0,0,0,370,500
100085,整理妨礙淨化之人(3),執行地區：白煤峽谷\n\n「邪惡氣息正往峽谷襲來。」,1,810007450,50,0,0,0,370,500
100086,整理妨礙淨化之人(4),執行地區：白煤峽谷\n\n「或許只有那樣大家才能變得幸福。」,1,810007451,50,0,0,0,370,500
100087,整理妨礙淨化之人(5),執行地區：白煤峽谷\n\n「你不是守護了峽谷嗎! 不要想成是噩夢成真了，知道嗎？消除噩夢這件事，絕對不能在外面提起。」,1,810007452,50,0,0,0,370,500
100088,不幸之人的救援(1),執行地區：猶忒王國首都\n\n「猶忒王國首都有危險! 這樣下去會引發戰爭的!」,1,810007229,50,0,0,0,354,500
100089,不幸之人的救援(2),執行地區：猶忒王國首都\n\n「我知道東方大陸充滿著憤怒，但是該怎麼做呢?」,1,810007230,50,0,0,0,354,500
100090,不幸之人的救援(3),執行地區：猶忒王國首都\n\n「該怎麼面對火神族呢？話又說不通…。」,1,810007231,50,0,0,0,354,500
100091,不幸之人的救援(4),執行地區：猶忒王國首都\n\n「法師，你現在要離開猶忒王國了嗎？多虧你的教導，才能成就現在的我。」,1,810007232,50,0,0,0,354,500
100092,不幸之人的救援(5),執行地區：猶忒王國首都\n\n「這個時代需要你，火神族也想要那個..」,1,810007233,50,0,0,0,354,500
100093,戰鬥者的資格,執行地區：修練森林\n\n「有你就夠了，獲得戰士資格的人。」,2,190145820,1,0,0,0,380,500
100094,鬥爭者的資格,執行地區：修練森林\n\n「你獲得了無論何時都能為大家戰鬥的資格。」,2,190145821,1,0,0,0,380,500
100095,守護者的資格,執行地區：修練森林\n\n「具有充分的資格。如果是你的話，就可以守護大家了…。」,2,190145822,1,0,0,0,380,500
100096,處決妨礙修練之人 (1),執行地區：修練森林\n\n「我要擊倒所有妨礙修練的人。召喚術士們，全都讓開!」,1,810007706,50,0,0,0,380,500
100097,處決妨礙修練之人 (2),執行地區：修練森林\n\n「這是亡靈面容，不過我沒關係的。」,1,810007707,50,0,0,0,380,500
100098,處決妨礙修練之人 (3),執行地區：修練森林\n\n「這是什麼動物…？等等我是誰啊？」,1,810007708,50,0,0,0,380,500
100099,處決妨礙修練之人 (4),執行地區：修練森林\n\n「我，我是誰?我………， 什麼貴族們的修練，都給我讓開!!」,1,810007709,50,0,0,0,380,500
100100,淨化被汙染的精靈住處(1),執行地區：燃燒的都市\n\n「火精靈啊，我是誰?」,1,810007905,50,0,0,0,386,500
100101,淨化被汙染的精靈住處(2),執行地區：燃燒的都市\n\n「原來是異鄉人啊。有個黑暗侍從被你帶過來這裡了，先解決那個吧。」,1,810007908,50,0,0,0,386,500
100102,淨化被汙染的精靈住處(3),執行地區：燃燒的都市\n\n「抱歉，我們能回答的就只有那樣。祈禱你可以驅逐黑暗，完成修練並平安回去。」,1,810007907,50,0,0,0,386,500
100103,淨化被汙染的精靈住處(4),執行地區：燃燒的都市\n\n「獲得新力量之人，對不起。你引領墮落之風的力量會成為所有人的詛咒。」,1,810007909,50,0,0,0,386,500
100104,淨化被汙染的精靈住處(5),執行地區：燃燒的都市\n\n「你到底是誰?! 還，還有我是誰?!我為什麼有墮落之水？」,1,810007906,50,0,0,0,386,500
100105,破片的痕跡 (1),獲得方法：道具分解\n\n「聽說不用的物品像這樣另外放著也沒有關係。有需要這麼多嗎?」,2,180134426,500,0,0,0,6,500
100106,破片的痕跡 (2),獲得方法：道具分解\n\n「感覺比上次的方法還要更好，覺得有點可惜啊。」,2,180134427,400,0,0,0,6,500
100107,破片的痕跡 (3),獲得方法：道具分解\n\n「依法師的意思，又創造出了其他破的片。」,2,180134428,300,0,0,0,6,500
100108,破片的痕跡 (4),獲得方法：道具分解\n\n「朋友們應該真的會很喜歡。」「已經跟他們成為朋友了啊，真令人開心。」,2,180134429,200,0,0,0,6,500
100109,破片的痕跡 (5),獲得方法：道具分解\n\n「真的是個好方法。這樣的話，我也可以重新製作我的裝備了。」,2,180134430,100,0,0,0,6,500
100110,閃閃發光的,獲得方法：跟貝羅斯洛汗 NPC購買\n\n「女神創造出我們是有原因的，說是要讓我們用良好的手藝利於一切。」,2,180202201,10,0,0,0,2,500
100111,珍惜裝備 (1),獲得方法：NPC 購買\n\n「別擔心，我會好好發揮能力的。為什麼會感到這麼不安？別看我這樣，我鑲嵌的話…」,2,300190023,5,0,0,0,6,500
100112,珍惜裝備 (2),獲得方法：NPC購買\n\n「珍惜裝備的心，不論是我還是你都一樣呢。這次也一樣很不安啊。別哭，還會有機會的…」,2,300190024,10,0,0,0,6,500
100113,超越極限,獲得方法：Lv200以下副本\n\n「如果是星星刻印的神祕之石，說不定可以超越極限。」,2,300199014,100,0,0,0,6,500
100114,讓裝備與眾不同,獲得方法：NPC購買\n\n「這個工具會讓裝備變得更加特別。」,2,300190028,50,0,0,0,6,500
100115,為了某人的禮物 (1),獲得方法：向貝羅斯餐廳NPC購買\n\n「和好人一起愉快地喝著好酒，那就是幸福吧。」,2,190145135,1,0,0,0,2,500
100116,為了某人的禮物 (2),獲得方法：向艾利亞斯餐廳NPC購買\n\n「也幫我安插點美食吧。」,2,190145136,1,0,0,0,6,500
100117,為了某人的禮物 (3),獲得方法：向阿法餐廳NPC購買\n\n「你的食物中混雜了嗆辣的辛香料，所以我吃得有點吃力。」,2,190145137,1,0,0,0,17,500
100118,為了某人的禮物 (4),獲得方法：向龍京餐廳NPC購買\n\n「這個如何？啊，抱歉，這很好吃的…。」,2,190145138,1,0,0,0,19,500
100119,為了某人的禮物 (5),獲得方法：向奧亦奇餐廳NPC購買\n\n「在白飯上面放炸豬排怎麼樣？哈哈哈。」,2,190145139,1,0,0,0,20,500
100120,為了某人的禮物 (6),獲得方法：向貝斯餐廳NPC購買\n\n「這種飲料怎麼樣？這個很難找的…」「是用那孩子製作的果實做出來的食物啊。」,2,190145140,1,0,0,0,37,500
100121,為了某人的禮物 (7),獲得方法：向亞特蘭提斯瑪利NPC購買\n\n「這是我記憶中幸福的瞬間之一，就是拿到好東西。」,2,190145141,1,0,0,0,67,500
100122,為了治癒傷口 (1),獲得方法：組合\n\n「打起精神，我叫你打起精神!!快喝喝看這個藥水!!」,2,170100204,30,0,0,0,6,500
100123,為了治癒傷口 (2),獲得方法：組合\n\n「不可以就這樣睡著。還在治療，再忍耐一下…。」,2,170100304,30,0,0,0,6,500
100124,特別的水晶(1),獲得方法：組合\n\n「他曾是偉大的人，力量會注入的…。」,2,180190805,15,0,0,0,6,500
100125,特別的水晶(2),獲得方法：組合\n\n「他曾是優秀的人，他的精神…。」,2,180190815,15,0,0,0,6,500
100126,特別的水晶(3),獲得方法：組合\n\n「他…，他…，他的心意沒有白費，一定要告訴他。 」,2,180190825,15,0,0,0,6,500
100127,特別的水晶(4),獲得方法：組合\n\n「我會等你。從夢中甦醒時，我會再過來找你的。希望他擁有的幸運能再次凝聚…。」,2,180190835,15,0,0,0,6,500
100128,注入新的力量 (1),獲得方法：聲望點數兌換\n\n「在這裡無論何時都需要充滿的力量。你，或是像你一樣的人。」,2,300136001,5,0,0,0,184,500
100129,注入新的力量 (2),獲得方法：聲望點數兌換\n\n「我會記得的…。」,2,300136002,5,0,0,0,184,500
100130,沙之戰場 (1),進行地區: 亞瑪倫沙漠\n\n「別害怕其他世界的生命…。」,1,810008084,50,0,0,0,388,500
100131,沙之戰場 (2),進行地區: 亞瑪倫沙漠\n\n「首先要克服恐懼。」,1,810008081,50,0,0,0,388,500
100132,沙之戰場 (3),進行地區: 亞瑪倫沙漠\n\n「那些人也有他們自己的信念。只是與我們不合而已。」,1,810008083,50,0,0,0,388,500
100133,噬人蟲,進行地區: 拉的城堡\n\n「將人類引向惡的存在就是你這種蟲子!」,1,810008092,1,0,0,0,388,500
100134,平息惡之君主,進行地區: 安息之地\n\n「如果是你，是可以審判行惡之王的。」,1,810008100,1,0,0,0,388,500
100135,降血之處,進行地區: 地下都市工地\n\n「說不定這裡未來會成為滿布鮮血的地方..」,1,810008344,50,0,0,0,405,500
100136,黑暗燒焦之處,進行地區: 地下都市工地\n\n「就算你被黑暗吞噬，我也會把你拉出來的。」,1,810008339,50,0,0,0,405,500
100137,生存之法,進行地區: 地下都市工地\n\n「小偷戴著奇怪的面具!!」,1,810008341,50,0,0,0,405,500
100138,守護者之心,進行地區: 超人紀念館\n\n「藍戟公會的會長很熟悉戰爭啊。」,1,810008352,1,0,0,0,402,600
100139,詛咒之地,進行地區: 地獄房間\n\n「這片土地到底是什麼地方呢?! 這滿是詛咒、埋怨、執著的不祥之地…。」,1,810008362,1,0,0,0,405,600
100140,蘊含清淨精氣之山 (1),修練地區: 怪物樹山林\n\n「好久沒見到他了…。」,1,810008494,50,0,0,0,412,500
100141,蘊含清淨精氣之山 (2),修練地區: 怪物樹山林\n\n「呵，就算樣子變了，你…」,1,810008495,50,0,0,0,412,500
100142,蘊含清淨精氣之山 (3),修練地區: 怪物樹山林\n\n「拉比譚，噓!」,1,810008496,50,0,0,0,412,500
100143,賢明的君主,修練地區: 戰士們的休息地 \n\n「佩奇亞國王啊，請調兵遣將啊…。」,1,810008517,1,0,0,0,308,500
100144,米勒坎蒂亞的特殊礦物 (1),獲得方法: 分解道具 \n\n「您來了嗎?偉大的人啊。」,2,190144510,100,0,0,0,305,500
100145,米勒坎蒂亞的特殊礦物 (2),獲得方法: 分解道具  \n\n「你是這座城的主人…。 」,2,190144511,100,0,0,0,305,500
100146,米勒坎蒂亞的特殊礦物 (3),獲得方法: 分解道具  \n\n「能讓我看看那個礦物嗎?」,2,190144512,100,0,0,0,305,500
100147,惡魔領主的痕跡,獲得方法: 分解道具  \n\n「沒想到還有他的痕跡。」,2,180134431,10,0,0,0,198,500
100148,黃金大神的信徒,獲得方法: 購買道具  \n\n「像老師那樣的傻瓜…不，對善良的他來說，黃金神…噢， 你是，耶比!! 我、我錯了，耶比!!」,2,190146092,30,0,0,0,2,500
100149,擁有特別記憶的動物 (1),執行地區: 幻影大地、亞德利卡 \n\n「歡迎來到亞德利卡。」,1,810008626,50,0,0,0,420,500
100150,擁有特別記憶的動物 (2),執行地區: 幻影大地、亞德利卡 \n\n「阿德奇納，請假裝不認識我。 」,1,810008627,50,0,0,0,420,500
100151,擁有特別記憶的動物 (3),執行地區: 幻影大地、亞德利卡 \n\n「希望汙染不會太嚴重，可以幫我嗎?」,1,810008628,50,0,0,0,420,500
100152,戰場的後遺症,修練地區: 傑芮尼斯山丘 \n\n「感受到強大的魔力呢，是因為戰爭嗎?」,1,810008762,50,0,0,0,433,500
100153,神佇留的大地,修練地區: 傑芮尼斯山丘 \n\n「神佇留的大地─普雷伊奧斯存在著特別多魔界的威脅。」,1,810008764,50,0,0,0,433,500
100154,山丘的魔法師,修練地區: 傑芮尼斯山丘 \n\n「在山丘盡頭感受到好的氣息，魔法師..」,1,810008766,50,0,0,0,433,500
100155,修練的場所,修練地區: 魔法修練館 \n\n「在這裡以你的名字建立了學校啊。」,1,810008772,1,0,0,0,433,500
100156,其他大陸的魔法,修練地區: 墨羅斯\n\n「這個魔法是普雷伊奧斯的…，為什麼會在這裡…。」,1,810008895,50,0,0,0,442,500
100157,不祥者之手,修練地區: 怪物樹山谷\n\n「超越時空，動搖此地之人的氣息…。」,1,810008506,1,0,0,0,412,600
100158,幸福的記憶 (1),修練地區: 龍峽谷\n\n「好久不見了，聖禱神象…。」,1,810008625,1,0,0,0,420,600
100159,黑暗是無法存在的地方,修練地區: 神之樹拉法爾\n\n「可以看到這個地方呢。」,1,810008624,1,0,0,0,420,600
100160,幸福的記憶 (2),修練地區: 神之樹拉法爾\n\n「聖謠花鹿，光是聽著你的歌聲就快睡著了。 好幸福…。」,1,810008623,1,0,0,0,420,600
100161,他必須守護的遺物,修練地區: 魔法學院本館\n\n「傑芮尼斯，你帶著的遺物呼喚了我。」,1,810008782,1,0,0,0,433,600
100162,墮落的國家,修練地區: 魔力防空洞\n\n「墨斯王國要墮落到什麼地步?!」,1,810008915,1,0,0,0,442,600
100163,另一面的守護者,修練地區: 夢境奧涅伊洛\n\n「請守護你認識的世界。 拜託…」,1,810008914,1,0,0,0,442,600
100164,紅色蝴蝶結,修練地區: 夢境奧涅伊洛 \n\n「對不起，我太弱了，幫不了你」,1,810008916,1,0,0,0,442,600
100165,被掩蓋的眼淚,執行地區: 吉斯克領地\n\n「少爺，請迴避!!」,1,810009049,50,0,0,0,452,500
100166,領地的過去,執行地區: 吉斯克領地\n\n「這也不是你的錯。」,1,810009050,50,0,0,0,452,500
100167,引領劍的意志,執行地區: 吉斯克領地\n\n「讓你可以正確地使用劍…」,1,810009051,50,0,0,0,452,500
100168,邪惡之蛇碎片,執行地區: 虛無之星 \n\n「並非來自過去與未來的可疑存在…。」,1,810009069,1,0,0,0,452,600
100169,不清楚、不明確,執行地區: 忘卻湖畔\n\n「真實與記憶，究竟是哪一個呢。」,1,810009070,1,0,0,0,452,600
100170,不識相的傢伙,執行地區: 福波斯\n\n「就算惡魔們說要給你好吃的東西，也絕對不能跟他們走，知道了吧?快回答。 」,1,810009135,50,0,0,0,462,500
100171,帥氣的熊玩偶,執行地區: 福波斯\n\n「什麼啊?這惡魔是從來沒見過的那種類型。」,1,810009136,50,0,0,0,462,500
100172,怎樣的愛,執行地區: 福波斯\n\n「女妖為什麼會說被身為人類的我迷住了呢?」,1,810009138,50,0,0,0,462,500
100173,虛假的誓言,執行地區: 玫瑰園\n\n「假裝為了生命好而背叛的你，是絕對不會被原諒的。」,1,810009157,1,0,0,0,462,600
100174,女妖的手勢,執行地區: 幻之搖籃\n\n「莉莉絲，不要看著我，看看其他人吧。我已經有喜歡的人了。」,1,810009145,1,0,0,0,462,600
