ID,_Skill_Name,_Description,_UIDescription,_MaxSlv,_SkillType,_Skill_Cooltime,_Skill_Probability,_Skill_Probability_Lv,_Icon,_IconIndex,_StatusType1,_StatusValue1,_StatusValueSlv1,_StatusType2,_StatusValue2,_StatusValueSlv2,_StatusType3,_StatusValue3,_StatusValueSlv3,_StatusType4,_StatusValue4,_StatusValueSlv4,_Effect1,_Effect2,_Effect3,_Effect4,_LEVELUP_ITEM1,_LEVELUP_ITEM_VALUE1,_LEVELUP_ITEM2,_LEVELUP_ITEM_VALUE2
302,風之氣息,風之氣息縈繞在角色身上。 怪物追加傷害增加。\n\n※效果※\n怪物追加傷害基本 5000，每等級增加500,風之氣息縈繞在角色身上。 怪物追加傷害增加。,40,0,0,0,0,10003041,85,566,5000,500,0,0,0,0,0,0,0,0,0,0,0,0,0,190145624,3,0,0
303,水之氣息,水之氣息縈繞在角色身上。 角色的最大HP增加。\n\n※效果※\n最大HP基本20000，每等級增加 2000,水之氣息縈繞在角色身上。\n角色的最大HP增加。,40,0,0,0,0,10003041,84,30,20000,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,190145624,3,0,0
304,火之氣息,火之氣息縈繞在角色身上。 角色的固定傷害增加。\n\n※效果※\n固定傷害基本4000，每等級增加400,火之氣息縈繞在角色身上。\n角色的固定傷害增加。,40,0,0,0,0,10003041,83,496,4000,400,0,0,0,0,0,0,0,0,0,0,0,0,0,190145624,3,0,0
305,地之氣息,地之氣息縈繞在角色身上。角色的貫穿力提升。\n\n※效果※\n貫穿力基本 10%，每等級增加 1%,地之氣息縈繞在角色身上。\n角色的貫穿力提升。,40,0,0,0,0,10003041,86,463,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,190145624,3,0,0
306,黑暗氣息,黑暗氣息縈繞在角色身上。 角色武器&屬性增加。\n\n※效果※\n武器&屬性基本 50，每等級增加 5,黑暗氣息縈繞在角色身上。角色武器&屬性增加。,40,0,0,0,0,10003041,87,38,50,5,492,50,5,0,0,0,0,0,0,0,0,0,0,190145624,3,0,0
401,魔界之光,使光之公主快速突進前方。,召喚光之公主使光之公主快速突進前方。使光之公主\n快速突進前方,60,3,150,250,0,10003043,243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190145624,2,0,0
402,種族本能,發揮失去的種族本能，殲滅周圍所有敵人。,發揮真魔族的種族本能，殲滅周圍\n所有敵人。,60,10,200,200,0,10003043,244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190145624,3,0,0
403,死亡鐮刀,將武器往前方投擲，使敵人們聚集到一個地方。,將武器往前方投擲，使敵人們聚集到一個地方。,60,11,250,180,0,10003043,245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190145624,4,0,0
404,報復之刀刃,使出魔王血統，製造出異界的縫隙。,使出魔王血統，製造出異界的縫隙。,60,12,350,150,0,10003043,246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190145624,5,0,0
405,魔界之力,魔界氣息縈繞在角色的武器上。\n\n※效果※\n最小傷害每等級增加3%,魔界氣息縈繞在角色的武器上使最小傷害增加。,30,0,0,0,0,10003041,130,462,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,190145624,3,0,0
406,真魔族的血統,真魔族血統提升至最大。\n\n※效果※\n最大傷害每等級增加 3%,真魔族血統提升至最大，增加最大傷害。,30,0,0,0,0,10003041,114,461,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,190145624,3,0,0
407,報仇準備,使被消滅一族的報復意志高昂。\n\n※效果※\n爆擊傷害每等級增加 3%,使被消滅一族的報復意志高昂。爆擊傷害增加。,30,0,0,0,0,10003041,118,464,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,190145624,3,0,0
501,百萬富翁,增加彩虹幣獲得量。\n\n※效果※\n彩虹幣獲得量每等級增加2%,增加彩虹幣獲得量。,50,0,0,0,0,10003040,58,128,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,190145624,4,0,0
502,真品名品,增加屬性發生機率與道具掉落率。\n\n※效果※\n屬性發生機率每等級增加10%\n道具掉落率每等級增加1%,增加屬性發生機率與道具掉落率。,30,0,0,0,0,10003040,59,136,0,10,132,0,1,0,0,0,0,0,0,0,0,0,0,190145624,4,0,0
503,黃粱一夢,於短時間內增加屬性發生機率與道具掉落率。\n\n※效果※\n屬性發生機率：每等級增加20%\n道具掉落率：每等級增加1%\n技能啟動機率：每等級增加2%\n持續時間：基本5秒,於短時間內增加屬性發生機率與道具掉落率。,50,10,600,0,20,10003012,95,0,0,0,0,0,0,0,0,0,0,0,0,21020715,0,0,0,190145624,8,0,0
504,身經百戰,增加移動速度與繩索、梯子移動速度。\n\n※效果※\n移動速度 +10%\n梯子移動速度 +30%\n繩索移動速度 +30%,增加移動速度與繩索、梯子移動速度。,1,0,0,0,0,10003040,64,114,30,0,118,30,0,106,10,0,0,0,0,0,0,0,0,190145624,1,0,0
601,彩虹光束,凝聚彩虹之光，朝前方發射出三種力量。,凝聚彩虹之光，\n朝前方發射出三種力量。,60,3,100,250,0,10003043,247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190145624,2,0,0
602,閃耀激光,從角中散發出強烈的光線，燃燒周圍的敵人。\n\n※效果※\n悠尼亞保護膜：以HP數值的50%產生保護膜\n持續時間：5秒,從角中散發出強烈的光線，\n燃燒周圍的敵人。,60,10,400,150,0,10003043,248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190145624,4,0,0
603,彩虹火焰,於空中引爆彩虹之光後，散落燃燒大地的光線。,於空中引爆彩虹之光後，\n散落燃燒大地的光線。,60,11,250,180,0,10003043,249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190145624,3,0,0
604,神秘力量,透過悠尼亞擁有的神祕力量提升所有能力值。\n\n※效果※\n所有能力值每等級增加200,透過悠尼亞擁有的神祕力量提升所有能力值。,50,0,0,0,0,10003040,67,455,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,190145624,3,0,0
605,強健體魄,透過悠尼亞擁有的強韌力量提升最大HP。\n\n※效果※\n最大HP基本20000，每等級增加2000,透過悠尼亞擁有的強韌力量提升最大HP。,40,0,0,0,0,10003040,82,30,20000,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,190145624,3,0,0
606,獨角獸角,獲得悠尼亞的神聖感，提升所有能力值及最大HP\n\n※效果※\n所有能力值與最大HP增加1%,獲得悠尼亞的神聖感，提升所有能力值及最大HP,10,0,0,0,0,10003045,44,456,0,1,31,0,1,0,0,0,0,0,0,0,0,0,0,190145624,10,0,0
