ID,Ci_Type,Ci_Require1_Type,Ci_Require1_Id,Ci_Require1_Value1,Ci_Require1_Value2,Ci_Require2_Type,Ci_Require2_Id,Ci_Require2_Value1,Ci_Require2_Value2,Ci_Require3_Type,Ci_Require3_Id,Ci_Require3_Value1,Ci_Require3_Value2,Ci_Use_Ely,Ci_Use_ItemId,Ci_Use_ItmeCount,Ci_Icon,Ci_IconIndex,Ci_Fx,Ci_Use_Minlevel,Ci_Use_Maxlevel,Sort_Num,_Description
144,1,8,1,6,50,1,4,10000000,0,0,0,0,0,10000000,0,0,10008001,43,0,6,50,44,??
145,1,8,1,8,50,1,4,20000000,0,0,0,0,0,20000000,0,0,10008001,44,0,8,50,45,???
146,1,8,1,8,50,1,4,20000000,0,0,0,0,0,20000000,0,0,10008001,45,0,8,50,46,?????
147,1,8,1,8,50,1,4,20000000,0,0,0,0,0,20000000,0,0,10008001,46,0,8,50,47,?????
148,1,8,1,8,50,1,4,20000000,0,0,0,0,0,20000000,0,0,10008001,47,0,8,50,48,??
149,1,8,1,8,50,1,4,20000000,0,0,0,0,0,20000000,0,0,10008001,48,0,8,50,49,????
150,1,8,1,10,50,1,4,30000000,0,0,0,0,0,30000000,0,0,10008001,49,0,10,50,50,??
151,1,8,1,10,50,1,4,30000000,0,0,0,0,0,30000000,0,0,10008001,50,0,10,50,51,???
152,1,8,1,1,50,0,0,0,0,2,1,190172203,1,0,190172203,1,10008001,51,0,1,50,52,??2
153,1,8,1,1,50,0,0,0,0,2,1,190172203,1,0,190172203,1,10008001,52,0,1,50,53,??
154,1,8,1,1,50,0,0,0,0,2,1,190172203,1,0,190172203,1,10008001,53,0,1,50,54,???
155,1,8,1,1,50,0,0,0,0,2,1,190172203,1,0,190172203,1,10008001,54,0,1,50,55,???
156,1,8,1,1,50,0,0,0,0,2,1,190172203,1,0,190172203,1,10008001,55,0,1,50,56,?????
157,1,8,1,1,50,0,0,0,0,2,1,190172203,1,0,190172203,1,10008001,56,0,1,50,57,?????
158,1,8,1,1,50,0,0,0,0,2,1,190172203,1,0,190172203,1,10008001,57,0,1,50,58,??
159,1,8,1,1,50,0,0,0,0,2,1,190172203,2,0,190172203,2,10008001,58,0,1,50,59,????
160,1,8,1,1,50,0,0,0,0,2,1,190172203,2,0,190172203,2,10008001,59,0,1,50,60,???
161,1,8,1,1,50,0,0,0,0,2,1,190172203,2,0,190172203,2,10008001,60,0,1,50,61,??
162,1,8,1,1,50,0,0,0,0,2,1,190172203,2,0,190172203,2,10008001,61,0,1,50,62,??
177,1,8,1,1,50,0,0,0,0,2,1,190198314,1,0,190198314,1,10008001,84,0,1,50,63,??????
178,1,8,1,1,50,0,0,0,0,2,1,190198313,1,0,190198313,1,10008001,85,0,1,50,64,??
179,1,8,1,1,50,0,0,0,0,2,1,190198312,1,0,190198312,1,10008001,86,0,1,50,65,???(???)
180,1,8,1,1,50,0,0,0,0,2,1,190198316,1,0,190198316,1,10008001,87,0,1,50,66,???????(???)
181,1,8,1,1,50,0,0,0,0,2,1,190198315,1,0,190198315,1,10008001,88,0,1,50,67,??(?????)
182,1,8,1,1,50,0,0,0,0,2,1,190198317,1,0,190198317,1,10008001,89,0,1,50,68,????????(??)
183,1,8,1,1,50,0,0,0,0,2,1,190198319,1,0,190198319,1,10008001,90,0,1,50,69,??(??????)
184,1,8,1,1,50,0,0,0,0,2,1,190198318,1,0,190198318,1,10008001,91,0,1,50,70,nomeansno(???)
185,1,8,1,1,50,0,0,0,0,2,1,190198320,1,0,190198320,1,10008001,92,0,1,50,71,????(????)
165,1,8,1,1,50,1,4,500000,0,2,1,190172203,1,500000,190172203,1,10008001,65,0,1,50,72,?????
174,1,8,1,1,50,1,4,1000000,0,2,1,190172203,2,1000000,190172203,2,10008001,66,0,1,50,73,?????
164,1,8,1,1,50,1,4,500000,0,2,1,190172203,1,500000,190172203,1,10008001,67,0,1,50,74,?
169,1,8,1,1,50,1,4,500000,0,2,1,190172203,1,500000,190172203,1,10008001,68,0,1,50,75,?????
172,1,8,1,1,50,1,4,1000000,0,2,1,190172203,2,1000000,190172203,2,10008001,69,0,1,50,76,???
173,1,8,1,1,50,1,4,1000000,0,2,1,190172203,2,1000000,190172203,2,10008001,70,0,1,50,77,???
170,1,8,1,1,50,1,4,500000,0,2,1,190172203,1,500000,190172203,1,10008001,71,0,1,50,78,?
166,1,8,1,1,50,1,4,500000,0,2,1,190172203,1,500000,190172203,1,10008001,72,0,1,50,79,??
163,1,8,1,1,50,1,4,500000,0,2,1,190172203,1,500000,190172203,1,10008001,73,0,1,50,80,?????
167,1,8,1,1,50,1,4,500000,0,2,1,190172203,1,500000,190172203,1,10008001,62,0,1,50,81,???
168,1,8,1,1,50,1,4,500000,0,2,1,190172203,1,500000,190172203,1,10008001,63,0,1,50,82,?????
171,1,8,1,1,50,1,4,500000,0,2,1,190172203,2,500000,190172203,2,10008001,64,0,1,50,83,??
175,1,8,1,1,50,1,4,1000000,0,2,1,190172203,3,1000000,190172203,3,10008001,74,0,1,50,84,???
176,1,8,1,1,50,1,4,1000000,0,2,1,190172203,3,1000000,190172203,3,10008001,75,0,1,50,85,????
201,2,8,1,1,50,1,4,100000,0,0,0,0,0,100000,0,0,10008002,0,0,1,50,1,????
202,2,8,1,1,50,1,4,100000,0,0,0,0,0,100000,0,0,10008002,1,0,1,50,2,????
203,2,8,1,1,50,1,4,100000,0,0,0,0,0,100000,0,0,10008002,2,0,1,50,3,???
204,2,8,1,1,50,1,4,100000,0,0,0,0,0,100000,0,0,10008002,3,0,1,50,4,???????
205,2,8,1,1,50,1,4,100000,0,0,0,0,0,100000,0,0,10008002,4,0,1,50,5,???
206,2,8,1,1,50,1,4,100000,0,0,0,0,0,100000,0,0,10008002,5,0,1,50,6,????
207,2,8,1,1,50,1,4,100000,0,0,0,0,0,100000,0,0,10008002,6,0,1,50,7,????2?
208,2,8,1,1,50,1,4,100000,0,0,0,0,0,100000,0,0,10008002,7,0,1,50,8,??? ?
209,2,8,1,1,50,1,4,100000,0,0,0,0,0,100000,0,0,10008002,8,0,1,50,9,?? ?????
210,2,8,1,1,50,1,4,100000,0,0,0,0,0,100000,0,0,10008002,9,0,1,50,10,?????
211,2,8,1,1,50,1,4,1000000,0,0,0,0,0,1000000,0,0,10008002,10,0,1,50,11,??
214,2,8,1,1,50,1,4,1000000,0,0,0,0,0,1000000,0,0,10008002,13,0,1,50,12,??
217,2,8,1,1,50,1,4,1000000,0,0,0,0,0,1000000,0,0,10008002,16,0,1,50,13,???
218,2,8,1,1,50,1,4,1000000,0,0,0,0,0,1000000,0,0,10008002,17,0,1,50,14,??
219,2,8,1,1,50,1,4,1000000,0,0,0,0,0,1000000,0,0,10008002,18,0,1,50,15,??
222,2,8,1,1,50,1,4,1000000,0,0,0,0,0,1000000,0,0,10008002,21,0,1,50,16,??
225,2,8,1,1,50,1,4,1000000,0,0,0,0,0,1000000,0,0,10008002,24,0,1,50,17,??
228,2,8,1,1,50,1,4,1000000,0,0,0,0,0,1000000,0,0,10008002,27,0,1,50,18,????
230,2,8,1,1,50,1,4,1000000,0,0,0,0,0,1000000,0,0,10008002,29,0,1,50,19,???
212,2,8,1,1,50,1,4,5000000,0,0,0,0,0,5000000,0,0,10008002,11,0,1,50,20,?????
213,2,8,1,1,50,1,4,5000000,0,0,0,0,0,5000000,0,0,10008002,12,0,1,50,21,????
215,2,8,1,1,50,1,4,5000000,0,0,0,0,0,5000000,0,0,10008002,14,0,1,50,22,???
216,2,8,1,1,50,1,4,5000000,0,0,0,0,0,5000000,0,0,10008002,15,0,1,50,23,????
220,2,8,1,1,50,1,4,5000000,0,0,0,0,0,5000000,0,0,10008002,19,0,1,50,24,??+????
221,2,8,1,1,50,1,4,5000000,0,0,0,0,0,5000000,0,0,10008002,20,0,1,50,25,??? ??
223,2,8,1,1,50,1,4,5000000,0,0,0,0,0,5000000,0,0,10008002,22,0,1,50,26,????????
224,2,8,1,1,50,1,4,5000000,0,0,0,0,0,5000000,0,0,10008002,23,0,1,50,27,??+????
226,2,8,1,1,50,1,4,5000000,0,0,0,0,0,5000000,0,0,10008002,25,0,1,50,28,??? 4?
227,2,8,1,1,50,1,4,5000000,0,0,0,0,0,5000000,0,0,10008002,26,0,1,50,29,???????
229,2,8,1,1,50,1,4,5000000,0,0,0,0,0,5000000,0,0,10008002,28,0,1,50,30,????
231,2,8,1,1,50,1,4,5000000,0,0,0,0,0,5000000,0,0,10008002,30,0,1,50,31,??????
232,2,8,1,4,50,1,4,10000000,0,0,0,0,0,10000000,0,0,10008002,31,0,4,50,32,????????
233,2,8,1,4,50,1,4,10000000,0,0,0,0,0,10000000,0,0,10008002,32,0,4,50,33,?+? ???????
234,2,8,1,1,50,1,4,5000000,0,0,0,0,0,5000000,0,0,10008002,33,0,1,50,34,??
235,2,8,1,1,50,1,4,1000000,0,0,0,0,0,1000000,0,0,10008002,34,0,1,50,35,??
236,2,8,1,1,50,1,4,5000000,0,0,0,0,0,5000000,0,0,10008002,35,0,1,50,36,????
237,2,8,1,1,50,1,4,5000000,0,0,0,0,0,5000000,0,0,10008002,36,0,1,50,37,???
238,2,8,1,6,50,1,4,10000000,0,0,0,0,0,10000000,0,0,10008002,37,0,6,50,38,???
239,2,8,1,8,50,1,4,20000000,0,0,0,0,0,20000000,0,0,10008002,38,0,8,50,39,??
240,2,8,1,10,50,1,4,30000000,0,0,0,0,0,30000000,0,0,10008002,39,0,10,50,40,????
241,2,8,1,1,50,0,0,0,0,2,1,190172203,1,0,190172203,1,10008002,40,0,1,50,41,?????????
242,2,8,1,1,50,0,0,0,0,2,1,190172203,1,0,190172203,1,10008002,41,0,1,50,42,??? ??? ?????
243,2,8,1,1,50,0,0,0,0,2,1,190172203,2,0,190172203,2,10008002,42,0,1,50,43,?? ??
244,2,8,1,1,50,0,0,0,0,2,1,190172203,2,0,190172203,2,10008002,43,0,1,50,44,??????
245,2,8,1,1,50,0,0,0,0,2,1,190172203,2,0,190172203,2,10008002,44,0,1,50,45,??
246,2,8,1,1,50,0,0,0,0,2,1,190172203,2,0,190172203,2,10008002,45,0,1,50,46,??
247,2,8,1,1,50,0,0,0,0,2,1,190172203,2,0,190172203,2,10008002,47,0,1,50,47,???
248,2,8,1,1,50,0,0,0,0,2,1,190172203,2,0,190172203,2,10008002,46,0,1,50,48,???
249,2,8,1,1,50,0,0,0,0,2,1,190172203,3,0,190172203,3,10008002,48,0,1,50,49,????
250,2,8,1,1,50,0,0,0,0,2,1,190172203,4,0,190172203,4,10008002,53,0,1,50,50,???????
251,2,8,1,1,50,0,0,0,0,2,1,190172203,4,0,190172203,4,10008002,49,0,1,50,51,??????
252,2,8,1,1,50,0,0,0,0,2,1,190172203,4,0,190172203,4,10008002,51,0,1,50,52,??
253,2,8,1,1,50,0,0,0,0,2,1,190172203,4,0,190172203,4,10008002,50,0,1,50,53,?????
254,2,8,1,1,50,0,0,0,0,2,1,190172203,4,0,190172203,4,10008002,52,0,1,50,54,????
255,2,8,1,1,50,0,0,0,0,2,1,190172203,4,0,190172203,4,10008002,55,0,1,50,55,????(???)
256,2,8,1,1,50,0,0,0,0,2,1,190172203,4,0,190172203,4,10008002,54,0,1,50,56,???
301,3,8,1,1,50,1,4,100,0,0,0,0,0,100,0,0,10008003,0,0,1,50,1,??
302,3,8,1,1,50,0,0,0,0,2,1,190198103,1,0,190198103,1,10008003,1,15196,1,50,2,???
303,3,8,1,1,50,0,0,0,0,2,1,190198103,1,0,190198103,1,10008003,2,15197,1,50,3,???
304,3,8,1,1,50,0,0,0,0,2,1,190198103,1,0,190198103,1,10008003,3,15198,1,50,4,???
305,3,8,1,1,50,0,0,0,0,2,1,190198103,1,0,190198103,1,10008003,4,15199,1,50,5,?????
306,3,8,1,1,50,0,0,0,0,2,1,190198103,1,0,190198103,1,10008003,5,15200,1,50,6,?????
307,3,8,1,1,50,0,0,0,0,2,1,190198103,1,0,190198103,1,10008003,6,15201,1,50,7,?
308,3,8,1,1,50,0,0,0,0,2,1,190198103,1,0,190198103,1,10008003,7,15202,1,50,8,???
309,3,8,1,1,50,0,0,0,0,2,1,190198103,1,0,190198103,1,10008003,8,15203,1,50,9,???
310,3,8,1,1,50,0,0,0,0,2,1,190198103,1,0,190198103,1,10008003,9,15204,1,50,10,??? ?
311,3,8,1,1,50,0,0,0,0,2,1,190198103,1,0,190198103,1,10008003,10,15205,1,50,11,???
312,3,8,1,1,50,0,0,0,0,2,1,190198103,1,0,190198103,1,10008003,11,15206,1,50,12,???
313,3,8,1,1,50,0,0,0,0,2,1,190198103,1,0,190198103,1,10008003,12,15207,1,50,13,???
314,3,8,1,1,50,0,0,0,0,2,1,190198103,1,0,190198103,1,10008003,13,15208,1,50,14,???
315,3,8,1,1,50,0,0,0,0,2,1,190198103,1,0,190198103,1,10008003,14,15209,1,50,15,??
316,3,8,1,1,50,0,0,0,0,2,1,190198103,1,0,190198103,1,10008003,15,15441,1,50,16,??
317,3,8,1,1,50,0,0,0,0,2,1,190198103,1,0,190198103,1,10008003,16,15442,1,50,17,?
318,3,8,1,1,50,0,0,0,0,2,1,190198103,1,0,190198103,1,10008003,17,15506,1,50,18,????
319,3,8,1,1,50,0,0,0,0,2,1,190198103,1,0,190198103,1,10008003,18,15507,1,50,19,???
320,3,8,1,1,50,0,0,0,0,2,1,190198103,1,0,190198103,1,10008003,20,16340,1,50,20,?????
321,3,8,1,1,50,0,0,0,0,2,1,190198103,1,0,190198103,1,10008003,19,16336,1,50,21,???
322,3,8,1,1,50,0,0,0,0,2,1,190198103,1,0,190198103,1,10008003,21,16334,1,50,22,??
323,3,8,1,1,50,0,0,0,0,2,1,190198103,1,0,190198103,1,10008003,23,16341,1,50,23,??
324,3,8,1,1,50,0,0,0,0,2,1,190198103,1,0,190198103,1,10008003,22,16335,1,50,24,????
325,2,8,1,1,50,1,4,1000000,0,2,1,190172203,2,1000000,190172203,2,10008002,56,0,1,50,57,??
326,2,8,1,1,50,1,4,1000000,0,2,1,190172203,3,1000000,190172203,3,10008002,57,0,1,50,58,????
327,2,8,1,1,50,1,4,1000000,0,2,1,190172203,2,1000000,190172203,2,10008002,58,0,1,50,59,??
328,2,8,1,1,50,1,4,1000000,0,2,1,190172203,3,1000000,190172203,3,10008002,59,0,1,50,60,?????
329,2,8,1,1,50,1,4,1000000,0,2,1,190172203,3,1000000,190172203,3,10008002,60,0,1,50,61,?
330,1,8,1,1,50,1,4,1000000,0,2,1,190172203,1,1000000,190172203,1,10008001,76,0,1,50,86,????
331,1,8,1,1,50,1,4,1000000,0,2,1,190172203,2,1000000,190172203,2,10008001,77,0,1,50,87,??
332,1,8,1,1,50,1,4,1000000,0,2,1,190172203,1,1000000,190172203,1,10008001,78,0,1,50,88,??
333,1,8,1,1,50,1,4,1000000,0,2,1,190172203,1,1000000,190172203,1,10008001,79,0,1,50,89,??
334,1,8,1,1,50,1,4,1000000,0,2,1,190172203,2,1000000,190172203,2,10008001,80,0,1,50,90,???
337,1,8,1,1,50,1,4,2000000,0,2,1,190172203,3,2000000,190172203,3,10008001,95,0,1,50,91,??
339,1,8,1,1,50,1,4,2000000,0,2,1,190172203,3,2000000,190172203,3,10008001,97,0,1,50,92,????
335,1,8,1,16,50,1,4,3000000,0,2,1,190172203,4,3000000,190172203,4,10008001,93,0,16,50,93,???
336,1,8,1,17,50,1,4,3000000,0,2,1,190172203,4,3000000,190172203,4,10008001,94,0,17,50,94,???
338,1,8,1,18,50,1,4,4000000,0,2,1,190172203,5,4000000,190172203,5,10008001,96,0,18,50,95,??
340,2,8,1,1,50,1,4,2000000,0,2,1,190172203,2,2000000,190172203,2,10008002,61,0,1,50,62,????
341,1,8,1,1,50,0,0,0,0,2,1,190145034,1,0,190145034,1,10008001,98,0,1,50,96,???
342,1,8,1,1,50,0,0,0,0,2,1,190145035,1,0,190145035,1,10008001,99,0,1,50,97,??
343,1,8,1,1,50,0,0,0,0,2,1,190145036,1,0,190145036,1,10008001,100,0,1,50,98,??
344,1,8,1,1,50,0,0,0,0,2,1,190145882,1,0,190145882,1,10008001,103,0,1,50,99,??
186,1,8,1,1,50,0,0,0,0,2,1,190145919,1,0,190145919,1,10008001,104,0,1,50,100,??
187,1,8,1,1,50,0,0,0,0,2,1,190146314,1,0,190146314,1,10008001,105,0,1,50,101,??
188,1,8,1,1,50,0,0,0,0,2,1,190146450,1,0,190146450,1,10008001,108,0,1,50,102,???
189,1,8,1,1,50,0,0,0,0,2,1,190146451,1,0,190146451,1,10008001,107,0,1,50,103,???
190,1,8,1,1,50,0,0,0,0,2,1,190146452,1,0,190146452,1,10008001,106,0,1,50,104,??
345,1,8,1,18,50,1,4,5000000,0,2,1,190146982,1,5000000,190146982,1,10008001,109,0,18,50,105,???
346,1,8,1,18,50,1,4,5000000,0,2,1,190146983,1,5000000,190146983,1,10008001,110,0,18,50,106,???
347,1,8,1,18,50,1,4,5000000,0,2,1,190146984,1,5000000,190146984,1,10008001,111,0,18,50,107,???
348,1,8,1,18,50,1,4,5000000,0,2,1,190146985,1,5000000,190146985,1,10008001,112,0,18,50,108,???
349,1,8,1,18,50,1,4,5000000,0,2,1,190146986,1,5000000,190146986,1,10008001,113,0,18,50,109,???
350,2,8,1,1,50,1,4,5000000,0,2,1,190172203,2,5000000,190172203,2,10008002,62,0,1,50,63,??? ??
351,2,8,1,1,50,1,4,5000000,0,2,1,190172203,2,5000000,190172203,2,10008002,63,0,1,50,64,?? ??
352,2,8,1,1,50,1,4,5000000,0,2,1,190172203,2,5000000,190172203,2,10008002,64,0,1,50,65,??
353,2,8,1,1,50,1,4,5000000,0,2,1,190172203,2,5000000,190172203,2,10008002,65,0,1,50,66,??
354,2,8,1,1,50,1,4,5000000,0,2,1,190172203,2,5000000,190172203,2,10008002,66,0,1,50,67,??
355,3,8,1,1,50,0,0,0,0,2,1,190198103,1,0,190198103,1,10008003,24,20347,1,50,25,??
356,3,8,1,1,50,0,0,0,0,2,1,190198103,1,0,190198103,1,10008003,25,20348,1,50,26,??????
357,3,8,1,1,50,0,0,0,0,2,1,190198103,1,0,190198103,1,10008003,26,20349,1,50,27,??? ???
358,1,8,1,1,50,0,0,0,0,2,1,190147386,1,0,190147386,1,10008001,114,0,1,50,110,?? ??
359,1,8,1,1,50,0,0,0,0,2,1,190147385,1,0,190147385,1,10008001,115,0,1,50,111,?? ??
360,1,8,1,1,50,0,0,0,0,2,1,190147384,1,0,190147384,1,10008001,116,0,1,50,112,???? ??
