ID,_ItemID,_Name,_Talk1,_Talk2,_Talk3,_Talk4,_Talk5
17,700101120,??(Lv.20),,總有一天……會給我升級吧……,跟我玩嘛……Lanlalalan-,今天也……明天也,白白嫩嫩- 小嫩嫩~
18,700101121,?? ??,,一朵朵- 白色雪花-?,跟我玩嘛-,今天也……明天也,熱乎乎的~好溫暖~
19,700101020,??(Lv.20),,您會讓我升級吧？,加油，主人！,呵~啊~,主人……我喜歡你……嘿嘿
20,700101021,?? ??,,您會讓我升級吧？,主人！請加油！,龍龍很無聊。能跟我玩嗎-,主人……我喜歡你……
21,700101220,?????(Lv.20),,升級Beee~,Mon↖Momo↗ ^_^,(TuckTcuk),咯咯笑-
22,700101221,?? ?????,,升級Beee~~,PiPi?,我愛你~,我喜歡主人~
23,700101320,???(Lv.20),,咯咯咯……我想升級了。,(>_<),我要跟主人在一起。,水的力量是清澈的精氣。
24,700101321,?? ???,,我要升級。,TiTiTiTi….,啊啦啦？,寶-冠-魔法~
25,700101420,????(Lv.20),,請給我升級。,Go- Go-,我要跟主人在一起。,呼呼呼- 咻- Windy-
26,700101421,?? ????,,咯咯咯……我想升級了。,Wiii~~.,Li Li Li-,請永遠保持愛心。
27,700101520,??(Lv.20),,我想升級……,OK~！,Deuwong-,嗷嗚~~~
28,700101521,?? ??,,嘿嘿，我現在能升級了……,請快點。PangPang -,Buwong,一起玩嘛，主人！
29,700101605,???? 1?(Lv.5),,啦啦，啦啦啦-升級-,主人太帥了，Lanlan~,噗-,那個……嘿嘿，請加油。
30,700101720,???(Lv.20),,您在開玩笑嗎？我的等級呢？,大勢是灰鼠,萌萌彩虹島Online的寵物一定要選灰鼠……,嘰嘰嘰嘰
31,700101721,?? ???,,這次的補丁有點意思…….,請加油,不努力升級，做什麼呢？,不能給點錢嗎？
32,700101820,??(Lv.20),,請幫我升級--,好像……長大了一些。,啦啦? 啦啦啦?,天好高---啊！
33,700101821,?? ??,,(擠眼！),我會一直陪您去冒險！,Boo- 看看我嘛！,冰海有很多朋友。
34,700101920,???(Lv.20),,MiMiMi？,^_^,Mu?,(嫣然)
35,700101921,?? ???,,……喜，喜歡。,……我喜，喜歡主人。,……是朋，朋友。,希望………永遠在一起。
36,700102120,?? ??(Lv.20),,可以變成全新的我。,我想一直守護你。,或許有一天，我要回到原來的地方去。,把美麗的心送給你。
37,700102121,?? ??,,靈魂體滿荷……,我想一直保護你。,Sanctus Sanctus dominus?,光明將帶來真理……
38,700102220,????(Lv.20),,出發！朝著更強的世界！,跟你沒什麼關係。,你想對我說教？,如果我變得更強，你會有什麼感受？
39,700102221,?? ????,,魔力全滿了……,我的存在對你是祝福還是詛咒？,不管怎麼說，今後我們會是同伴。,黑暗將賜予力量。
40,700102420,???(Lv.20),,我想快點長大……,主人……會喜歡……我吧？,偶爾……會感到孤獨。,我做了……可怕的……夢。
41,700102421,?? ???,,我長這麼大了，嘿嘿,喜歡。真的……很喜歡。,現在……不孤單了。,討厭……離開主人。
42,700102520,??(Lv.20),,……希望能再次相見！,六百五十萬年前，來自太白星！,用異於人畜之物造體，永葆十六歲而不變！,本座乃護法魔王尊，守護大地的靈王！
43,700102521,?? ??,,願隨你劈荊斬棘,月輪之精……那是力量的象徵。,曾經……給一位少年傳授過劍法。,一口氣足以轉遍地球！
44,700102320,?? ??(Lv.20),,升級…… Ha~am……,骨骨碌碌~~~,……我們一雙的租金是每年200萬美金。,啵啵-
45,700102321,?? ?? ??,,應該還能升級吧……？,咕嗚嗚嗚~,今天也……明天也,啪嗚嗚嗚-
46,700102720,????(Lv.20),,MiMiMi？,^_^,Mu?,(嫣然)
47,700102721,?? ????,,……喜，喜歡。,……我喜，喜歡主人。,……是朋，朋友。,希望………永遠在一起。
48,700102820,?? ????(Lv.20),,我要為主人打開通往明天的大門。,斯圖亞特想永遠做主人的管家。,能陪伴在主人左右，我感到無上的光榮。,我會永遠追隨您。
49,700102821,?? ?? ????,,斯圖亞特在這裡。,今天您心情好嗎？托主人的福，斯圖亞特總是感到幸福。,我已經做好準備。主人，請下命令。,主人，我好喜歡你哦。
50,700102920,??? ????(Lv.20),,今天的女僕不同於昨天了！,主人，女僕永遠追隨主人……?,女僕開始從日常生活中品嘗到幸福的滋味了。這都要謝謝主人?,我們要永遠在一起哦！
51,700102921,?? ??? ????,,女僕，充滿了幹勁！,喝茶時間！我準備了香氣濃鬱的紅茶！,Shall We Dance？ ?,好喜歡主人哦！
52,700103020,???(Lv.20),,該升級了~ 嗷嗚~,Hung！ Hung！,啊噢噢噢- 勝利的歌聲~,嗷嗚！！
53,700103021,?? ???,,Hung~ Hung~ 我很強大！,Whi-pp~,Qurrr……,主人，等等我！
54,700103120,??(Lv.20),,狸貓~狸貓~太帥了~好厲害~狸貓~狸貓~,主人！今天也要加油！,狸貓的主題歌第357號，開始了-,看看我的尾巴。對我的尾巴有什麼看法？
55,700103121,?? ??,,哇，我長大了~~,狸貓是狸子。,狸貓很善良！,狸貓 狸貓 狸貓Ring~
56,700103320,????(Lv.20),,雖然等級已經到達頂點，但爆滿的經驗值可以體現我和主人的緣分。,主人的敵人，燒成灰燼吧！,呼呼……看到熟透的樣子，我想起了熏雞蛋一樣的時光。,主人，健康是一切的根本。記住了嗎？
57,700103321,?? ????,,突然想發出鳥叫，難道我對自己身份的認知還存在混亂？,突然想發出鳥叫，難道我對自己身份的認知還存在混亂？,主人，我發現其實你……很帥。(害羞),用成熟的眼睛看到的世界非常奧妙。為什麼要笑？
58,700103520,??? ??(Lv.20),,對主人的幫助感激不盡。,主人，今天的心情怎麼樣？,這次要不要穿棕色系的靴子呢,手杖是紳士的必備品。
59,700103521,?? ???,,對主人的幫助感激不盡。,想不想學習玫瑰魔術？,跟小精靈是老朋友了。,跟小精靈是老朋友了。
60,700103620,???(Lv.20),,升級！,(磨磨),啊啊啊~一首快樂的歌~,想每天都跟主人一起奔跑汪！
61,700103621,?? ???,,汪！請讓我升級~,(磨磨),討厭打架汪~,散步 散步！一起跑十個小時吧，汪！
62,700103720,??? ??(Lv.20),,升級，升級？,嘶，嘶。,偶爾從村莊獲得各種情報。,總是這個樣子。
63,700103721,?? ??? ??,,希望被我稱為懶蛋嗎。,嘶，嘶。,你要呆到什麼時候。,是不是該繼續活動一下筋骨了？
64,700103820,???(Lv.20),,嗚哇哇~~我有成為主人期待的幸運龍嗎,嘶可嗡~~~，嘶空!!,我可是龍年誕生的高貴金龍!,這是如意珠!
65,700103821,?? ???,,啊...應該可以更強一些…,嘶可嗡~~~，嘶空!!,嘿嘿~ 真有趣!,跟主人在一起好有趣!!
66,700103920,???(Lv.20),,比起非升級不可……(小心翼翼),就算只是個碎布玩偶…,就算我舊了壞了，也請別丟掉我…,腿軟!!
67,700103921,?? ???,,啊啊，不是那樣的。這樣說可以嗎…?,就算我還小…,就算我這麼可愛…,腿軟!!
68,700104020,A?(Lv.20),,?… A? ???…???? ? ?? ???…,???? ? ???? ??? ? ????.,??? ??? ??? ??? ???…,??? ??? ????.
69,700104021,?? A?,,?… A? ???…???? ? ?? ???…,??? ? ???… ?…,??? ????? ??…,???? ??? ????? ? ??.
70,700104120,B?(Lv.20),,??. ? B???. ??? ???? ???? ? ???? ?????,? ???? ???. ??. ? ????.,??? ? ?? ??!,? ??????! ???!
71,700104121,?? B?,,??. ? B???. ??? ???? ???? ? ???? ?????,??? ? ??????,?? ?? ???? ??.,?? ? ???? ?? ?????
72,700104220,AB?(Lv.20),,"AB???? ??, ? ? ??? ??. ??? ?? ?? ? ?? ???",???? ?????? ??. ???!!!,????? ??? ????. ????.,??… ??… ??…
73,700104221,?? AB?,,"AB???? ??, ? ? ??? ??. ??? ?? ?? ? ?? ???",??? ?????? ???.,ok??,? ?? ?? ?!!!
74,700104320,O?(Lv.20),,"?, ?. ?????. O?. ??? ?? ??.",?? ???? ??? ???~,?? ?? ?~,??? ????
75,700104321,?? O?,,"?, ?. ?????. O?. ??? ?? ??.",???? ????? ?.,?? ??? ???? ?… ??? ?????.,??? ?? ? ???!
76,700104420,??★20,,在你打開視窗瀏覽的同時也順便做一下你該做的事吧!!,別被我的可愛給嚇到了!雖然我知道我真的很可愛啦~,我的牙齒可不是拿來當武器用的!是拿來裝可愛用的!,偶爾休息一下也是不錯的，所以庸庸碌碌的人類才會那麼累嘛~
77,700104421,?? ??,,在你打開視窗瀏覽的同時也順便做一下你該做的事吧!!,別被我的可愛給嚇到了!雖然我知道我真的很可愛啦~,我的牙齒可不是拿來當武器用的!是拿來裝可愛用的!,勞碌命的人才會那樣奔波，要保持優雅才可以呀~
78,700104520,??★20,,??? ???? ?? ???? ???!,?? ??~,??? ???~ ???!,?? ???~ ???!
79,700104521,?? ??,,?? ?? ????~ ????????!,?? ??~,??? ???~ ???!,?? ???~ ???!
80,700104620,??★20,,??? ???! ??? ???!,??? ?? ???!,???? ???~ ?? ???~ ?? ?? ???~!!!,??? ?? ?? ???? ??!
81,700104621,?? ??,,?? ?? ????~ ????????!,??? ?? ???!,???? ???~ ?? ???~ ?? ?? ???~!!!,??? ?? ?? ???? ??!
82,700104720,??★20,,???? ?? ??! ??? ?? ???!,??????????~,??? ??~,??? ?? ??? ??!
83,700104721,?? ??,,???? ?? ??! ??? ?? ???!,??????????~,??? ??~,??? ?? ??? ??!
84,700104820,???★20,,嘿嘿...等級提升了,(傻裡傻氣),(喔-嗚-),(啾)
85,700104821,?? ???,,升級了~,(滾來滾去),(歪腰),(傻裡傻氣)
86,700104920,?? ?,,未使用,像蝴蝶一樣飛起，像蜜蜂一樣攻擊! 打架是基本功。,總有一天我會變成女王的，你也會幫我吧?,"要打就要贏, 目標是第一名, 和你一起!!!"
87,700105020,?? ??,,未使用,像蝴蝶又像蜜蜂~ 嗯~ 要吃蜂蜜? 嘿嘿，應該很好吃喔~,我要成為像蜂怪女王一樣的女王蜂~,我喜歡在主人旁邊嗡嗡叫!
88,700103526,???? ???,,"我, 我也想當海賊。收入高嗎...?",黑暗都滾一邊去吧! 真是個酷炫的台詞呢。,是因為突變的關係嗎?骨頭的光澤不一樣呢，你看。,我的領帶上面的粉紅條紋很好看呢!
89,700102927,???? ( ??? ),,"女僕,迎接新的一天囉!","主人, 女僕永遠都會陪在您左右的…?","女僕, 我現在好像知道什麼是平凡的幸福了。都是主人教會我的?",要永遠在一起唷!
90,700102827,???? ( ??? ),,為了主人，我會開啟明日的道路的。,執事永遠都只想當主人的執事。,能和主人一起度過每一天，讓我感到很榮幸呢。,我會一直陪著您的。
91,700105120,???★20,,啊~ 喬朗伊好想奔跑喔!,"讓我載著主人, 到天涯海角~",我最喜歡主人給的零食了。,要來跳舞嗎? 嘿嘿~
92,700105121,?? ???,,喬朗伊現在也長大了~,駕駕~ 跑啊~馬兒~ 跑啊~,喬朗伊速度很快吧?,你要吃紅蘿蔔嗎?
93,700105001,?? ?? ?(30?),,"經驗值都滿了呢,要不要提升等級了?","從NAVER來的主人,歡迎你~",從NAVER來的主人~請到NAVER搜尋看看萌萌彩虹島吧~,過了30日以後可以遇見新的寵物唷~
94,700105203,??,,感覺到森林的新鮮氣息了。,我是從純白美麗的森林裡誕生的。,好像只要閉起眼睛…就可以聽到森林中的風聲呢。,白郎的神聖力量-☆
95,700105320,? ??★20,,藉由你的幫助，我會成為很厲害的國王~,這個傷口有段傷感的傳說,我不相信傳說這種東西,我不相信傳說這種東西
96,700105321,?? ? ??,,你幫助我的事，我就算長大了也不會忘記的~,就算我當了國王，無論何時我們還要在一起!,噢嗯---!!!,噢嗯---!!!
97,700105326,??? ? ??,,我是萬獸之王!,個頭太高了…給我跪下,這是我和他所接受的程度,這是我和他所接受的程度
98,700105207,??? ?? ?,,(蛋暖烘烘的，要拿去給德雷歐嗎?),(咕嚕咕嚕),(伊伊呀呀),(伊伊呀呀)
99,700105209,??,,我會成為主人您的力量,利用白郎神聖的力量!呀-☆,有主人在~我不孤單!,有主人在~我不孤單!
100,700105403,?? ??,,我可是很強的!主人，相信我吧!,讓我來守護主人!,主人，我在你身邊~,主人，我在你身邊~
101,700105520,???? ???★20,,我現在已經很厲害囉~,我們一起跨越銀河吧?,你相信有月老嗎?,你相信有月老嗎?
102,700105521,?? ???? ???,,,我就是!銀河龍!鏘鏘?,享受銀河的氣息吧!呼呼呼---,享受銀河的氣息吧!呼呼呼---
103,700105720,??? ???★20,,學藝之路是沒有終點的?,我擅長的是?拋球☆,嚇-? 哎呀!失手?,嚇-? 哎呀!失手?
104,700105721,?? ??? ???,,,拋球?拋球,射飛刀◆咻-? 怎麼可以閃~,射飛刀◆咻-? 怎麼可以閃~
105,700105620,??★20,,今年有辦法幫聖誕老公公嗎?,主人，我們玩什麼好呢??,想看雪嗎?要露露灑雪嗎?,想看雪嗎?要露露灑雪嗎?
106,700105621,?? ??,,,聖誕節- 聖誕節-?,搭雪橇~?,搭雪橇~?
107,700100123,??? ?,,啊~ 肚子餓。,雖然沒辦法醒過來有點難過…但能幫到主人的忙我就很滿足了!,如果我離開的話，你會遇見其它的新寵物吧…,我會幫你撿道具。請開啟道具撿拾技能!
108,700103026,??? ??? ???,,,呃啊啊啊啊-,我誰也不怕吼吼~,吼吼! 我是老虎!
109,700103826,??? ??? ???,,,超會搭…有一種燒焦味，不要講這種冷笑話嗎?,我可是龍年誕生的高貴金龍!,這個是如意珠。
110,700103926,??? ??? ???,,,即使只是個布娃娃…,就算我舊了壞了，也請別丟掉我…,我好害怕有一天主人也會丟掉我…
111,700103027,??? ??? ??? (15?),,,呃啊啊啊啊-,我誰也不怕吼吼~,吼吼! 我是老虎!
112,700103827,??? ??? ??? (15?),,,超會搭…有一種燒焦味，不要講這種冷笑話嗎?,我可是龍年誕生的高貴金龍!,這個是如意珠。
113,700103927,??? ??? ??? (15?),,,即使只是個布娃娃…,就算我舊了壞了，也請別丟掉我…,我好害怕有一天主人也會丟掉我…
114,700102326,??? ??? ???? (15?),,,我只是讓主人被嘲笑而已… (嚇)。,我只是吃了竹子而已….,我只是滾了幾下而已…。滾滾滾…。
115,700103726,??? ??? ????? (15?),,,你要這樣待到什麼時候。,一直都是這種方式。,快點動起來如何?
116,700104426,??? ??? ?? (15?),,,不要被我公開的外表嚇到。也不是不能理解啦。,我的牙齒可不是拿來當武器用的!是拿來裝可愛用的!,偶爾休息一下也是不錯的。所以勤奮的人類還真是累。
117,700102327,??? ??? ???? (30?),,,我只是讓主人被嘲笑而已… (嚇)。,我只是吃了竹子而已….,我只是滾了幾下而已…。滾滾滾…。
118,700104427,??? ??? ?? (30?),,,不要被我公開的外表嚇到。也不是不能理解啦。,我的牙齒可不是拿來當武器用的!是拿來裝可愛用的!,偶爾休息一下也是不錯的。所以勤奮的人類還真是累。
119,700103727,??? ??? ????? (30?),,,你要這樣待到什麼時候。,一直都是這種方式。,快點動起來如何?
120,700105326,??? ??? ? ??(60?),,我是萬獸之王!,個頭太高了…給我跪下,這是我和他所接受的程度,這是我和他所接受的程度
121,700105126,??? ??? ???,,,主人您好輕喔。,喬朗伊也是小馬嗎?,如果我是主人的喬伊馬，那難道不是名駒嗎?
122,700104826,??? ??? ???,,,不是熊貓~ 也不是熊~ 我是浣熊~,小浣熊是…遠親。…大概吧。,狸貓……?(歪頭)
123,700105327,??? ??? ? ??(30?),,,個頭太高了…給我跪下。,這就是你和我的程度。,這就是那時我的眼光。
124,700105820,??★20,,咩就是咩~ 咩~,嗯咩~ 嗯咩~ 我有一頭小毛驢? …啊?不是這首咩!,和我在一起會很有趣的咩!,我的叫聲是咩~咩咩羊!
125,700105821,?? ??,,,在幹嘛咩?,你是什麼咩?,我的叫聲是咩~咩咩羊!
126,700105920,??★20,,級啊啊…,我們要一起相處好長一段時間。,…不要裝的太親密的樣子。,好吧，你的話…
127,700105921,?? ??,,,(輕輕擺動著尾鰭),(直盯著這個方向看),(看不出來表情，但心情感覺不錯)
128,700105527,??? ???? (15?),,,我可是千里迢迢來見你欸!,我的名字是從宇宙的銀河而來的!,我是從那個遙遠的銀河系來的~ 龍龍?
129,700106001,?? ???,,,看起來比我還弱的人是主人!!太失望了。,這種!! 煩死了.. 閃開~ 讓我來!,看著!!切蘋果~~~我切!!
130,700106101,??,,,噗哦~ 噗哦哦~? (開心),噗哦~? 噗哦~?(興奮),噗哦! 噗哦! 噗哦!(生氣)
131,700106301,???,,為了要~找吃的~要去都市啦啦~?,我一點也不粗暴而且很喜歡人類。,這世界上最喜歡的就是人類了。(粗魯!),我的願望是盡情大吃然後睡到飽。
132,700105406,?? ?? ?? [???],,我真的很強。真的啦!,有我在還需要其它泥人嗎?!,我全都幫你做，全都交給我!,盡管吩咐。不管什麼事都幫你完成。
133,700104828,??? ???,,升級了~,(涼颼颼),(滾來滾去),(歪腰)
134,700100528,???? [???],,服務生，給我你們店裡的招牌菜!,讓我升級啦~,主人，我們要一起走!,幸運會與您同在~
135,700101731,??? [???],,我餓了,你在開玩笑嗎?我的等級怎麼辦?,灰鼠才是趨勢,彩虹島物語Online的寵物一定要選灰鼠…
136,700104028,A? [???],,是…A型…還沒到升級的時候吧…,好好理解對方的心彼此體諒。,如此劇烈的變化很辛苦吧…,新的開始要慎重一點。
137,700104328,O? [???],,我是O型。為了順利打怪升級是必需的。,我的天兒~~,目標出現了!!!!,意欲喪失…
138,700104128,B? [???],,是啊，我是B型，升級輔助劑很貴嗎?為什麼還不讓我升級?,我就直說了，好吧，你長的很醜。,但是我喜歡你!,我是開放型!呃哈哈!
139,700104228,AB? [???],,雖然都是AB型，但也不是全都一樣，即然這樣有什麼事可做嗎?,因為我的分析能力很強，哈哈哈!!!,雖然不舒服但是事實，接受吧。,啊啊…好睏…哈欠…
140,700104528,?? [???],,全部一起大聲叫~ 啦啦啦啦啦啦!,加油~,讓我聽到你們的聲音~ 全部一起!,大家一起~加油!
141,700104628,?? [???],,和我一起升級吧!盡情享受吧!,和我一起跳舞!,好可怕~ 超可怕~ 太可怕了啦~!!!,為了危險的時候裝填一發臭屁!
142,700104728,?? [???],,和小粉一樣漂亮的你!和我一起彩虹島物語吧!,啦啦啦啦啦啦啦啦啦啦~,全部一起啦啦~,和我一起渡過幸福的一天吧!
143,700105228,?? [???],,感覺到森林的新鮮氣息了。,我是從純白美麗的森林裡誕生的。,好像只要閉起眼睛…就可以聽到森林中的風聲呢。,以白狼神聖的力量-☆
144,700105628,?? [???],,,叮叮噹~ 叮叮噹~,今年有辦法幫聖誕老人嗎?,下雪的日子很開心吧?
145,700105728,??? ??? [???],,,我擅長的是?空拋球☆,嚇-? 哎呀!失手?,掉落下來的球●看好方向閃開啊?
146,700105828,?? [???],,,不是阿波羅捲髮咩!,胡鬧的話就用羊角把你丟掉咩!,我是咩~咩叫著的綿羊!
147,700105928,?? [???],,,人間嗯…就那樣而已。,哈欠~我有點累…,啦-啦啦啦啦--啦啦-?
148,700101528,??? ????? ??? ??,,,叮叮噹~ 叮叮噹~,哞嗚-,跟人家玩嘛，主人~
149,700105526,??? ??? ???? (60?),,,我就是!銀河龍!鏘鏘?,享受銀河的氣息吧!呼呼呼---,飛向無限大的銀河系!
150,700105528,??? ??? ???? (30?),,,我就是!銀河龍!鏘鏘?,享受銀河的氣息吧!呼呼呼---,飛向無限大的銀河系!
151,700102526,??? ??? ?? (30?),,,獻給神靈的祭品，就用舞扇忍者之風!,……希望能再次相見!,我是從650萬年前，叫做太白星的地方來的!
152,700101526,??? ??? ?? (60?),,,叮叮噹~ 叮叮噹~,哞嗚-,跟人家玩嘛，主人~
153,700106401,?? ???,,哈啊啊…(嘆氣),呃啦啦啦!!,哼嗯嗯…(歪頭),哦呵? (驚)
154,700106402,?? ?? ???,,(恍恍惚惚),嗯嗯嗯…(無聊),嘿嘿嘿~(開心),嗚嗚… (肚子餓)
155,700103626,?? ???[???],,,好想咬脆脆的骨頭哦~,哇嗚!升級!,哼哼……
156,700103326,?? ????[???],,嗯哼，還沒到吃飯的時間嗎?,呃嗯，惡棍就該被燒死，但主人選擇原諒的話，我也會跟隨他的意思。,呃嗯，惡棍就該被燒死，但主人選擇原諒的話，我也會跟隨他的意思。,主人，我十分想念愛麗絲。
157,700106501,??? [???],,不是主人您想的那個傢伙!,有種…想要隨便揮拳的感覺!,你也是強敵!,小人的墳墓是不需要名字的。
158,700105331,??? ? ?? (15?),,我有一位讓我支配密林的叔叔在!,甚至還有一個很會唱歌又親切的哥哥!,阿~茲天啊~ 爸爸里吉娃娃~,最近隔壁的哥哥，常常和奇怪的朋友去找魔法師…。
159,700106404,??? ?? ??? (15?),,啊哈哈…(嘆氣),呃啊啊啊!!,喝呃呃…(搖搖頭),哦吼? (閃亮)
160,700101027,??? ?? (15?),,"嗚,媽媽在哪裡?",媽媽，肚子餓餓….,嗚嗚，先打起精神來吧。,會成為勇敢並堅強的企鵝的!
161,700106003,??? ??? (15?),,我的糖果給我啦洛克斯!哦?這裡是哪裡?,敵人是什麼?能吃嗎?,現在我雖然看起來很可愛又討喜，但不要小看我哦!,兒童節的禮物…。沒有嗎?(探頭探腦)
162,700106303,??? ??? (15?),,為了要~ 找吃的~要去都市啦啦~?,我一點也不粗暴而且很喜歡人類。,這世界上最喜歡的就是人類了。(粗魯!),我的願望是盡情大吃然後睡到飽。
163,700106601,??[???],,,雖然喜歡活潑開朗但太吵的就不行。,身陷危機時我會幫你的。,冰女過的好嗎?
164,700106701,???,,,可以戰鬥一整天。,單挑啊!,你知道我嗎?
165,700106801,????,,,給我蜂蜜啦!,哪裡有蜂蜜?,我不想去沒有蜂蜜的地方。
166,700106901,??,,,我可以一輩子只吃蘋果!,等一下!戰鬥前先吃顆蘋果…。,蘋果是我的能量~!
167,700107001,??,,藍寶怪!(氣勢凶凶),藍寶怪?!(發現神奇的東西時),噗呵呵,噗嗚嗚嗚嗚! (運氣)
168,700107101,??? [???],,終於來到這世上了!現在開始是我的時代!,魷魚?! 不，不是…. 是主人,不管怎麼看都是在火上烤的魷魚….,… 主人，加油啊!這世界長相不是唯一…咳呃!(嗚咽)
169,700106201,????,,,是長得很妙的人類呢？,我會盡全力幫你的！,加油！你可以的！
170,700107201,??,,,今年一定要成為有錢人!,今年一定要遇見帥氣的情人!,今年一定… 啊，沒有意義。算了。
171,700107326,??,,呃呃，好丟臉。,被人看到就不好了…!,好，好害羞!,所有人好像都在看我…
172,700107202,??? ??? ?? (15?),,,今年一定要成為有錢人!,今年一定要遇見帥氣的情人!,今年一定… 啊，沒有意義。算了。
173,700105531,??? ??? ???? (15?),,現在好像夠強了~,一起橫跨銀河吧?,相信星星結下的因緣嗎？,我為了見到你從很遠的地方過來的。
174,700101226,????? [???],,升級啦-~~,PiPi?,我愛你~,我喜歡你，主人~
175,700106702,??? ??? ??? (15?),,,我還很餓。所以…很呃!,惡人，一定要，斬首!,奴八破~ 奴八破~ 一向…(到此為止!)
176,700107302,??? ??? ?? (15?),,呃呃，好丟臉。,被人看到就不好了…!,好，好害羞!,所有人好像都在看我…。
177,700106204,???? [???],,我，我是布迪嗎?!,呃呃…是誰敢做這種事…?,…但看在可愛的份上原諒你了。,好，開始冒險吧!
178,700107401,??,,,噗哦哦哦哦….,啵哦? 啵哦?! (興奮),啵哦?
179,700107501,?? [???],,,知道漂亮的所以….,陽光好刺眼，討厭。,"哼, 看什麼?"
180,700105332,???? ???,,我會幫你成為優秀的王。,這個傷口是個傷心的傳說。,我不相信傳說之類的。,這身體馬上就要變成新時代的傳說。
181,700106004,??? ??? ?? ??? (15?),,主人竟然比我看起來還弱!!好失望。,這種!!煩死了..走開~讓我來!,你看!!切蘋果~~~切!!,你看!!切蘋果~~~切!!
182,700106205,??? ??? ???? (12??),,我，我是布迪嗎?!,呃呃…是誰敢做這種事…?,…但看在可愛的份上原諒你了。,好，開始冒險吧!
183,700105532,??? ??? ???? (12??),,雜技之路是無止盡的?,我的主特技是拋接?球球☆,呃啦恰-? 啊，失手?,掉下來的球●請閃避?
184,700106005,??? ??? ?? ??? (12??),,主人竟然比我看起來還弱!!好失望。,這種!!煩死了..走開~讓我來!,你看!!切蘋果~~~切!!,你看!!切蘋果~~~切!!
185,700103032,??? ??? ??? (12??),,肚子餓了啦!! 老虎吼叫-,現在是到了升級的時候~ 老虎吼叫~,Hung! Hung!,啊哦哦哦-勝利之歌~
186,700105127,???,,啊~喬朗伊想跑跑!,戴著主人，無論去哪裡~,主人給的零食最好吃了。,要摩蹭摩蹭嗎? 嘿嘿~
187,700103828,???,,肚子餓!肚子餓了!,嗚哇啊昂~~~ 現在成為適合主人的幸運龍了嗎?,"特呃啦啊?哦~~~, ??!!",我是從黑龍的太陽誕生的黃金龍啊!
188,700107601,???,,不要…惹我生氣。,我內心的黑暗..也許會將主人吞噬。,不要靠近我，我…很危險。,不要靠近我，我…很危險。
189,700106403,??? ??? ????? (15?),,哈啊啊…(嘆氣),哎呦呦！！,嗯…(歪頭),噢吼？ (猛然)
190,700106902,??,,,主人好像沒有戀人呢。(斬釘截鐵),主人好像沒有戀人呢。(斬釘截鐵),主人，你沒戀人吧？
191,700103528,???? ???(???),,我、我也想當海賊。收入高嗎…？,黑暗都滾一邊去吧！真是個酷炫的台詞呢。,是因為突變的關係嗎？骨頭的光澤不一樣呢，你看。,我為領帶上的粉紅條紋感到自豪！
192,700107801,????,,,噢噢噢噢噢噢~(好…好熱),嗚嗚嗚嗚嗚(什麼都不想做),嗚哇哇哇哇(讓我回家)
193,700101529,????? ?? (30?),,,聖誕節快樂~~,我的裡面有什麼呢？,叮叮噹- 叮叮噹-鈴聲多響亮?
194,700106002,??? ??? ?? ??? (30?),,,看起來比我弱的居然是我的主人！！真失望。,居然！！真鬱悶..閃開~讓我來！,看好了！！切蘋果~~~！！
195,700101028,??? ?? (30?),,嗚，媽媽在哪裡？,媽媽，肚子好餓…。,嗚嗚，要撐住。,我要成為堅強又勇敢的企鵝！
