ID,_Option_Group,_Option_Probability,_Name,_Option_Type,_Option_ID,_Option_Min,_Option_Max,_Unique_Check
83,10003,10,[S] 旋風狂刃 %+dLv,3,2211002,1,5,1
84,10003,10,[S] 召喚泥妖 %+dLv,3,2211001,1,5,1
85,10003,10,[S] 隕石符文 %+dLv,3,2109201,1,5,1
86,10003,10,[S] 集體死亡 %+dLv,3,3001016,1,5,1
87,10003,10,[S] 魔音傳腦 %+dLv,3,1210023,1,5,1
88,10003,10,[S] 音符地獄 %+dLv,3,1108001,1,5,1
89,10003,10,[S] 短刃狂熱 %+dLv,3,1107033,1,5,1
90,10003,10,[S] 快影飛刀 %+dLv,3,1210003,1,5,1
91,10003,10,[S] 急襲 %+dLv,3,1107023,1,5,1
92,10003,10,[S] 光亮箭 %+dLv,3,1108008,1,5,1
93,10003,10,[S] 集氣彈射 %+dLv,3,1104018,1,5,1
94,10003,10,[S] 箭伏 %+dLv,3,1210008,1,5,1
95,10003,10,[S] 次元砲 %+dLv,3,1106009,1,5,1
96,10003,10,[S] 爆擊狂嘯 %+dLv,3,1107019,1,5,1
97,10003,10,[S] 浴火鳳凰 %+dLv,3,1109009,1,5,1
98,10003,10,[S] 毀滅炸彈 %+dLv,3,1210020,1,5,1
99,10003,10,[S] 機關掃射 %+dLv,3,1105020,1,5,1
100,10003,10,[S] 破壞地牢 %+dLv,3,1108020,1,5,1
101,10003,10,[S] 火神砲 %+dLv,3,1109022,1,5,1
102,10003,10,[S] 冷光砲彈 %+dLv,3,1210022,1,5,1
103,10003,10,[S] 星球轟炸機 %+dLv,3,1212022,1,5,1
104,10003,10,[S] 靈魂大師 IV %+dLv,3,1210036,1,5,1
105,10003,10,[S] 靈魂大師 II %+dLv,3,1102033,1,5,1
106,10003,10,[S] 靈魂大師 III %+dLv,3,1103033,1,5,1
107,10003,10,[S] 底牌 %+dLv,3,1311049,1,5,1
108,10003,10,[S] 野蠻卡片 %+dLv,3,1310049,1,5,1
109,10003,10,[S] 毀滅 %+dLv,3,1311052,1,5,1
110,10003,10,[S] [★] 粉碎 %+dLv,3,1311051,1,5,1
111,10003,10,[S] [?] 特技踢 %+dLv,3,1313250,1,5,1
112,10003,10,[S] [?] 光線雷射 %+dLv,3,1312546,1,5,1
113,10003,10,[S] 破壞的影子 %+dLv,3,1410056,1,5,1
114,10003,10,[S] 憤怒的影子 III %+dLv,3,1412055,1,5,1
115,10003,10,[S] 瘋狂之影 III %+dLv,3,1415055,1,5,1
116,10003,10,[S] 影子之劍 III %+dLv,3,1416055,1,5,1
117,10003,10,[S] 影子之舞 III %+dLv,3,1417055,1,5,1
118,10003,10,[S] 影子刀刃 %+dLv,3,1411056,1,5,1
119,10003,10,[S] 光爆進擊 %+dLv,3,1760101,1,5,1
120,10003,10,[S] 聖魔錮殺 %+dLv,3,1760102,1,5,1
121,10003,10,[S] 神魔掃殺 %+dLv,3,1759109,1,5,1
122,10003,10,[S] 岩漿爆發 %+dLv,3,1801308,1,5,1
123,10003,10,[S] 但丁地獄 %+dLv,3,1801312,1,5,1
124,10003,10,[S] 岩漿爆焱 %+dLv,3,1801309,1,5,1
125,10003,10,[S] 三重連爆 %+dLv,3,1802312,1,5,1
126,10003,10,[S] 劍氣揚塵 %+dLv,3,1802315,1,5,1
127,10003,10,[S] 紊亂無章 %+dLv,3,1802313,1,5,1
128,10003,10,[S] 螺旋加壓 %+dLv,3,1002023,1,5,1
129,10003,10,[S] 螺旋爆發 %+dLv,3,1003023,1,5,1
130,10003,10,[S] 螺旋石 %+dLv,3,1001023,1,5,1
131,10003,10,[S] 飛燕破天 %+dLv,3,1003024,1,5,1
132,10003,10,[S] 飛燕雙擊 %+dLv,3,1011024,1,5,1
133,10003,10,[S] 飛燕滅天功 %+dLv,3,1005024,1,5,1
134,10003,10,[S] 電流潰堤 %+dLv,3,2402601,1,5,1
135,10003,10,[S] 耗盡元氣 %+dLv,3,1001025,1,5,1
136,10003,10,[S] 死亡之手 %+dLv,3,1003025,1,5,1
137,10003,10,[S] [近身短打] 組合拳 %+dLv,3,1005026,1,5,1
138,10003,10,[S] [迅風快擊] 氣功 %+dLv,3,2402705,1,5,1
139,10003,10,[S] [迅風快擊] 波擊 %+dLv,3,1002026,1,5,1
140,10003,10,[S] 魔王血統 [泣] %+dLv,3,2402802,1,5,1
141,10003,10,[S] 魔王血統 [杖擊] %+dLv,3,1011027,1,5,1
142,10003,10,[S] 魔王血統 [三斬] %+dLv,3,2402803,1,5,1
143,10003,10,[S] [召喚] 打擊樂 %+dLv,3,2402903,1,5,1
144,10003,10,[S] [召喚] 小號 %+dLv,3,2402902,1,5,1
145,10003,10,[S] [召喚] 氣勢磅礡 %+dLv,3,1011028,1,5,1
146,10003,10,[S] 忍法_誣 %+dLv,3,1002029,1,5,1
147,10003,10,[S] 忍法_攪 %+dLv,3,2403004,1,5,1
148,10003,10,[S] 忍法_幻 %+dLv,3,2403003,1,5,1
149,10003,10,[S] 合體能力 %+dLv,3,1004030,1,5,1
150,10003,10,[S] 直搗天際 %+dLv,3,1010030,1,5,1
151,10003,10,[S] 狙擊 %+dLv,3,1000030,1,5,1
152,10003,10,[S] DM-DR %+dLv,3,1005031,1,5,1
153,10003,10,[S] DS-MT %+dLv,3,2403202,1,5,1
154,10003,10,[S] DS-SL %+dLv,3,1010031,1,5,1
155,10003,10,[S] 綠寶石 [綠] %+dLv,3,2406904,1,5,1
156,10003,10,[S] 魔法寶石陣 [彩虹] %+dLv,3,2406905,1,5,1
157,10003,10,[S] 芙尼克斯 [彩虹] %+dLv,3,2406908,1,5,1
158,10004,0,[1] 經驗值獲得 %+d%%,1,124,1,10,2
159,10004,60,[1] 經驗值獲得 %+d%%,1,124,1,10,0
160,10004,50,[2] 經驗值獲得 %+d%%,1,124,3,20,0
161,10004,35,[3] 經驗值獲得 %+d%%,1,124,5,30,0
162,10004,15,[4] 經驗值獲得 %+d%%,1,124,7,40,0
163,10004,7,[5] 經驗值獲得 %+d%%,1,124,10,50,0
164,20001,0,[1] 幸運 %+d%%,1,19,1,1,2
165,20001,100,[1] 防禦力 %+d%%,1,217,1,2,0
166,20001,60,[2] 防禦力 %+d%%,1,217,2,5,0
167,20001,22,[3] 防禦力 %+d%%,1,217,3,9,0
168,20001,100,[1] 體力 %+d%%,1,27,1,2,0
169,20001,50,[2] 體力 %+d%%,1,27,2,4,0
170,20001,17,[3] 體力 %+d%%,1,27,3,6,0
171,20001,100,[1] 幸運 %+d%%,1,19,1,2,0
172,20001,50,[2] 幸運 %+d%%,1,19,2,4,0
173,20001,17,[3] 幸運 %+d%%,1,19,3,6,0
174,20001,100,[1] 抗力 %+d%%,1,71,1,2,0
175,20001,50,[2] 抗力 %+d%%,1,71,2,5,0
176,20001,17,[3] 抗力 %+d%%,1,71,3,9,0
177,20001,100,[1] 力量/魔力 %+d%%,1,595,1,2,0
178,20001,50,[2] 力量/魔力 %+d%%,1,595,2,4,0
179,20001,17,[3] 力量/魔力 %+d%%,1,595,3,6,0
180,20001,100,[1] 所有能力值 %+d%%,1,456,1,1,0
181,20001,40,[2] 所有能力值 %+d%%,1,456,1,3,0
182,20001,10,[3] 所有能力值 %+d%%,1,456,2,5,0
183,20002,0,[1] 固定傷害 %+d%%,1,588,1,1,2
184,20002,50,[1] 固定傷害 %+d%%,1,588,1,1,0
185,20002,25,[2] 固定傷害 %+d%%,1,588,2,4,0
186,20002,8,[3] 固定傷害 %+d%%,1,588,3,8,0
187,20002,50,[1] 武器攻擊力/屬性力 %+d%%,1,587,1,1,0
188,20002,25,[2] 武器攻擊力/屬性力 %+d%%,1,587,1,3,0
189,20002,8,[3] 武器攻擊力/屬性力 %+d%%,1,587,2,6,0
190,20002,50,[1] 最終最小傷害 %+d%%,1,590,1,1,0
191,20002,25,[2] 最終最小傷害 %+d%%,1,590,1,2,0
192,20002,8,[3] 最終最小傷害 %+d%%,1,590,1,3,0
193,20002,50,[1] 最終最大傷害 %+d%%,1,591,1,1,0
194,20002,25,[2] 最終最大傷害 %+d%%,1,591,1,2,0
195,20002,8,[3] 最終最大傷害 %+d%%,1,591,1,3,0
196,20002,50,[1] 最終爆擊傷害 %+d%%,1,592,1,1,0
197,20002,20,[2] 最終爆擊傷害 %+d%%,1,592,1,2,0
198,20002,6,[3] 最終爆擊傷害 %+d%%,1,592,1,3,0
199,20002,50,[1] 爆擊率 %+d%%,1,465,1,1,0
200,20002,25,[2] 爆擊率 %+d%%,1,465,1,2,0
201,20002,8,[3] 爆擊率 %+d%%,1,465,1,3,0
202,20002,25,[1] 命中率 %+d%%,1,466,2,10,0
203,20002,25,[2] 命中率 %+d%%,1,466,4,20,0
204,20002,25,[3] 命中率 %+d%%,1,466,8,30,0
205,20002,50,[1] 固定傷害 %+d,1,496,100,1000,0
206,20002,25,[2] 固定傷害 %+d,1,496,500,2000,0
207,20002,8,[3] 固定傷害 %+d,1,496,1000,6000,0
208,20002,50,[1] 武器攻擊力/屬性力 %+d,1,586,2,15,0
209,20002,25,[2] 武器攻擊力/屬性力 %+d,1,586,5,30,0
210,20002,8,[3] 武器攻擊力/屬性力 %+d,1,586,15,80,0
211,20002,50,[1] 最小傷害 %+d%%,1,462,1,5,0
212,20002,25,[2] 最小傷害 %+d%%,1,462,3,15,0
213,20002,8,[3] 最小傷害 %+d%%,1,462,5,30,0
214,20002,50,[1] 最大傷害 %+d%%,1,461,1,5,0
215,20002,25,[2] 最大傷害 %+d%%,1,461,3,15,0
216,20002,8,[3] 最大傷害 %+d%%,1,461,8,30,0
217,20002,50,[1] 爆擊傷害 %+d%%,1,464,1,5,0
218,20002,20,[2] 爆擊傷害 %+d%%,1,464,3,15,0
219,20002,6,[3] 爆擊傷害 %+d%%,1,464,8,30,0
220,20003,0,[1] 移動速度 %+d%%,1,106,1,5,2
221,20003,10,[1] 技能傷害 %+d%%,2,28000601,1,25,1
222,20003,10,[1] 技能傷害 %+d%%,2,28000602,1,25,1
223,20003,10,[1] 技能傷害 %+d%%,2,28000603,1,25,1
224,20003,10,[S] [無限] 絕路 %+dLv,3,1802401,1,5,1
225,20003,10,[S] [無限] 百花撩亂 %+dLv,3,1802402,1,5,1
226,20003,10,[S] [無限] 偏執狂 %+dLv,3,1802403,1,5,1
227,20003,10,[S] [無限] 結界之擊 %+dLv,3,1802404,1,5,1
228,20003,10,[S] [無限] 天堂地獄 %+dLv,3,1802406,1,5,1
229,20003,10,[S] [無限] 幻夜馬郎拳 %+dLv,3,1802408,1,5,1
230,20003,10,[S] [無限] 火焰先鋒 %+dLv,3,1802409,1,5,1
231,20003,10,[S] [無限] 波音調號 %+dLv,3,1802410,1,5,1
232,20003,10,[S] [無限] 狂歡狂怒 %+dLv,3,1802411,1,5,1
233,20003,10,[S] [無限] 光線疾風 %+dLv,3,1802412,1,5,1
234,20003,10,[S] [無限] 彗星亂雷 %+dLv,3,1802413,1,5,1
235,20003,10,[S] [無限] 幻影光炮 %+dLv,3,1802414,1,5,1
236,20003,10,[S] [無限] 衛星喚擊 %+dLv,3,1802415,1,5,1
237,20003,10,[S] [無限] 巨龍之災 %+dLv,3,1802416,1,5,1
238,20003,10,[S] [無限] 銀河戰役 %+dLv,3,1802417,1,5,1
239,20003,10,[S] [無限] 逐能轟擊 %+dLv,3,1802418,1,5,1
240,20003,10,[S] [無限] 消滅的影子 %+dLv,3,1802419,1,5,1
241,20003,10,[S] [無限] 影子一擊 %+dLv,3,1802420,1,5,1
242,20003,10,[S] [無限] 旋風狂擊 %+dLv,3,1802421,1,5,1
243,20003,10,[S] [無限] 火焰熔融 %+dLv,3,1802422,1,5,1
244,20003,10,[S] [無限] 熾烈旋擊 %+dLv,3,1802423,1,5,1
245,20003,10,[S] 螺旋重擊 %+dLv,3,1011023,1,5,1
246,20003,10,[S] 華麗劍舞 %+dLv,3,1010024,1,5,1
247,20003,10,[S] 混沌領域 %+dLv,3,1011025,1,5,1
248,20003,10,[S] 神擊計謀-猛烈 %+dLv,3,1010026,1,5,1
249,20003,10,[S] 死神降臨 %+dLv,3,1010027,1,5,1
250,20003,10,[S] 優雅 %+dLv,3,1000028,1,5,1
251,20003,10,[S] 忍法_亂 %+dLv,3,2403005,1,5,1
252,20003,10,[S] 狙擊者 %+dLv,3,1005030,1,5,1
253,20003,10,[S] DS-BG %+dLv,3,2403203,1,5,1
254,20003,10,[S] 寶石魅惑 [紅] %+dLv,3,2406906,1,5,1
255,20004,0,[1] 經驗值獲得 %+d%%,1,124,2,20,2
256,20004,100,[1] 經驗值獲得 %+d%%,1,124,2,20,0
257,20004,80,[2] 經驗值獲得 %+d%%,1,124,6,40,0
258,20004,55,[3] 經驗值獲得 %+d%%,1,124,10,60,0
259,20004,25,[4] 經驗值獲得 %+d%%,1,124,14,80,0
260,20004,10,[5] 經驗值獲得 %+d%%,1,124,20,100,0
261,20004,3,[S] 受到攻擊時，以 0.5%% 的機率恢復 HP %d%%,2,28000301,10,70,1
262,20004,3,[S] 受到攻擊時，以 0.5%% 的機率產生保護膜 %d%%(Hp 比例 %d%%),2,28000201,10,90,1
263,20004,1,[S] 受到攻擊時，以 0.%d%% 的機率召喚閃電 (3秒暈眩),2,28000701,1,4,1
264,10003,10,[S] 闇黑重擊 %+dLv,3,1803322,1,5,1
265,10003,10,[S] 黑暗之魂 %+dLv,3,1803323,1,5,1
266,10003,10,[S] 闇黑爆破 %+dLv,3,1803324,1,5,1
267,20003,10,[S] [無限] 怒刺破壞 %+dLv,3,1802424,1,5,1
268,10005,0,[1] 幸運 %+d,1,18,10,150,2
269,10005,60,[1] 防禦力 %+d,1,216,10,150,0
270,10005,50,[2] 防禦力 %+d,1,216,50,300,0
271,10005,35,[3] 防禦力 %+d,1,216,100,600,0
272,10005,15,[4] 防禦力 %+d,1,216,150,1050,0
273,10005,7,[5] 防禦力 %+d,1,216,200,1500,0
274,10005,60,[1] 體力 %+d,1,26,10,150,0
275,10005,50,[2] 體力 %+d,1,26,50,300,0
276,10005,35,[3] 體力 %+d,1,26,100,600,0
277,10005,15,[4] 體力 %+d,1,26,150,1050,0
278,10005,7,[5] 體力 %+d,1,26,200,2250,0
279,10005,60,[1] 幸運 %+d,1,18,10,150,0
280,10005,50,[2] 幸運 %+d,1,18,50,300,0
281,10005,35,[3] 幸運 %+d,1,18,100,600,0
282,10005,15,[4] 幸運 %+d,1,18,150,1050,0
283,10005,7,[5] 幸運 %+d,1,18,200,2250,0
284,10005,60,[1] 抗力 %+d,1,70,10,150,0
285,10005,50,[2] 抗力 %+d,1,70,50,300,0
286,10005,35,[3] 抗力 %+d,1,70,100,600,0
287,10005,15,[4] 抗力 %+d,1,70,150,1050,0
288,10005,7,[5] 抗力 %+d,1,70,200,1500,0
289,10005,60,[1] 力量/魔力 %+d,1,594,10,150,0
290,10005,50,[2] 力量/魔力 %+d,1,594,50,300,0
291,10005,35,[3] 力量/魔力 %+d,1,594,100,600,0
292,10005,15,[4] 力量/魔力 %+d,1,594,150,1050,0
293,10005,5,[5] 力量/魔力 %+d,1,594,200,2250,0
294,10005,60,[1] 所有能力值 %+d,1,455,7,105,0
295,10005,50,[2] 所有能力值 %+d,1,455,35,210,0
296,10005,35,[3] 所有能力值 %+d,1,455,70,375,0
297,10005,15,[4] 所有能力值 %+d,1,455,105,750,0
298,10005,7,[5] 所有能力值 %+d,1,455,140,1500,0
299,10006,0,[1] 固定傷害 %+d,1,496,10,225,2
300,10006,60,[1] 固定傷害 %+d,1,496,10,225,0
301,10006,50,[2] 固定傷害 %+d,1,496,50,450,0
302,10006,35,[3] 固定傷害 %+d,1,496,100,900,0
303,10006,15,[4] 固定傷害 %+d,1,496,250,1500,0
304,10006,7,[5] 固定傷害 %+d,1,496,400,4500,0
305,10006,60,[1] 武器攻擊力/屬性力 %+d,1,586,1,6,0
306,10006,50,[2] 武器攻擊力/屬性力 %+d,1,586,2,10,0
307,10006,35,[3] 武器攻擊力/屬性力 %+d,1,586,3,16,0
308,10006,15,[4] 武器攻擊力/屬性力 %+d,1,586,4,24,0
309,10006,7,[5] 武器攻擊力/屬性力 %+d,1,586,8,60,0
310,10006,60,[1] 最小傷害 %+d%%,1,462,1,3,0
311,10006,50,[2] 最小傷害 %+d%%,1,462,1,6,0
312,10006,35,[3] 最小傷害 %+d%%,1,462,2,7,0
313,10006,15,[4] 最小傷害 %+d%%,1,462,2,12,0
314,10006,7,[5] 最小傷害 %+d%%,1,462,4,22,0
315,10006,60,[1] 最大傷害 %+d%%,1,461,1,3,0
316,10006,50,[2] 最大傷害 %+d%%,1,461,1,6,0
317,10006,35,[3] 最大傷害 %+d%%,1,461,2,7,0
318,10006,15,[4] 最大傷害 %+d%%,1,461,2,12,0
319,10006,7,[5] 最大傷害 %+d%%,1,461,4,22,0
320,10006,60,[1] 爆擊傷害 %+d%%,1,464,1,3,0
321,10006,50,[2] 爆擊傷害 %+d%%,1,464,1,6,0
322,10006,35,[3] 爆擊傷害 %+d%%,1,464,2,7,0
323,10006,15,[4] 爆擊傷害 %+d%%,1,464,2,12,0
324,10006,5,[5] 爆擊傷害 %+d%%,1,464,4,22,0
325,10006,60,[1] 背後攻擊傷害 %+d%%,1,494,1,4,0
326,10006,50,[2] 背後攻擊傷害 %+d%%,1,494,2,9,0
327,10006,35,[3] 背後攻擊傷害 %+d%%,1,494,3,12,0
328,10006,15,[4] 背後攻擊傷害 %+d%%,1,494,4,18,0
329,10006,7,[5] 背後攻擊傷害 %+d%%,1,494,7,37,0
330,10007,0,[1] 移動速度 %+d%%,1,106,1,7,2
331,10007,10,[S] 魂之勇者【覺醒】%+dLv,3,3802404,1,20,1
332,10007,10,[S] 劍刃舞者【覺醒】%+dLv,3,3802504,1,20,1
333,10007,10,[S] 恐懼騎士【覺醒】%+dLv,3,3802604,1,20,1
334,10007,10,[S] 鬥神【覺醒】%+dLv,3,3802704,1,20,1
335,10007,10,[S] 幻術師【覺醒】%+dLv,3,3802804,1,20,1
336,10007,10,[S] 音樂大師【覺醒】%+dLv,3,3802904,1,20,1
337,10007,10,[S] 忍者大師【覺醒】%+dLv,3,3803004,1,20,1
338,10007,10,[S] 審判者【覺醒】%+dLv,3,3803104,1,20,1
339,10007,10,[S] 改造大師【覺醒】%+dLv,3,3803204,1,20,1
340,10007,10,[S] 天之王者【覺醒】%+dLv,3,3803604,1,20,1
341,10007,10,[S] 幻武劍豪【覺醒】%+dLv,3,3803704,1,20,1
342,10007,10,[S] 創世主【覺醒】%+dLv,3,3803804,1,20,1
343,10007,10,[S] 諸神使者【覺醒】%+dLv,3,3803904,1,20,1
344,10007,10,[S] 大毀滅者【覺醒】%+dLv,3,3804004,1,20,1
345,10007,10,[S] 流行天王【覺醒】%+dLv,3,3804104,1,20,1
346,10007,10,[S] 風之潛行者【覺醒】%+dLv,3,3804204,1,20,1
347,10007,10,[S] 裁決射手【覺醒】%+dLv,3,3804304,1,20,1
348,10007,10,[S] 究極兵甲【覺醒】%+dLv,3,3804404,1,20,1
349,10007,10,[S] 弒魂者【覺醒】%+dLv,3,3804504,1,20,1
350,10007,10,[S] 弧形大師【覺醒】%+dLv,3,3804904,1,20,1
351,10007,10,[S] 暴力大師【覺醒】%+dLv,3,3805204,1,20,1
352,10007,10,[S] 闇影武士【覺醒】%+dLv,3,3805604,1,20,1
353,10007,10,[S] 混血天神【覺醒】%+dLv,3,3806004,1,20,1
354,10007,10,[S] 炙焰天【覺醒】%+dLv,3,3806404,1,20,1
355,10007,10,[S] 黑暗追擊者【覺醒】%+dLv,3,3806804,1,20,1
356,10007,10,[S] 寶石之星【覺醒】%+dLv,3,3806904,1,20,1
357,10007,10,[S] 暗影行者【覺醒】%+dLv,3,3807304,1,20,1
358,10007,10,[S] 魂之勇者【覺醒 II】%+dLv,3,3812404,1,20,1
359,10007,10,[S] 劍刃舞者【覺醒 II】%+dLv,3,3812504,1,20,1
360,10007,10,[S] 恐懼騎士【覺醒 II】%+dLv,3,3812604,1,20,1
361,10007,10,[S] 鬥神【覺醒 II】%+dLv,3,3812704,1,20,1
362,10007,10,[S] 幻術師【覺醒 II】%+dLv,3,3812804,1,20,1
363,10007,10,[S] 音樂大師【覺醒 II】%+dLv,3,3812904,1,20,1
364,10007,10,[S] 忍者大師【覺醒 II】%+dLv,3,3813004,1,20,1
365,10007,10,[S] 審判者【覺醒 II】%+dLv,3,3813104,1,20,1
366,10007,10,[S] 改造大師【覺醒 II】%+dLv,3,3813204,1,20,1
367,10007,10,[S] 天之王者【覺醒 II】%+dLv,3,3813604,1,20,1
368,10007,10,[S] 幻武劍豪【覺醒 II】%+dLv,3,3813704,1,20,1
369,10007,10,[S] 創世主【覺醒 II】%+dLv,3,3813804,1,20,1
370,10007,10,[S] 諸神使者【覺醒 II】%+dLv,3,3813904,1,20,1
371,10007,10,[S] 大毀滅者【覺醒 II】%+dLv,3,3814004,1,20,1
372,10007,10,[S] 流行天王【覺醒 II】%+dLv,3,3814104,1,20,1
373,10007,10,[S] 風之潛行者【覺醒 II】%+dLv,3,3814204,1,20,1
374,10007,10,[S] 裁決射手【覺醒 II】%+dLv,3,3814304,1,20,1
375,10007,10,[S] 究極兵甲【覺醒 II】%+dLv,3,3814404,1,20,1
376,10007,10,[S] 弒魂者【覺醒 II】%+dLv,3,3814504,1,20,1
377,10007,10,[S] 弧形大師【覺醒 II】%+dLv,3,3814904,1,20,1
378,10007,10,[S] 暴力大師【覺醒 II】%+dLv,3,3815204,1,20,1
379,10007,10,[S] 闇影武士【覺醒 II】%+dLv,3,3815604,1,20,1
380,10007,10,[S] 混血天神【覺醒 II】%+dLv,3,3816004,1,20,1
381,10007,10,[S] 炙焰天【覺醒 II】%+dLv,3,3816404,1,20,1
382,10007,10,[S] 黑暗追擊者【覺醒 II】%+dLv,3,3816804,1,20,1
383,10007,10,[S] 寶石之星【覺醒 II】%+dLv,3,3816904,1,20,1
384,10007,10,[S] 暗影行者【覺醒 II】%+dLv,3,3817304,1,20,1
385,10008,0,[1] 任務獎勵強化 %+d%%,1,488,1,3,2
386,10008,60,[1] 任務獎勵強化 %+d%%,1,488,1,3,0
387,10008,50,[2] 任務獎勵強化 %+d%%,1,488,1,5,0
388,10008,35,[3] 任務獎勵強化 %+d%%,1,488,2,7,0
389,10008,15,[4] 任務獎勵強化 %+d%%,1,488,2,9,0
