ID,_Ultra_Kind,_Ultra_Position,_Ultra_Name,_DisableImage,_Ultra_Image,_Ultra_Description,_Ultra_Skill,_Level_Up_Point,_Ultra_Grade,_Grade_Up_Point,_Grade_Up_Probability,_StatusType1,_StatusValue1,_StatusType2,_StatusValue2,_Effect1,_Effect2
27,3,3,龍王阿德奇納,50000006,50000005,管理幻獸們停留之幻影大地的冥王龍。過去曾幫助賽蕾斯女神與魔皇戰鬥，長久以來協助遵循女神旨意之人，照拂著大陸的安全。 因為是龍，所以大陸的居民並不是稱他為'超人'而是 '超龍'。獨自度過長久的時間而感到寂寞，因此只要有客人來就會讓他多說點話。,3820307,1800,7,5000,100,566,3600,573,30,0,0
28,3,3,龍王阿德奇納,50000006,50000005,管理幻獸們停留之幻影大地的冥王龍。過去曾幫助賽蕾斯女神與魔皇戰鬥，長久以來協助遵循女神旨意之人，照拂著大陸的安全。 因為是龍，所以大陸的居民並不是稱他為'超人'而是 '超龍'。獨自度過長久的時間而感到寂寞，因此只要有客人來就會讓他多說點話。,3820308,1900,8,5000,100,566,4800,573,30,0,0
29,3,3,龍王阿德奇納,50000006,50000005,管理幻獸們停留之幻影大地的冥王龍。過去曾幫助賽蕾斯女神與魔皇戰鬥，長久以來協助遵循女神旨意之人，照拂著大陸的安全。 因為是龍，所以大陸的居民並不是稱他為'超人'而是 '超龍'。獨自度過長久的時間而感到寂寞，因此只要有客人來就會讓他多說點話。,3820309,2000,9,5000,100,566,4800,573,40,0,0
30,3,3,龍王阿德奇納,50000006,50000005,管理幻獸們停留之幻影大地的冥王龍。過去曾幫助賽蕾斯女神與魔皇戰鬥，長久以來協助遵循女神旨意之人，照拂著大陸的安全。 因為是龍，所以大陸的居民並不是稱他為'超人'而是 '超龍'。獨自度過長久的時間而感到寂寞，因此只要有客人來就會讓他多說點話。,3820310,2000,10,5000,100,566,6000,573,50,0,0
31,4,4,闇黑聖皇拜斯,50000008,50000007,"追隨戰爭及恐懼之神""戴伊墨斯""教壇教主暗黑聖國之王。 作為出身和過去皆蒙上面紗的人，現在是東方大陸的""極惡""。很久以前，僅以討伐異端的理由引發了黑暗戰爭，也使大陸陷入了恐懼。性格比任何人都殘忍，為達目的不擇手段。",3820401,500,1,2000,100,570,600,0,0,0,0
32,4,4,闇黑聖皇拜斯,50000008,50000007,"追隨戰爭及恐怖之神""戴伊墨斯""教壇教主暗黑聖國之王。 作為出身和過去皆蒙上面紗的人，現在是東方大陸的""極惡""。 很久以前，僅以討伐異端的理由引發了黑暗戰爭，也使大陸陷入了恐懼。 性格比任何人都殘忍，為達目的不擇手段。",3820402,500,2,1000,100,570,1200,0,0,0,0
33,4,4,闇黑聖皇拜斯,50000008,50000007,"追隨戰爭及恐怖之神""戴伊墨斯""教壇教主暗黑聖國之王。 作為出身和過去皆蒙上面紗的人，現在是東方大陸的""極惡""。 很久以前，僅以討伐異端的理由引發了黑暗戰爭，也使大陸陷入了恐懼。 性格比任何人都殘忍，為達目的不擇手段。",3820403,500,3,1000,100,570,1200,574,10,0,0
34,4,4,闇黑聖皇拜斯,50000008,50000007,"追隨戰爭及恐怖之神""戴伊墨斯""教壇教主暗黑聖國之王。 作為出身和過去皆蒙上面紗的人，現在是東方大陸的""極惡""。 很久以前，僅以討伐異端的理由引發了黑暗戰爭，也使大陸陷入了恐懼。 性格比任何人都殘忍，為達目的不擇手段。",3820404,500,4,1000,100,570,2400,574,10,0,0
35,4,4,闇黑聖皇拜斯,50000008,50000007,"追隨戰爭及恐怖之神""戴伊墨斯""教壇教主暗黑聖國之王。 作為出身和過去皆蒙上面紗的人，現在是東方大陸的""極惡""。 很久以前，僅以討伐異端的理由引發了黑暗戰爭，也使大陸陷入了恐懼。 性格比任何人都殘忍，為達目的不擇手段。",3820405,500,5,1000,100,570,2400,574,20,0,0
36,4,4,闇黑聖皇拜斯,50000008,50000007,"追隨戰爭及恐怖之神""戴伊墨斯""教壇教主暗黑聖國之王。 作為出身和過去皆蒙上面紗的人，現在是東方大陸的""極惡""。 很久以前，僅以討伐異端的理由引發了黑暗戰爭，也使大陸陷入了恐懼。 性格比任何人都殘忍，為達目的不擇手段。",3820406,1700,6,35000,100,570,3600,574,20,0,0
37,4,4,闇黑聖皇拜斯,50000008,50000007,"追隨戰爭及恐怖之神""戴伊墨斯""教壇教主暗黑聖國之王。 作為出身和過去皆蒙上面紗的人，現在是東方大陸的""極惡""。 很久以前，僅以討伐異端的理由引發了黑暗戰爭，也使大陸陷入了恐懼。 性格比任何人都殘忍，為達目的不擇手段。",3820407,1800,7,5000,100,570,3600,574,30,0,0
38,4,4,闇黑聖皇拜斯,50000008,50000007,"追隨戰爭及恐怖之神""戴伊墨斯""教壇教主暗黑聖國之王。 作為出身和過去皆蒙上面紗的人，現在是東方大陸的""極惡""。 很久以前，僅以討伐異端的理由引發了黑暗戰爭，也使大陸陷入了恐懼。 性格比任何人都殘忍，為達目的不擇手段。",3820408,1900,8,5000,100,570,4800,574,30,0,0
39,4,4,闇黑聖皇拜斯,50000008,50000007,"追隨戰爭及恐怖之神""戴伊墨斯""教壇教主暗黑聖國之王。 作為出身和過去皆蒙上面紗的人，現在是東方大陸的""極惡""。 很久以前，僅以討伐異端的理由引發了黑暗戰爭，也使大陸陷入了恐懼。 性格比任何人都殘忍，為達目的不擇手段。",3820409,2000,9,5000,100,570,4800,574,40,0,0
40,4,4,闇黑聖皇拜斯,50000008,50000007,"追隨戰爭及恐怖之神""戴伊墨斯""教壇教主暗黑聖國之王。 作為出身和過去皆蒙上面紗的人，現在是東方大陸的""極惡""。 很久以前，僅以討伐異端的理由引發了黑暗戰爭，也使大陸陷入了恐懼。 性格比任何人都殘忍，為達目的不擇手段。",3820410,2000,10,5000,100,570,6000,574,50,0,0
41,5,5,冥王煞尼克,50000010,50000009,地下都市塔爾達洛斯的主人。因為暗黑戰爭時受到某個魔法師的暗黑魔法所留下的的副作用，讓他成為了一個想死也死不了的人。之後，她審判了魔法師並獨自創造出了一個不受任何人干擾的地下都市。受不了無聊的情況，對於無趣或是麻煩的事也絕對不會挺身而出。,3820501,500,1,2000,100,462,10,0,0,0,0
42,5,5,冥王煞尼克,50000010,50000009,地下都市塔爾達洛斯的主人。因為暗黑戰爭時受到某個魔法師的暗黑魔法所留下的的副作用，讓他成為了一個想死也死不了的人。之後，她審判了魔法師並獨自創造出了一個不受任何人干擾的地下都市。受不了無聊的情況，對於無趣或是麻煩的事也絕對不會挺身而出。,3820502,500,2,1000,100,462,20,0,0,0,0
43,5,5,冥王煞尼克,50000010,50000009,地下都市塔爾達洛斯的主人。因為暗黑戰爭時受到某個魔法師的暗黑魔法所留下的的副作用，讓他成為了一個想死也死不了的人。之後，她審判了魔法師並獨自創造出了一個不受任何人干擾的地下都市。受不了無聊的情況，對於無趣或是麻煩的事也絕對不會挺身而出。,3820503,500,3,1000,100,462,30,590,1,0,0
44,5,5,冥王煞尼克,50000010,50000009,地下都市塔爾達洛斯的主人。因為暗黑戰爭時受到某個魔法師的暗黑魔法所留下的的副作用，讓他成為了一個想死也死不了的人。之後，她審判了魔法師並獨自創造出了一個不受任何人干擾的地下都市。受不了無聊的情況，對於無趣或是麻煩的事也絕對不會挺身而出。,3820504,500,4,1000,100,462,40,590,1,0,0
45,5,5,冥王煞尼克,50000010,50000009,地下都市塔爾達洛斯的主人。因為暗黑戰爭時受到某個魔法師的暗黑魔法所留下的的副作用，讓他成為了一個想死也死不了的人。之後，她審判了魔法師並獨自創造出了一個不受任何人干擾的地下都市。受不了無聊的情況，對於無趣或是麻煩的事也絕對不會挺身而出。,3820505,500,5,1000,100,462,50,590,1,0,0
46,5,5,冥王煞尼克,50000010,50000009,地下都市塔爾達洛斯的主人。因為暗黑戰爭時受到某個魔法師的暗黑魔法所留下的的副作用，讓他成為了一個想死也死不了的人。之後，她審判了魔法師並獨自創造出了一個不受任何人干擾的地下都市。受不了無聊的情況，對於無趣或是麻煩的事也絕對不會挺身而出。,3820506,1700,6,35000,100,462,60,590,1,0,0
47,5,5,冥王煞尼克,50000010,50000009,地下都市塔爾達洛斯的主人。因為暗黑戰爭時受到某個魔法師的暗黑魔法所留下的的副作用，讓他成為了一個想死也死不了的人。之後，她審判了魔法師並獨自創造出了一個不受任何人干擾的地下都市。受不了無聊的情況，對於無趣或是麻煩的事也絕對不會挺身而出。,3820507,1800,7,5000,100,462,70,590,2,0,0
48,5,5,冥王煞尼克,50000010,50000009,地下都市塔爾達洛斯的主人。因為暗黑戰爭時受到某個魔法師的暗黑魔法所留下的的副作用，讓他成為了一個想死也死不了的人。之後，她審判了魔法師並獨自創造出了一個不受任何人干擾的地下都市。受不了無聊的情況，對於無趣或是麻煩的事也絕對不會挺身而出。,3820508,1900,8,5000,100,462,80,590,2,0,0
49,5,5,冥王煞尼克,50000010,50000009,地下都市塔爾達洛斯的主人。因為暗黑戰爭時受到某個魔法師的暗黑魔法所留下的的副作用，讓他成為了一個想死也死不了的人。之後，她審判了魔法師並獨自創造出了一個不受任何人干擾的地下都市。受不了無聊的情況，對於無趣或是麻煩的事也絕對不會挺身而出。,3820509,2000,9,5000,100,462,90,590,2,0,0
50,5,5,冥王煞尼克,50000010,50000009,地下都市塔爾達洛斯的主人。因為暗黑戰爭時受到某個魔法師的暗黑魔法所留下的的副作用，讓他成為了一個想死也死不了的人。之後，她審判了魔法師並獨自創造出了一個不受任何人干擾的地下都市。受不了無聊的情況，對於無趣或是麻煩的事也絕對不會挺身而出。,3820510,2000,10,5000,100,462,100,590,3,0,0
51,6,6,守護者玫蒂亞,50000012,50000011,擁有特別'力量'的少數民族 '恪爾立'族的領導人。被戴伊墨斯教團驅趕而到了南方後，在龍王阿德奇納的幫助下，建立了一族的村莊隱居過日子。不輕易表露出一族犧牲所獲得的力量。在各方面知識淵博，喜歡談論知識相關的事。,3820601,500,1,2000,100,461,5,0,0,0,0
52,6,6,守護者玫蒂亞,50000012,50000011,擁有特別'力量'的少數民族 '恪爾立'族的領導人。被戴伊墨斯教團驅趕而到了南方後，在龍王阿德奇納的幫助下，建立了一族的村莊隱居過日子。不輕易表露出一族犧牲所獲得的力量。在各方面知識淵博，喜歡談論知識相關的事。,3820602,500,2,1000,100,461,10,0,0,0,0
53,6,6,守護者玫蒂亞,50000012,50000011,擁有特別'力量'的少數民族 '恪爾立'族的領導人。被戴伊墨斯教團驅趕而到了南方後，在龍王阿德奇納的幫助下，建立了一族的村莊隱居過日子。不輕易表露出一族犧牲所獲得的力量。在各方面知識淵博，喜歡談論知識相關的事。,3820603,500,3,1000,100,461,15,591,1,0,0
54,6,6,守護者玫蒂亞,50000012,50000011,擁有特別'力量'的少數民族 '恪爾立'族的領導人。被戴伊墨斯教團驅趕而到了南方後，在龍王阿德奇納的幫助下，建立了一族的村莊隱居過日子。不輕易表露出一族犧牲所獲得的力量。在各方面知識淵博，喜歡談論知識相關的事。,3820604,500,4,1000,100,461,20,591,1,0,0
55,6,6,守護者玫蒂亞,50000012,50000011,擁有特別'力量'的少數民族 '恪爾立'族的領導人。被戴伊墨斯教團驅趕而到了南方後，在龍王阿德奇納的幫助下，建立了一族的村莊隱居過日子。不輕易表露出一族犧牲所獲得的力量。在各方面知識淵博，喜歡談論知識相關的事。,3820605,500,5,1000,100,461,25,591,1,0,0
56,6,6,守護者玫蒂亞,50000012,50000011,擁有特別'力量'的少數民族 '恪爾立'族的領導人。被戴伊墨斯教團驅趕而到了南方後，在龍王阿德奇納的幫助下，建立了一族的村莊隱居過日子。不輕易表露出一族犧牲所獲得的力量。在各方面知識淵博，喜歡談論知識相關的事。,3820606,1700,6,35000,100,461,30,591,1,0,0
57,6,6,守護者玫蒂亞,50000012,50000011,擁有特別'力量'的少數民族 '恪爾立'族的領導人。被戴伊墨斯教團驅趕而到了南方後，在龍王阿德奇納的幫助下，建立了一族的村莊隱居過日子。不輕易表露出一族犧牲所獲得的力量。在各方面知識淵博，喜歡談論知識相關的事。,3820607,1800,7,5000,100,461,35,591,2,0,0
58,6,6,守護者玫蒂亞,50000012,50000011,擁有特別'力量'的少數民族 '恪爾立'族的領導人。被戴伊墨斯教團驅趕而到了南方後，在龍王阿德奇納的幫助下，建立了一族的村莊隱居過日子。不輕易表露出一族犧牲所獲得的力量。在各方面知識淵博，喜歡談論知識相關的事。,3820608,1900,8,5000,100,461,40,591,2,0,0
59,6,6,守護者玫蒂亞,50000012,50000011,擁有特別'力量'的少數民族 '恪爾立'族的領導人。被戴伊墨斯教團驅趕而到了南方後，在龍王阿德奇納的幫助下，建立了一族的村莊隱居過日子。不輕易表露出一族犧牲所獲得的力量。在各方面知識淵博，喜歡談論知識相關的事。,3820609,2000,9,5000,100,461,45,591,2,0,0
60,6,6,守護者玫蒂亞,50000012,50000011,擁有特別'力量'的少數民族 '恪爾立'族的領導人。被戴伊墨斯教團驅趕而到了南方後，在龍王阿德奇納的幫助下，建立了一族的村莊隱居過日子。不輕易表露出一族犧牲所獲得的力量。在各方面知識淵博，喜歡談論知識相關的事。,3820610,2000,10,5000,100,461,50,591,3,0,0
