ID,_Require1_Type,_Require1_ID,_Require1_Value1,_Require1_Value2,_Require2_Type,_Require2_ID,_Require2_Value1,_Require2_Value2,_Require3_Type,_Require3_ID,_Require3_Value1,_Require3_Value2,_Require4_Type,_Require4_ID,_Require4_Value1,_Require4_Value2,_Require5_Type,_Require5_ID,_Require5_Value1,_Require5_Value2,_Require6_Type,_Require6_ID,_Require6_Value1,_Require6_Value2,_Require7_Type,_Require7_ID,_Require7_Value1,_Require7_Value2,_Require8_Type,_Require8_ID,_Require8_Value1,_Require8_Value2,_Consumption_ItemID,_Consumption_Ely,_Class_Change,_ItemID1,_ItemCount1,_ItemRare1,_ItemID2,_ItemCount2,_ItemRare2,_ItemID3,_ItemCount3,_ItemRare3,_ItemID4,_ItemCount4,_ItemRare4,_Effect1,_Effect2,_Effect3,_Effect4
47,1,1,46,0,1,3,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,82901599,1,3,0,0,1,0,0,1,0,0,1,14002507,0,0,0
48,1,1,47,0,1,3,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,1,0,0,1,0,0,1,0,0,1,14002507,0,0,0
49,1,1,47,0,1,3,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,164002502,1,4,170196603,1,1,0,0,1,0,0,1,14002507,0,0,0
50,1,1,46,0,1,3,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,82901599,1,3,0,0,1,0,0,1,0,0,1,14002507,0,0,0
51,1,1,50,0,1,3,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,1,0,0,1,0,0,1,0,0,1,14002507,0,0,0
52,1,1,50,0,1,3,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,164002502,1,4,170196603,1,1,0,0,1,0,0,1,14002507,0,0,0
54,1,1,53,0,1,3,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,1,0,0,1,0,0,1,0,0,1,14002507,90000701,90000711,0
55,1,1,54,0,1,3,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,1,0,0,1,0,0,1,0,0,1,14002507,90000701,90000711,0
56,1,1,54,0,1,3,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,164002502,1,4,170196603,1,1,0,0,1,0,0,1,14002507,90000701,90000711,0
58,1,1,57,0,1,3,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,1,0,0,1,0,0,1,0,0,1,14002507,0,0,0
59,1,1,58,0,1,3,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,1,0,0,1,0,0,1,0,0,1,14002507,0,0,0
60,1,1,58,0,1,3,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,164002502,1,4,170196603,1,1,0,0,1,0,0,1,14002507,0,0,0
62,1,1,61,0,1,3,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,84300501,1,5,0,0,0,0,0,1,0,0,1,14002507,0,0,0
63,1,1,62,0,1,3,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,84300701,1,5,0,0,0,0,0,1,0,0,1,14002507,0,0,0
64,1,1,62,0,1,3,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,164002502,1,4,170196603,1,1,84301101,1,5,0,0,1,14002507,0,0,0
66,1,1,65,0,1,3,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,84400501,1,5,0,0,0,0,0,1,0,0,1,14002507,0,0,0
67,1,1,66,0,1,3,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,84400701,1,5,0,0,0,0,0,1,0,0,1,14002507,0,0,0
68,1,1,66,0,1,3,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,164002502,1,4,170196603,1,1,84401101,1,5,0,0,1,14002507,0,0,0
71,1,1,70,0,1,3,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,1,0,0,0,0,0,1,0,0,1,14002507,0,0,0
72,1,1,71,0,1,3,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,1,0,0,0,0,0,1,0,0,1,14002507,0,0,0
73,1,1,71,0,1,3,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,164002502,1,4,170196603,1,1,0,0,1,0,0,1,14002507,0,0,0
