ID,_Class,_Gender,_Lv,_Effect1,_Effect2,_Effect3,_Effect4,_Effect5
145,8,1,50,63000907,63000908,14510170,0,0
146,8,1,60,63000907,63000908,14510170,0,0
147,8,1,70,63000907,63000908,14510170,0,0
148,8,1,80,63000907,63000908,14510170,0,0
149,8,1,90,63000907,63000908,14510170,0,0
150,8,1,255,63000907,63000908,14510170,0,0
151,8,2,10,63000907,63000908,14510170,0,0
152,8,2,20,63000907,63000908,14510170,0,0
153,8,2,30,63000907,63000908,14510170,0,0
154,8,2,40,63000907,63000908,14510170,0,0
155,8,2,50,63000907,63000908,14510170,0,0
156,8,2,60,63000907,63000908,14510170,0,0
157,8,2,70,63000907,63000908,14510170,0,0
158,8,2,80,63000907,63000908,14510170,0,0
159,8,2,90,63000907,63000908,14510170,0,0
160,8,2,255,63000907,63000908,14510170,0,0
161,9,1,10,63000907,63000908,14510170,0,0
162,9,1,20,63000907,63000908,14510170,0,0
163,9,1,30,63000907,63000908,14510170,0,0
164,9,1,40,63000907,63000908,14510170,0,0
165,9,1,50,63000907,63000908,14510170,0,0
166,9,1,60,63000907,63000908,14510170,0,0
167,9,1,70,63000907,63000908,14510170,0,0
168,9,1,80,63000907,63000908,14510170,0,0
169,9,1,90,63000907,63000908,14510170,0,0
170,9,1,255,63000907,63000908,14510170,0,0
171,9,2,10,63000907,63000908,14510170,0,0
172,9,2,20,63000907,63000908,14510170,0,0
173,9,2,30,63000907,63000908,14510170,0,0
174,9,2,40,63000907,63000908,14510170,0,0
175,9,2,50,63000907,63000908,14510170,0,0
176,9,2,60,63000907,63000908,14510170,0,0
177,9,2,70,63000907,63000908,14510170,0,0
178,9,2,80,63000907,63000908,14510170,0,0
179,9,2,90,63000907,63000908,14510170,0,0
180,9,2,255,63000907,63000908,14510170,0,0
181,10,1,10,63000907,63000908,14510170,0,0
182,10,1,20,63000907,63000908,14510170,0,0
183,10,1,30,63000907,63000908,14510170,0,0
184,10,1,40,63000907,63000908,14510170,0,0
185,10,1,50,63000907,63000908,14510170,0,0
186,10,1,60,63000907,63000908,14510170,0,0
187,10,1,70,63000907,63000908,14510170,0,0
188,10,1,80,63000907,63000908,14510170,0,0
189,10,1,90,63000907,63000908,14510170,0,0
190,10,1,255,63000907,63000908,14510170,0,0
191,10,2,10,63000907,63000908,14510170,0,0
192,10,2,20,63000907,63000908,14510170,0,0
193,10,2,30,63000907,63000908,14510170,0,0
194,10,2,40,63000907,63000908,14510170,0,0
195,10,2,50,63000907,63000908,14510170,0,0
196,10,2,60,63000907,63000908,14510170,0,0
197,10,2,70,63000907,63000908,14510170,0,0
198,10,2,80,63000907,63000908,14510170,0,0
199,10,2,90,63000907,63000908,14510170,0,0
200,10,2,255,63000907,63000908,14510170,0,0
201,11,1,10,63000907,63000908,14510170,0,0
202,11,1,20,63000907,63000908,14510170,0,0
203,11,1,30,63000907,63000908,14510170,0,0
204,11,1,40,63000907,63000908,14510170,0,0
205,11,1,50,63000907,63000908,14510170,0,0
206,11,1,60,63000907,63000908,14510170,0,0
207,11,1,70,63000907,63000908,14510170,0,0
208,11,1,80,63000907,63000908,14510170,0,0
209,11,1,90,63000907,63000908,14510170,0,0
210,11,1,255,63000907,63000908,14510170,0,0
211,11,2,10,63000907,63000908,14510170,0,0
212,11,2,20,63000907,63000908,14510170,0,0
213,11,2,30,63000907,63000908,14510170,0,0
214,11,2,40,63000907,63000908,14510170,0,0
215,11,2,50,63000907,63000908,14510170,0,0
216,11,2,60,63000907,63000908,14510170,0,0
217,11,2,70,63000907,63000908,14510170,0,0
218,11,2,80,63000907,63000908,14510170,0,0
219,11,2,90,63000907,63000908,14510170,0,0
220,11,2,255,63000907,63000908,14510170,0,0
221,12,1,10,63000907,63000908,14510170,0,0
222,12,1,20,63000907,63000908,14510170,0,0
223,12,1,30,63000907,63000908,14510170,0,0
224,12,1,40,63000907,63000908,14510170,0,0
225,12,1,50,63000907,63000908,14510170,0,0
226,12,1,60,63000907,63000908,14510170,0,0
227,12,1,70,63000907,63000908,14510170,0,0
228,12,1,80,63000907,63000908,14510170,0,0
229,12,1,90,63000907,63000908,14510170,0,0
230,12,1,255,63000907,63000908,14510170,0,0
231,12,2,10,63000907,63000908,14510170,0,0
232,12,2,20,63000907,63000908,14510170,0,0
233,12,2,30,63000907,63000908,14510170,0,0
234,12,2,40,63000907,63000908,14510170,0,0
235,12,2,50,63000907,63000908,14510170,0,0
236,12,2,60,63000907,63000908,14510170,0,0
237,12,2,70,63000907,63000908,14510170,0,0
238,12,2,80,63000907,63000908,14510170,0,0
239,12,2,90,63000907,63000908,14510170,0,0
240,12,2,255,63000907,63000908,14510170,0,0
241,13,1,10,63000907,63000908,14510170,0,0
242,13,1,20,63000907,63000908,14510170,0,0
243,13,1,30,63000907,63000908,14510170,0,0
244,13,1,40,63000907,63000908,14510170,0,0
245,13,1,50,63000907,63000908,14510170,0,0
246,13,1,60,63000907,63000908,14510170,0,0
247,13,1,70,63000907,63000908,14510170,0,0
248,13,1,80,63000907,63000908,14510170,0,0
249,13,1,90,63000907,63000908,14510170,0,0
250,13,1,255,63000907,63000908,14510170,0,0
251,13,2,10,63000907,63000908,14510170,0,0
252,13,2,20,63000907,63000908,14510170,0,0
253,13,2,30,63000907,63000908,14510170,0,0
254,13,2,40,63000907,63000908,14510170,0,0
255,13,2,50,63000907,63000908,14510170,0,0
256,13,2,60,63000907,63000908,14510170,0,0
257,13,2,70,63000907,63000908,14510170,0,0
258,13,2,80,63000907,63000908,14510170,0,0
259,13,2,90,63000907,63000908,14510170,0,0
260,13,2,255,63000907,63000908,14510170,0,0
261,14,1,10,63000907,63000908,14510170,0,0
262,14,1,20,63000907,63000908,14510170,0,0
263,14,1,30,63000907,63000908,14510170,0,0
264,14,1,40,63000907,63000908,14510170,0,0
265,14,1,50,63000907,63000908,14510170,0,0
266,14,1,60,63000907,63000908,14510170,0,0
267,14,1,70,63000907,63000908,14510170,0,0
268,14,1,80,63000907,63000908,14510170,0,0
269,14,1,90,63000907,63000908,14510170,0,0
270,14,1,255,63000907,63000908,14510170,0,0
271,14,2,10,63000907,63000908,14510170,0,0
272,14,2,20,63000907,63000908,14510170,0,0
273,14,2,30,63000907,63000908,14510170,0,0
274,14,2,40,63000907,63000908,14510170,0,0
275,14,2,50,63000907,63000908,14510170,0,0
276,14,2,60,63000907,63000908,14510170,0,0
277,14,2,70,63000907,63000908,14510170,0,0
278,14,2,80,63000907,63000908,14510170,0,0
279,14,2,90,63000907,63000908,14510170,0,0
280,14,2,255,63000907,63000908,14510170,0,0
281,15,1,10,63000907,63000908,14510170,0,0
282,15,1,20,63000907,63000908,14510170,0,0
283,15,1,30,63000907,63000908,14510170,0,0
284,15,1,40,63000907,63000908,14510170,0,0
285,15,1,50,63000907,63000908,14510170,0,0
286,15,1,60,63000907,63000908,14510170,0,0
287,15,1,70,63000907,63000908,14510170,0,0
288,15,1,80,63000907,63000908,14510170,0,0
289,15,1,90,63000907,63000908,14510170,0,0
290,15,1,255,63000907,63000908,14510170,0,0
291,15,2,10,63000907,63000908,14510170,0,0
292,15,2,20,63000907,63000908,14510170,0,0
293,15,2,30,63000907,63000908,14510170,0,0
294,15,2,40,63000907,63000908,14510170,0,0
295,15,2,50,63000907,63000908,14510170,0,0
296,15,2,60,63000907,63000908,14510170,0,0
297,15,2,70,63000907,63000908,14510170,0,0
298,15,2,80,63000907,63000908,14510170,0,0
299,15,2,90,63000907,63000908,14510170,0,0
300,15,2,255,63000907,63000908,14510170,0,0
301,16,1,10,63000907,63000908,14510170,0,0
302,16,1,20,63000907,63000908,14510170,0,0
303,16,1,30,63000907,63000908,14510170,0,0
304,16,1,40,63000907,63000908,14510170,0,0
305,16,1,50,63000907,63000908,14510170,0,0
306,16,1,60,63000907,63000908,14510170,0,0
307,16,1,70,63000907,63000908,14510170,0,0
308,16,1,80,63000907,63000908,14510170,0,0
309,16,1,90,63000907,63000908,14510170,0,0
310,16,1,255,63000907,63000908,14510170,0,0
311,16,2,10,63000907,63000908,14510170,0,0
312,16,2,20,63000907,63000908,14510170,0,0
313,16,2,30,63000907,63000908,14510170,0,0
314,16,2,40,63000907,63000908,14510170,0,0
315,16,2,50,63000907,63000908,14510170,0,0
316,16,2,60,63000907,63000908,14510170,0,0
317,16,2,70,63000907,63000908,14510170,0,0
318,16,2,80,63000907,63000908,14510170,0,0
319,16,2,90,63000907,63000908,14510170,0,0
320,16,2,255,63000907,63000908,14510170,0,0
321,17,1,10,63000907,63000908,14510170,0,0
322,17,1,20,63000907,63000908,14510170,0,0
323,17,1,30,63000907,63000908,14510170,0,0
324,17,1,40,63000907,63000908,14510170,0,0
325,17,1,50,63000907,63000908,14510170,0,0
326,17,1,60,63000907,63000908,14510170,0,0
327,17,1,70,63000907,63000908,14510170,0,0
328,17,1,80,63000907,63000908,14510170,0,0
329,17,1,90,63000907,63000908,14510170,0,0
330,17,1,255,63000907,63000908,14510170,0,0
331,17,2,10,63000907,63000908,14510170,0,0
332,17,2,20,63000907,63000908,14510170,0,0
333,17,2,30,63000907,63000908,14510170,0,0
334,17,2,40,63000907,63000908,14510170,0,0
335,17,2,50,63000907,63000908,14510170,0,0
336,17,2,60,63000907,63000908,14510170,0,0
337,17,2,70,63000907,63000908,14510170,0,0
338,17,2,80,63000907,63000908,14510170,0,0
339,17,2,90,63000907,63000908,14510170,0,0
340,17,2,255,63000907,63000908,14510170,0,0
341,18,1,10,63000907,63000908,14510170,0,0
342,18,1,20,63000907,63000908,14510170,0,0
343,18,1,30,63000907,63000908,14510170,0,0
344,18,1,40,63000907,63000908,14510170,0,0
345,18,1,50,63000907,63000908,14510170,0,0
346,18,1,60,63000907,63000908,14510170,0,0
347,18,1,70,63000907,63000908,14510170,0,0
348,18,1,80,63000907,63000908,14510170,0,0
349,18,1,90,63000907,63000908,14510170,0,0
350,18,1,255,63000907,63000908,14510170,0,0
351,18,2,10,63000907,63000908,14510170,0,0
352,18,2,20,63000907,63000908,14510170,0,0
353,18,2,30,63000907,63000908,14510170,0,0
354,18,2,40,63000907,63000908,14510170,0,0
355,18,2,50,63000907,63000908,14510170,0,0
356,18,2,60,63000907,63000908,14510170,0,0
357,18,2,70,63000907,63000908,14510170,0,0
358,18,2,80,63000907,63000908,14510170,0,0
359,18,2,90,63000907,63000908,14510170,0,0
360,18,2,255,63000907,63000908,14510170,0,0
361,19,1,10,63000907,63000908,14510170,0,0
362,19,1,20,63000907,63000908,14510170,0,0
363,19,1,30,63000907,63000908,14510170,0,0
364,19,1,40,63000907,63000908,14510170,0,0
365,19,1,50,63000907,63000908,14510170,0,0
366,19,1,60,63000907,63000908,14510170,0,0
367,19,1,70,63000907,63000908,14510170,0,0
368,19,1,80,63000907,63000908,14510170,0,0
369,19,1,90,63000907,63000908,14510170,0,0
370,19,1,255,63000907,63000908,14510170,0,0
371,19,2,10,63000907,63000908,14510170,0,0
372,19,2,20,63000907,63000908,14510170,0,0
373,19,2,30,63000907,63000908,14510170,0,0
374,19,2,40,63000907,63000908,14510170,0,0
375,19,2,50,63000907,63000908,14510170,0,0
376,19,2,60,63000907,63000908,14510170,0,0
377,19,2,70,63000907,63000908,14510170,0,0
378,19,2,80,63000907,63000908,14510170,0,0
379,19,2,90,63000907,63000908,14510170,0,0
380,19,2,255,63000907,63000908,14510170,0,0
381,20,1,10,63000907,63000908,14510170,0,0
382,20,1,20,63000907,63000908,14510170,0,0
383,20,1,30,63000907,63000908,14510170,0,0
384,20,1,40,63000907,63000908,14510170,0,0
385,20,1,50,63000907,63000908,14510170,0,0
386,20,1,60,63000907,63000908,14510170,0,0
387,20,1,70,63000907,63000908,14510170,0,0
388,20,1,80,63000907,63000908,14510170,0,0
389,20,1,90,63000907,63000908,14510170,0,0
390,20,1,255,63000907,63000908,14510170,0,0
391,20,2,10,63000907,63000908,14510170,0,0
392,20,2,20,63000907,63000908,14510170,0,0
393,20,2,30,63000907,63000908,14510170,0,0
394,20,2,40,63000907,63000908,14510170,0,0
395,20,2,50,63000907,63000908,14510170,0,0
396,20,2,60,63000907,63000908,14510170,0,0
397,20,2,70,63000907,63000908,14510170,0,0
398,20,2,80,63000907,63000908,14510170,0,0
399,20,2,90,63000907,63000908,14510170,0,0
400,20,2,255,63000907,63000908,14510170,0,0
401,21,1,10,63000907,63000908,14510170,0,0
402,21,1,20,63000907,63000908,14510170,0,0
403,21,1,30,63000907,63000908,14510170,0,0
404,21,1,40,63000907,63000908,14510170,0,0
405,21,1,50,63000907,63000908,14510170,0,0
406,21,1,60,63000907,63000908,14510170,0,0
407,21,1,70,63000907,63000908,14510170,0,0
408,21,1,80,63000907,63000908,14510170,0,0
409,21,1,90,63000907,63000908,14510170,0,0
410,21,1,255,63000907,63000908,14510170,0,0
411,21,2,10,63000907,63000908,14510170,0,0
412,21,2,20,63000907,63000908,14510170,0,0
413,21,2,30,63000907,63000908,14510170,0,0
414,21,2,40,63000907,63000908,14510170,0,0
415,21,2,50,63000907,63000908,14510170,0,0
416,21,2,60,63000907,63000908,14510170,0,0
417,21,2,70,63000907,63000908,14510170,0,0
418,21,2,80,63000907,63000908,14510170,0,0
419,21,2,90,63000907,63000908,14510170,0,0
420,21,2,255,63000907,63000908,14510170,0,0
421,22,1,10,63000907,63000908,14510170,0,0
422,22,1,20,63000907,63000908,14510170,0,0
423,22,1,30,63000907,63000908,14510170,0,0
424,22,1,40,63000907,63000908,14510170,0,0
425,22,1,50,63000907,63000908,14510170,0,0
426,22,1,60,63000907,63000908,14510170,0,0
427,22,1,70,63000907,63000908,14510170,0,0
428,22,1,80,63000907,63000908,14510170,0,0
429,22,1,90,63000907,63000908,14510170,0,0
430,22,1,255,63000907,63000908,14510170,0,0
431,22,2,10,63000907,63000908,14510170,0,0
432,22,2,20,63000907,63000908,14510170,0,0
433,22,2,30,63000907,63000908,14510170,0,0
434,22,2,40,63000907,63000908,14510170,0,0
435,22,2,50,63000907,63000908,14510170,0,0
436,22,2,60,63000907,63000908,14510170,0,0
437,22,2,70,63000907,63000908,14510170,0,0
438,22,2,80,63000907,63000908,14510170,0,0
439,22,2,90,63000907,63000908,14510170,0,0
440,22,2,255,63000907,63000908,14510170,0,0
441,23,1,10,63000907,63000908,14510170,0,0
442,23,1,20,63000907,63000908,14510170,0,0
443,23,1,30,63000907,63000908,14510170,0,0
444,23,1,40,63000907,63000908,14510170,0,0
445,23,1,50,63000907,63000908,14510170,0,0
446,23,1,60,63000907,63000908,14510170,0,0
447,23,1,70,63000907,63000908,14510170,0,0
448,23,1,80,63000907,63000908,14510170,0,0
449,23,1,90,63000907,63000908,14510170,0,0
450,23,1,255,63000907,63000908,14510170,0,0
451,23,2,10,63000907,63000908,14510170,0,0
452,23,2,20,63000907,63000908,14510170,0,0
453,23,2,30,63000907,63000908,14510170,0,0
454,23,2,40,63000907,63000908,14510170,0,0
455,23,2,50,63000907,63000908,14510170,0,0
456,23,2,60,63000907,63000908,14510170,0,0
457,23,2,70,63000907,63000908,14510170,0,0
458,23,2,80,63000907,63000908,14510170,0,0
459,23,2,90,63000907,63000908,14510170,0,0
460,23,2,255,63000907,63000908,14510170,0,0
461,24,1,10,63000907,63000908,14510170,0,0
462,24,1,20,63000907,63000908,14510170,0,0
463,24,1,30,63000907,63000908,14510170,0,0
464,24,1,40,63000907,63000908,14510170,0,0
465,24,1,50,63000907,63000908,14510170,0,0
466,24,1,60,63000907,63000908,14510170,0,0
467,24,1,70,63000907,63000908,14510170,0,0
468,24,1,80,63000907,63000908,14510170,0,0
469,24,1,90,63000907,63000908,14510170,0,0
470,24,1,255,63000907,63000908,14510170,0,0
471,24,2,10,63000907,63000908,14510170,0,0
472,24,2,20,63000907,63000908,14510170,0,0
473,24,2,30,63000907,63000908,14510170,0,0
474,24,2,40,63000907,63000908,14510170,0,0
475,24,2,50,63000907,63000908,14510170,0,0
476,24,2,60,63000907,63000908,14510170,0,0
477,24,2,70,63000907,63000908,14510170,0,0
478,24,2,80,63000907,63000908,14510170,0,0
479,24,2,90,63000907,63000908,14510170,0,0
480,24,2,255,63000907,63000908,14510170,0,0
481,25,1,10,63000907,63000908,14510170,0,0
482,25,1,20,63000907,63000908,14510170,0,0
483,25,1,30,63000907,63000908,14510170,0,0
484,25,1,40,63000907,63000908,14510170,0,0
485,25,1,50,63000907,63000908,14510170,0,0
486,25,1,60,63000907,63000908,14510170,0,0
487,25,1,70,63000907,63000908,14510170,0,0
488,25,1,80,63000907,63000908,14510170,0,0
489,25,1,90,63000907,63000908,14510170,0,0
490,25,1,255,63000907,63000908,14510170,0,0
491,25,2,10,63000907,63000908,14510170,0,0
492,25,2,20,63000907,63000908,14510170,0,0
493,25,2,30,63000907,63000908,14510170,0,0
494,25,2,40,63000907,63000908,14510170,0,0
495,25,2,50,63000907,63000908,14510170,0,0
496,25,2,60,63000907,63000908,14510170,0,0
497,25,2,70,63000907,63000908,14510170,0,0
498,25,2,80,63000907,63000908,14510170,0,0
499,25,2,90,63000907,63000908,14510170,0,0
500,25,2,255,63000907,63000908,14510170,0,0
501,25,1,10,63000907,63000908,14510170,0,0
502,26,1,20,63000907,63000908,14510170,0,0
503,26,1,30,63000907,63000908,14510170,0,0
504,26,1,40,63000907,63000908,14510170,0,0
505,26,1,50,63000907,63000908,14510170,0,0
506,26,1,60,63000907,63000908,14510170,0,0
507,26,1,70,63000907,63000908,14510170,0,0
508,26,1,80,63000907,63000908,14510170,0,0
509,26,1,90,63000907,63000908,14510170,0,0
510,26,1,255,63000907,63000908,14510170,0,0
511,26,2,10,63000907,63000908,14510170,0,0
512,26,2,20,63000907,63000908,14510170,0,0
513,26,2,30,63000907,63000908,14510170,0,0
514,26,2,40,63000907,63000908,14510170,0,0
515,26,2,50,63000907,63000908,14510170,0,0
516,26,2,60,63000907,63000908,14510170,0,0
517,26,2,70,63000907,63000908,14510170,0,0
518,26,2,80,63000907,63000908,14510170,0,0
519,26,2,90,63000907,63000908,14510170,0,0
520,26,2,255,63000907,63000908,14510170,0,0
521,27,1,10,63000907,63000908,14510170,0,0
522,27,1,20,63000907,63000908,14510170,0,0
523,27,1,30,63000907,63000908,14510170,0,0
524,27,1,40,63000907,63000908,14510170,0,0
525,27,1,50,63000907,63000908,14510170,0,0
526,27,1,60,63000907,63000908,14510170,0,0
527,27,1,70,63000907,63000908,14510170,0,0
528,27,1,80,63000907,63000908,14510170,0,0
529,27,1,90,63000907,63000908,14510170,0,0
530,27,1,255,63000907,63000908,14510170,0,0
531,27,2,10,63000907,63000908,14510170,0,0
532,27,2,20,63000907,63000908,14510170,0,0
533,27,2,30,63000907,63000908,14510170,0,0
534,27,2,40,63000907,63000908,14510170,0,0
535,27,2,50,63000907,63000908,14510170,0,0
536,27,2,60,63000907,63000908,14510170,0,0
537,27,2,70,63000907,63000908,14510170,0,0
538,27,2,80,63000907,63000908,14510170,0,0
539,27,2,90,63000907,63000908,14510170,0,0
540,27,2,255,63000907,63000908,14510170,0,0
541,28,1,10,63000907,63000908,14510170,0,0
542,28,1,20,63000907,63000908,14510170,0,0
543,28,1,30,63000907,63000908,14510170,0,0
544,28,1,40,63000907,63000908,14510170,0,0
545,28,1,50,63000907,63000908,14510170,0,0
546,28,1,60,63000907,63000908,14510170,0,0
547,28,1,70,63000907,63000908,14510170,0,0
548,28,1,80,63000907,63000908,14510170,0,0
549,28,1,90,63000907,63000908,14510170,0,0
550,28,1,255,63000907,63000908,14510170,0,0
551,28,2,10,63000907,63000908,14510170,0,0
552,28,2,20,63000907,63000908,14510170,0,0
553,28,2,30,63000907,63000908,14510170,0,0
554,28,2,40,63000907,63000908,14510170,0,0
555,28,2,50,63000907,63000908,14510170,0,0
556,28,2,60,63000907,63000908,14510170,0,0
557,28,2,70,63000907,63000908,14510170,0,0
558,28,2,80,63000907,63000908,14510170,0,0
559,28,2,90,63000907,63000908,14510170,0,0
560,28,2,255,63000907,63000908,14510170,0,0
561,29,1,10,63000907,63000908,14510170,0,0
562,29,1,20,63000907,63000908,14510170,0,0
563,29,1,30,63000907,63000908,14510170,0,0
564,29,1,40,63000907,63000908,14510170,0,0
565,29,1,50,63000907,63000908,14510170,0,0
566,29,1,60,63000907,63000908,14510170,0,0
567,29,1,70,63000907,63000908,14510170,0,0
568,29,1,80,63000907,63000908,14510170,0,0
569,29,1,90,63000907,63000908,14510170,0,0
570,29,1,255,63000907,63000908,14510170,0,0
571,29,2,10,63000907,63000908,14510170,0,0
572,29,2,20,63000907,63000908,14510170,0,0
573,29,2,30,63000907,63000908,14510170,0,0
574,29,2,40,63000907,63000908,14510170,0,0
575,29,2,50,63000907,63000908,14510170,0,0
576,29,2,60,63000907,63000908,14510170,0,0
577,29,2,70,63000907,63000908,14510170,0,0
578,29,2,80,63000907,63000908,14510170,0,0
579,29,2,90,63000907,63000908,14510170,0,0
