ID,_Name,_Description,_Application_Type,_OptionGroup,_OptionLevel,_Effect,_Effect_Type,_Option_Min,_Option_Max,_Enchant_Min,_Enchant_Max
342,Lv12 幸運 %+d,Lv12 幸運 %+d ~ %+d,0,300,12,1,18,29,43,4,10
343,Lv13 幸運 %+d,Lv13 幸運 %+d ~ %+d,0,300,13,1,18,34,55,7,15
344,Lv14 幸運 %+d,Lv14 幸運 %+d ~ %+d,0,300,14,1,18,46,87,15,40
345,Lv15 幸運 %+d,Lv15 幸運 %+d ~ %+d,0,300,15,1,18,59,119,17,40
346,Lv11 幸運 %+d,Lv11 幸運 %+d ~ %+d,0,300,11,1,18,33,45,5,11
347,Lv12 幸運 %+d,Lv12 幸運 %+d ~ %+d,0,300,12,1,18,39,54,6,14
348,Lv13 幸運 %+d,Lv13 幸運 %+d ~ %+d,0,300,13,1,18,48,74,12,25
349,Lv14 幸運 %+d,Lv14 幸運 %+d ~ %+d,0,300,14,1,18,68,122,25,60
350,Lv15 幸運 %+d,Lv15 幸運 %+d ~ %+d,0,300,15,1,18,90,170,28,60
351,Lv1 幸運 %+d,Lv1 幸運 %+d ~ %+d,0,300,1,1,18,-3,-2,-3,-1
352,Lv2 幸運 %+d,Lv2 幸運 %+d ~ %+d,0,300,2,1,18,-6,-5,-3,-2
353,Lv3 幸運 %+d,Lv3 幸運 %+d ~ %+d,0,300,3,1,18,-10,-8,-4,-2
354,Lv4 幸運 %+d,Lv4 幸運 %+d ~ %+d,0,300,4,1,18,-14,-11,-4,-2
355,Lv5 幸運 %+d,Lv5 幸運 %+d ~ %+d,0,300,5,1,18,-19,-14,-5,-2
356,Lv6 幸運 %+d,Lv6 幸運 %+d ~ %+d,0,300,6,1,18,-24,-18,-5,-2
357,Lv7 幸運 %+d,Lv7 幸運 %+d ~ %+d,0,300,7,1,18,-29,-22,-5,-3
358,Lv8 幸運 %+d,Lv8 幸運 %+d ~ %+d,0,300,8,1,18,-35,-26,-6,-3
359,Lv9 幸運 %+d,Lv9 幸運 %+d ~ %+d,0,300,9,1,18,-42,-31,-7,-3
360,Lv10 幸運 %+d,Lv10 幸運 %+d ~ %+d,0,300,10,1,18,-49,-36,-7,-3
361,Lv11 幸運 %+d,Lv11 幸運 %+d ~ %+d,0,300,11,1,18,-57,-18,-8,-4
362,Lv12 幸運 %+d,Lv12 幸運 %+d ~ %+d,0,300,12,1,18,-67,-21,-10,-5
363,Lv13 幸運 %+d,Lv13 幸運 %+d ~ %+d,0,300,13,1,18,-79,-25,-12,-6
364,Lv14 幸運 %+d,Lv14 幸運 %+d ~ %+d,0,300,14,1,18,-94,-30,-15,-7
365,Lv15 幸運 %+d,Lv15 幸運 %+d ~ %+d,0,300,15,1,18,-111,-36,-17,-9
371,Lv1 幸運 %+d,Lv1 幸運 %+d ~ %+d,0,300,1,1,18,-4,-3,-4,-2
372,Lv2 幸運 %+d,Lv2 幸運 %+d ~ %+d,0,300,2,1,18,-8,-6,-4,-2
373,Lv3 幸運 %+d,Lv3 幸運 %+d ~ %+d,0,300,3,1,18,-13,-10,-5,-2
374,Lv4 幸運 %+d,Lv4 幸運 %+d ~ %+d,0,300,4,1,18,-18,-14,-5,-3
375,Lv5 幸運 %+d,Lv5 幸運 %+d ~ %+d,0,300,5,1,18,-24,-18,-6,-3
376,Lv6 幸運 %+d,Lv6 幸運 %+d ~ %+d,0,300,6,1,18,-30,-23,-6,-3
377,Lv7 幸運 %+d,Lv7 幸運 %+d ~ %+d,0,300,7,1,18,-37,-28,-7,-3
378,Lv8 幸運 %+d,Lv8 幸運 %+d ~ %+d,0,300,8,1,18,-45,-34,-8,-4
379,Lv9 幸運 %+d,Lv9 幸運 %+d ~ %+d,0,300,9,1,18,-54,-40,-9,-4
380,Lv10 幸運 %+d,Lv10 幸運 %+d ~ %+d,0,300,10,1,18,-63,-47,-9,-4
381,Lv11 幸運 %+d,Lv11 幸運 %+d ~ %+d,0,300,11,1,18,-74,-23,-11,-5
382,Lv12 幸運 %+d,Lv12 幸運 %+d ~ %+d,0,300,12,1,18,-87,-27,-13,-6
383,Lv13 幸運 %+d,Lv13 幸運 %+d ~ %+d,0,300,13,1,18,-103,-32,-16,-8
384,Lv14 幸運 %+d,Lv14 幸運 %+d ~ %+d,0,300,14,1,18,-122,-39,-19,-10
385,Lv15 幸運 %+d,Lv15 幸運 %+d ~ %+d,0,300,15,1,18,-144,-47,-22,-12
390,Lv16 幸運 %+d,Lv16 幸運 %+d ~ %+d,0,300,16,1,18,74,151,19,40
391,Lv17 幸運 %+d,Lv17 幸運 %+d ~ %+d,0,300,17,1,18,90,183,21,40
392,Lv18 幸運 %+d,Lv18 幸運 %+d ~ %+d,0,300,18,1,18,108,215,23,40
393,Lv19 幸運 %+d,Lv19 幸運 %+d ~ %+d,0,300,19,1,18,128,247,25,40
394,Lv20 幸運 %+d,Lv20 幸運 %+d ~ %+d,0,300,20,1,18,149,279,27,40
395,Lv16 幸運 %+d,Lv16 幸運 %+d ~ %+d,0,300,16,1,18,114,218,31,60
396,Lv17 幸運 %+d,Lv17 幸運 %+d ~ %+d,0,300,17,1,18,141,266,34,60
397,Lv18 幸運 %+d,Lv18 幸運 %+d ~ %+d,0,300,18,1,18,170,314,37,60
398,Lv19 幸運 %+d,Lv19 幸運 %+d ~ %+d,0,300,19,1,18,202,362,40,60
399,Lv20 幸運 %+d,Lv20 幸運 %+d ~ %+d,0,300,20,1,18,236,410,43,60
501,Lv1 魔力 %+d,Lv1 魔力 %+d ~ %+d,0,500,1,1,22,1,2,1,3
502,Lv2 魔力 %+d,Lv2 魔力 %+d ~ %+d,0,500,2,1,22,2,4,1,3
503,Lv3 魔力 %+d,Lv3 魔力 %+d ~ %+d,0,500,3,1,22,3,7,2,3
504,Lv4 魔力 %+d,Lv4 魔力 %+d ~ %+d,0,500,4,1,22,4,10,2,4
505,Lv5 魔力 %+d,Lv5 魔力 %+d ~ %+d,0,500,5,1,22,5,13,2,4
506,Lv6 魔力 %+d,Lv6 魔力 %+d ~ %+d,0,500,6,1,22,6,16,2,5
507,Lv7 魔力 %+d,Lv7 魔力 %+d ~ %+d,0,500,7,1,22,8,20,2,5
508,Lv8 魔力 %+d,Lv8 魔力 %+d ~ %+d,0,500,8,1,22,9,24,3,5
509,Lv9 魔力 %+d,Lv9 魔力 %+d ~ %+d,0,500,9,1,22,11,28,3,6
510,Lv10 魔力 %+d,Lv10 魔力 %+d ~ %+d,0,500,10,1,22,13,33,3,7
511,Lv1 魔力 %+d,Lv1 魔力 %+d ~ %+d,0,500,1,1,22,1,3,1,5
512,Lv2 魔力 %+d,Lv2 魔力 %+d ~ %+d,0,500,2,1,22,2,6,1,5
513,Lv3 魔力 %+d,Lv3 魔力 %+d ~ %+d,0,500,3,1,22,4,11,2,5
514,Lv4 魔力 %+d,Lv4 魔力 %+d ~ %+d,0,500,4,1,22,6,15,2,6
515,Lv5 魔力 %+d,Lv5 魔力 %+d ~ %+d,0,500,5,1,22,8,20,2,6
516,Lv6 魔力 %+d,Lv6 魔力 %+d ~ %+d,0,500,6,1,22,10,24,2,8
517,Lv7 魔力 %+d,Lv7 魔力 %+d ~ %+d,0,500,7,1,22,12,30,2,8
518,Lv8 魔力 %+d,Lv8 魔力 %+d ~ %+d,0,500,8,1,22,15,36,3,8
519,Lv9 魔力 %+d,Lv9 魔力 %+d ~ %+d,0,500,9,1,22,18,42,3,9
520,Lv10 魔力 %+d,Lv10 魔力 %+d ~ %+d,0,500,10,1,22,21,50,3,11
521,Lv1 魔力 %+d,Lv1 魔力 %+d ~ %+d,0,500,1,1,22,2,3,2,4
522,Lv2 魔力 %+d,Lv2 魔力 %+d ~ %+d,0,500,2,1,22,3,6,2,4
523,Lv3 魔力 %+d,Lv3 魔力 %+d ~ %+d,0,500,3,1,22,4,9,2,4
524,Lv4 魔力 %+d,Lv4 魔力 %+d ~ %+d,0,500,4,1,22,5,13,2,5
525,Lv5 魔力 %+d,Lv5 魔力 %+d ~ %+d,0,500,5,1,22,7,17,3,5
526,Lv6 魔力 %+d,Lv6 魔力 %+d ~ %+d,0,500,6,1,22,9,21,3,6
527,Lv7 魔力 %+d,Lv7 魔力 %+d ~ %+d,0,500,7,1,22,11,26,3,6
528,Lv8 魔力 %+d,Lv8 魔力 %+d ~ %+d,0,500,8,1,22,12,31,3,7
529,Lv9 魔力 %+d,Lv9 魔力 %+d ~ %+d,0,500,9,1,22,15,37,4,8
530,Lv10 魔力 %+d,Lv10 魔力 %+d ~ %+d,0,500,10,1,22,17,43,4,9
531,Lv1 魔力 %+d,Lv1 魔力 %+d ~ %+d,0,500,1,1,22,2,5,2,6
532,Lv2 魔力 %+d,Lv2 魔力 %+d ~ %+d,0,500,2,1,22,4,9,2,6
533,Lv3 魔力 %+d,Lv3 魔力 %+d ~ %+d,0,500,3,1,22,6,14,2,6
534,Lv4 魔力 %+d,Lv4 魔力 %+d ~ %+d,0,500,4,1,22,8,20,2,8
535,Lv5 魔力 %+d,Lv5 魔力 %+d ~ %+d,0,500,5,1,22,11,26,3,8
536,Lv6 魔力 %+d,Lv6 魔力 %+d ~ %+d,0,500,6,1,22,14,32,3,9
537,Lv7 魔力 %+d,Lv7 魔力 %+d ~ %+d,0,500,7,1,22,17,39,3,9
538,Lv8 魔力 %+d,Lv8 魔力 %+d ~ %+d,0,500,8,1,22,20,47,3,11
539,Lv9 魔力 %+d,Lv9 魔力 %+d ~ %+d,0,500,9,1,22,24,56,4,12
540,Lv10 魔力 %+d,Lv10 魔力 %+d ~ %+d,0,500,10,1,22,28,65,4,14
541,Lv11 魔力 %+d,Lv11 魔力 %+d ~ %+d,0,500,11,1,22,25,36,3,8
542,Lv12 魔力 %+d,Lv12 魔力 %+d ~ %+d,0,500,12,1,22,29,43,4,10
543,Lv13 魔力 %+d,Lv13 魔力 %+d ~ %+d,0,500,13,1,22,34,55,7,15
544,Lv14 魔力 %+d,Lv14 魔力 %+d ~ %+d,0,500,14,1,22,46,87,15,40
545,Lv15 魔力 %+d,Lv15 魔力 %+d ~ %+d,0,500,15,1,22,59,119,17,40
546,Lv11 魔力 %+d,Lv11 魔力 %+d ~ %+d,0,500,11,1,22,33,45,5,11
547,Lv12 魔力 %+d,Lv12 魔力 %+d ~ %+d,0,500,12,1,22,39,54,6,14
548,Lv13 魔力 %+d,Lv13 魔力 %+d ~ %+d,0,500,13,1,22,48,74,12,25
549,Lv14 魔力 %+d,Lv14 魔力 %+d ~ %+d,0,500,14,1,22,68,122,25,60
550,Lv15 魔力 %+d,Lv15 魔力 %+d ~ %+d,0,500,15,1,22,90,170,28,60
551,Lv1 魔力 %+d,Lv1 魔力 %+d ~ %+d,0,500,1,1,22,-3,-2,-3,-1
552,Lv2 魔力 %+d,Lv2 魔力 %+d ~ %+d,0,500,2,1,22,-6,-5,-3,-2
553,Lv3 魔力 %+d,Lv3 魔力 %+d ~ %+d,0,500,3,1,22,-10,-8,-4,-2
554,Lv4 魔力 %+d,Lv4 魔力 %+d ~ %+d,0,500,4,1,22,-14,-11,-4,-2
555,Lv5 魔力 %+d,Lv5 魔力 %+d ~ %+d,0,500,5,1,22,-19,-14,-5,-2
556,Lv6 魔力 %+d,Lv6 魔力 %+d ~ %+d,0,500,6,1,22,-24,-18,-5,-2
557,Lv7 魔力 %+d,Lv7 魔力 %+d ~ %+d,0,500,7,1,22,-29,-22,-5,-3
558,Lv8 魔力 %+d,Lv8 魔力 %+d ~ %+d,0,500,8,1,22,-35,-26,-6,-3
559,Lv9 魔力 %+d,Lv9 魔力 %+d ~ %+d,0,500,9,1,22,-42,-31,-7,-3
560,Lv10 魔力 %+d,Lv10 魔力 %+d ~ %+d,0,500,10,1,22,-49,-36,-7,-3
561,Lv11 魔力 %+d,Lv11 魔力 %+d ~ %+d,0,500,11,1,22,-57,-18,-8,-4
562,Lv12 魔力 %+d,Lv12 魔力 %+d ~ %+d,0,500,12,1,22,-67,-21,-10,-5
563,Lv13 魔力 %+d,Lv13 魔力 %+d ~ %+d,0,500,13,1,22,-79,-25,-12,-6
564,Lv14 魔力 %+d,Lv14 魔力 %+d ~ %+d,0,500,14,1,22,-94,-30,-15,-7
565,Lv15 魔力 %+d,Lv15 魔力 %+d ~ %+d,0,500,15,1,22,-111,-36,-17,-9
571,Lv1 魔力 %+d,Lv1 魔力 %+d ~ %+d,0,500,1,1,22,-4,-3,-4,-2
572,Lv2 魔力 %+d,Lv2 魔力 %+d ~ %+d,0,500,2,1,22,-8,-6,-4,-2
573,Lv3 魔力 %+d,Lv3 魔力 %+d ~ %+d,0,500,3,1,22,-13,-10,-5,-2
574,Lv4 魔力 %+d,Lv4 魔力 %+d ~ %+d,0,500,4,1,22,-18,-14,-5,-3
575,Lv5 魔力 %+d,Lv5 魔力 %+d ~ %+d,0,500,5,1,22,-24,-18,-6,-3
576,Lv6 魔力 %+d,Lv6 魔力 %+d ~ %+d,0,500,6,1,22,-30,-23,-6,-3
577,Lv7 魔力 %+d,Lv7 魔力 %+d ~ %+d,0,500,7,1,22,-37,-28,-7,-3
578,Lv8 魔力 %+d,Lv8 魔力 %+d ~ %+d,0,500,8,1,22,-45,-34,-8,-4
579,Lv9 魔力 %+d,Lv9 魔力 %+d ~ %+d,0,500,9,1,22,-54,-40,-9,-4
580,Lv10 魔力 %+d,Lv10 魔力 %+d ~ %+d,0,500,10,1,22,-63,-47,-9,-4
581,Lv11 魔力 %+d,Lv11 魔力 %+d ~ %+d,0,500,11,1,22,-74,-23,-11,-5
582,Lv12 魔力 %+d,Lv12 魔力 %+d ~ %+d,0,500,12,1,22,-87,-27,-13,-6
583,Lv13 魔力 %+d,Lv13 魔力 %+d ~ %+d,0,500,13,1,22,-103,-32,-16,-8
584,Lv14 魔力 %+d,Lv14 魔力 %+d ~ %+d,0,500,14,1,22,-122,-39,-19,-10
585,Lv15 魔力 %+d,Lv15 魔力 %+d ~ %+d,0,500,15,1,22,-144,-47,-22,-12
590,Lv16 魔力 %+d,Lv16 魔力 %+d ~ %+d,0,500,16,1,22,74,151,19,40
591,Lv17 魔力 %+d,Lv17 魔力 %+d ~ %+d,0,500,17,1,22,90,183,21,40
