ID,_Class,_Gender,_LV_Value,_Money_Value,_Exp_Value,_HP_Value,_SP_Value,_Fame_Value,_Inventory_Type1,_Inventory_Slot1,_Item_ID1,_Item_Stack1,_Item_Rare1,_Inventory_Type2,_Inventory_Slot2,_Item_ID2,_Item_Stack2,_Item_Rare2,_Inventory_Type3,_Inventory_Slot3,_Item_ID3,_Item_Stack3,_Item_Rare3,_Inventory_Type4,_Inventory_Slot4,_Item_ID4,_Item_Stack4,_Item_Rare4,_Skill_ID1,_Skill_Lv1,_Skill_ID2,_Skill_Lv2,_Skill_ID3,_Skill_Lv3,_Skill_ID4,_Skill_Lv4,_Quick_Slot_No1,_Quick_Slot_Type1,_Quick_Slot_ID1,_Quick_Slot_No2,_Quick_Slot_Type2,_Quick_Slot_ID2,_Quick_Slot_No3,_Quick_Slot_Type3,_Quick_Slot_ID3,_Quick_Slot_No4,_Quick_Slot_Type4,_Quick_Slot_ID4,_Quick_Slot_No5,_Quick_Slot_Type5,_Quick_Slot_ID5,_Quick_Slot_No6,_Quick_Slot_Type6,_Quick_Slot_ID6,_Quick_Slot_No7,_Quick_Slot_Type7,_Quick_Slot_ID7,_Quick_Slot_No8,_Quick_Slot_Type8,_Quick_Slot_ID8,_Quick_Slot_No9,_Quick_Slot_Type9,_Quick_Slot_ID9,_Quick_Slot_No10,_Quick_Slot_Type10,_Quick_Slot_ID10,_Pos_X,_Pos_Y,_Stage_ID,_MapGroup,_RevivalMap,_SkillPoint,_TownMap,_Base_Atk,_Base_Def,_Base_Ele,_Base_Luk,_Ex_Stat,_Ex_Limit,_Ex_Min,_Ex_Max
11,6,1,1,0,0,999,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,6,7,2,16,8,2,17,10,2,22,0,2,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,1248,1,0,1,0,1,20,15,8,8,0,0,0,0
12,6,2,1,0,0,999,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,6,7,2,16,8,2,17,10,2,22,0,2,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,1248,1,0,1,0,1,20,15,8,8,0,0,0,0
13,7,1,1,0,0,999,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,6,7,2,16,8,2,17,10,2,22,0,2,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,1248,1,0,1,0,1,13,20,8,10,0,0,0,0
14,7,2,1,0,0,999,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,6,7,2,16,8,2,17,10,2,22,0,2,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,1248,1,0,1,0,1,13,20,8,10,0,0,0,0
15,8,1,1,0,0,999,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,6,7,2,16,8,2,17,10,2,22,0,2,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,1248,1,0,1,0,1,13,20,8,10,0,0,0,0
16,8,2,1,0,0,999,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,6,7,2,16,8,2,17,10,2,22,0,2,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,1248,1,0,1,0,1,13,20,8,10,0,0,0,0
17,9,1,1,0,0,999,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,6,7,2,16,8,2,17,10,2,22,0,2,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,1248,1,0,1,0,1,8,10,20,13,0,0,0,0
18,9,2,1,0,0,999,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,6,7,2,16,8,2,17,10,2,22,0,2,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,1248,1,0,1,0,1,8,10,20,13,0,0,0,0
19,10,1,1,0,0,999,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,6,7,2,16,8,2,17,10,2,22,0,2,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,1248,1,0,1,0,1,8,10,20,13,0,0,0,0
20,10,2,1,0,0,999,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,6,7,2,16,8,2,17,10,2,22,0,2,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,1248,1,0,1,0,1,8,10,20,13,0,0,0,0
21,11,1,1,0,0,999,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,6,7,2,16,8,2,17,10,2,22,0,2,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,1248,1,0,1,0,1,10,10,10,21,0,0,0,0
22,11,2,1,0,0,999,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,6,7,2,16,8,2,17,10,2,22,0,2,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,1248,1,0,1,0,1,10,10,10,21,0,0,0,0
23,12,1,1,0,0,999,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,6,7,2,16,8,2,17,10,2,22,0,2,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,1248,1,0,1,0,1,10,10,10,21,0,0,0,0
24,12,2,1,0,0,999,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,6,7,2,16,8,2,17,10,2,22,0,2,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,1248,1,0,1,0,1,10,10,10,21,0,0,0,0
25,13,1,1,0,0,999,999,0,0,1,81500100,1,1,0,0,0,0,0,0,0,0,0,0,3,1,190180612,1,1,0,0,0,0,0,0,0,0,9,2,6,7,2,16,8,2,17,10,2,22,0,2,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,1248,1,0,1,0,1,13,13,13,13,0,0,0,0
26,13,2,1,0,0,999,999,0,0,1,81500100,1,1,0,0,0,0,0,0,0,0,0,0,3,1,190180612,1,1,0,0,0,0,0,0,0,0,9,2,6,7,2,16,8,2,17,10,2,22,0,2,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,1248,1,0,1,0,1,13,13,13,13,0,0,0,0
27,14,1,1,0,0,999,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,6,7,2,16,8,2,17,10,2,22,0,2,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,1248,1,0,1,0,1,13,13,13,13,0,0,0,0
28,14,2,1,0,0,999,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,6,7,2,16,8,2,17,10,2,22,0,2,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,1248,1,0,1,0,1,13,13,13,13,0,0,0,0
29,15,1,1,0,0,999,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,6,7,2,16,8,2,17,10,2,22,0,2,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,1248,1,0,1,0,1,20,15,8,8,412,300,1,5
30,15,2,1,0,0,999,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,6,7,2,16,8,2,17,10,2,22,0,2,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,1248,1,0,1,0,1,20,15,8,8,412,300,1,5
31,16,1,1,0,0,999,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,6,7,2,16,8,2,17,10,2,22,0,2,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,1248,1,0,1,0,1,20,15,8,8,413,200,5,5
32,16,2,1,0,0,999,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,6,7,2,16,8,2,17,10,2,22,0,2,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,1248,1,0,1,0,1,20,15,8,8,413,200,5,5
33,17,1,1,0,0,999,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,6,7,2,16,8,2,17,10,2,22,0,2,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,1248,1,0,1,0,1,13,20,8,10,414,300,5,10
34,17,2,1,0,0,999,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,6,7,2,16,8,2,17,10,2,22,0,2,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,1248,1,0,1,0,1,13,20,8,10,414,300,5,10
35,18,1,1,0,0,999,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,6,7,2,16,8,2,17,10,2,22,0,2,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,1248,1,0,1,0,1,13,20,8,10,412,300,3,5
36,18,2,1,0,0,999,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,6,7,2,16,8,2,17,10,2,22,0,2,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,1248,1,0,1,0,1,13,20,8,10,412,300,3,5
37,19,1,1,0,0,999,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,6,7,2,16,8,2,17,10,2,22,0,2,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,1248,1,0,1,0,1,8,10,20,13,412,300,1,5
38,19,2,1,0,0,999,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,6,7,2,16,8,2,17,10,2,22,0,2,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,1248,1,0,1,0,1,8,10,20,13,412,300,1,5
39,20,1,1,0,0,999,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,6,7,2,16,8,2,17,10,2,22,0,2,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,1248,1,0,1,0,1,8,10,20,13,412,300,2,4
40,20,2,1,0,0,999,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,6,7,2,16,8,2,17,10,2,22,0,2,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,1248,1,0,1,0,1,8,10,20,13,412,300,2,4
41,21,1,1,0,0,999,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,6,7,2,16,8,2,17,10,2,22,0,2,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,1248,1,0,1,0,1,10,10,10,21,416,5000,10,20
42,21,2,1,0,0,999,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,6,7,2,16,8,2,17,10,2,22,0,2,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,1248,1,0,1,0,1,10,10,10,21,416,5000,10,20
43,22,1,1,0,0,999,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,6,7,2,16,8,2,17,10,2,22,0,2,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,1248,1,0,1,0,1,10,10,10,21,417,400,0,0
44,22,2,1,0,0,999,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,6,7,2,16,8,2,17,10,2,22,0,2,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,1248,1,0,1,0,1,10,10,10,21,417,400,0,0
45,23,1,1,0,0,999,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,6,7,2,16,8,2,17,10,2,22,0,2,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,1248,1,0,1,0,1,13,13,13,13,412,300,1,5
46,23,2,1,0,0,999,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,6,7,2,16,8,2,17,10,2,22,0,2,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,1248,1,0,1,0,1,13,13,13,13,412,300,1,5
47,24,1,1,0,0,999,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,6,7,2,16,8,2,17,10,2,22,0,2,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,1248,1,0,1,0,1,23,15,5,8,412,400,3,5
48,24,2,1,0,0,999,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,6,7,2,16,8,2,17,10,2,22,0,2,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,1248,1,0,1,0,1,23,15,5,8,412,400,3,5
49,25,1,1,0,0,999,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,6,7,2,16,8,2,17,10,2,22,0,2,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,1248,1,0,1,0,1,15,13,8,15,412,400,3,5
50,25,2,1,0,0,999,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,6,7,2,16,8,2,17,10,2,22,0,2,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,1248,1,0,1,0,1,15,13,8,15,412,400,3,5
51,26,1,1,0,0,999,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,6,7,2,16,8,2,17,10,2,22,0,2,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,1248,1,0,1,0,1,20,20,5,6,414,400,5,10
52,26,2,1,0,0,999,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,6,7,2,16,8,2,17,10,2,22,0,2,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,1248,1,0,1,0,1,20,20,5,6,414,400,5,10
53,27,1,1,0,0,999,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,6,7,2,16,8,2,17,10,2,22,0,2,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,1248,1,0,1,0,1,16,15,10,10,412,400,3,5
54,27,2,1,0,0,999,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,6,7,2,16,8,2,17,10,2,22,0,2,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,1248,1,0,1,0,1,16,15,10,10,412,400,3,5
55,28,1,1,0,0,999,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,6,7,2,16,8,2,17,10,2,22,0,2,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,1248,1,0,1,0,1,15,10,18,8,412,400,3,5
56,28,2,1,0,0,999,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,6,7,2,16,8,2,17,10,2,22,0,2,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,1248,1,0,1,0,1,15,10,18,8,412,400,3,5
57,29,1,1,0,0,999,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,6,7,2,16,8,2,17,10,2,22,0,2,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,1248,1,0,1,0,1,8,10,25,8,412,400,3,5
58,29,2,1,0,0,999,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,6,7,2,16,8,2,17,10,2,22,0,2,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,1248,1,0,1,0,1,8,10,25,8,412,400,3,5
59,30,1,1,0,0,999,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,6,7,2,16,8,2,17,10,2,22,0,2,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,1248,1,0,1,0,1,10,10,8,23,415,400,5,10
60,30,2,1,0,0,999,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,6,7,2,16,8,2,17,10,2,22,0,2,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,1248,1,0,1,0,1,10,10,8,23,415,400,5,10
61,31,1,1,0,0,999,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,6,7,2,16,8,2,17,10,2,22,0,2,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,1248,1,0,1,0,1,17,13,8,13,417,400,0,0
62,31,2,1,0,0,999,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,6,7,2,16,8,2,17,10,2,22,0,2,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,1248,1,0,1,0,1,17,13,8,13,417,400,0,0
63,32,1,1,0,0,999,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,6,7,2,16,8,2,17,10,2,22,0,2,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,1248,1,0,1,0,1,10,18,13,10,416,400,10,20
64,32,2,1,0,0,999,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,6,7,2,16,8,2,17,10,2,22,0,2,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,1248,1,0,1,0,1,10,18,13,10,416,400,10,20
65,33,1,1,0,0,999,999,0,0,1,82800101,1,1,0,2,160100111,1,1,0,0,0,0,0,3,1,190180612,1,1,0,0,0,0,0,0,0,0,9,2,6,7,2,16,8,2,17,10,2,22,0,2,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,1248,1,0,1,0,1,8,10,20,13,0,0,0,0
66,33,2,1,0,0,999,999,0,0,1,82800101,1,1,0,2,160100111,1,1,0,0,0,0,0,3,1,190180612,1,1,0,0,0,0,0,0,0,0,9,2,6,7,2,16,8,2,17,10,2,22,0,2,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,1248,1,0,1,0,1,8,10,20,13,0,0,0,0
67,34,1,1,0,0,999,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,6,7,2,16,8,2,17,10,2,22,0,2,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,1248,1,0,1,0,1,8,10,20,13,0,0,0,0
68,34,2,1,0,0,999,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,6,7,2,16,8,2,17,10,2,22,0,2,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,1248,1,0,1,0,1,8,10,20,13,0,0,0,0
69,35,1,1,0,0,999,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,6,7,2,16,8,2,17,10,2,22,0,2,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,1248,1,0,1,0,1,8,10,20,13,412,300,1,5
70,35,2,1,0,0,999,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,6,7,2,16,8,2,17,10,2,22,0,2,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,1248,1,0,1,0,1,8,10,20,13,412,300,1,5
71,36,1,1,0,0,999,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,6,7,2,16,8,2,17,10,2,22,0,2,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,1248,1,0,1,0,1,20,15,8,8,412,400,1,5
72,36,2,1,0,0,999,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,6,7,2,16,8,2,17,10,2,22,0,2,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,1248,1,0,1,0,1,20,15,8,8,412,400,1,5
73,37,1,1,0,0,999,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,6,7,2,16,8,2,17,10,2,22,0,2,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,1248,1,0,1,0,1,20,15,8,8,413,300,5,5
74,37,2,1,0,0,999,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,6,7,2,16,8,2,17,10,2,22,0,2,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,1248,1,0,1,0,1,20,15,8,8,413,300,5,5
