ID,_Group,_QuestID,_QuestProbability
252,12,192009008,30000
253,12,192009009,30000
254,12,192009010,8500
255,12,192009011,150000
256,12,192009012,75000
257,12,192009013,30000
258,12,192009014,30000
259,12,192009015,8500
260,12,192009016,8500
261,12,192009017,150000
262,12,192009018,75000
263,12,192009019,30000
264,12,192009020,30000
265,12,192009021,8500
266,12,192009022,8500
267,12,192009023,150000
268,12,192009024,75000
269,12,192009025,30000
270,12,192009026,8500
271,12,192009027,8500
272,12,192009028,150000
273,12,192009029,75000
274,12,192009030,30000
275,12,192009031,30000
276,12,192009032,8500
277,12,192009033,8500
278,12,192009034,150000
279,12,192009035,75000
280,12,192009036,30000
281,12,192009037,30000
282,12,192009038,8500
283,12,192009039,8500
284,12,192009040,150000
285,12,192009041,75000
286,12,192009042,30000
287,12,192009043,30000
288,12,192009044,8500
289,12,192009045,8500
290,12,192009046,150000
291,12,192009047,75000
292,12,192009048,30000
293,12,192009049,30000
294,12,192009050,8500
295,12,192009051,8500
296,12,192009052,150000
297,12,192009053,75000
298,12,192009054,30000
299,12,192009055,30000
300,12,192009056,8500
301,12,192009057,8500
302,12,193009051,150000
303,12,193009052,75000
304,12,193009053,75000
305,12,193009054,30000
306,12,193009055,8500
307,12,194009051,150000
308,12,194009052,75000
309,12,194009053,75000
310,12,194009054,30000
311,12,194009055,8500
312,12,201009201,150000
313,12,201009202,75000
314,12,201009203,75000
315,12,201009204,30000
316,12,201009205,8500
317,12,202009201,150000
318,12,202009202,75000
319,12,202009203,75000
320,12,202009204,30000
321,12,202009205,8500
322,12,203009201,150000
323,12,203009202,75000
324,12,203009203,75000
325,12,203009204,30000
326,12,203009205,8500
327,12,204009201,150000
328,12,204009202,75000
329,12,204009203,75000
330,12,204009204,30000
331,12,204009205,8500
332,12,211009201,150000
333,12,211009202,75000
334,12,211009203,75000
335,12,211009204,30000
336,12,211009205,8500
337,12,212009201,150000
338,12,212009202,75000
339,12,212009203,75000
340,12,212009204,30000
341,12,212009205,8500
