ID,_Option_Group,_Option_Probability,_Name_Preview,_Name,_Option_Type,_Option_ID,_Option_Min,_Option_Max,_Option_Check
28,10001,5,[2] 物理/魔法最大傷害 %+d%% ~ %+d%%,[2] 物理/魔法最大傷害 %+d%%,1,461,7,20,1
29,10001,5,[2] 最小/最大傷害 %+d%% ~ %+d%%,[2] 最小/最大傷害 %+d%%,1,585,7,20,1
30,10001,5,[2] 物理/魔法爆擊傷害 %+d%% ~ %+d%%,[2] 物理/魔法爆擊傷害 %+d%%,1,464,7,20,1
31,10001,5,[2] 武器攻擊力/屬性力 %+d%% ~ %+d%%,[2] 武器攻擊力/屬性力 %+d%%,1,587,3,10,1
32,20001,0,[重複1] 物理/魔法爆擊率 %+d%% ~ %+d%%,[重複1] 物理/魔法爆擊率 %+d%%,1,465,1,1,2
33,20001,0,[重複2] 物理/魔法爆擊率 %+d%% ~ %+d%%,[重複2] 物理/魔法爆擊率 %+d%%,1,465,1,1,3
34,20001,0,[重複3] 物理/魔法爆擊率 %+d%% ~ %+d%%,[重複3] 物理/魔法爆擊率 %+d%%,1,465,1,1,4
35,20001,10,[1] 力量/魔力 %+d ~ %+d,[1] 力量/魔力 %+d,1,594,100,500,1
36,20001,5,[2] 力量/魔力 %+d ~ %+d,[2] 力量/魔力 %+d,1,594,250,1000,1
37,20001,10,[1] 所有能力值 %+d ~ %+d,[1] 所有能力值 %+d,1,455,100,500,1
38,20001,5,[2] 所有能力值 %+d ~ %+d,[2] 所有能力值 %+d,1,455,250,1000,1
39,20001,10,[1] 物理/魔法固定傷害 %+d ~ %+d,[1] 物理/魔法固定傷害 %+d,1,496,100,500,1
40,20001,5,[2] 物理/魔法固定傷害 %+d ~ %+d,[2] 物理/魔法固定傷害 %+d,1,496,250,1000,1
41,20001,10,[1] BOSS怪物追加傷害 %+d ~ %+d,[1] BOSS怪物追加傷害 %+d,1,570,100,500,1
42,20001,5,[2] BOSS怪物追加傷害 %+d ~ %+d,[2] BOSS怪物追加傷害 %+d,1,570,250,1000,1
43,20001,10,[1] 一般怪物追加傷害 %+d ~ %+d,[1] 一般怪物追加傷害 %+d,1,566,100,500,1
44,20001,5,[2] 一般怪物追加傷害 %+d ~ %+d,[2] 一般怪物追加傷害 %+d,1,566,250,1000,1
45,20001,10,[1] 武器攻擊力/屬性力 %+d ~ %+d,[1] 武器攻擊力/屬性力 %+d,1,586,1,20,1
46,20001,5,[2] 武器攻擊力/屬性力 %+d ~ %+d,[2] 武器攻擊力/屬性力 %+d,1,586,15,40,1
47,20001,10,[1] 武器攻擊力/屬性力 %+d%% ~ %+d%%,[1] 武器攻擊力/屬性力 %+d%%,1,587,1,2,1
48,20001,5,[2] 武器攻擊力/屬性力 %+d%% ~ %+d%%,[2] 武器攻擊力/屬性力 %+d%%,1,587,1,5,1
49,20001,10,[1] 物理/魔法最小傷害 %+d%% ~ %+d%%,[1] 物理/魔法最小傷害 %+d%%,1,462,3,13,1
50,20001,5,[2] 物理/魔法最小傷害 %+d%% ~ %+d%%,[2] 物理/魔法最小傷害 %+d%%,1,462,7,25,1
51,20001,10,[1] 物理/魔法最大傷害 %+d%% ~ %+d%%,[1] 物理/魔法最大傷害 %+d%%,1,461,3,13,1
52,20001,5,[2] 物理/魔法最大傷害 %+d%% ~ %+d%%,[2] 物理/魔法最大傷害 %+d%%,1,461,7,25,1
53,20001,10,[1] 最小/最大傷害 %+d%% ~ %+d%%,[1] 最小/最大傷害 %+d%%,1,585,3,13,1
54,20001,5,[2] 最小/最大傷害 %+d%% ~ %+d%%,[2] 最小/最大傷害 %+d%%,1,585,7,25,1
55,20001,10,[1] 物理/魔法爆擊傷害 %+d%% ~ %+d%%,[1] 物理/魔法爆擊傷害 %+d%%,1,464,3,13,1
56,20001,5,[2] 物理/魔法爆擊傷害 %+d%% ~ %+d%%,[2] 物理/魔法爆擊傷害 %+d%%,1,464,7,25,1
57,30001,0,[重複1] 體力 %+d ~ %+d,[重複1] 體力 %+d,1,26,400,700,2
58,30001,0,[重複2] 力量/魔力 %+d ~ %+d,[重複2] 力量/魔力 %+d,1,594,400,700,3
59,30001,0,[重複3] 所有能力值 %+d ~ %+d,[重複3] 所有能力值 %+d,1,455,400,700,4
60,30001,10,[1] 體力 %+d ~ %+d,[1] 體力 %+d,1,26,70,300,1
61,30001,5,[2] 體力 %+d ~ %+d,[2] 體力 %+d,1,26,150,600,1
62,30001,10,[1] 力量/魔力 %+d ~ %+d,[1] 力量/魔力 %+d,1,594,70,300,1
63,30001,5,[2] 力量/魔力 %+d ~ %+d,[2] 力量/魔力 %+d,1,594,150,600,1
64,30001,10,[1] 所有能力值 %+d ~ %+d,[1] 所有能力值 %+d,1,455,70,300,1
65,30001,5,[2] 所有能力值 %+d ~ %+d,[2] 所有能力值 %+d,1,455,150,600,1
66,30001,10,[1] 幸運 %+d ~ %+d,[1] 幸運 %+d,1,18,70,300,1
67,30001,5,[2] 幸運 %+d ~ %+d,[2] 幸運 %+d,1,18,150,600,1
68,30001,10,[1] 最大 HP %+d ~ %+d,[1] 最大 HP %+d,1,30,300,1000,1
69,30001,5,[2] 最大 HP %+d ~ %+d,[2] 最大 HP %+d,1,30,500,2500,1
70,30001,10,[1] 物理/魔法固定傷害 %+d ~ %+d,[1] 物理/魔法固定傷害 %+d,1,496,70,300,1
71,30001,5,[2] 物理/魔法固定傷害 %+d ~ %+d,[2] 物理/魔法固定傷害 %+d,1,496,150,600,1
72,30001,10,[1] BOSS怪物追加傷害 %+d ~ %+d,[1] BOSS怪物追加傷害 %+d,1,570,70,300,1
73,30001,5,[2] BOSS怪物追加傷害 %+d ~ %+d,[2] BOSS怪物追加傷害 %+d,1,570,150,600,1
74,30001,10,[1] 一般怪物追加傷害 %+d ~ %+d,[1] 一般怪物追加傷害 %+d,1,566,70,300,1
75,30001,5,[2] 一般怪物追加傷害 %+d ~ %+d,[2] 一般怪物追加傷害 %+d,1,566,150,600,1
76,30001,10,[1] 物理傷害減少 %+d ~ %+d,[1] 物理傷害減少 %+d,1,144,50,200,1
77,30001,5,[2] 物理傷害減少 %+d ~ %+d,[2] 物理傷害減少 %+d,1,144,100,400,1
78,30001,10,[1] 魔法傷害減少 %+d ~ %+d,[1] 魔法傷害減少 %+d,1,244,50,200,1
79,30001,5,[2] 魔法傷害減少 %+d ~ %+d,[2] 魔法傷害減少 %+d,1,244,100,400,1
80,30001,10,[1] 最大 HP %+d%% ~ %+d%%,[1] 最大 HP %+d%%,1,31,1,2,1
81,30001,5,[2] 最大 HP %+d%% ~ %+d%%,[2] 最大 HP %+d%%,1,31,2,4,1
82,30001,5,[1] 傷害減少 %+d%% ~ %+d%%,[1] 傷害減少 %+d%%,1,86,1,1,1
83,40001,0,[重複1] 體力 %+d ~ %+d,[重複1] 體力 %+d,1,26,400,700,2
84,40001,0,[重複2] 力量/魔力 %+d ~ %+d,[重複2] 力量/魔力 %+d,1,594,400,700,3
85,40001,0,[重複3] 所有能力值 %+d ~ %+d,[重複3] 所有能力值 %+d,1,455,400,700,4
86,40001,10,[1] 體力 %+d ~ %+d,[1] 體力 %+d,1,26,70,300,1
87,40001,5,[2] 體力 %+d ~ %+d,[2] 體力 %+d,1,26,150,600,1
88,40001,10,[1] 力量/魔力 %+d ~ %+d,[1] 力量/魔力 %+d,1,594,70,300,1
89,40001,5,[2] 力量/魔力 %+d ~ %+d,[2] 力量/魔力 %+d,1,594,150,600,1
90,40001,10,[1] 所有能力值 %+d ~ %+d,[1] 所有能力值 %+d,1,455,70,300,1
91,40001,5,[2] 所有能力值 %+d ~ %+d,[2] 所有能力值 %+d,1,455,150,600,1
92,40001,10,[1] 幸運 %+d ~ %+d,[1] 幸運 %+d,1,18,70,300,1
93,40001,5,[2] 幸運 %+d ~ %+d,[2] 幸運 %+d,1,18,150,600,1
94,40001,10,[1] 最大 HP %+d ~ %+d,[1] 最大 HP %+d,1,30,300,1000,1
95,40001,5,[2] 最大 HP %+d ~ %+d,[2] 最大 HP %+d,1,30,500,2500,1
96,40001,10,[1] 物理/魔法固定傷害 %+d ~ %+d,[1] 物理/魔法固定傷害 %+d,1,496,70,300,1
97,40001,5,[2] 物理/魔法固定傷害 %+d ~ %+d,[2] 物理/魔法固定傷害 %+d,1,496,150,600,1
98,40001,10,[1] BOSS怪物追加傷害 %+d ~ %+d,[1] BOSS怪物追加傷害 %+d,1,570,70,300,1
99,40001,5,[2] BOSS怪物追加傷害 %+d ~ %+d,[2] BOSS怪物追加傷害 %+d,1,570,150,600,1
100,40001,10,[1] 一般怪物追加傷害 %+d ~ %+d,[1] 一般怪物追加傷害 %+d,1,566,70,300,1
101,40001,5,[2] 一般怪物追加傷害 %+d ~ %+d,[2] 一般怪物追加傷害 %+d,1,566,150,600,1
102,40001,5,[1] 武器攻擊力/屬性力 %+d%% ~ %+d%%,[1] 武器攻擊力/屬性力 %+d%%,1,587,1,2,1
103,40001,10,[1] 物理/魔法最小傷害 %+d%% ~ %+d%%,[1] 物理/魔法最小傷害 %+d%%,1,462,1,6,1
104,40001,5,[2] 物理/魔法最小傷害 %+d%% ~ %+d%%,[2] 物理/魔法最小傷害 %+d%%,1,462,3,12,1
105,40001,10,[1] 物理/魔法最大傷害 %+d%% ~ %+d%%,[1] 物理/魔法最大傷害 %+d%%,1,461,1,6,1
106,40001,5,[2] 物理/魔法最大傷害 %+d%% ~ %+d%%,[2] 物理/魔法最大傷害 %+d%%,1,461,3,12,1
107,50001,0,[重複1] 體力 %+d ~ %+d,[重複1] 體力 %+d,1,26,300,500,2
108,50001,0,[重複2] 力量/魔力 %+d ~ %+d,[重複2] 力量/魔力 %+d,1,594,300,500,3
109,50001,0,[重複3] 所有能力值 %+d ~ %+d,[重複3] 所有能力值 %+d,1,455,300,500,4
110,50001,10,[1] 體力 %+d ~ %+d,[1] 體力 %+d,1,26,30,150,1
111,50001,5,[2] 體力 %+d ~ %+d,[2] 體力 %+d,1,26,100,400,1
112,50001,10,[1] 力量/魔力 %+d ~ %+d,[1] 力量/魔力 %+d,1,594,30,150,1
113,50001,5,[2] 力量/魔力 %+d ~ %+d,[2] 力量/魔力 %+d,1,594,100,400,1
114,50001,10,[1] 所有能力值 %+d ~ %+d,[1] 所有能力值 %+d,1,455,30,150,1
115,50001,5,[2] 所有能力值 %+d ~ %+d,[2] 所有能力值 %+d,1,455,100,400,1
116,50001,10,[1] 幸運 %+d ~ %+d,[1] 幸運 %+d,1,18,30,150,1
117,50001,5,[2] 幸運 %+d ~ %+d,[2] 幸運 %+d,1,18,100,400,1
118,50001,10,[1] 最大 HP %+d ~ %+d,[1] 最大 HP %+d,1,30,200,700,1
119,50001,5,[2] 最大 HP %+d ~ %+d,[2] 最大 HP %+d,1,30,400,1500,1
120,50001,10,[1] 物理/魔法固定傷害 %+d ~ %+d,[1] 物理/魔法固定傷害 %+d,1,496,30,150,1
121,50001,5,[2] 物理/魔法固定傷害 %+d ~ %+d,[2] 物理/魔法固定傷害 %+d,1,496,100,400,1
122,50001,10,[1] BOSS怪物追加傷害 %+d ~ %+d,[1] BOSS怪物追加傷害 %+d,1,570,30,150,1
123,50001,5,[2] BOSS怪物追加傷害 %+d ~ %+d,[2] BOSS怪物追加傷害 %+d,1,570,100,400,1
124,50001,10,[1] 一般怪物追加傷害 %+d ~ %+d,[1] 一般怪物追加傷害 %+d,1,566,30,150,1
125,50001,5,[2] 一般怪物追加傷害 %+d ~ %+d,[2] 一般怪物追加傷害 %+d,1,566,100,400,1
126,50001,10,[1] 武器攻擊力/屬性力 %+d ~ %+d,[1] 武器攻擊力/屬性力 %+d,1,586,1,5,1
127,50001,5,[2] 武器攻擊力/屬性力 %+d ~ %+d,[2] 武器攻擊力/屬性力 %+d,1,586,3,15,1
128,60001,0,[重複1] 體力 %+d ~ %+d,[重複1] 體力 %+d,1,26,300,500,2
129,60001,0,[重複2] 力量/魔力 %+d ~ %+d,[重複2] 力量/魔力 %+d,1,594,300,500,3
130,60001,0,[重複3] 所有能力值 %+d ~ %+d,[重複3] 所有能力值 %+d,1,455,300,500,4
131,60001,10,[1] 體力 %+d ~ %+d,[1] 體力 %+d,1,26,1,150,1
132,60001,5,[2] 體力 %+d ~ %+d,[2] 體力 %+d,1,26,100,300,1
133,60001,10,[1] 力量/魔力 %+d ~ %+d,[1] 力量/魔力 %+d,1,594,1,150,1
134,60001,5,[2] 力量/魔力 %+d ~ %+d,[2] 力量/魔力 %+d,1,594,100,300,1
135,60001,10,[1] 所有能力值 %+d ~ %+d,[1] 所有能力值 %+d,1,455,1,150,1
136,60001,5,[2] 所有能力值 %+d ~ %+d,[2] 所有能力值 %+d,1,455,100,300,1
137,60001,10,[1] 幸運 %+d ~ %+d,[1] 幸運 %+d,1,18,1,150,1
138,60001,5,[2] 幸運 %+d ~ %+d,[2] 幸運 %+d,1,18,100,300,1
139,60001,10,[1] 最大 HP %+d ~ %+d,[1] 最大 HP %+d,1,30,1,500,1
140,60001,5,[2] 最大 HP %+d ~ %+d,[2] 最大 HP %+d,1,30,350,1000,1
141,60001,10,[1] 物理/魔法固定傷害 %+d ~ %+d,[1] 物理/魔法固定傷害 %+d,1,496,1,150,1
142,60001,5,[2] 物理/魔法固定傷害 %+d ~ %+d,[2] 物理/魔法固定傷害 %+d,1,496,100,300,1
143,60001,10,[1] BOSS怪物追加傷害 %+d ~ %+d,[1] BOSS怪物追加傷害 %+d,1,570,1,150,1
144,60001,5,[2] BOSS怪物追加傷害 %+d ~ %+d,[2] BOSS怪物追加傷害 %+d,1,570,100,300,1
145,60001,10,[1] 一般怪物追加傷害 %+d ~ %+d,[1] 一般怪物追加傷害 %+d,1,566,1,150,1
146,60001,5,[2] 一般怪物追加傷害 %+d ~ %+d,[2] 一般怪物追加傷害 %+d,1,566,100,300,1
147,60001,5,[1] 力量/魔力 %+d%% ~ %+d%%,[1] 力量/魔力 %+d%%,1,595,1,1,1
148,60001,5,[1] 體力 %+d%% ~ %+d%%,[1] 體力 %+d%%,1,27,1,1,1
149,60001,5,[1] 幸運 %+d%% ~ %+d%%,[1] 幸運 %+d%%,1,19,1,1,1
150,60001,5,[1] 所有能力值 %+d%% ~ %+d%%,[1] 所有能力值 %+d%%,1,456,1,1,1
