ID,_Name,_Target_Type,_Lv,_MOD_BaseMHP,_MOD_BaseMSP,_Base_Atk,_Base_Def,_Base_Ele,_Base_Luk,_Base_Guard,_Base_Atk_Min_Dam,_Base_Atk_Max_Dam,_Base_Ele_Min_Dam,_Base_Ele_Max_Dam,_Base_Speed_X,_Base_Speed_Y,_Base_Water,_BASE_DAMAGE_ABSOLUTE,_BASE_REDUCE_DAMAGE_ABSOLUTE,_BASE_DEF_PENETRATION,_BASE_ELE_PENETRATION,_BASE_JUMP_ATK,_BASE_NORMAL,_BASE_HEAVY,_BASE_CRITICAL_DAMAGE,_BASE_ELE_CRITICAL_DAMAGE,_BASE_HEAL_CRITICAL_AUGMENT,_BASE_HEAL_CRITICAL_PROBABILITY,_CLASS_MHP_FACTOR,_CLASS_MSP_FACTOR,_CLASS_RECV_HP_FACTOR,_CLASS_RECV_SP_FACTOR,_BASE_PHY_HIT_RATE,_BASE_ELE_HIT_RATE,_BASE_PHY_DODGE_RATE,_BASE_ELE_DODGE_RATE,_BASE_BACK_DAM,_BASE_ELE_BACK_DAM,_BASE_ATK_ADD_FACTOR,_BASE_ATK_RATIO_FACTOR,_BASE_ELE_ADD_FACTOR,_BASE_ELE_RATIO_FACTOR,_BASE_AMOR,_BASE_HEAL_HP_ADD,_BASE_HEAL_SP_ADD,_BASE_HEAL_HP_FACTOR,_BASE_HEAL_SP_FACTOR,_BASE_ELE_DAMAGE_ABSOLUTE,_BASE_ELE_REDUCE_DAMAGE_ABSOLUTE,_BASE_WATER_MIN_DAM,_BASE_WATER_MAX_DAM,_BASE_RES_WATER,_WATER_DAM,_PHY_IMMUNE,_ELE_IMMUNE,_WATER_IMMUNE,_ELASTICITY,_ADD_RES_STUN,_ADD_RES_SLEEP,_ADD_RES_CONFUSION,_ADD_RES_FREEZE,_BASE_DROP_SPEED,_BASE_MAX_DROP_SPEED,_EffectID1,_EffectID2,_EffectID3,_EffectID4,_RecallID,_Drop_place,_Active_mob,_LifeTime,_LifeTime2,_Mob_Type,_HP_reset,_HIT_Revision,_SealSkill_Probability,_SealSkill_ID,_Mob_Type_Dam,_BossMob_Check,_Difficulty_Check
810000114,???,3,20,840,36,62,62,62,162,0,95,105,95,105,132,-800,41,0,11,0,0,12,36,45,50,50,50,50,325,150,2,3,10,10,0,0,20,20,24,200,24,200,330,0,0,100,100,0,12,0,0,330,0,0,0,0,0,0,0,0,0,1600,30,0,0,0,0,0,1,0,0,0,1,0,30,0,0,1,1,1
810000115,???,3,11,281,23,36,36,36,88,0,95,105,95,105,132,-800,23,0,4,0,0,8,20,25,50,50,50,50,325,150,2,3,6,6,0,0,20,20,22,200,22,200,195,0,0,100,100,0,3,0,0,195,0,0,0,0,0,0,0,0,0,1600,30,0,0,0,0,0,1,0,0,0,1,0,30,0,0,1,1,1
810000116,????,3,33,2166,54,102,102,102,275,0,95,105,95,105,132,-800,70,0,21,0,0,19,61,78,50,50,50,50,325,150,2,3,17,17,0,0,20,20,26,200,26,200,525,0,0,100,100,0,25,0,0,525,0,0,0,0,0,0,0,0,0,1600,30,0,0,0,0,0,1,0,0,0,1,0,30,0,0,1,1,1
810000117,?? ????,3,124,37282,182,455,455,455,1280,0,95,105,95,105,132,-800,466,0,89,0,0,64,413,518,50,50,50,50,325,150,2,3,62,62,0,0,20,20,54,200,54,200,1890,0,0,100,100,0,116,0,0,1890,0,0,0,0,0,0,0,0,0,1600,30,0,0,0,0,0,1,0,0,0,1,0,30,0,0,1,1,1
810000118,??? ??,3,14,435,28,44,44,44,112,0,95,105,95,105,132,-800,29,0,7,0,0,9,25,32,50,50,50,50,325,150,2,3,7,7,0,0,20,20,22,200,22,200,240,0,0,100,100,0,6,0,0,240,0,0,0,0,0,0,0,0,0,1600,30,0,0,0,0,0,1,0,0,0,1,0,30,0,0,1,1,1
810000119,??? ??,3,53,5409,82,168,168,168,464,0,95,105,95,105,132,-800,124,0,36,0,0,29,110,138,50,50,50,50,325,150,2,3,27,27,0,0,20,20,31,200,31,200,825,0,0,100,100,0,45,0,0,825,0,0,0,0,0,0,0,0,0,1600,30,0,0,0,0,0,1,0,0,0,1,0,30,0,0,1,1,1
810000120,???,3,16,555,30,50,50,50,128,0,95,105,95,105,132,-800,33,0,8,0,0,10,29,36,50,50,50,50,325,150,2,3,8,8,0,0,20,20,23,200,23,200,270,0,0,100,100,0,8,0,0,270,0,0,0,0,0,0,0,0,0,1600,30,0,0,0,0,0,1,0,0,0,1,0,30,0,0,1,1,1
810000121,?? ???,3,16,5550,30,50,50,50,128,0,95,105,95,105,132,-800,33,0,8,0,0,10,29,36,50,50,50,50,325,150,2,3,8,8,0,0,20,20,23,200,23,200,270,0,0,100,100,0,8,0,0,270,0,0,0,0,0,0,0,0,0,1600,30,0,0,0,0,0,1,0,0,0,1,0,30,0,0,2,1,1
810000122,?? ???,3,125,379950,183,459,459,459,1293,0,95,105,95,105,132,-800,472,0,90,0,0,65,418,526,50,50,50,50,325,150,2,3,63,63,0,0,20,20,55,200,55,200,1905,0,0,100,100,0,117,0,0,1905,0,0,0,0,0,0,0,0,0,1600,30,0,0,0,0,0,1,0,0,0,1,0,30,0,0,2,1,1
810000123,?? ?,3,23,1091,40,71,71,71,187,0,95,105,95,105,132,-800,47,0,13,0,0,14,41,52,50,50,50,50,325,150,2,3,12,12,0,0,20,20,24,200,24,200,375,0,0,100,100,0,15,0,0,375,0,0,0,0,0,0,0,0,0,1600,30,0,0,0,0,0,1,0,0,0,1,0,30,0,0,1,1,1
810000124,???,3,22,1004,39,68,68,68,179,0,95,105,95,105,132,-800,45,0,13,0,0,13,39,50,50,50,50,50,325,150,2,3,11,11,0,0,20,20,24,200,24,200,360,0,0,100,100,0,14,0,0,360,0,0,0,0,0,0,0,0,0,1600,30,0,0,0,0,0,1,0,0,0,1,0,30,0,0,1,1,1
810000125,???,3,28,1583,47,86,86,86,230,0,95,105,95,105,132,-800,58,0,17,0,0,16,51,65,50,50,50,50,325,150,2,3,14,14,0,0,20,20,25,200,25,200,450,0,0,100,100,0,20,0,0,450,0,0,0,0,0,0,0,0,0,1600,30,0,0,0,0,0,1,0,0,0,1,0,30,0,0,1,1,1
810000126,??,3,37,2698,60,114,114,114,311,0,95,105,95,105,132,-800,79,0,24,0,0,21,70,88,50,50,50,50,325,150,2,3,19,19,0,0,20,20,27,200,27,200,585,0,0,100,100,0,29,0,0,585,0,0,0,0,0,0,0,0,0,1600,30,0,0,0,0,0,1,0,0,0,1,0,30,0,0,1,1,1
810000127,??,3,36,2560,58,111,111,111,302,0,95,105,95,105,132,-800,77,0,23,0,0,20,68,86,50,50,50,50,325,150,2,3,18,18,0,0,20,20,27,200,27,200,570,0,0,100,100,0,28,0,0,570,0,0,0,0,0,0,0,0,0,1600,30,0,0,0,0,0,1,0,0,0,1,0,30,0,0,1,1,1
810000128,???,3,25,1277,43,77,77,77,204,0,95,105,95,105,132,-800,51,0,15,0,0,15,45,57,50,50,50,50,325,150,2,3,13,13,0,0,20,20,25,200,25,200,405,0,0,100,100,0,17,0,0,405,0,0,0,0,0,0,0,0,0,1600,30,0,0,0,0,0,1,0,0,0,1,0,30,0,0,1,1,1
810000129,??? ???,3,32,2042,53,99,99,99,266,0,95,105,95,105,132,-800,68,0,20,0,0,18,60,75,50,50,50,50,325,150,2,3,16,16,0,0,20,20,26,200,26,200,510,0,0,100,100,0,24,0,0,510,0,0,0,0,0,0,0,0,0,1600,30,0,0,0,0,0,1,0,0,0,1,0,30,0,0,1,1,1
810000130,???G,3,31,1922,51,95,95,95,257,0,95,105,95,105,132,-800,65,0,19,0,0,18,57,72,50,50,50,50,325,150,2,3,16,16,0,0,20,20,26,200,26,200,495,0,0,100,100,0,23,0,0,495,0,0,0,0,0,0,0,0,0,1600,30,0,0,0,0,0,1,0,0,0,1,0,30,0,0,1,1,1
810000131,??? ??,3,35,2425,57,108,108,108,293,0,95,105,95,105,132,-800,74,0,22,0,0,20,65,82,50,50,50,50,325,150,2,3,18,18,0,0,20,20,27,200,27,200,555,0,0,100,100,0,27,0,0,555,0,0,0,0,0,0,0,0,0,1600,30,0,0,0,0,0,1,0,0,0,1,0,30,0,0,1,1,1
810000132,?? ?,3,24,1182,42,74,74,74,196,0,95,105,95,105,132,-800,49,0,14,0,0,14,43,54,50,50,50,50,325,150,2,3,12,12,0,0,20,20,24,200,24,200,390,0,0,100,100,0,16,0,0,390,0,0,0,0,0,0,0,0,0,1600,30,0,0,0,0,0,1,0,0,0,1,0,30,0,0,1,1,1
810000133,???,3,38,2840,61,118,118,118,320,0,95,105,95,105,132,-800,82,0,25,0,0,21,72,91,50,50,50,50,325,150,2,3,19,19,0,0,20,20,27,200,27,200,600,0,0,100,100,0,30,0,0,600,0,0,0,0,0,0,0,0,0,1600,30,0,0,0,0,0,1,0,0,0,1,0,30,0,0,1,1,1
810000134,??,3,39,2986,63,121,121,121,330,0,95,105,95,105,132,-800,84,0,25,0,0,22,74,94,50,50,50,50,325,150,2,3,20,20,0,0,20,20,27,200,27,200,615,0,0,100,100,0,31,0,0,615,0,0,0,0,0,0,0,0,0,1600,30,0,0,0,0,0,1,0,0,0,1,0,30,0,0,1,1,1
810000135,??? ??,3,41,3289,65,128,128,128,348,0,95,105,95,105,132,-800,90,0,27,0,0,23,79,100,50,50,50,50,325,150,2,3,21,21,0,0,20,20,28,200,28,200,645,0,0,100,100,0,33,0,0,645,0,0,0,0,0,0,0,0,0,1600,30,0,0,0,0,0,1,0,0,0,1,0,30,0,0,1,1,1
810000136,?? ??? ??,3,42,3445,67,131,131,131,358,0,95,105,95,105,132,-800,93,0,28,0,0,23,82,103,50,50,50,50,325,150,2,3,21,21,0,0,20,20,28,200,28,200,660,0,0,100,100,0,34,0,0,660,0,0,0,0,0,0,0,0,0,1600,30,0,0,0,0,0,1,0,0,0,1,0,30,0,0,1,1,1
810000137,?? ???,3,40,3136,64,124,124,124,339,0,95,105,95,105,132,-800,87,0,26,0,0,22,77,97,50,50,50,50,325,150,2,3,20,20,0,0,20,20,28,200,28,200,630,0,0,100,100,0,32,0,0,630,0,0,0,0,0,0,0,0,0,1600,30,0,0,0,0,0,1,0,0,0,1,0,30,0,0,1,1,1
810000138,??,3,49,4644,77,154,154,154,424,0,95,105,95,105,132,-800,112,0,33,0,0,27,99,125,50,50,50,50,325,150,2,3,25,25,0,0,20,20,30,200,30,200,765,0,0,100,100,0,41,0,0,765,0,0,0,0,0,0,0,0,0,1600,30,0,0,0,0,0,1,0,0,0,1,0,30,0,0,1,1,1
810000139,??? ?? ?,3,43,3605,68,134,134,134,367,0,95,105,95,105,132,-800,95,0,28,0,0,24,84,106,50,50,50,50,325,150,2,3,22,22,0,0,20,20,28,200,28,200,675,0,0,100,100,0,35,0,0,675,0,0,0,0,0,0,0,0,0,1600,30,0,0,0,0,0,1,0,0,0,1,0,30,0,0,1,1,1
810000140,??? ?? ?,3,44,3769,70,137,137,137,376,0,95,105,95,105,132,-800,99,0,29,0,0,24,87,110,50,50,50,50,325,150,2,3,22,22,0,0,20,20,29,200,29,200,690,0,0,100,100,0,36,0,0,690,0,0,0,0,0,0,0,0,0,1600,30,0,0,0,0,0,1,0,0,0,1,0,30,0,0,1,1,1
810000141,??? ?? ?,3,45,3937,71,141,141,141,386,0,95,105,95,105,132,-800,101,0,30,0,0,25,89,112,50,50,50,50,325,150,2,3,23,23,0,0,20,20,29,200,29,200,705,0,0,100,100,0,37,0,0,705,0,0,0,0,0,0,0,0,0,1600,30,0,0,0,0,0,1,0,0,0,1,0,30,0,0,1,1,1
810000142,??? ?? ?,3,46,4108,72,144,144,144,396,0,95,105,95,105,132,-800,104,0,31,0,0,25,92,116,50,50,50,50,325,150,2,3,23,23,0,0,20,20,29,200,29,200,720,0,0,100,100,0,38,0,0,720,0,0,0,0,0,0,0,0,0,1600,30,0,0,0,0,0,1,0,0,0,1,0,30,0,0,1,1,1
810000143,??? ?? ?,3,47,4283,74,148,148,148,405,0,95,105,95,105,132,-800,107,0,31,0,0,26,94,119,50,50,50,50,325,150,2,3,24,24,0,0,20,20,29,200,29,200,735,0,0,100,100,0,39,0,0,735,0,0,0,0,0,0,0,0,0,1600,30,0,0,0,0,0,1,0,0,0,1,0,30,0,0,1,1,1
810000144,????,3,50,48300,78,158,158,158,434,0,95,105,95,105,132,-800,116,0,34,0,0,27,102,129,50,50,50,50,325,150,2,3,25,25,0,0,20,20,30,200,30,200,780,0,0,100,100,0,42,0,0,780,0,0,0,0,0,0,0,0,0,1600,30,0,0,0,0,0,1,0,0,0,1,0,30,0,0,1,1,1
810000145,??? ???,3,55,5813,85,175,175,175,484,0,95,105,95,105,132,-800,131,0,37,0,0,30,115,146,50,50,50,50,325,150,2,3,28,28,0,0,20,20,31,200,31,200,855,0,0,100,100,0,47,0,0,855,0,0,0,0,0,0,0,0,0,1600,30,0,0,0,0,0,1,0,0,0,1,0,30,0,0,1,1,1
810000146,?? ??,3,51,5019,79,161,161,161,444,0,95,105,95,105,132,-800,118,0,34,0,0,28,104,132,50,50,50,50,325,150,2,3,26,26,0,0,20,20,30,200,30,200,795,0,0,100,100,0,43,0,0,795,0,0,0,0,0,0,0,0,0,1600,30,0,0,0,0,0,1,0,0,0,1,0,30,0,0,1,1,1
810000147,??,3,21,920,37,65,65,65,170,0,95,105,95,105,132,-165,42,0,12,0,0,13,37,47,50,50,50,50,325,150,2,3,11,11,0,0,20,20,24,200,24,200,345,0,0,100,100,0,13,0,0,345,0,0,0,0,0,0,0,0,0,1600,30,0,0,0,0,0,0,0,0,0,1,0,30,0,0,1,1,1
810000148,????,3,125,37995,183,459,459,459,1293,0,95,105,95,105,132,-165,472,0,90,0,0,65,418,526,50,50,50,50,325,150,2,3,63,63,0,0,20,20,55,200,55,200,1905,0,0,100,100,0,117,0,0,1905,0,0,0,0,0,0,0,0,0,1600,30,0,0,0,0,0,0,0,0,0,1,0,30,0,0,1,1,1
810000149,?????,3,50,4830,78,158,158,158,434,0,95,105,95,105,132,-800,116,0,34,0,0,27,102,129,50,50,50,50,325,150,2,3,25,25,0,0,20,20,30,200,30,200,780,0,0,100,100,0,42,0,0,780,0,0,0,0,0,0,0,0,0,1600,30,0,0,0,0,0,1,0,0,0,1,0,30,0,0,1,1,1
810000150,??? ??,3,52,5212,81,165,165,165,454,0,95,105,95,105,132,-800,121,0,35,0,0,28,107,135,50,50,50,50,325,150,2,3,26,26,0,0,20,20,30,200,30,200,810,0,0,100,100,0,44,0,0,810,0,0,0,0,0,0,0,0,0,1600,30,0,0,0,0,0,1,0,0,0,1,0,30,0,0,1,1,1
810000151,???,3,54,5609,84,172,172,172,474,0,95,105,95,105,132,-800,128,0,37,0,0,29,113,142,50,50,50,50,325,150,2,3,27,27,0,0,20,20,31,200,31,200,840,0,0,100,100,0,46,0,0,840,0,0,0,0,0,0,0,0,0,1600,30,0,0,0,0,0,1,0,0,0,1,0,30,0,0,1,1,1
810000152,??,3,58,6447,89,186,186,186,514,0,95,105,95,105,132,-800,141,0,40,0,0,31,125,157,50,50,50,50,325,150,2,3,29,29,0,0,20,20,32,200,32,200,900,0,0,100,100,0,50,0,0,900,0,0,0,0,0,0,0,0,0,1600,30,0,0,0,0,0,1,0,0,0,1,0,30,0,0,1,1,1
810000153,??? ??,3,59,6665,91,189,189,189,524,0,95,105,95,105,132,-800,144,0,40,0,0,32,127,160,50,50,50,50,325,150,2,3,30,30,0,0,20,20,32,200,32,200,915,0,0,100,100,0,51,0,0,915,0,0,0,0,0,0,0,0,0,1600,30,0,0,0,0,0,1,0,0,0,1,0,30,0,0,1,1,1
810000154,???,3,60,6888,92,193,193,193,534,0,95,105,95,105,132,-800,147,0,41,0,0,32,130,164,50,50,50,50,325,150,2,3,30,30,0,0,20,20,32,200,32,200,930,0,0,100,100,0,52,0,0,930,0,0,0,0,0,0,0,0,0,1600,30,0,0,0,0,0,1,0,0,0,1,0,30,0,0,1,1,1
810000155,???,3,63,7576,96,204,204,204,565,0,95,105,95,105,132,-800,158,0,43,0,0,34,139,176,50,50,50,50,325,150,2,3,32,32,0,0,20,20,33,200,33,200,975,0,0,100,100,0,55,0,0,975,0,0,0,0,0,0,0,0,0,1600,30,0,0,0,0,0,1,0,0,0,1,0,30,0,0,1,1,1
810000156,?????,3,62,7343,95,200,200,200,555,0,95,105,95,105,132,-800,155,0,43,0,0,33,137,172,50,50,50,50,325,150,2,3,31,31,0,0,20,20,33,200,33,200,960,0,0,100,100,0,54,0,0,960,0,0,0,0,0,0,0,0,0,1600,30,0,0,0,0,0,1,0,0,0,1,0,30,0,0,1,1,1
810000157,??? ???,3,57,6232,88,182,182,182,504,0,95,105,95,105,132,-800,138,0,39,0,0,31,122,153,50,50,50,50,325,150,2,3,29,29,0,0,20,20,32,200,32,200,885,0,0,100,100,0,49,0,0,885,0,0,0,0,0,0,0,0,0,1600,30,0,0,0,0,0,1,0,0,0,1,0,30,0,0,1,1,1
810000158,? ??,3,95,118575,118575,570,570,570,570,30,95,105,95,105,180,-800,219,0,67,0,0,250,350,409,50,50,50,0,1625,750,2,3,71,71,0,0,20,20,56,200,56,200,1455,0,0,100,100,0,87,0,0,1425,0,0,0,0,0,0,0,0,0,1600,30,0,0,0,0,0,1,0,0,0,1,0,30,0,0,1,1,1
810000159,??? ?? ?,3,49,46440,77,154,154,154,424,0,95,105,95,105,132,-800,112,0,33,0,0,27,99,125,50,50,50,50,325,150,2,3,25,25,0,0,20,20,30,200,30,200,765,0,0,100,100,0,41,0,0,765,0,0,0,0,0,0,0,0,0,1600,30,0,0,0,0,0,1,0,0,0,1,0,30,0,0,1,1,1
810000160,??,3,101,21934,149,353,353,353,990,0,95,105,95,105,132,-800,324,0,72,0,0,53,287,361,50,50,50,50,325,150,2,3,51,51,0,0,20,20,45,200,45,200,1545,0,0,100,100,0,93,0,0,1545,0,0,0,0,0,0,0,0,0,1600,30,0,0,0,0,0,1,0,0,0,1,0,30,0,0,1,1,1
810000161,????,3,100,18760,148,349,349,349,978,0,95,105,95,105,132,-800,320,0,71,0,0,52,283,356,50,50,50,50,325,150,2,3,50,50,0,0,20,20,45,200,45,200,1530,0,0,100,100,0,92,0,0,1530,0,0,0,0,0,0,0,0,0,1600,30,0,0,0,0,0,1,0,0,0,1,0,30,0,0,1,1,1
810000162,???,9,1,42,42,13,13,13,13,0,95,105,95,105,156,-800,3,0,0,0,0,6,6,8,50,50,50,0,650,300,2,3,0,0,0,0,20,20,30,200,30,200,45,0,0,100,100,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1600,30,0,0,0,0,0,1,1,0,0,0,0,30,0,0,1,0,1
810000163,???,0,1,42,42,13,13,13,13,0,95,105,95,105,156,-800,3,0,0,0,0,6,6,8,50,50,50,0,650,300,2,3,0,0,0,0,20,20,30,200,30,200,45,0,0,100,100,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1600,30,0,0,0,0,0,1,1,0,0,0,0,30,0,0,1,0,1
810000164,????,3,56,6021,86,179,179,179,494,0,95,105,95,105,132,-800,134,0,38,0,0,30,118,150,50,50,50,50,325,150,2,3,28,28,0,0,20,20,31,200,31,200,870,0,0,100,100,0,48,0,0,870,0,0,0,0,0,0,0,0,0,1600,30,0,0,0,0,0,1,0,0,0,1,0,30,0,0,1,1,1
810000165,???,3,58,6447,89,186,186,186,514,0,95,105,95,105,132,-195,141,0,40,0,0,31,125,157,50,50,50,50,325,150,2,3,29,29,0,0,20,20,32,200,32,200,900,0,0,100,100,0,50,0,0,900,0,0,0,0,0,0,0,0,0,1600,30,0,0,0,0,0,0,0,0,0,1,0,30,0,0,1,1,1
810000166,??,3,59,6665,91,189,189,189,524,0,95,105,95,105,132,-800,144,0,40,0,0,32,127,160,50,50,50,50,325,150,2,3,30,30,0,0,20,20,32,200,32,200,915,0,0,100,100,0,51,0,0,915,0,0,0,0,0,0,0,0,0,1600,30,0,0,0,0,0,1,0,0,0,1,0,30,0,0,1,1,1
810000167,????,3,60,6888,92,193,193,193,534,0,95,105,95,105,132,-800,147,0,41,0,0,32,130,164,50,50,50,50,325,150,2,3,30,30,0,0,20,20,32,200,32,200,930,0,0,100,100,0,52,0,0,930,0,0,0,0,0,0,0,0,0,1600,30,0,0,0,0,0,1,0,0,0,1,0,30,0,0,1,1,1
810000168,???,3,61,7113,93,196,196,196,544,0,95,105,95,105,132,-195,151,0,42,0,0,33,133,168,50,50,50,50,325,150,2,3,31,31,0,0,20,20,33,200,33,200,945,0,0,100,100,0,53,0,0,945,0,0,0,0,0,0,0,0,0,1600,30,0,0,0,0,0,0,0,0,0,1,0,30,0,0,1,1,1
810000169,?????,3,57,6232,88,182,182,182,504,0,95,105,95,105,132,-800,138,0,39,0,0,31,122,153,50,50,50,50,325,150,2,3,29,29,0,0,20,20,32,200,32,200,885,0,0,100,100,0,49,0,0,885,0,0,0,0,0,0,0,0,0,1600,30,0,0,0,0,0,1,0,0,0,1,0,30,0,0,1,1,1
810000170,???,3,17,621,32,53,53,53,137,0,95,105,95,105,132,-800,34,0,9,0,0,11,30,38,50,50,50,50,325,150,2,3,9,9,0,0,20,20,23,200,23,200,285,0,0,100,100,0,9,0,0,285,0,0,0,0,0,0,0,0,0,1600,30,0,0,0,0,0,1,0,0,0,1,0,30,0,0,1,1,1
