ID,_Name,_PassiveSkill_Type,_Priority,_Description,_StatusType1,_StatusValue1,_StatusType2,_StatusValue2,_EffectType
700103048,??? [???],3,1,爆擊傷害 B %+d%%,464,38,0,0,0
700103049,?? ??? [???],3,1,爆擊傷害 B %+d%%,464,38,0,0,0
700103620,???,4,1,爆擊傷害 C %+d%%,464,22,0,0,0
700103621,?? ???,4,1,爆擊傷害 C %+d%%,464,22,0,0,0
700103626,?? ???[???],4,2,爆擊傷害 C %+d%%,464,26,0,0,0
700103628,高級裝模作樣的哈士奇[永久],4,2,爆擊傷害 C %+d%%,464,26,0,0,0
700103629,高級有氣質的哈士奇[永久],4,2,爆擊傷害 C %+d%%,464,26,0,0,0
700108701,??,4,3,爆擊傷害 C %+d%%,464,60,0,0,0
700108702,?? [???],4,3,爆擊傷害 C %+d%%,464,60,0,0,0
700102820,?? ????,5,1,最大傷害 A %+d%%,461,7,0,0,0
700102821,?? ?? ????,5,1,最大傷害 A %+d%%,461,7,0,0,0
700102920,??? ????,5,1,最大傷害 A %+d%%,461,7,0,0,0
700102921,?? ??? ????,5,1,最大傷害 A %+d%%,461,7,0,0,0
700100820,??? [???],5,2,最大傷害 A %+d%%,461,11,0,0,0
700100920,??? [???],5,2,最大傷害 A %+d%%,461,11,0,0,0
700102520,??,5,2,最大傷害 A %+d%%,461,11,0,0,0
700102521,?? ??,5,2,最大傷害 A %+d%%,461,11,0,0,0
700103520,???,5,2,最大傷害 A %+d%%,461,11,0,0,0
700103521,?? ???,5,2,最大傷害 A %+d%%,461,11,0,0,0
700102526,??? ??? ?? (30?),5,2,最大傷害 A %+d%%,461,11,0,0,0
700100821,?? ??? [???],5,2,最大傷害 A %+d%%,461,11,0,0,0
700100921,?? ??? [???],5,2,最大傷害 A %+d%%,461,11,0,0,0
700103120,??,5,3,最大傷害 A %+d%%,461,13,0,0,1
700103121,?? ??,5,3,最大傷害 A %+d%%,461,13,0,0,1
700102927,?? ???? [???],5,3,最大傷害 A %+d%%,461,13,0,0,0
700102928,高級裝模作樣的女僕[永久],5,3,最大傷害 A %+d%%,461,13,0,0,0
700102828,高級裝模作樣的執事[永久],5,3,最大傷害 A %+d%%,461,13,0,0,0
700102827,?? ???? [???],5,3,最大傷害 A %+d%%,461,13,0,0,0
700102929,高級有氣質的女僕[永久],5,3,最大傷害 A %+d%%,461,13,0,0,0
700102829,高級有氣質的執事[永久],5,3,最大傷害 A %+d%%,461,13,0,0,0
700103131,?? [???],5,3,最大傷害 A %+d%%,461,13,0,0,1
700103132,?? ?? [???],5,3,最大傷害 A %+d%%,461,13,0,0,1
700103133,?? [???] [????],5,3,最大傷害 A %+d%%,461,13,0,0,1
700104820,???,5,4,最大傷害 A %+d%%,461,15,0,0,0
700104821,?? ???,5,4,最大傷害 A %+d%%,461,15,0,0,0
700104826,??? ??? ???,5,4,最大傷害 A %+d%%,461,15,0,0,0
700104828,??? ???,5,4,最大傷害 A %+d%%,461,15,0,0,0
700104831,??? [???],5,4,最大傷害 A %+d%%,461,15,0,0,0
700104832,?? ??? [???],5,4,最大傷害 A %+d%%,461,15,0,0,0
700108201,???,5,5,最大傷害 A %+d%%,461,30,0,0,0
700108202,??? [???],5,5,最大傷害 A %+d%%,461,30,0,0,0
700108203,??? (15?),5,5,最大傷害 A %+d%%,461,30,0,0,0
700110301,??? [???],5,6,最大傷害 A %+d%%,461,60,0,0,0
700109401,??? [???],6,1,最大傷害 B %+d%%,461,60,0,0,0
700109402,??? ??? ??? (30?),6,1,最大傷害 B %+d%%,461,60,0,0,0
700107201,??,7,1,最大傷害 C %+d%%,461,15,0,0,0
700107202,??? ??? ?? (15?),7,1,最大傷害 C %+d%%,461,15,0,0,0
700107203,?? [???],7,1,最大傷害 C %+d%%,461,15,0,0,0
700110001,?? [???],7,2,最大傷害 C %+d%%,461,60,0,0,0
700110002,[???] ??(60?),7,2,最大傷害 C %+d%%,461,60,0,0,0
700101020,??,8,1,最小傷害 A %+d%%,462,15,0,0,0
700101021,?? ??,8,1,最小傷害 A %+d%%,462,15,0,0,0
700103720,??? ??,8,1,最小傷害 A %+d%%,462,15,0,0,0
700103721,?? ??? ??,8,1,最小傷害 A %+d%%,462,15,0,0,0
700103726,??? ??? ????? (15?),8,1,最小傷害 A %+d%%,462,15,0,0,0
700103727,??? ??? ????? (30?),8,1,最小傷害 A %+d%%,462,15,0,0,0
700103731,??? ?? [???],8,1,最小傷害 A %+d%%,462,15,0,0,0
700103732,?? ??? ?? [???],8,1,最小傷害 A %+d%%,462,15,0,0,0
700101029,[???] ?? ?? [???],8,1,最小傷害 A %+d%%,462,15,0,0,0
700109001,??? [???],8,2,最小傷害 A %+d%%,462,60,0,0,0
700105320,? ??,9,1,最小傷害 B %+d%%,462,20,0,0,0
700105321,?? ? ??,9,1,最小傷害 B %+d%%,462,20,0,0,0
700105326,??? ??? ? ??(60?),9,1,最小傷害 B %+d%%,462,20,0,0,0
700105327,??? ??? ? ??(30?),9,1,最小傷害 B %+d%%,462,20,0,0,0
700105331,??? ? ?? (15?),9,1,最小傷害 B %+d%%,462,20,0,0,0
700105332,???? ???,9,1,最小傷害 B %+d%%,462,20,0,0,0
700105333,? ?? [???],9,1,最小傷害 B %+d%%,462,20,0,0,0
700105334,?? ? ?? [???],9,1,最小傷害 B %+d%%,462,20,0,0,0
700105335,? ?? [???] [????],9,1,最小傷害 B %+d%%,462,20,0,0,0
700109901,???? [???],9,2,最小傷害 B %+d%%,462,60,0,0,0
700109902,[???] ????(60?),9,2,最小傷害 B %+d%%,462,60,0,0,0
700103526,???? ???,10,1,最小傷害 C %+d%%,462,20,0,0,0
700103528,???? ??? [???],10,1,最小傷害 C %+d%%,462,20,0,0,0
700110401,??? [???],10,2,最小傷害 C %+d%%,462,60,0,0,0
1100000033,布迪奇娜,11,1,最小/最大傷害 A %+d%%,585,13,0,0,0
700107501,?? [???],11,2,最小/最大傷害 A %+d%%,585,20,0,0,0
700107502,[???] ??(60?),11,2,最小/最大傷害 A %+d%%,585,20,0,0,0
700110101,?? [???],12,1,最小/最大傷害 B %+d%%,585,30,0,0,0
700104420,??,13,1,武器攻擊力/屬性力 A +%d,586,25,0,0,0
700104421,?? ??,13,1,武器攻擊力/屬性力 A +%d,586,25,0,0,0
700104426,??? ??? ?? (15?),13,1,武器攻擊力/屬性力 A +%d,586,25,0,0,0
700104427,??? ??? ?? (30?),13,1,武器攻擊力/屬性力 A +%d,586,25,0,0,0
700104428,???? ?? ?? [???],13,1,武器攻擊力/屬性力 A +%d,586,25,0,0,0
700104429,?? [???],13,1,武器攻擊力/屬性力 A +%d,586,25,0,0,0
700104430,?? ?? [???],13,1,武器攻擊力/屬性力 A +%d,586,25,0,0,0
700108401,?? ????,13,2,武器攻擊力/屬性力 A +%d,586,70,0,0,0
700108402,?? ???? [???],13,2,武器攻擊力/屬性力 A +%d,586,70,0,0,0
700105120,???,14,1,武器攻擊力/屬性力 B +%d,586,25,0,0,0
700105121,?? ???,14,1,武器攻擊力/屬性力 B +%d,586,25,0,0,0
700105126,??? ??? ???,14,1,武器攻擊力/屬性力 B +%d,586,25,0,0,0
700105127,10?? ???,14,1,武器攻擊力/屬性力 B +%d,586,25,0,0,0
700105131,??? [???],14,1,武器攻擊力/屬性力 B +%d,586,25,0,0,0
700105132,?? ??? [???],14,1,武器攻擊力/屬性力 B +%d,586,25,0,0,0
700108801,??,14,2,武器攻擊力/屬性力 B +%d,586,70,0,0,0
700108802,?? [???],14,2,武器攻擊力/屬性力 B +%d,586,70,0,0,0
700106401,?? ???,15,1,武器攻擊力/屬性力(%%) A %+d%%,587,5,0,0,0
700106402,?? ?? ???,15,1,武器攻擊力/屬性力(%%) A %+d%%,587,5,0,0,0
700106403,??? ??? ????? (15?),15,1,武器攻擊力/屬性力(%%) A %+d%%,587,5,0,0,0
700106404,??? ?? ??? (15?),15,1,武器攻擊力/屬性力(%%) A %+d%%,587,5,0,0,0
700106405,??? ??? ????? (30?),15,1,武器攻擊力/屬性力(%%) A %+d%%,587,5,0,0,0
700106410,?? ??? [???],15,1,武器攻擊力/屬性力(%%) A %+d%%,587,5,0,0,0
700106411,?? ?? ??? [???],15,1,武器攻擊力/屬性力(%%) A %+d%%,587,5,0,0,0
700107001,藍寶怪,16,1,武器攻擊力/屬性力(%%) B %+d%%,587,5,0,0,0
700108101,??? [???],16,2,武器攻擊力/屬性力(%%) B %+d%%,587,7,0,0,0
700108102,??? ???,16,2,武器攻擊力/屬性力(%%) B %+d%%,587,7,0,0,0
700107601,???,19,1,一般怪物支配力 A +3%%,573,30,0,0,0
700107602,??? (15?),19,1,一般怪物支配力 A +3%%,573,30,0,0,0
700107603,??? [???],19,1,一般怪物支配力 A +3%%,573,30,0,0,0
700107801,????,20,1,BOSS怪物支配力 A +5%%,574,50,0,0,0
700107802,???? [???],20,1,BOSS怪物支配力 A +5%%,574,50,0,0,0
700107803,???? (15?),20,1,BOSS怪物支配力 A +5%%,574,50,0,0,0
700107806,[???] ????(60?),20,1,BOSS怪物支配力 A +5%%,574,50,0,0,0
700109801,??? [???],21,1,一般/BOSS怪物支配力 A +3%%,573,30,574,30,0
700109802,[???] ???(60?),21,1,一般/BOSS怪物支配力 A +3%%,573,30,574,30,0
700101320,??? [???],22,1,能力值 A +%d,455,165,0,0,0
700101321,?? ??? [???],22,1,能力值 A +%d,455,165,0,0,0
700101420,???? [???],22,1,能力值 A +%d,455,165,0,0,0
700101421,?? ???? [???],22,1,能力值 A +%d,455,165,0,0,0
700105820,??,22,2,能力值 A +%d,594,350,0,0,0
700105821,?? ??,22,2,能力值 A +%d,594,350,0,0,0
700105828,?? [???],22,2,能力值 A +%d,594,350,0,0,0
700105834,?? ?? [???],22,2,能力值 A +%d,594,350,0,0,0
700105829,裝模作樣的綿羊 [永久],22,2,能力值 A +%d,594,350,0,0,0
700105830,有氣質的綿羊 [永久],22,2,能力值 A +%d,594,350,0,0,0
700107901,?? [???],22,3,能力值 A +%d,594,1500,0,0,0
700107902,?? (15?),22,3,能力值 A +%d,594,1500,0,0,0
700107903,??? ??? ?? (30?),22,3,能力值 A +%d,594,1500,0,0,0
700107701,?? ??? [???],23,1,能力值 B +%d,455,1000,0,0,0
700107702,[???] ?? ???(60?),23,1,能力值 B +%d,455,1000,0,0,0
700109201,??? [???],24,1,能力值(%%) A %+d%%,456,10,0,0,0
700109202,[???] ???(60?),24,1,能力值(%%) A %+d%%,456,10,0,0,0
700102120,???? [???],25,1,能力值(%%) B %+d%%,27,13,0,0,0
700102121,?? ???? [???],25,1,能力值(%%) B %+d%%,27,13,0,0,0
700102220,???? [???],25,1,能力值(%%) B %+d%%,27,13,0,0,0
700102221,?? ???? [???],25,1,能力值(%%) B %+d%%,27,13,0,0,0
700105931,[???] ??? ?? (15?),26,1,能力值(%%) C %+d%%,456,5,0,0,0
700106103,[???] ?? ?? (30?),26,2,能力值(%%) C %+d%%,456,7,0,0,0
700101529,????? ?? (30?),26,2,能力值(%%) C %+d%%,456,7,0,0,0
700101530,????? ?? (60?),26,2,能力值(%%) C %+d%%,456,7,0,0,0
700105620,??,27,1,能力值 A +200\n能力值(%%) A +7%%,455,200,456,7,0
700105621,?? ??,27,1,能力值 A +200\n能力值(%%) A +7%%,455,200,456,7,0
700105628,?? [???],27,1,能力值 A +200\n能力值(%%) A +7%%,455,200,456,7,0
700105634,?? ?? [???],27,1,能力值 A +200\n能力值(%%) A +7%%,455,200,456,7,0
700105638,??? ??? ?? (30?),27,1,能力值 A +200\n能力值(%%) A +7%%,455,200,456,7,0
700105629,裝模作樣的露露 [永久],27,1,能力值 A +200\n能力值(%%) A +7%%,455,200,456,7,0
700105630,有氣質的露露 [永久],27,1,能力值 A +200\n能力值(%%) A +7%%,455,200,456,7,0
700109501,??? [???],27,2,能力值 A +1000\n能力值(%%) A +10%%,455,1000,456,10,0
700109502,[???] ???(60?),27,2,能力值 A +1000\n能力值(%%) A +10%%,455,1000,456,10,0
700106902,??? ?? (15?),28,1,能力值(%%) A +2%%\nHP(%%) A +2%%,456,2,31,2,0
700106903,??? ??,28,1,能力值(%%) A +2%%\nHP(%%) A +2%%,456,2,31,2,0
1100000085,望,28,2,能力值(%%) A +5%%\nHP(%%) A +5%%,456,5,31,5,0
700105203,??,29,1,固定傷害 A +%d,496,300,0,0,0
700105228,?? [???],29,1,固定傷害 A +%d,496,300,0,0,0
700106301,???,29,2,固定傷害 A +%d,496,800,0,0,0
700106302,??? ??? ??? (15?),29,3,固定傷害 A +%d,496,800,0,0,0
700106303,??? ??? (15?),29,3,固定傷害 A +%d,496,800,0,0,0
700106304,??? ??? ??? (30?),29,3,固定傷害 A +%d,496,800,0,0,0
700106306,??? [???],29,3,固定傷害 A +%d,496,800,0,0,0
700106307,SUMMER ??? [???],29,3,固定傷害 A +%d,496,800,0,0,0
1100000077,兔兔,30,1,固定傷害(%%) A %+d%%,588,10,0,0,0
1100000082,[活動] 兔兔 (90日),30,1,固定傷害(%%) A %+d%%,588,10,0,0,0
700107401,??,30,1,固定傷害(%%) A %+d%%,588,10,0,0,0
700107402,?? (15?),30,1,固定傷害(%%) A %+d%%,588,10,0,0,0
700107403,?? [???],30,1,固定傷害(%%) A %+d%%,588,10,0,0,0
700106001,?? ???,31,1,冷卻時間減少 A +8%%,440,80,0,0,0
700106002,??? ??? ?? ??? (30?),31,1,冷卻時間減少 A +8%%,440,80,0,0,0
700106003,??? ??? (15?),31,1,冷卻時間減少 A +8%%,440,80,0,0,0
700106004,??? ??? ?? ??? (15?),31,1,冷卻時間減少 A +8%%,440,80,0,0,0
700106005,??? ??? ?? ??? (12??),31,1,冷卻時間減少 A +8%%,440,80,0,0,0
700106006,?? ??? [???],31,1,冷卻時間減少 A +8%%,440,80,0,0,0
700103320,????,32,1,貫穿力 A %+d%%,463,11,0,0,0
700103321,?? ????,32,1,貫穿力 A %+d%%,463,11,0,0,0
700103326,?? ????[???],32,2,貫穿力 A %+d%%,463,13,0,0,0
700103328,高級裝模作樣的鬼火[永久],32,2,貫穿力 A %+d%%,463,13,0,0,0
700103329,高級有氣質的鬼火[永久],32,2,貫穿力 A %+d%%,463,13,0,0,0
700102720,????,32,3,貫穿力 A %+d%%,463,15,0,0,0
700102721,?? ????,32,3,貫穿力 A %+d%%,463,15,0,0,0
700102731,???? [???],32,3,貫穿力 A %+d%%,463,15,0,0,0
700102732,?? ???? [???],32,3,貫穿力 A %+d%%,463,15,0,0,0
700102729,[???] 13?? ???? [???],32,3,貫穿力 A %+d%%,463,15,0,0,0
700100720,?? [???],33,1,迴避率 A %+d%%,497,12,0,0,0
700100721,?? ?? [???],33,1,迴避率 A %+d%%,497,12,0,0,0
700101820,?? [???],33,1,迴避率 A %+d%%,497,12,0,0,0
700101821,?? ?? [???],33,1,迴避率 A %+d%%,497,12,0,0,0
700102020,??? ??,33,1,迴避率 A %+d%%,497,12,0,0,0
700102021,??? ?? ??,33,1,迴避率 A %+d%%,497,12,0,0,0
700104920,?? ?,33,2,迴避率 A %+d%%,497,15,0,0,1
700100620,??? [???],34,1,命中率 A %+d%%,466,15,0,0,0
700100621,?? ??? [???],34,1,命中率 A %+d%%,466,15,0,0,0
700101920,??? [???],34,1,命中率 A %+d%%,466,15,0,0,0
700101921,?? ??? [???],34,1,命中率 A %+d%%,466,15,0,0,0
700105020,?? ??,34,2,命中率 A %+d%%,466,20,0,0,0
700104720,??,35,1,HP(%%) A %+d%%,31,14,0,0,0
700104721,?? ??,35,1,HP(%%) A %+d%%,31,14,0,0,0
700105920,??,35,1,HP(%%) A %+d%%,31,14,0,0,0
700105921,?? ??,35,1,HP(%%) A %+d%%,31,14,0,0,0
700104728,?? [???],35,1,HP(%%) A %+d%%,31,14,0,0,0
700105928,?? [???],35,1,HP(%%) A %+d%%,31,14,0,0,0
700105934,?? ?? [???],35,1,HP(%%) A %+d%%,31,14,0,0,0
700105929,裝模作樣的瑪妮 [永久],35,1,HP(%%) A %+d%%,31,14,0,0,0
700105930,有氣質的瑪妮 [永久],35,1,HP(%%) A %+d%%,31,14,0,0,0
700104734,?? ?? [???],35,1,HP(%%) A %+d%%,31,14,0,0,0
700100420,???? [???],36,1,防禦力 A +%d,216,1100,0,0,0
700100421,?? ???? [???],36,1,防禦力 A +%d,216,1100,0,0,0
700104520,??,36,1,防禦力 A +%d,216,1100,0,0,1
700104521,?? ??,36,1,防禦力 A +%d,216,1100,0,0,1
700104620,??,36,1,防禦力 A +%d,216,1100,0,0,1
700104621,?? ??,36,1,防禦力 A +%d,216,1100,0,0,1
700104528,?? [???],36,1,防禦力 A +%d,216,1100,0,0,1
700104628,?? [???],36,1,防禦力 A +%d,216,1100,0,0,1
700104634,?? ?? [???],36,1,防禦力 A +%d,216,1100,0,0,1
700104534,?? ?? [???],36,1,防禦力 A +%d,216,1100,0,0,1
700106201,?? [???],37,1,經驗值 A %+d%%,124,100,0,0,0
700109301,?? [???],38,1,經驗值 B %+d%%,124,200,0,0,0
700109302,[???] ??(60?),38,1,經驗值 B %+d%%,124,200,0,0,0
700106801,???? [???],39,1,任務獎勵 A %+d%%,488,50,0,0,0
700105402,?? ?? ??,40,1,經驗值/任務獎勵 A    +30%%,124,30,488,30,0
700105403,?? ??,40,1,經驗值/任務獎勵 A    +30%%,124,30,488,30,0
700105406,?? ?? ?? [???],40,2,經驗值/任務獎勵 A    +35%%,124,35,488,35,0
700105409,?? ?? [???] [????],40,2,經驗值/任務獎勵 A    +35%%,124,35,488,35,0
700105407,高級裝模作樣的石頭泥人[永久],40,2,經驗值/任務獎勵 A    +35%%,124,35,488,35,0
700105408,高級有氣質的石頭泥人[永久],40,2,經驗值/任務獎勵 A    +35%%,124,35,488,35,0
700109601,?? [???],40,3,經驗值/任務獎勵 A    +100%%,124,100,488,100,0
700109602,[???] ??(60?),40,3,經驗值/任務獎勵 A    +100%%,124,100,488,100,0
700100520,????,41,1,彩虹幣獲得 A +60%%\n道具掉落率 A +10%%,128,60,132,10,0
700100521,?? ????,41,1,彩虹幣獲得 A +60%%\n道具掉落率 A +10%%,128,60,132,10,0
700100528,???? [???],41,1,彩虹幣獲得 A +60%%\n道具掉落率 A +10%%,128,60,132,10,0
700100534,?? ???? [???],41,1,彩虹幣獲得 A +60%%\n道具掉落率 A +10%%,128,60,132,10,0
700100529,有氣質的黃金豬 [永久],41,1,彩虹幣獲得 A +60%%\n道具掉落率 A +10%%,128,60,132,10,0
700100530,有氣質的黃金豬 [永久],41,1,彩虹幣獲得 A +60%%\n道具掉落率 A +10%%,128,60,132,10,0
700101220,?????,41,2,彩虹幣獲得 A +70%%\n道具掉落率 A +19%%,128,70,132,19,0
700101221,?? ?????,41,2,彩虹幣獲得 A +70%%\n道具掉落率 A +19%%,128,70,132,19,0
700103920,???,41,2,彩虹幣獲得 A +70%%\n道具掉落率 A +19%%,128,70,132,19,1
700103921,?? ???,41,2,彩虹幣獲得 A +70%%\n道具掉落率 A +19%%,128,70,132,19,1
700103926,??? ??? ???,41,2,彩虹幣獲得 A +70%%\n道具掉落率 A +19%%,128,70,132,19,1
700103927,??? ??? ??? (15?),41,2,彩虹幣獲得 A +70%%\n道具掉落率 A +19%%,128,70,132,19,1
700101226,????? [???],41,2,彩虹幣獲得 A +70%%\n道具掉落率 A +19%%,128,70,132,19,0
700103928,??? [???],41,2,彩虹幣獲得 A +70%%\n道具掉落率 A +19%%,128,70,132,19,1
700103929,?? ??? [???],41,2,彩虹幣獲得 A +70%%\n道具掉落率 A +19%%,128,70,132,19,1
700101227,?? ????? [???],41,2,彩虹幣獲得 A +70%%\n道具掉落率 A +19%%,128,70,132,19,0
700103930,????! ?? [???],41,2,彩虹幣獲得 A +70%%\n道具掉落率 A +19%%,128,70,132,19,1
700106601,??[???],42,1,彩虹幣獲得 B +45%%\n道具掉落率 B +8%%,128,45,132,8,0
700106204,???? [???],42,1,彩虹幣獲得 B +45%%\n道具掉落率 B +8%%,128,45,132,8,0
700106205,??? ??? ???? (12??),42,1,彩虹幣獲得 B +45%%\n道具掉落率 B +8%%,128,45,132,8,0
700108301,??? [???],42,1,彩虹幣獲得 B +45%%\n道具掉落率 B +8%%,128,45,132,8,0
700106206,??? ??? ???? (15?),42,1,彩虹幣獲得 B +45%%\n道具掉落率 B +8%%,128,45,132,8,0
700109101,??? [???],42,1,彩虹幣獲得 B +45%%\n道具掉落率 B +8%%,128,45,132,8,0
700110201,???? [???],42,1,彩虹幣獲得 B +45%%\n道具掉落率 B +8%%,128,45,132,8,0
700109701,?? [???],44,1,超人點數 A %+d%%,584,30,0,0,0
700101520,??,45,1,移動速度 A %+d%%,106,12,0,0,1
700101521,?? ??,45,1,移動速度 A %+d%%,106,12,0,0,1
700101526,??? ??? ?? (60?),45,1,移動速度 A %+d%%,106,12,0,0,1
700101528,[???] ????? ??? ??,45,1,移動速度 A %+d%%,106,12,0,0,1
700106901,??,46,1,移動速度 B %+d%%,106,20,0,0,0
700110601,???? ???,29,4,固定傷害 A +%d,496,2000,0,0,0
700106105,[???] ?? ?? (60?),26,2,能力值(%%) C %+d%%,456,7,0,0,0
700110501,??? [???],25,2,能力值(%%) B %+d%%,456,13,0,0,0
700110701,???? ??? [???],3,2,爆擊傷害 B %+d%%,464,60,0,0,0
700110801,?? [???],47,1,最終最大傷害 A %+d%%,591,1,0,0,0
1100000001,浣熊(30日),5,4,最大傷害 A %+d%%,461,15,0,0,0
1100000003,白狼(30日),29,1,固定傷害 A +%d,496,300,0,0,0
700105229,裝模作樣的白狼 [永久],29,1,固定傷害 A +%d,496,300,0,0,0
700105230,有氣質的白狼 [永久],29,1,固定傷害 A +%d,496,300,0,0,0
1100000004,企鵝 (15日),8,1,最小傷害 A %+d%%,462,15,0,0,0
1100000022,羞羞兔(30日),41,2,彩虹幣獲得 A +70%%\n道具掉落率 A +19%%,128,70,132,19,0
1100000023,白虎(30日),3,1,爆擊傷害 B %+d%%,464,38,0,0,0
1100000024,瑪妮(30日),35,1,HP(%%) A %+d%%,31,14,0,0,0
1100000025,卡哇伊(30日),13,1,武器攻擊力/屬性力 A +%d,586,25,0,0,0
1100000029,水精靈(30日),22,1,能力值 A +%d,455,165,0,0,0
1100000030,小執事(30日),5,1,最大傷害 A %+d%%,461,7,0,0,0
1100000031,金雷歐(30日),9,1,最小傷害 B %+d%%,462,20,0,0,0
1100000032,奇娜,37,1,經驗值 A %+d%%,124,100,0,0,0
1100000034,想成為英雄的奇娜 (15日),37,1,經驗值 A %+d%%,124,100,0,0,0
1100000035,咕咕雞(30日),7,1,最大傷害 C %+d%%,461,15,0,0,0
1100000036,阿斯蒙蒂斯,11,2,最小/最大傷害 A %+d%%,585,20,0,0,0
1100000037,活動:羞羞兔 (15天),41,2,彩虹幣獲得 A +70%%\n道具掉落率 A +19%%,128,70,132,19,0
1100000042,奇娜(30日),37,1,經驗值 A %+d%%,124,100,0,0,0
1100000043,阿斯蒙蒂斯(60日),11,2,最小/最大傷害 A %+d%%,585,20,0,0,0
1100000044,小鬼喬朗伊(60日),14,1,武器攻擊力/屬性力 B +%d,586,25,0,0,0
1100000045,小藍貓貓(60日),33,1,迴避率 A %+d%%,497,12,0,0,0
1100000046,耶比妹妹(15日),34,1,命中率 A %+d%%,466,15,0,0,0
1100000048,布朗妮(永久),32,3,貫穿力 A %+d%%,463,15,0,0,0
1100000049,HAPPY,22,3,能力值 A +%d,594,1500,0,0,0
1100000051,活動:小黃金豬(15日),41,1,彩虹幣獲得 A +60%%\n道具掉落率 A +10%%,128,60,132,10,0
1100000055,麒麟(60日),16,2,武器攻擊力/屬性力(%%) B %+d%%,587,7,0,0,0
1100000057,活動:小蜜蜂,34,2,命中率 A %+d%%,466,20,0,0,0
1100000058,活動:羞羞兔 [永久制],41,2,彩虹幣獲得 A +70%%\n道具掉落率 A +19%%,128,70,132,19,0
