ID,_Check,_Des
283,3820001,?? ?? ?? ?? ?(?? ID)
284,6,?? UI? ???? ?? ?? ?
285,190146091,?? ?? ?? ??? ?? ?? ???(1?? ??)
286,4,?? ?? ?? ?? ?? ??
287,10000000,?? ?? ?? ?? ??? ??
288,4,?? ?? ?? ?? ??
289,11,?? ?? ?? ?? ??
290,1,?? ?? ?? ??? ?? ??
291,190146190,?? ?? ?? ??? ?? ??? ID(1?? ??)
292,190146191,?? ?? ?? ??? ?? ??? ID(2?? ??)
293,1000000,??? ? ?? ?? ???
294,1000,??? ? 1? ?? ???
295,25,??? ? 1? ??
296,25,??? ? 2? ??
297,25,??? ? 3? ??
298,25,??? ? 4? ??
299,230,??? ? ?? ?? ??
300,1110,??? ?? ? ?? ?? (CLASS_REQ? ITEM ID ? ??)
301,60,"??? ??? ?? ?? ????(1? 1?, min ? 30, max ? 600)"
302,60,"?? ??? ?? ?? ????(1? 1?, min ? 30, max ? 600)"
303,20,"[????] ?? ??? ??? ? ?? ???? (??/?? ?? ?? min ? 20, max ? 29(max ?? ?? ??(301,302)? min ? ?? ????))"
304,6,"[????] ??/??? ?? ??? ??? ? ???? ?? ? ?? ?? ? (min ?4 , max ? 8? ??) ?? ??? ?? ?? ????"
305,15,"[????] ??? ??? ? ?? ?? ???? ?? ????(1? 1?) (min ? 5?, max ? 19(max ?? 303? ?? ? ?? ????))"
306,6,"[????-??] ?? ?? ?? ? ?? ? ???? ??? (min ? 4, max ? 8? ??) ?? ??? ?? ?? ????"
307,0,PVP ??? ?? ?? ? STAT.388 (?? ?? ? ?? ??)
308,0,PVP ?? ?? ?? ? STAT. 593 (?? ?? ? ?? ??)
309,10,"??? ?? ??? (1? 1?, min ? 10, max ? 60?? ??)"
310,3,"?? ??? ?? (?? ? 3, ?? 7. ?? ??? ?? ?? ?? ??)"
311,19000502,PVP ??? ?? ? ?? ??? ????? ?? ??? (
312,100000000,PVP ?? ? ?? HP? ??? ???? ? ???? ???? ??
313,1,"?? ?? UI ?? ?? ?? 0 ??, 1???"
314,25,??? ?? ? FIGHT! ??? ??? ???? ?? (10? 1?)
315,30,??? ?? ? ?? ???? FIGHT! ??? ??? ???? ?? ?? (10? 1?)
316,2,??? ?? ?? ?? ?? ?? ?? (?? 2)
317,4,?? ?? ?? ??
318,11,?? ?? ?? ??
319,10000,?? ?? ??? ?? ??
323,220,?? ???? ?? ?? ?? ?
324,190146494,?? ??? ??? ???(1??)
325,190146493,?? ??? ??? ???(2??)
326,1,?? ??? ??? ? ??
327,3,?? ??? ??? ? ?? ?? ??
328,190147017,?? ??? ??? ?? ???(1??)
329,190147016,?? ??? ??? ?? ???(2??)
330,1,?? ??? ?? ?? ??(??)
321,2107220000,??? ???? ?? ?? YYMMDDHHMM (?? ?? ??)
322,2107272359,??? ???? ?? ?? YYMMDDHHMM (?? ?? ??)
400,1,?? ?? ??? ?? ? ?? ??? ?? ?? ID
401,1,?? ?? ?? ? ?? ??? ?
402,,?? ?? ?? ??? ? ?? ??? - ????1
403,,?? ?? ?? ??? ? ?? ??? - ????2
404,,?? ?? ?? ??? ? ?? ??? - ???? 1
405,,?? ?? ?? ??? ? ?? ??? - ???? 2
406,,?? ?? ?? ??? ? ?? ??
407,3,???? ?? ?? ?? ?? ??
408,11,???? ?? ?? ?? ?? ??
409,36,[???] ?? ??? ??? ?? (?? ?? ??/??/???? ??) - Chat_Coloring.ldt Item ?
410,1,?? ?? ?? ??(?? ??)
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
