ID,_Type,_Damage,_KnockBack_Delay,_KnockBack_X,_KnockBack_Time,_Speed_Y,_MotionType
120,4002,15,0,180,1,0,18
121,4002,100,0,220,1,0,19
122,4003,1,0,0,0,0,0
123,4003,25,0,180,1,0,31
124,4003,30,0,180,1,0,18
125,4003,100,0,220,1,0,19
126,4004,2,0,0,0,0,0
127,4004,100,0,250,1,-600,28
128,4005,5,0,0,0,0,0
129,4005,15,0,180,1,0,18
130,4005,100,0,250,1,-600,28
131,4010,15,0,0,0,0,16
132,4010,30,0,0,0,0,17
133,4010,100,0,220,1,0,19
134,4020,5,0,0,0,0,0
135,4020,100,0,180,1,0,18
136,4021,50,0,0,0,0,0
137,4021,100,0,180,1,0,18
138,4030,3,0,0,0,0,0
139,4030,20,0,180,1,0,18
140,4030,100,0,220,1,0,19
141,4100,5,0,0,0,0,0
142,4100,100,0,180,1,0,18
143,4101,5,0,0,0,0,0
144,4101,100,0,180,1,0,18
145,4199,100,0,90,1,0,18
146,4200,100,0,0,0,0,18
147,4210,100,0,0,0,0,0
148,4220,100,0,200,1,-950,18
149,10001,100,0,0,0,-2000,18
150,10002,100,0,0,0,-2000,18
151,10003,100,0,0,0,-2000,18
152,10004,100,0,0,0,-2000,18
153,10005,100,0,0,0,-2000,18
154,10010,100,0,0,0,-2000,18
155,10020,100,0,0,0,-2000,18
156,10021,100,0,0,0,-2000,18
157,10030,100,0,0,0,-2000,18
158,10100,100,0,0,0,-1000,18
159,10101,100,0,0,0,-2000,18
160,10199,100,0,90,1,0,18
161,10200,100,0,0,0,-2000,18
162,10210,100,0,0,0,-2000,18
163,10220,100,0,0,0,-2000,18
164,11001,100,0,0,0,0,0
165,11002,100,0,0,0,0,0
166,11003,100,0,0,0,0,0
167,11004,100,0,0,0,0,0
168,11005,100,0,0,0,0,0
169,11010,100,0,0,0,0,0
170,11020,100,0,0,0,0,0
171,11021,100,0,0,0,0,0
172,11030,100,0,400,0,-950,0
173,11100,100,0,0,0,0,0
174,11101,100,0,0,0,0,0
175,11199,100,0,90,1,0,18
176,11200,100,0,0,0,0,0
177,11210,100,0,0,0,0,0
178,11220,100,0,0,0,0,0
179,12001,100,0,400,1,-900,28
180,12002,100,0,400,1,-900,28
181,12003,100,0,400,1,-900,28
182,12004,100,0,400,1,-900,28
183,12005,100,0,400,1,-900,28
184,12010,100,0,400,1,-900,28
185,12020,100,0,400,1,-900,28
186,12021,100,0,400,1,-900,28
187,12030,100,0,400,1,-900,28
188,12100,100,0,0,0,0,0
189,12101,100,0,0,0,0,0
190,12199,100,0,90,1,0,18
191,12200,100,0,0,0,0,0
192,12210,100,0,0,0,0,0
193,12220,100,0,-450,1,100,18
194,13001,100,0,-300,1,-650,28
195,13002,100,0,-300,1,-650,28
196,13003,100,0,-300,1,-650,28
197,13004,100,0,-300,1,-650,28
198,13005,100,0,-300,1,-650,28
199,13010,100,0,-300,1,-650,28
200,13020,100,0,-300,1,-650,28
201,13021,100,0,-300,1,-650,28
202,13030,100,0,-300,1,-650,28
203,13100,100,0,0,0,0,0
204,13101,100,0,0,0,0,0
205,13199,100,0,90,1,0,18
206,13200,100,0,0,0,0,0
207,13210,100,0,0,0,0,0
208,13220,100,0,150,1,-1050,18
209,14001,3,0,0,0,0,0
210,14001,20,0,100,1,-350,18
211,14001,100,0,100,1,-350,18
212,14002,2,0,0,0,0,0
213,14002,15,0,100,1,-350,18
214,14002,100,0,100,1,-350,18
215,14003,1,0,0,0,0,0
216,14003,25,0,180,1,0,31
217,14003,30,0,100,1,-350,18
218,14003,100,0,100,1,-500,19
219,14004,2,0,0,0,0,0
220,14004,100,0,250,1,-600,28
221,14005,5,0,0,0,0,0
222,14005,15,0,180,1,0,18
223,14005,100,0,250,1,-600,28
224,14010,15,0,0,0,0,16
225,14010,30,0,0,0,0,17
226,14010,100,0,100,1,-500,19
227,14020,5,0,0,0,0,0
228,14020,100,0,100,1,-350,18
229,14021,50,0,0,0,0,0
230,14021,100,0,100,1,-350,18
231,14030,3,0,0,0,0,0
232,14030,20,0,100,1,-350,18
233,14030,100,0,100,1,-500,19
234,14100,5,0,0,0,0,0
235,14100,100,0,100,1,-350,18
236,14101,5,0,0,0,0,0
237,14101,100,0,100,1,-350,18
238,14199,100,0,0,1,-350,18
239,14200,100,0,0,0,0,18
240,14210,100,0,0,0,0,0
241,14220,100,0,350,1,-250,18
242,15001,100,0,0,0,0,0
243,15002,100,0,0,0,0,0
244,15003,100,0,0,0,0,0
245,15004,100,0,0,0,0,0
246,15005,100,0,0,0,0,0
247,15010,100,0,0,0,0,0
248,15020,100,0,0,0,0,0
249,15021,100,0,0,0,0,0
250,15030,100,0,0,0,0,0
251,15100,100,0,0,0,0,0
252,15101,100,0,0,0,0,0
253,15199,100,0,90,1,0,18
254,15200,100,0,0,0,0,0
255,15210,100,0,0,0,0,0
256,15220,100,0,-150,1,-950,18
257,16001,100,0,0,0,0,0
258,16002,100,0,0,0,0,0
259,16003,100,0,0,0,0,0
260,16004,100,0,0,0,0,0
261,16005,100,0,0,0,0,0
262,16010,100,0,0,0,0,0
263,16020,100,0,0,0,0,0
264,16021,100,0,0,0,0,0
265,16030,100,0,0,0,0,0
266,16100,100,0,0,0,0,0
267,16101,100,0,0,0,0,0
268,16199,100,0,90,1,0,18
269,16200,100,0,0,0,0,0
270,16210,100,0,0,0,0,0
271,16220,100,0,-150,1,-400,18
272,17001,100,0,0,0,0,0
273,17002,100,0,0,0,0,0
274,17003,100,0,0,0,0,0
275,17004,100,0,0,0,0,0
276,17005,100,0,0,0,0,0
277,17010,100,0,0,0,0,0
278,17020,100,0,0,0,0,0
279,17021,100,0,0,0,0,0
280,17030,100,0,0,0,0,0
281,17100,100,0,0,0,0,0
282,17101,100,0,0,0,0,0
283,17199,100,0,90,1,0,18
284,17200,100,0,0,0,0,0
285,17210,100,0,0,0,0,0
286,17220,100,0,350,1,-200,18
287,20001,3,0,0,0,0,0
288,20001,20,0,220,2,0,18
289,20001,100,0,450,2,0,18
290,20002,2,0,0,0,0,0
291,20002,15,0,220,2,0,18
292,20002,100,0,450,2,0,18
293,20003,1,0,0,0,0,0
294,20003,25,0,180,1,0,31
295,20003,30,0,220,2,0,18
296,20003,100,0,450,2,0,18
297,20004,2,0,0,0,0,0
298,20004,100,0,250,1,-600,28
299,20005,2,0,0,0,0,0
300,20005,15,0,220,2,0,18
301,20005,100,0,250,1,-600,28
302,20010,15,0,0,0,0,16
303,20010,30,0,0,0,0,17
304,20010,100,0,450,2,0,18
305,20020,5,0,0,0,0,0
306,20020,100,0,220,2,0,18
307,20021,50,0,0,0,0,0
308,20021,100,0,220,2,0,18
309,20030,3,0,0,0,0,0
310,20030,20,0,220,2,0,18
311,20030,100,0,450,2,0,18
312,20100,5,0,0,0,0,0
313,20100,100,0,220,2,0,18
314,20101,5,0,0,0,0,0
315,20101,100,0,220,2,0,18
316,20199,100,0,90,1,0,18
317,20200,100,0,0,0,0,18
318,20210,100,0,0,0,0,0
319,20220,100,0,0,0,0,0
320,21001,100,0,450,4,0,0
321,21002,100,0,450,4,0,0
322,21003,100,0,450,4,0,0
323,21004,100,0,450,4,0,0
324,21005,100,0,450,4,0,0
325,21010,100,0,450,4,0,0
326,21020,100,0,450,4,0,0
327,21021,100,0,450,4,0,0
328,21030,100,0,450,4,0,0
329,21100,100,0,450,4,0,0
330,21101,100,0,450,4,0,0
331,21199,100,0,90,1,0,18
332,21200,100,0,450,4,0,0
333,21210,100,0,450,4,0,0
334,21220,100,0,0,0,0,0
335,30001,100,0,220,1,0,19
336,30002,100,0,220,1,0,19
337,30003,100,0,220,1,0,19
338,30004,100,0,220,1,0,19
339,30005,100,0,220,1,0,19
340,30010,100,0,220,1,0,19
341,30020,100,0,220,1,0,19
342,30021,100,0,220,1,0,19
343,30030,100,0,220,1,0,19
344,30100,100,0,180,1,0,18
345,30101,100,0,180,1,0,18
346,30199,100,0,90,1,0,18
347,30200,100,0,0,0,0,18
348,30210,100,0,0,0,0,0
349,30220,100,0,0,0,0,0
350,50001,100,0,180,1,0,18
351,50002,100,0,180,1,0,18
352,50003,100,0,180,1,0,31
353,50004,100,0,250,1,-600,28
354,50005,100,0,180,1,0,18
355,50010,100,0,0,0,0,16
356,50020,100,0,180,1,0,18
357,50021,100,0,0,0,0,0
358,50030,100,0,180,1,0,18
359,50100,100,0,180,1,0,18
360,50101,100,0,180,1,0,18
361,50199,100,0,90,1,0,18
362,50200,100,0,0,0,0,18
363,50210,100,0,0,0,0,0
364,50220,100,0,0,0,0,0
365,51001,100,0,450,2,0,18
366,51002,100,0,450,2,0,18
367,51003,100,0,180,1,0,31
368,51004,100,0,250,1,-600,28
369,51005,100,0,450,2,0,18
370,51010,100,0,0,0,0,16
371,51020,100,0,450,2,0,18
372,51021,100,0,0,0,0,0
373,51030,100,0,450,2,0,18
374,51100,100,0,450,2,0,18
375,51101,100,0,450,2,0,18
376,51199,100,0,90,1,0,18
377,51200,100,0,0,0,0,18
378,51210,100,0,0,0,0,0
379,51220,100,0,0,0,0,0
380,52001,100,0,50,1,-580,18
381,52002,100,0,50,1,-580,18
382,52003,100,0,180,1,0,31
383,52004,100,0,250,1,-600,28
384,52005,100,0,50,1,-580,18
385,52010,100,0,0,0,0,16
386,52020,100,0,50,1,-580,18
387,52021,100,0,0,0,0,0
388,52030,100,0,50,1,-580,18
389,52100,100,0,50,1,-580,18
390,52101,100,0,50,1,-580,18
391,52199,100,0,90,1,0,18
392,52200,100,0,0,0,0,18
393,52210,100,0,0,0,0,0
394,52220,100,0,0,0,0,0
395,53001,100,0,300,1,-680,18
396,53002,100,0,300,1,-680,18
397,53003,100,0,180,1,0,31
398,53004,100,0,250,1,-600,28
399,53005,100,0,300,1,-680,18
400,53010,100,0,0,0,0,16
401,53020,100,0,300,1,-680,18
402,53021,100,0,0,0,0,0
403,53030,100,0,300,1,-680,18
404,53100,100,0,300,1,-680,18
405,53101,100,0,300,1,-680,18
406,53199,100,0,0,1,-680,18
407,53200,100,0,0,0,0,18
408,53210,100,0,0,0,0,0
409,53220,100,0,0,0,0,0
410,54001,100,0,3,15,0,18
411,54002,100,0,3,15,0,18
412,54003,100,0,180,1,0,31
413,54004,100,0,250,1,-600,28
414,54005,100,0,3,15,0,18
415,54010,100,0,0,0,0,16
416,54020,100,0,0,0,0,0
417,54021,100,0,0,0,0,0
418,54030,100,0,3,15,0,18
419,54100,100,0,3,15,0,18
420,54101,100,0,3,15,0,18
421,54199,100,0,90,1,0,18
422,54200,100,0,0,0,0,18
423,54210,100,0,0,0,0,0
424,54220,100,0,0,0,0,0
425,55001,100,0,-300,2,0,18
426,55002,100,0,-300,2,0,18
427,55003,100,0,180,1,0,31
428,55004,100,0,250,1,-600,28
429,55005,100,0,-300,2,0,18
430,55010,100,0,-300,2,0,18
431,55020,100,0,-300,2,0,18
432,55021,100,0,0,0,0,0
433,55030,100,0,-300,2,0,18
434,55100,100,0,-300,2,0,18
435,55101,100,0,-300,2,0,18
436,55199,100,0,90,1,0,18
437,55200,100,0,0,0,0,0
438,55210,100,0,0,0,0,0
439,55220,100,0,-300,2,0,18
440,56001,100,0,-200,1,-600,18
441,56002,100,0,-200,1,-600,18
442,56003,100,0,180,1,0,31
443,56004,100,0,-200,1,-600,18
444,56005,100,0,-200,1,-600,18
445,56010,100,0,-200,1,-600,18
446,56020,100,0,-200,1,-600,18
447,56021,100,0,0,0,0,0
448,56030,100,0,-200,1,-600,18
449,56100,100,0,-200,1,-600,18
450,56101,100,0,-200,1,-600,18
451,56199,100,0,0,1,-600,18
452,56200,100,0,0,0,0,0
453,56210,100,0,0,0,0,0
454,56220,100,0,-200,1,-600,18
455,57001,100,0,0,0,0,0
456,57002,100,0,0,0,0,0
457,57003,100,0,0,0,0,0
458,57004,100,0,0,0,0,0
459,57005,100,0,0,0,0,0
460,57010,100,0,0,0,0,0
461,57020,100,0,0,0,0,0
462,57021,100,0,0,0,0,0
463,57030,100,0,0,0,0,0
464,57100,100,0,0,0,0,0
465,57101,100,0,0,0,0,0
466,57199,100,0,90,1,0,18
467,57200,100,0,0,0,0,0
468,57210,100,0,0,0,0,0
469,57220,100,0,180,1,0,31
470,58001,100,0,-250,1,-650,28
471,58002,100,0,-250,1,-650,28
472,58003,100,0,-250,1,-650,28
473,58004,100,0,-250,1,-650,28
474,58005,100,0,-250,1,-650,28
475,58010,100,0,-250,1,-650,28
476,58020,100,0,-250,1,-650,28
477,58021,100,0,-250,1,-650,28
478,58030,100,0,-250,1,-650,28
479,58100,100,0,0,0,0,0
480,58101,100,0,0,0,0,0
481,58199,100,0,90,1,0,18
482,58200,100,0,0,0,0,0
483,58210,100,0,0,0,0,0
484,58220,100,0,0,0,0,0
485,59001,100,0,600,1,0,18
486,59002,100,0,600,1,0,18
487,59003,100,0,600,1,0,18
488,59004,100,0,600,1,0,18
489,59005,100,0,600,1,0,18
490,59010,100,0,600,1,0,18
491,59020,100,0,600,1,0,18
492,59021,100,0,600,1,0,18
493,59030,100,0,600,1,0,18
494,59100,100,0,600,1,0,18
495,59101,100,0,600,1,0,18
496,59199,100,0,90,1,0,18
497,59200,100,0,0,0,0,0
498,59210,100,0,0,0,0,0
499,59220,100,0,0,0,0,0
500,60001,100,0,-500,2,0,18
501,60002,100,0,-500,2,0,18
502,60003,100,0,-500,2,0,18
503,60004,100,0,-500,2,0,18
504,60005,100,0,-500,2,0,18
505,60010,100,0,-500,2,0,18
506,60020,100,0,-500,2,0,18
507,60021,100,0,-500,2,0,18
508,60030,100,0,-500,2,0,18
509,60100,100,0,-500,2,0,18
510,60101,100,0,-500,2,0,18
511,60199,100,0,90,1,0,18
512,60200,100,0,0,0,0,0
513,60210,100,0,0,0,0,0
514,60220,100,0,0,0,0,0
515,61001,100,0,500,2,0,18
516,61002,100,0,500,2,0,18
517,61003,100,0,500,2,0,18
518,61004,100,0,500,2,0,18
519,61005,100,0,500,2,0,18
520,61010,100,0,500,2,0,18
521,61020,100,0,500,2,0,18
522,61021,100,0,500,2,0,18
523,61030,100,0,500,2,0,18
524,61100,100,0,500,2,0,18
525,61101,100,0,500,2,0,18
526,61199,100,0,90,1,0,18
527,61200,100,0,500,2,0,18
528,61210,100,0,500,2,0,18
529,61220,100,0,500,2,0,18
530,62001,100,0,0,4,0,28
531,62002,100,0,0,4,0,28
532,62004,100,0,0,4,0,28
533,62005,100,0,0,4,0,28
534,62010,100,0,0,4,0,28
535,62020,100,0,0,0,0,0
536,62021,100,0,0,0,0,0
537,62030,100,0,0,0,0,0
538,62100,100,0,0,0,0,0
539,62101,100,0,0,0,0,0
540,62199,100,0,90,1,0,18
541,62200,100,0,0,0,0,0
542,62210,100,0,0,0,0,0
543,62220,100,0,0,0,0,0
544,63001,100,0,250,1,-650,28
545,63002,100,0,250,1,-650,28
546,63004,100,0,250,1,-650,28
547,63005,100,0,250,1,-650,28
548,63010,100,0,250,1,-650,28
549,63020,100,0,0,0,0,0
550,63021,100,0,0,0,0,0
551,63030,100,0,0,0,0,0
552,63100,100,0,0,0,0,0
553,63101,100,0,0,0,0,0
554,63199,100,0,90,1,0,18
555,63200,100,0,0,0,0,0
556,63210,100,0,0,0,0,0
557,63220,100,0,0,0,0,0
558,64001,100,0,400,1,-900,28
559,64002,100,0,400,1,-900,28
560,64003,100,0,400,1,-900,28
561,64004,100,0,400,1,-900,28
562,64005,100,0,400,1,-900,28
563,64010,100,0,400,1,-900,28
564,64020,100,0,400,1,-900,28
565,64021,100,0,400,1,-900,28
566,64030,100,0,400,1,-900,28
567,64100,100,0,400,1,-900,18
568,64101,100,0,400,1,-900,18
569,64199,100,0,0,1,-900,18
570,64200,100,0,400,1,-900,18
571,64210,100,0,400,1,-900,18
572,64220,100,0,400,1,-900,18
573,65100,100,0,350,1,-300,18
574,65199,100,0,90,1,0,18
575,65220,100,0,350,1,-750,18
576,66001,100,0,220,1,-800,28
577,66002,100,0,220,1,-800,28
578,66003,100,0,220,1,-800,28
579,66004,100,0,220,1,-800,28
580,66005,100,0,220,1,-800,28
581,66010,100,0,220,1,-800,28
582,66020,100,0,220,1,-800,28
583,66021,100,0,220,1,-800,28
584,66030,100,0,220,1,-800,28
585,66199,100,0,0,1,-800,18
586,67001,100,0,220,1,0,19
587,67002,100,0,220,1,0,19
588,67003,100,0,220,1,0,19
589,67004,100,0,220,1,0,19
590,67005,100,0,220,1,0,19
591,67010,100,0,220,1,0,19
592,67020,100,0,220,1,0,19
593,67021,100,0,220,1,0,19
594,67030,100,0,220,1,0,19
595,67100,100,0,0,0,0,0
596,67101,100,0,0,0,0,0
597,67199,100,0,90,1,0,18
598,67200,100,0,0,0,0,0
599,67210,100,0,0,0,0,0
600,67220,100,0,0,0,0,0
601,68001,100,0,-500,0,-330,18
602,68002,100,0,-500,0,-330,18
603,68003,100,0,-500,0,-330,18
604,68004,100,0,-500,0,-330,18
605,68005,100,0,-500,0,-330,18
606,68010,100,0,-500,0,-330,18
607,68020,100,0,-500,0,-330,18
608,68021,100,0,-500,0,-330,18
609,68030,100,0,-500,0,-330,18
610,68100,100,0,-500,0,-330,18
611,68101,100,0,-500,0,-330,18
612,68199,100,0,0,0,-330,18
613,68200,100,0,-500,0,-330,18
614,68210,100,0,-500,0,-330,18
615,68220,100,0,-500,0,-330,18
616,69001,100,0,400,1,-150,18
617,69002,100,0,400,1,-150,18
618,69003,100,0,400,1,-150,18
619,69004,100,0,400,1,-150,18
620,69005,100,0,400,1,-150,18
621,69010,100,0,400,1,-150,18
622,69020,100,0,400,1,-150,18
623,69021,100,0,400,1,-150,18
624,69030,100,0,400,1,-150,18
625,69100,100,0,400,1,-150,18
626,69101,100,0,400,1,-150,18
627,69199,100,0,0,1,-150,18
628,69200,100,0,400,1,-150,18
629,69210,100,0,400,1,-150,18
630,69220,100,0,400,1,-150,18
631,70001,100,0,-400,1,-100,18
632,70002,100,0,-400,1,-100,18
633,70003,100,0,-400,1,-100,18
634,70004,100,0,-400,1,-100,18
635,70005,100,0,-400,1,-100,18
636,70010,100,0,-400,1,-100,18
637,70020,100,0,-400,1,-100,18
638,70021,100,0,-400,1,-100,18
639,70030,100,0,-400,1,-100,18
640,70100,100,0,-400,1,-100,18
641,70101,100,0,-400,1,-100,18
642,70199,100,0,0,1,-100,18
643,70200,100,0,-400,1,-100,18
644,70210,100,0,-400,1,-100,18
645,70220,100,0,-400,1,-100,18
646,71001,100,0,500,1,-350,18
647,71002,100,0,500,1,-350,18
648,71003,100,0,500,1,-350,18
649,71004,100,0,500,1,-350,18
650,71005,100,0,500,1,-350,18
651,71010,100,0,500,1,-350,18
652,71020,100,0,500,1,-350,18
653,71021,100,0,500,1,-350,18
654,71030,100,0,500,1,-350,18
655,71100,100,0,500,1,-350,18
656,71101,100,0,500,1,-350,18
657,71199,100,0,0,1,-350,18
658,71200,100,0,500,1,-350,18
659,71210,100,0,500,1,-350,18
660,71220,100,0,500,1,-350,18
661,72001,100,0,-300,1,100,18
662,72002,100,0,-300,1,100,18
663,72003,100,0,-300,1,100,18
664,72004,100,0,-300,1,100,18
665,72005,100,0,-300,1,100,18
666,72010,100,0,-300,1,100,18
667,72020,100,0,-300,1,100,18
668,72021,100,0,-300,1,100,18
669,72030,100,0,-300,1,100,18
670,72100,100,0,-300,1,100,18
671,72101,100,0,-300,1,100,18
672,72199,100,0,90,1,0,18
673,72200,100,0,-300,1,100,18
674,72210,100,0,-300,1,100,18
675,72220,100,0,-300,1,100,18
676,73001,100,0,0,1,150,18
677,73002,100,0,0,1,150,18
678,73003,100,0,0,1,150,18
679,73004,100,0,0,1,150,18
680,73005,100,0,0,1,150,18
681,73010,100,0,0,1,150,18
682,73020,100,0,0,1,150,18
683,73021,100,0,0,1,150,18
684,73030,100,0,0,1,150,18
685,73100,100,0,0,1,150,18
686,73101,100,0,0,1,150,18
687,73199,100,0,0,1,150,18
688,73200,100,0,0,1,150,18
689,73210,100,0,0,1,150,18
690,73220,100,0,0,1,150,18
691,74001,100,0,0,1,0,18
692,74002,100,0,0,1,0,18
693,74003,100,0,0,1,0,18
694,74004,100,0,0,1,0,18
695,74005,100,0,0,1,0,18
696,74010,100,0,0,1,0,18
697,74020,100,0,0,1,0,18
698,74021,100,0,0,1,0,18
699,74030,100,0,0,1,0,18
700,74100,100,0,0,1,0,18
701,74101,100,0,0,1,0,18
702,74199,100,0,0,1,0,18
703,74200,100,0,0,1,0,18
704,74210,100,0,0,1,0,18
705,74220,100,0,0,1,0,18
706,75001,100,0,0,0,-1400,18
707,75002,100,0,0,0,-1400,18
708,75003,100,0,0,0,-1400,18
709,75004,100,0,0,0,-1400,18
710,75005,100,0,0,0,-1400,18
711,75010,100,0,0,0,-1400,18
712,75020,100,0,0,0,-1400,18
713,75021,100,0,0,0,-1400,18
714,75030,100,0,0,0,-1400,18
715,75100,100,0,0,0,-1400,18
716,75101,100,0,0,0,-1400,18
717,75199,100,0,90,1,0,18
718,75200,100,0,0,0,-1400,18
719,75210,100,0,0,0,-1400,18
720,75220,100,0,0,0,-1400,18
721,76001,100,0,0,0,-2000,18
722,76002,100,0,0,0,-2000,18
723,76003,100,0,0,0,-2000,18
724,76004,100,0,0,0,-2000,18
725,76005,100,0,0,0,-2000,18
726,76010,100,0,0,0,-2000,18
727,76020,100,0,0,0,-2000,18
728,76021,100,0,0,0,-2000,18
729,76030,100,0,0,0,-2000,18
730,76100,100,0,0,0,-2000,18
731,76101,100,0,0,0,-2000,18
732,76199,100,0,90,1,0,18
733,76200,100,0,0,0,-2000,18
734,76210,100,0,0,0,-2000,18
735,76220,100,0,0,0,-2000,18
736,77001,100,0,0,0,-2650,18
737,77002,100,0,0,0,-2650,18
738,77003,100,0,0,0,-2650,18
739,77004,100,0,0,0,-2650,18
740,77005,100,0,0,0,-2650,18
741,77010,100,0,0,0,-2650,18
742,77020,100,0,0,0,-2650,18
743,77021,100,0,0,0,-2650,18
744,77030,100,0,0,0,-2650,18
745,77100,100,0,0,0,-2650,18
746,77101,100,0,0,0,-2650,18
747,77199,100,0,90,1,0,18
748,77200,100,0,0,0,-2650,18
749,77210,100,0,0,0,-2650,18
750,77220,100,0,0,0,-2650,18
751,78001,100,0,0,0,-3000,18
752,78002,100,0,0,0,-3000,18
753,78003,100,0,0,0,-3000,18
754,78004,100,0,0,0,-3000,18
755,78005,100,0,0,0,-3000,18
756,78010,100,0,0,0,-3000,18
757,78020,100,0,0,0,-3000,18
758,78021,100,0,0,0,-3000,18
759,78030,100,0,0,0,-3000,18
760,78100,100,0,0,0,-3000,18
761,78101,100,0,0,0,-3000,18
762,78199,100,0,90,1,0,18
763,78200,100,0,0,0,-3000,18
764,78210,100,0,0,0,-3000,18
765,78220,100,0,0,0,-3000,18
766,79001,100,0,400,1,-480,28
767,79002,100,0,400,1,-480,28
768,79003,100,0,400,1,-480,28
769,79004,100,0,400,1,-480,28
770,79005,100,0,400,1,-480,28
771,79010,100,0,400,1,-480,28
772,79020,100,0,400,1,-480,28
773,79021,100,0,400,1,-480,28
774,79030,100,0,400,1,-480,28
775,79100,100,0,0,0,0,0
776,79101,100,0,0,0,0,0
777,79199,100,0,90,1,0,18
778,79200,100,0,0,0,0,0
779,79210,100,0,0,0,0,0
780,79220,100,0,0,0,0,0
781,80001,100,0,0,1,-650,18
782,80002,100,0,0,1,-650,18
783,80003,1,0,0,0,0,0
784,80003,25,0,180,1,0,31
785,80003,30,0,180,1,0,18
786,80003,100,0,220,1,0,19
787,80004,2,0,0,0,0,0
788,80004,100,0,250,1,-600,28
789,80005,100,0,0,1,-650,18
790,80010,100,0,0,1,-650,18
791,80020,100,0,0,1,-650,18
