ID,_Mob_Lv_Factor1,_Mob_Lv_Factor2,_Mob_Lv_Factor3,_Mob_Lv_Factor4,_Mob_Lv_Factor5,_Mob_Lv_Factor6,_Mob_Lv_Factor7,_Mob_Lv_Factor8,_Mob_Lv_Factor9,_Mob_Lv_Factor10,_Mob_Lv_Factor11,_Mob_Lv_Factor12,_Mob_Lv_Factor13,_Mob_Lv_Factor14,_Mob_Lv_Factor15,_Mob_Lv_Factor16,_Mob_Lv_Factor17,_Mob_Lv_Factor18,_Mob_Lv_Factor19,_Mob_Lv_Factor20,_Mob_Lv_Factor21,_Mob_Lv_Factor22,_Mob_Lv_Factor23,_Mob_Lv_Factor24,_Mob_Lv_Factor25,_Mob_Lv_Factor26,_Mob_Lv_Factor27,_Mob_Lv_Factor28,_Mob_Lv_Factor29,_Mob_Lv_Factor30,_Mob_Lv_Factor31,_Mob_Lv_Factor32,_Mob_Lv_Factor33,_Mob_Lv_Factor34,_Mob_Lv_Factor35,_Mob_Lv_Factor36,_Mob_Lv_Factor37,_Mob_Lv_Factor38,_Mob_Lv_Factor39,_Mob_Lv_Factor40
11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
13,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
17,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
18,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
21,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
22,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
23,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
24,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
25,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
26,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
27,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
28,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
29,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
30,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
31,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
32,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
33,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
34,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
35,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
36,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
37,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
38,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
39,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
40,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
41,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
42,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
43,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
44,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
45,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
46,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
47,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
48,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
49,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
50,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
51,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
52,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
53,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
54,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
55,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
56,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
57,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
58,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
59,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
60,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
61,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
62,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
63,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
64,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
65,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
66,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
67,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
68,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
69,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
70,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
71,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
72,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
73,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
74,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
75,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
76,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
77,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
78,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
79,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
80,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
81,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
82,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
83,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
84,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
85,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
86,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
87,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
88,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
89,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
90,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
91,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
92,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
93,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
94,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
95,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
96,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
97,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
98,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
99,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
101,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
102,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
103,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
104,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
105,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
106,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
107,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
108,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
109,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
110,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
111,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
112,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
113,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
114,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
115,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
116,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
117,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
118,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,8,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
119,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,9,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
120,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,10,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
121,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,11,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
122,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,6,12,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17
123,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,7,13,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
124,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,8,14,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
125,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,9,15,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
126,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,10,16,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21
127,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,7,11,17,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
128,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,8,12,18,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23
129,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,9,13,19,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
130,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,10,14,20,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
131,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,11,15,21,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26
132,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,7,12,16,22,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27
133,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,8,13,17,23,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28
134,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,9,14,18,24,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29
135,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,10,15,19,25,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
136,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,11,16,20,26,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31
137,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,7,12,17,21,27,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32
138,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,8,13,18,22,28,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33
139,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,9,14,19,23,29,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34
140,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,10,15,20,24,30,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35
141,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,11,16,21,25,31,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36
142,1,1,1,1,1,1,1,1,1,1,1,1,1,2,7,12,17,22,26,32,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37
143,1,1,1,1,1,1,1,1,1,1,1,1,1,3,8,13,18,23,27,33,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38
144,1,1,1,1,1,1,1,1,1,1,1,1,1,4,9,14,19,24,28,34,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39
145,1,1,1,1,1,1,1,1,1,1,1,1,1,5,10,15,20,25,29,35,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
146,1,1,1,1,1,1,1,1,1,1,1,1,1,6,11,16,21,26,30,36,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41
147,1,1,1,1,1,1,1,1,1,1,1,1,2,7,12,17,22,27,31,37,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42
148,1,1,1,1,1,1,1,1,1,1,1,1,3,8,13,18,23,28,32,38,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43
149,1,1,1,1,1,1,1,1,1,1,1,1,4,9,14,19,24,29,33,39,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44
150,1,1,1,1,1,1,1,1,1,1,1,1,5,10,15,20,25,30,34,40,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45
151,1,1,1,1,1,1,1,1,1,1,1,2,6,11,16,21,26,31,35,41,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46
152,1,1,1,1,1,1,1,1,1,1,1,3,7,12,17,22,27,32,36,42,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47
153,1,1,1,1,1,1,1,1,1,1,1,4,8,13,18,23,28,33,37,43,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48
154,1,1,1,1,1,1,1,1,1,1,1,5,9,14,19,24,29,34,38,44,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49
155,1,1,1,1,1,1,1,1,1,1,1,6,10,15,20,25,30,35,39,45,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
156,1,1,1,1,1,1,1,1,1,1,1,7,11,16,21,26,31,36,40,46,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51
157,1,1,1,1,1,1,1,1,1,1,1,8,12,17,22,27,32,37,41,47,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52
