ID,_Abuse,_Replace
115,陰核,☆☆
116,智障,☆☆
117,肉棒,☆☆
118,帶客練功,☆☆
119,代客練功,☆☆
120,帶老闆練功,☆☆
121,收水餃,☆☆
122,換小朋友,☆☆
123,飛彈打台灣,☆☆
124,陳水扁洗錢,☆☆
125,可怕的,☆☆
126,援交,☆☆
127,援助交際,☆☆
128,王總,☆☆
129,王俊博,☆☆
130,王董,☆☆
131,王肥,☆☆
132,遊戲新幹線,☆☆
133,新幹線,??
134,gameflier,??
135,挖雞巴濕搭搭,??
136,歐塞康,??
137,口交,??
138,獸交,??
139,雞歪歪,??
140,甘林娘,??
141,甘林涼,??
142,甘林媽,??
143,甘您老母,??
144,幹你娘,??
145,愛液,??
146,插爆,??
147,陰莖粉嫩嫩,??
148,尻手槍,??
149,甘霖老母,??
150,BITCH,??
151,FUCK,??
152,Bitch,??
153,Fuck,??
154,ＦＵＣＫ,??
155,ＢＩＴＣＨ,??
156,ｆｕｃｋ,??
157,ｂｉｔｃｈ,??
158,gm,??
159,Gm,??
160,gM,??
161,ＧＭ,??
162,GM,??
163,8591,??
164,賣T,??
165,官方,??
166,官方人員,??
167,活動人員,??
168,虛寶人員,??
169,領獎人員,??
170,mycard,??
171,MyCard,??
172,營運團隊人員,??
173,營運人員,??
174,樂意,??
175,快樂玩平台人員,??
176,贛林娘,??
177,樂意傳播股份有限公司,??
178,尻槍,??
179,摳B,??
180,我射了,??
181,淦林老母,??
182,淦林老師,??
183,淦林老木,??
184,處罰條例,??
185,柯文哲,??
186,樂意人員,??
187,彩虹小編,??
188,掰穴,??
189,摳穴,??
190,吹簫,??
191,白粉,??
192,尼古丁,??
193,大麻,??
194,賣程式,??
195,陰部,??
196,王八,??
197,騷貨,??
198,傻逼,??
199,爛逼,??
200,賣逼,??
201,傻B,??
202,GY,??
203,ＧＹ,??
204,懶鳥,??
205,安非他命,??
206,Ｇm,??
207,ＧM,??
208,海基會,??
209,海協會,??
210,工讀生,??
211,ＥＯ４,??
212,EO4,??
213,FM2,??
214,草尼媽,??
215,糙妳媽,??
216,操你媽,??
217,TMD,??
218,叼你媽,??
219,叼妳媽,??
220,靠你媽,??
221,靠妳媽,??
222,龜兒子,??
223,龜孫子,??
224,吹牛逼,??
225,蔣中正,??
226,賣小朋友,??
227,收小朋友,??
228,GASH,??
229,他娘的,??
230,ＢＯＴ,??
231,破麻,??
232,梁敏永,??
233,敏永梁,??
234,永敏梁,??
235,www.mangot5.com,??
236,,
237,,
238,,
239,,
240,,
241,,
242,,
243,,
244,,
245,,
246,,
247,,
248,,
249,,
250,,
251,,
252,,
253,,
254,,
255,,
256,,
257,,
258,,
259,,
260,,
261,,
262,,
263,,
264,,
265,,
266,,
267,,
268,,
269,,
270,,
271,,
272,,
273,,
274,,
275,,
276,,
277,,
278,,
279,,
280,,
281,,
282,,
283,,
284,,
285,,
286,,
287,,
288,,
289,,
290,,
291,,
292,,
293,,
294,,
295,,
296,,
297,,
298,,
299,,
300,,
301,,
302,,
303,,
304,,
305,,
306,,
307,,
308,,
309,,
310,,
311,,
312,,
313,,
314,,
315,,
316,,
317,,
318,,
319,,
320,,
321,,
322,,
323,,
324,,
325,,
326,,
327,,
328,,
329,,
330,,
331,,
332,,
333,,
334,,
335,,
336,,
337,,
338,,
339,,
340,,
341,,
342,,
343,,
344,,
345,,
346,,
347,,
348,,
349,,
350,,
351,,
352,,
353,,
354,,
355,,
356,,
357,,
358,,
359,,
360,,
361,,
362,,
363,,
364,,
365,,
366,,
367,,
368,,
369,,
370,,
371,,
372,,
373,,
374,,
375,,
376,,
377,,
378,,
379,,
380,,
381,,
382,,
383,,
384,,
385,,
386,,
387,,
388,,
389,,
390,,
391,,
392,,
393,,
394,,
395,,
396,,
397,,
398,,
399,,
400,,
401,,
402,,
403,,
404,,
405,,
406,,
407,,
408,,
409,,
410,,
411,,
412,,
413,,
414,,
415,,
416,,
417,,
418,,
419,,
420,,
421,,
422,,
423,,
424,,
425,,
426,,
427,,
428,,
429,,
430,,
431,,
432,,
433,,
434,,
435,,
436,,
437,,
438,,
439,,
440,,
441,,
442,,
443,,
444,,
445,,
446,,
447,,
448,,
449,,
450,,
451,,
452,,
453,,
454,,
455,,
456,,
457,,
458,,
459,,
460,,
461,,
462,,
463,,
464,,
465,,
466,,
467,,
468,,
469,,
470,,
471,,
472,,
473,,
474,,
475,,
476,,
477,,
478,,
479,,
480,,
481,,
482,,
483,,
484,,
485,,
486,,
487,,
488,,
489,,
490,,
491,,
492,,
493,,
494,,
495,,
496,,
497,,
498,,
499,,
500,,
