ID,_Equip_item,_Item_number,_Require_slot1,_Require_slot2,_Require_slot3,_Require_slot4,_Limit_slot1,_Limit_slot2,_Icon_instance,_Line_instance1,_Line_instance2,_Line_instance3,_Line_instance4,_itemslot_name,_itemslot_description,_24,_25,_26,_27,_28,_29,_30,_31,_32,_36,_37,_38,_39,_40,_41,_42,_43,_44,_45,_49,_52,_56,_60,_64,_68,_69,_73
39,0,0,38,40,0,0,0,0,1039,65,66,0,0,,,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39
40,0,0,98,99,39,41,0,0,1040,66,147,148,67,,,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
41,0,0,40,42,164,0,0,0,1041,67,68,233,0,,,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41
42,0,0,43,193,198,41,0,0,1042,68,69,273,274,,,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42
43,0,0,107,44,189,42,0,0,1043,165,70,269,69,,,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43
44,0,0,45,184,43,0,0,0,1044,71,263,70,0,,,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44
45,0,0,46,183,44,0,0,0,1045,72,71,262,0,,,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45
46,0,0,47,45,0,0,0,0,1046,73,72,0,0,,,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46
47,0,0,48,46,0,0,0,0,1047,73,74,0,0,,,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47
48,0,0,49,47,111,0,0,0,1048,74,166,75,0,,,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48
49,0,0,13,48,50,103,0,0,1049,81,75,76,156,,,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49
50,0,0,49,95,51,0,0,0,1050,76,77,143,0,,,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
51,0,0,52,50,94,0,0,0,1051,78,77,142,0,,,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51
52,0,0,19,51,90,0,0,0,1052,79,78,136,0,,,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52
53,0,0,24,54,55,0,0,0,1053,82,83,85,0,,,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53
54,0,0,53,55,0,0,0,0,1054,83,84,0,0,,,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54
55,0,0,53,54,56,0,0,0,1055,84,85,380,0,,,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55
56,1,1,55,0,0,0,0,0,1056,380,0,0,0,『 覺醒石欄位 』,可登錄覺醒石。,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56
57,0,0,23,58,64,0,0,0,1057,88,89,96,0,,,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57
58,0,0,57,59,0,0,0,0,1058,89,90,0,0,,,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58
59,0,0,58,60,0,0,0,0,1059,90,91,0,0,,,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59
60,0,0,59,61,0,0,0,0,1060,91,92,0,0,,,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
61,0,0,60,62,29,0,0,0,1061,92,93,97,0,,,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61
62,0,0,63,61,0,0,0,0,1062,93,94,0,0,,,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62
63,0,0,64,62,0,0,0,0,1063,94,95,0,0,,,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63
64,0,0,57,63,0,0,0,0,1064,95,96,0,0,,,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64
65,0,0,22,71,66,0,0,0,1065,98,99,106,0,,,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65
66,0,0,65,67,72,0,0,0,1066,99,100,107,0,,,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66
67,0,0,66,68,0,0,0,0,1067,100,101,0,0,,,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67
68,0,0,67,72,32,0,0,0,1068,101,109,102,0,,,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68
69,0,0,70,72,32,0,0,0,1069,104,108,103,0,,,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69
70,0,0,71,69,0,0,0,0,1070,105,104,0,0,,,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70
71,0,0,65,72,70,0,0,0,1071,106,110,105,0,,,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71
72,0,0,66,71,68,69,0,0,1072,107,110,108,109,,,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72
73,0,0,76,74,0,0,0,0,1073,113,112,0,0,,,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73
74,0,0,73,75,34,0,0,0,1074,112,115,111,0,,,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74
75,0,0,76,74,0,0,0,0,1075,114,115,0,0,,,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75
76,0,0,21,75,73,0,0,0,1076,116,113,114,0,,,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76
77,0,0,78,79,35,0,0,0,1077,118,120,117,0,,,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77
78,0,0,79,77,0,0,0,0,1078,119,120,0,0,,,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78
79,0,0,20,77,78,0,0,0,1079,121,119,118,0,,,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79
80,0,0,87,81,0,0,0,0,1080,125,124,0,0,,,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80
81,0,0,80,82,0,0,0,0,1081,124,123,0,0,,,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81
82,0,0,81,83,36,0,0,0,1082,123,130,122,0,,,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82
83,0,0,84,82,0,0,0,0,1083,129,130,0,0,,,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83
84,0,0,85,83,0,0,0,0,1084,128,129,0,0,,,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84
85,0,0,86,84,0,0,0,0,1085,127,128,0,0,,,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85
86,0,0,19,85,87,0,0,0,1086,131,126,127,0,,,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86
87,0,0,86,80,0,0,0,0,1087,126,125,0,0,,,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87
88,0,0,90,89,0,0,0,0,1088,134,133,0,0,,,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88
89,0,0,90,88,37,0,0,0,1089,133,135,132,0,,,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89
90,0,0,52,88,89,0,0,0,1090,136,134,135,0,,,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90
91,0,0,94,92,0,0,0,0,1091,139,138,0,0,,,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91
92,0,0,91,93,38,0,0,0,1092,138,141,137,0,,,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92
93,0,0,94,92,0,0,0,0,1093,140,141,0,0,,,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93
94,0,0,51,91,93,0,0,0,1094,139,140,142,0,,,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94
95,0,0,50,96,101,0,0,0,1095,143,144,151,0,,,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
96,0,0,95,97,102,0,0,0,1096,144,145,154,0,,,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96
97,0,0,96,98,0,0,0,0,1097,145,146,0,0,,,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97
98,0,0,97,102,40,0,0,0,1098,146,147,153,0,,,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98
99,0,0,100,102,40,0,0,0,1099,148,155,149,0,,,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
100,0,0,101,99,0,0,0,0,1100,150,149,0,0,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
101,0,0,95,100,102,0,0,0,1101,151,152,150,0,,,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101
102,0,0,96,101,98,99,0,0,1102,154,152,153,155,,,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102
103,0,0,49,104,110,0,0,0,1103,156,157,164,0,,,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103
104,0,0,103,105,0,0,0,0,1104,157,158,0,0,,,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104
105,0,0,104,106,0,0,0,0,1105,158,159,0,0,,,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105
106,0,0,105,107,0,0,0,0,1106,159,160,0,0,,,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106
107,0,0,106,108,43,0,0,0,1107,160,161,165,0,,,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107
108,0,0,109,107,0,0,0,0,1108,161,162,0,0,,,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108
109,0,0,110,108,0,0,0,0,1109,162,163,0,0,,,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109
110,0,0,103,109,0,0,0,0,1110,163,164,0,0,,,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110
111,0,0,48,112,113,0,0,0,1111,166,169,167,0,,,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111
112,0,0,111,113,0,0,0,0,1112,169,168,0,0,,,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112
113,0,0,111,112,114,0,0,0,1113,167,168,381,0,,,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113
114,1,2,113,0,0,0,0,0,1114,381,0,0,0,『 覺醒石欄位 』,可登錄覺醒石。,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114
115,0,0,31,180,116,0,0,0,1115,172,173,256,0,,,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115
116,0,0,115,117,0,0,0,0,1116,173,174,0,0,,,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116
117,0,0,116,118,215,0,0,0,1117,174,175,261,0,,,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117
118,0,0,119,117,0,0,0,0,1118,176,175,0,0,,,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118
119,0,0,120,118,0,0,0,0,1119,177,176,0,0,,,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119
120,0,0,121,119,0,0,0,0,1120,178,177,0,0,,,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120
121,0,0,122,120,0,0,0,0,1121,179,178,0,0,,,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121
122,0,0,121,123,0,0,0,0,1122,179,180,0,0,,,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122
123,0,0,122,124,0,0,0,0,1123,180,181,0,0,,,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123
124,1,3,123,0,0,0,0,0,1124,181,0,0,0,『 覺醒石欄位 』,可登錄覺醒石。,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124
125,0,0,34,126,129,0,0,0,1125,184,189,185,0,,,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125
126,0,0,125,127,0,0,0,0,1126,185,186,0,0,,,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126
127,0,0,126,128,0,0,0,0,1127,186,187,0,0,,,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127
128,0,0,127,129,0,0,0,0,1128,187,188,0,0,,,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128
129,0,0,125,128,130,0,0,0,1129,189,188,190,0,,,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129
130,0,0,129,131,133,0,0,0,1130,190,191,194,0,,,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130
131,0,0,130,132,0,0,0,0,1131,191,192,0,0,,,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131
132,0,0,131,133,0,0,0,0,1132,192,193,0,0,,,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132
133,0,0,130,132,229,0,0,0,1133,194,193,195,0,,,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133
134,0,0,35,0,0,0,0,0,1134,196,0,0,0,,,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134
135,0,0,36,136,140,141,0,0,1135,197,198,203,204,,,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135
136,0,0,135,137,0,0,0,0,1136,198,199,0,0,,,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136
137,0,0,136,138,0,0,0,0,1137,199,200,0,0,,,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137
138,0,0,137,139,239,0,0,0,1138,200,201,234,0,,,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138
139,0,0,140,138,0,0,0,0,1139,202,201,0,0,,,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139
140,0,0,135,139,0,0,0,0,1140,203,202,0,0,,,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140
141,0,0,135,142,144,0,0,0,1141,204,205,208,0,,,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141
142,0,0,141,143,0,0,0,0,1142,205,206,0,0,,,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142
143,0,0,142,144,0,0,0,0,1143,206,207,0,0,,,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143
144,0,0,141,143,0,0,0,0,1144,207,208,0,0,,,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144
145,0,0,37,0,0,0,0,0,1145,209,0,0,0,,,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145
146,0,0,38,147,150,0,0,0,1146,210,211,215,0,,,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146
147,0,0,146,148,0,0,0,0,1147,211,212,0,0,,,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147
148,0,0,147,149,0,0,0,0,1148,212,213,0,0,,,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148
149,0,0,150,148,0,0,0,0,1149,213,214,0,0,,,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149
150,0,0,146,149,151,0,0,0,1150,214,215,216,0,,,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150
151,0,0,150,152,154,0,0,0,1151,216,217,220,0,,,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151
152,0,0,151,153,0,0,0,0,1152,217,218,0,0,,,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152
153,0,0,152,154,0,0,0,0,1153,218,219,0,0,,,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153
154,0,0,151,153,248,0,0,0,1154,220,219,221,0,,,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154
155,0,0,156,160,0,0,0,0,1155,223,228,0,0,,,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155
156,0,0,155,157,0,0,0,0,1156,223,224,0,0,,,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156
157,0,0,156,158,0,0,0,0,1157,224,225,0,0,,,157,157,157,157,157,157,157,157,157,157,157,157,157,157,157,157,157,157,157,157,157,157,157,157,157,157,157
158,0,0,157,161,0,0,0,0,1158,225,229,0,0,,,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158
