ID,_CLASS,_TAB,_QuestGroup1_Name,_QuestGroup1_ID,_QuestGroup1_LearnSkill,_QuestGroup1_Require_Lv,_QuestGroup2_Name,_QuestGroup2_ID,_QuestGroup2_LearnSkill,_QuestGroup2_Require_Lv,_QuestGroup3_Name,_QuestGroup3_ID,_QuestGroup3_LearnSkill,_QuestGroup3_Require_Lv,_QuestGroup4_Name,_QuestGroup4_ID,_QuestGroup4_LearnSkill,_QuestGroup4_Require_Lv,_QuestGroup5_Name,_QuestGroup5_ID,_QuestGroup5_LearnSkill,_QuestGroup5_Require_Lv,_QuestGroup6_Name,_QuestGroup6_ID,_QuestGroup6_LearnSkill,_QuestGroup6_Require_Lv,_QuestGroup7_Name,_QuestGroup7_ID,_QuestGroup7_LearnSkill,_QuestGroup7_Require_Lv
27,27,2,Episode 1. 突變的氣息,27101,3812701,207,Episode 2. 歐若拉的羅曼史,27102,3812702,209,Episode 3. 彩諾恩的情報,27103,3812703,211,Episode 4. 刻薄的羅希雅,27104,3812704,213,Episode 5. 惡魔之山,27105,3812705,215,Episode 6. 力量的根源,27106,3812706,217,Episode 7. 新月祭壇,27107,3812707,219
28,28,2,Episode 1. 突變的氣息,28101,3812801,207,Episode 2. 歐若拉的羅曼史,28102,3812802,209,Episode 3. 彩諾恩的情報,28103,3812803,211,Episode 4. 刻薄的羅希雅,28104,3812804,213,Episode 5. 惡魔之山,28105,3812805,215,Episode 6. 力量的根源,28106,3812806,217,Episode 7. 新月祭壇,28107,3812807,219
29,29,2,Episode 1. 突變的氣息,29101,3812901,207,Episode 2. 歐若拉的羅曼史,29102,3812902,209,Episode 3. 彩諾恩的情報,29103,3812903,211,Episode 4. 刻薄的羅希雅,29104,3812904,213,Episode 5. 惡魔之山,29105,3812905,215,Episode 6. 力量的根源,29106,3812906,217,Episode 7. 新月祭壇,29107,3812907,219
30,30,2,Episode 1. 突變的氣息,30101,3813001,207,Episode 2. 歐若拉的羅曼史,30102,3813002,209,Episode 3. 彩諾恩的情報,30103,3813003,211,Episode 4. 刻薄的羅希雅,30104,3813004,213,Episode 5. 惡魔之山,30105,3813005,215,Episode 6. 力量的根源,30106,3813006,217,Episode 7. 新月祭壇,30107,3813007,219
31,31,2,Episode 1. 突變的氣息,31101,3813101,207,Episode 2. 歐若拉的羅曼史,31102,3813102,209,Episode 3. 彩諾恩的情報,31103,3813103,211,Episode 4. 刻薄的羅希雅,31104,3813104,213,Episode 5. 惡魔之山,31105,3813105,215,Episode 6. 力量的根源,31106,3813106,217,Episode 7. 新月祭壇,31107,3813107,219
32,32,2,Episode 1. 突變的氣息,32101,3813201,207,Episode 2. 歐若拉的羅曼史,32102,3813202,209,Episode 3. 彩諾恩的情報,32103,3813203,211,Episode 4. 刻薄的羅希雅,32104,3813204,213,Episode 5. 惡魔之山,32105,3813205,215,Episode 6. 力量的根源,32106,3813206,217,Episode 7. 新月祭壇,32107,3813207,219
33,36,2,Episode 1. 突變的氣息,36101,3813601,207,Episode 2. 歐若拉的羅曼史,36102,3813602,209,Episode 3. 彩諾恩的情報,36103,3813603,211,Episode 4. 刻薄的羅希雅,36104,3813604,213,Episode 5. 惡魔之山,36105,3813605,215,Episode 6. 力量的根源,36106,3813606,217,Episode 7. 新月祭壇,36107,3813607,219
34,37,2,Episode 1. 突變的氣息,37101,3813701,207,Episode 2. 歐若拉的羅曼史,37102,3813702,209,Episode 3. 彩諾恩的情報,37103,3813703,211,Episode 4. 刻薄的羅希雅,37104,3813704,213,Episode 5. 惡魔之山,37105,3813705,215,Episode 6. 力量的根源,37106,3813706,217,Episode 7. 新月祭壇,37107,3813707,219
35,38,2,Episode 1. 突變的氣息,38101,3813801,207,Episode 2. 歐若拉的羅曼史,38102,3813802,209,Episode 3. 彩諾恩的情報,38103,3813803,211,Episode 4. 刻薄的羅希雅,38104,3813804,213,Episode 5. 惡魔之山,38105,3813805,215,Episode 6. 力量的根源,38106,3813806,217,Episode 7. 新月祭壇,38107,3813807,219
36,39,2,Episode 1. 突變的氣息,39101,3813901,207,Episode 2. 歐若拉的羅曼史,39102,3813902,209,Episode 3. 彩諾恩的情報,39103,3813903,211,Episode 4. 刻薄的羅希雅,39104,3813904,213,Episode 5. 惡魔之山,39105,3813905,215,Episode 6. 力量的根源,39106,3813906,217,Episode 7. 新月祭壇,39107,3813907,219
37,40,2,Episode 1. 突變的氣息,40101,3814001,207,Episode 2. 歐若拉的羅曼史,40102,3814002,209,Episode 3. 彩諾恩的情報,40103,3814003,211,Episode 4. 刻薄的羅希雅,40104,3814004,213,Episode 5. 惡魔之山,40105,3814005,215,Episode 6. 力量的根源,40106,3814006,217,Episode 7. 新月祭壇,40107,3814007,219
38,41,2,Episode 1. 突變的氣息,41101,3814101,207,Episode 2. 歐若拉的羅曼史,41102,3814102,209,Episode 3. 彩諾恩的情報,41103,3814103,211,Episode 4. 刻薄的羅希雅,41104,3814104,213,Episode 5. 惡魔之山,41105,3814105,215,Episode 6. 力量的根源,41106,3814106,217,Episode 7. 新月祭壇,41107,3814107,219
39,42,2,Episode 1. 突變的氣息,42101,3814201,207,Episode 2. 歐若拉的羅曼史,42102,3814202,209,Episode 3. 彩諾恩的情報,42103,3814203,211,Episode 4. 刻薄的羅希雅,42104,3814204,213,Episode 5. 惡魔之山,42105,3814205,215,Episode 6. 力量的根源,42106,3814206,217,Episode 7. 新月祭壇,42107,3814207,219
40,43,2,Episode 1. 突變的氣息,43101,3814301,207,Episode 2. 歐若拉的羅曼史,43102,3814302,209,Episode 3. 彩諾恩的情報,43103,3814303,211,Episode 4. 刻薄的羅希雅,43104,3814304,213,Episode 5. 惡魔之山,43105,3814305,215,Episode 6. 力量的根源,43106,3814306,217,Episode 7. 新月祭壇,43107,3814307,219
41,44,2,Episode 1. 突變的氣息,44101,3814401,207,Episode 2. 歐若拉的羅曼史,44102,3814402,209,Episode 3. 彩諾恩的情報,44103,3814403,211,Episode 4. 刻薄的羅希雅,44104,3814404,213,Episode 5. 惡魔之山,44105,3814405,215,Episode 6. 力量的根源,44106,3814406,217,Episode 7. 新月祭壇,44107,3814407,219
42,45,2,Episode 1. 突變的氣息,45101,3814501,207,Episode 2. 歐若拉的羅曼史,45102,3814502,209,Episode 3. 彩諾恩的情報,45103,3814503,211,Episode 4. 刻薄的羅希雅,45104,3814504,213,Episode 5. 惡魔之山,45105,3814505,215,Episode 6. 力量的根源,45106,3814506,217,Episode 7. 新月祭壇,45107,3814507,219
43,49,2,Episode 1. 突變的氣息,49101,3814901,207,Episode 2. 歐若拉的羅曼史,49102,3814902,209,Episode 3. 彩諾恩的情報,49103,3814903,211,Episode 4. 刻薄的羅希雅,49104,3814904,213,Episode 5. 惡魔之山,49105,3814905,215,Episode 6. 力量的根源,49106,3814906,217,Episode 7. 新月祭壇,49107,3814907,219
44,52,2,Episode 1. 突變的氣息,52101,3815201,207,Episode 2. 歐若拉的羅曼史,52102,3815202,209,Episode 3. 彩諾恩的情報,52103,3815203,211,Episode 4. 刻薄的羅希雅,52104,3815204,213,Episode 5. 惡魔之山,52105,3815205,215,Episode 6. 力量的根源,52106,3815206,217,Episode 7. 新月祭壇,52107,3815207,219
45,56,2,Episode 1. 突變的氣息,56101,3815601,207,Episode 2. 歐若拉的羅曼史,56102,3815602,209,Episode 3. 彩諾恩的情報,56103,3815603,211,Episode 4. 刻薄的羅希雅,56104,3815604,213,Episode 5. 惡魔之山,56105,3815605,215,Episode 6. 力量的根源,56106,3815606,217,Episode 7. 新月祭壇,56107,3815607,219
46,60,2,Episode 1. 突變的氣息,60101,3816001,207,Episode 2. 歐若拉的羅曼史,60102,3816002,209,Episode 3. 彩諾恩的情報,60103,3816003,211,Episode 4. 刻薄的羅希雅,60104,3816004,213,Episode 5. 惡魔之山,60105,3816005,215,Episode 6. 力量的根源,60106,3816006,217,Episode 7. 新月祭壇,60107,3816007,219
47,64,1,Episode 1. 石塔的秘密,64001,3806401,180,Episode 2. 第二次安排,64002,3806402,185,Episode 3. 在火山地帶,64003,3806403,190,Episode 4. 衝突,64004,3806404,195,Episode 5. 石塔的下落,64005,3806405,200,Episode 6. 征服青空城,64006,3806406,205,Episode 7. 後記,64007,3806407,207
48,64,2,Episode 1. 突變的氣息,64101,3816401,207,Episode 2. 歐若拉的羅曼史,64102,3816402,209,Episode 3. 彩諾恩的情報,64103,3816403,211,Episode 4. 刻薄的羅希雅,64104,3816404,213,Episode 5. 惡魔之山,64105,3816405,215,Episode 6. 力量的根源,64106,3816406,217,Episode 7. 新月祭壇,64107,3816407,219
49,68,1,Episode 1. 石塔的秘密,68001,3806801,180,Episode 2. 第二次安排,68002,3806802,185,Episode 3. 在火山地帶,68003,3806803,190,Episode 4. 衝突,68004,3806804,195,Episode 5. 石塔的下落,68005,3806805,200,Episode 6. 征服青空城,68006,3806806,205,Episode 7. 後記,68007,3806807,207
50,68,2,Episode 1. 突變的氣息,68101,3816801,207,Episode 2. 歐若拉的羅曼史,68102,3816802,209,Episode 3. 彩諾恩的情報,68103,3816803,211,Episode 4. 刻薄的羅希雅,68104,3816804,213,Episode 5. 惡魔之山,68105,3816805,215,Episode 6. 力量的根源,68106,3816806,217,Episode 7. 新月祭壇,68107,3816807,219
51,69,1,Episode 1. 石塔的秘密,69001,3806901,180,Episode 2. 第二次安排,69002,3806902,185,Episode 3. 在火山地帶,69003,3806903,190,Episode 4. 衝突,69004,3806904,195,Episode 5. 石塔的下落,69005,3806905,200,Episode 6. 征服青空城,69006,3806906,205,Episode 7. 後記,69007,3806907,207
52,69,2,Episode 1. 突變的氣息,69101,3816901,207,Episode 2. 歐若拉的羅曼史,69102,3816902,209,Episode 3. 彩諾恩的情報,69103,3816903,211,Episode 4. 刻薄的羅希雅,69104,3816904,213,Episode 5. 惡魔之山,69105,3816905,215,Episode 6. 力量的根源,69106,3816906,217,Episode 7. 新月祭壇,69107,3816907,219
53,73,1,Episode 1. 石塔的秘密,73001,3807301,180,Episode 2. 第二次安排,73002,3807302,185,Episode 3. 在火山地帶,73003,3807303,190,Episode 4. 衝突,73004,3807304,195,Episode 5. 石塔的下落,73005,3807305,200,Episode 6. 征服青空城,73006,3807306,205,Episode 7. 後記,73007,3807307,207
54,73,2,Episode 1. 突變的氣息,73101,3817301,207,Episode 2. 歐若拉的羅曼史,73102,3817302,209,Episode 3. 彩諾恩的情報,73103,3817303,211,Episode 4. 刻薄的羅希雅,73104,3817304,213,Episode 5. 惡魔之山,73105,3817305,215,Episode 6. 力量的根源,73106,3817306,217,Episode 7. 新月祭壇,73107,3817307,219
