ID,_CategoryView,_New_Notification,_Menu_Type,_Require1_Type,_Require1_ID,_Require1_Value1,_Require1_Value2,_Require2_Type,_Require2_ID,_Require2_Value1,_Require2_Value2,_Require3_Type,_Require3_ID,_Require3_Value1,_Require3_Value2,_Require4_Type,_Require4_ID,_Require4_Value1,_Require4_Value2,_Require5_Type,_Require5_ID,_Require5_Value1,_Require5_Value2,_Normal_X,_Normal_Y,_Over_X,_Over_Y,_disable_X,_disable_Y
64,0,0,0,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,0,0,0,0
65,0,0,0,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,0,0,0,0
66,0,0,0,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,0,0,0,0
67,1,0,21,0,0,0,,0,0,,,0,0,,,0,0,,,0,0,,,1,793,141,793,281,793
68,1,0,23,0,0,0,,0,0,,,0,0,,,0,0,,,0,0,,,1,865,141,865,281,865
69,1,0,24,0,0,0,,0,0,,,0,0,,,0,0,,,0,0,,,1,901,141,901,281,901
70,1,0,25,0,0,0,,0,0,,,0,0,,,0,0,,,0,0,,,1,937,141,937,281,937
71,1,0,22,7,2,50000100,,0,0,,,0,0,,,0,0,,,0,0,,,1,829,141,829,281,829
72,0,0,0,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,0,0,0,0
73,0,0,0,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,0,0,0,0
74,0,0,0,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,0,0,0,0
75,0,0,0,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,0,0,0,0
76,0,0,0,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,0,0,0,0
77,0,0,0,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,0,0,0,0
78,0,0,0,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,0,0,0,0
79,1,0,26,0,0,0,,0,0,,,0,0,,,0,0,,,0,0,,,421,73,561,73,701,73
80,1,0,27,0,0,0,,0,0,,,0,0,,,0,0,,,0,0,,,1,973,141,973,281,973
81,1,0,28,0,0,0,,0,0,,,0,0,,,0,0,,,0,0,,,421,37,561,37,701,37
82,1,0,32,0,0,0,,0,0,,,0,0,,,0,0,,,0,0,,,421,1,561,1,701,1
83,0,0,0,0,0,0,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,0,0,0,0
84,0,0,0,0,0,0,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,0,0,0,0
85,1,0,29,0,0,0,,0,0,,,0,0,,,0,0,,,0,0,,,421,109,561,109,701,109
86,1,0,30,0,0,0,,0,0,,,0,0,,,0,0,,,0,0,,,421,145,561,145,701,145
87,0,0,0,0,0,0,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,0,0,0,0
88,0,0,0,0,0,0,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,0,0,0,0
