ID,_Name,_Stage,_Group,_PosX,_PosY,_Rect_Width,_Rect_Height,_Visible_Party,_Visible_Portal,_Visible_Save,_Visible_NPC,_Visible_Mail,_Pos_Party,_Pos_Portal,_Pos_Save,_Pos_NPC,_Pos_Mail,_Map_Width_Size,_Map_Height_Size,_Map_Count,_Map_Link
35,?? ?? ??,14,0,453,190,125,104,1,1,1,1,0,0,1,0,0,0,1920,1600,1,1
36,?? ?? 1??,14,1,287,354,200,100,1,1,1,1,0,0,1,0,0,0,3200,1600,1,1
37,?? ?? 2??,14,2,555,354,200,100,1,1,1,1,0,0,1,0,0,0,3200,1600,1,1
38,???1,15,0,212,136,200,100,1,1,1,1,0,0,1,0,0,0,3200,1600,1,1
39,???2,15,1,468,136,200,100,1,1,1,1,0,0,1,0,0,0,3200,1600,1,2
40,???3,15,2,736,136,200,100,1,1,1,1,0,0,1,0,0,0,3200,1600,1,1
41,???4,15,3,284,339,200,100,1,1,1,1,0,0,1,0,0,0,3200,1600,1,1
42,???5,15,4,549,339,200,100,1,1,1,1,0,0,1,0,0,0,3200,1600,1,1
43,?? ??,15,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,?? ???,15,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,??? 2,15,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,????,15,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,??,15,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,??-???,15,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,??-???,15,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,??-???,15,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,??? ?,15,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,???? 1,15,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,?? ??,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,???? 2,15,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,???? 2,15,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,????,15,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,???? 1,15,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,????,15,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,??? ??,16,0,298,327,200,100,1,1,1,1,0,0,1,0,0,0,3200,1600,1,1
60,???? ??,16,1,529,229,200,200,1,1,1,1,0,0,1,0,0,0,3200,3200,1,1
61,???? ??,16,2,758,229,200,200,1,1,1,1,0,0,1,0,0,0,3200,3200,1,1
62,???? ??,16,3,60,310,200,100,1,1,1,1,0,0,1,0,0,0,3200,1600,1,1
63,?? ??,17,0,221,294,400,100,1,1,1,1,1,0,1,0,0,1,3200,1600,2,1
64,?? ?? ??,17,1,655,294,200,100,1,1,1,1,1,0,1,0,0,1,3200,1600,1,1
65,?????,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,????,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,????1,18,0,256,138,200,100,1,1,1,1,0,0,1,0,0,0,3200,1600,1,1
68,????2,18,1,533,138,200,100,1,1,1,1,0,0,1,0,0,0,3200,1600,1,1
69,????3,18,2,226,342,200,100,1,1,1,1,0,0,1,0,0,0,3200,1600,1,1
70,????4,18,3,486,342,200,100,1,1,1,1,0,0,1,0,0,0,3200,1600,1,1
71,????5,18,4,736,342,200,100,1,1,1,1,0,0,1,0,0,0,3200,1600,1,1
72,????6,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,????7,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,????8,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,????9,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,????10,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,????11,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,?? ??,19,0,344,208,400,100,1,1,1,1,1,0,1,0,0,1,3200,1600,2,1
79,?? ??,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,?? ?? ??,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,?????,19,3,252,358,120,75,1,1,1,1,0,0,1,0,0,0,1920,1200,1,1
82,???? ??,20,0,211,265,600,100,1,1,1,1,0,0,1,0,0,0,3200,1600,3,1
83,????1,21,0,270,189,200,100,1,1,1,1,0,0,1,0,0,0,3200,1600,1,1
84,????2,21,1,526,189,200,100,1,1,1,1,0,0,1,0,0,0,3200,1600,1,1
85,????,21,2,76,196,120,69,1,1,1,1,0,0,1,0,0,0,1920,1120,1,1
86,????3,21,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,????1,21,5,365,382,200,100,1,1,1,1,0,0,1,0,0,0,3200,1600,1,1
88,????2,21,4,620,382,200,100,1,1,1,1,0,0,1,0,0,0,3200,1600,1,1
89,????4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,????,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,?????1,22,0,612,409,200,100,1,1,1,1,0,0,1,0,0,0,3200,1600,1,1
92,?????2,22,1,612,155,200,200,1,1,1,1,0,0,1,0,0,0,3200,3200,1,1
93,?????3,22,2,333,156,200,100,1,1,1,1,0,0,1,0,0,0,3200,1600,1,1
94,?????4 > 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,?????5 > 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,??? ???1,23,0,126,274,200,100,1,1,1,1,0,0,1,0,0,0,3200,1600,1,1
97,??? ???2,23,1,377,274,200,100,1,1,1,1,0,0,1,0,0,0,3200,1600,1,1
98,??? ???3,23,2,636,274,200,100,1,1,1,1,0,0,1,0,0,0,3200,1600,1,1
99,??? ???4 > 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,??? ???5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,??? ???6 > 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,????1,24,0,160,325,200,100,1,1,1,1,0,0,1,0,0,0,3200,1600,1,1
103,????5,24,1,163,150,200,100,1,1,1,1,0,0,1,0,0,0,3200,1600,1,1
104,????2,24,2,405,325,200,100,1,1,1,1,0,0,1,0,0,0,3200,1600,1,1
105,????4,24,3,651,150,200,100,1,1,1,1,0,0,1,0,0,0,3200,1600,1,1
106,????6,24,4,407,150,200,100,1,1,1,1,0,0,1,0,0,0,3200,1600,1,1
107,????3,24,5,652,325,200,100,1,1,1,1,0,0,1,0,0,0,3200,1600,1,1
108,?? ?? 1?,25,0,783,98,96,96,1,1,1,1,0,1,1,1,1,0,1664,1600,1,1
109,?? ?? 2?,25,1,687,194,96,96,1,1,1,1,0,1,1,1,1,0,1664,1600,1,1
110,?? ?? 3?,25,2,591,290,96,96,1,1,1,1,0,1,1,1,1,0,1664,1600,1,1
111,?? ?? 4?,25,3,495,386,96,96,1,1,1,1,0,1,1,1,1,0,1664,1600,1,1
112,?? ?? 5?,25,4,399,482,96,96,1,1,1,1,0,1,1,1,1,0,1664,1600,1,1
113,?? ?? 6?,25,5,303,578,96,96,1,1,1,1,0,1,1,1,1,0,1664,1600,1,1
114,?? ?? 7?,25,6,207,674,96,96,1,1,1,1,0,1,1,1,1,0,1664,1600,1,1
115,?? ?? 8?,25,7,111,770,96,96,1,1,1,1,0,1,1,1,1,0,1664,1600,1,1
116,??? ?1,30,0,148,343,200,100,1,1,1,1,0,1,1,1,1,0,3200,1600,1,1
117,??? ?2,30,1,423,343,200,100,1,1,1,1,0,1,1,1,1,0,3200,1600,1,1
118,??? ?3,30,2,688,343,200,100,1,1,1,1,0,1,1,1,1,0,3200,1600,1,1
119,??? ?4,30,3,288,166,200,100,1,1,1,1,0,1,1,1,1,0,3200,1600,1,1
120,??? ?5,30,4,573,166,200,100,1,1,1,1,0,1,1,1,1,0,3200,1600,1,1
121,?? ?? ??,31,0,91,88,171,100,1,1,1,1,0,1,1,1,1,0,1920,1120,1,1
122,?? ?? 1,31,1,202,216,200,100,1,1,1,1,0,1,1,1,1,0,3200,1600,1,1
123,?? ?? 2,31,2,458,216,200,100,1,0,0,0,0,1,0,1,1,0,3200,1600,1,1
124,?? ?? 3,31,3,714,216,200,100,1,1,1,1,0,1,1,1,1,0,3200,1600,1,1
125,?? ?? 4,31,4,202,396,200,100,1,1,1,1,0,1,1,1,1,0,3200,1600,1,1
126,?? ?? 5,31,5,458,396,200,100,1,0,0,0,0,1,0,1,1,0,3200,1600,1,1
127,?? ?? 6,31,6,714,396,200,100,1,1,1,1,0,1,1,1,1,0,3200,1600,1,1
128,??? ??1,33,0,179,206,200,100,1,1,1,1,0,1,1,1,1,0,3200,1600,1,1
129,??? ??2,33,1,418,206,200,100,1,1,1,1,0,1,1,1,1,0,3200,1600,1,1
130,??? ??3,33,2,657,206,200,100,1,1,1,1,0,1,1,1,1,0,3200,1600,1,1
131,??? ??4,33,3,420,416,200,100,1,1,1,1,0,1,1,1,1,0,3200,1600,1,1
132,??? ??5,33,4,657,416,200,100,1,1,1,1,0,1,1,1,1,0,3200,1600,1,1
133,???? ??,35,0,495,188,150,760,1,1,1,1,0,1,1,1,1,0,3200,3200,10,2
134,???? ??,35,1,0,0,0,0,1,1,1,1,0,1,1,1,1,0,3200,1600,1,1
135,???? ??,35,2,495,58,150,75,1,1,1,1,0,1,1,1,1,0,3200,1600,1,1
136,????,37,0,208,265,400,100,1,1,1,1,1,1,1,1,0,1,3200,1600,2,1
137,?????,37,1,208,424,80,50,1,1,1,1,0,1,1,1,0,0,1280,800,1,1
138,????,37,2,530,424,80,50,1,1,1,1,0,1,1,1,0,0,1280,800,1,1
139,????,37,3,695,265,200,100,1,1,1,1,0,1,1,1,0,0,3200,1600,1,1
140,????1,38,0,60,209,200,100,1,1,1,1,0,1,1,1,1,0,3200,1600,1,1
141,????2,38,1,298,209,200,100,1,1,1,1,0,1,1,1,1,0,3200,1600,1,1
142,????5,38,2,213,357,200,100,1,1,1,1,0,1,1,1,1,0,3200,1600,1,1
143,????3,38,3,536,209,200,100,1,1,1,1,0,1,1,1,1,0,3200,1600,1,1
144,????6,38,4,625,68,200,100,1,1,1,1,0,1,1,1,1,0,3200,1600,1,1
145,????4,38,5,629,357,200,100,1,1,1,1,0,1,1,1,1,0,3200,1600,1,1
146,??? ??1,39,0,89,352,200,100,1,1,1,1,0,1,1,1,1,0,3200,1600,1,1
147,??? ??2,39,1,130,519,200,200,1,1,1,1,0,1,1,1,1,0,3200,3200,1,1
148,??? ??3,39,2,371,519,200,200,1,1,1,1,0,1,1,1,1,0,3200,3200,1,1
149,??? ??4,39,3,613,519,200,200,1,1,1,1,0,1,1,1,1,0,3200,3200,1,1
150,??? ??5,39,4,418,352,200,100,1,1,1,1,0,1,1,1,1,0,3200,1600,1,1
151,??? ??6,39,5,658,352,200,100,1,1,1,1,0,1,1,1,1,0,3200,1600,1,1
152,??? ??,39,6,169,198,120,79,1,1,1,1,0,1,1,1,1,0,1920,1280,1,1
153,??? ??,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,0,2560,1600,1,1
154,??? ??2,40,1,493,201,200,100,1,1,1,1,0,1,1,1,1,0,3200,1600,1,1
155,??? ??3,40,2,368,396,200,100,1,1,1,1,0,1,1,1,1,0,3200,1600,1,1
156,??? ??1,40,0,246,201,200,100,1,1,1,1,0,1,1,1,1,0,3200,1600,1,1
157,?? ?? 1??,41,0,223,200,200,100,1,1,1,1,0,1,1,1,1,0,3200,1600,1,1
158,?? ?? 2??,41,1,487,200,200,100,1,1,1,1,0,1,1,1,1,0,3200,1600,1,1
159,?? ?? 3??,41,2,293,365,200,100,1,1,1,1,0,1,1,1,1,0,3200,1600,1,1
160,?? ?? 4??,41,3,558,365,200,100,1,1,1,1,0,1,1,1,1,0,3200,1600,1,1
161,?? ?? 1,42,0,169,198,200,100,1,1,1,1,0,1,1,1,1,0,3200,1600,1,1
162,?? ?? 4,42,1,425,346,200,100,1,1,1,1,0,1,1,1,1,0,3200,1600,1,1
163,?? ?? 5,42,2,659,346,200,100,1,1,1,1,0,1,1,1,1,0,3200,1600,1,1
164,?? ?? 2,42,3,403,198,200,100,1,1,1,1,0,1,1,1,1,0,3200,1600,1,1
165,?? ?? 3,42,4,637,198,200,100,1,1,1,1,0,1,1,1,1,0,3200,1600,1,1
166,?? ?? ??,42,5,0,0,0,0,1,1,1,1,0,1,1,1,1,0,1280,800,1,1
167,???? ?1,43,0,762,241,200,100,1,1,1,1,0,1,1,1,1,0,3200,1600,1,1
168,???? ?2,43,1,537,241,200,100,1,1,1,1,0,1,1,1,1,0,3200,1600,1,1
169,???? ?3,43,2,311,241,200,100,1,1,1,1,0,1,1,1,1,0,3200,1600,1,1
170,???? ?4,43,3,605,82,200,100,1,1,1,1,0,1,1,1,1,0,3200,1600,1,1
171,???? ?5,43,4,76,241,200,100,1,1,1,1,0,1,1,1,1,0,3200,1600,1,1
172,???? ?6,43,5,211,396,200,100,1,1,1,1,0,1,1,1,1,0,3200,1600,1,1
173,???? ?7,43,6,67,83,200,100,1,1,1,1,0,1,1,1,1,0,3200,1600,1,1
174,???? ?8,43,7,315,83,200,100,1,1,1,1,0,1,1,1,1,0,3200,1600,1,1
175,?? ???1,45,0,746,425,200,100,1,1,1,1,0,1,1,1,1,0,3200,1600,1,1
176,?? ???2,45,1,463,390,200,100,1,1,1,1,0,1,1,1,1,0,3200,1600,1,1
177,?? ???3,45,2,710,241,200,100,1,1,1,1,0,1,1,1,1,0,3200,1600,1,1
178,?? ???5,45,3,394,224,200,100,1,1,1,1,0,1,1,1,1,0,3200,1600,1,1
179,?? ???4,45,4,233,571,200,100,1,1,1,1,0,1,1,1,1,0,3200,1600,1,1
180,?? ???6,45,5,73,301,200,200,1,1,1,1,0,1,1,1,1,0,3200,3200,1,1
181,????,45,6,583,582,200,100,1,1,1,1,0,1,1,1,1,0,3200,1600,1,1
182,???? ?1,47,0,254,267,200,100,1,1,1,1,0,1,1,1,1,0,3200,1600,1,1
183,???? ?2,47,1,529,267,200,100,1,1,1,1,0,1,1,1,1,0,3200,1600,1,1
184,???? ?3 > 2,47,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
185,??? ???,48,0,61,326,200,100,1,1,1,0,0,1,1,1,0,0,3200,1600,1,1
186,??? ???,48,1,297,326,200,100,1,1,1,1,0,1,1,1,1,0,3200,1600,1,1
187,??? ???,48,2,531,326,200,100,1,1,1,1,0,1,1,1,1,0,3200,1600,1,1
188,??? ??,48,3,767,326,200,100,1,1,1,1,0,1,1,1,1,0,3200,1600,1,1
189,??? ???,48,4,61,326,200,100,1,1,1,0,0,1,1,1,0,0,3200,1600,1,1
190,???,49,0,553,130,100,100,1,1,1,1,0,1,1,1,1,0,1600,1600,1,1
191,?? ??,51,0,127,193,544,192,1,1,1,1,0,1,1,1,1,0,3200,3200,3,1
192,??? ??,53,0,97,135,128,107,1,1,1,1,0,1,1,1,1,0,1920,1600,1,1
193,???? ??1,53,1,97,306,200,100,1,1,1,1,0,1,1,1,1,0,3200,1600,1,1
194,???? ??2,53,2,340,129,200,100,1,1,1,1,0,1,1,1,1,0,3200,1600,1,1
195,???? ??3,53,3,502,273,200,100,1,1,1,1,0,1,1,1,1,0,3200,1600,1,1
196,???? ??4,53,4,747,273,200,100,1,1,1,1,0,1,1,1,1,0,3200,1600,1,1
197,???? ?2,53,5,334,424,200,100,1,1,1,1,0,1,1,1,1,0,3200,1600,1,1
198,???? ?2,53,6,583,424,200,100,1,1,1,1,0,1,1,1,1,0,3200,1600,1,1
199,????? ??1,54,0,56,138,147,586,1,1,1,1,0,1,1,1,1,0,3200,3200,4,2
200,????? ??2,54,1,258,443,200,100,1,1,1,1,0,1,1,1,1,0,3200,1600,1,1
201,????? ??3,54,2,502,322,200,100,1,1,1,1,0,1,1,1,1,0,3200,1600,1,1
202,????? ??4,54,3,756,262,200,200,1,1,1,1,0,1,1,1,1,0,3200,3200,1,1
203,????? ??5,54,4,679,544,200,100,1,1,1,1,0,1,1,1,1,0,3200,1600,1,1
204,????? ??6,54,5,313,616,200,100,1,1,1,1,0,1,1,1,1,0,3200,1600,1,1
205,??? ??,55,0,64,217,400,100,1,1,1,1,0,1,1,1,1,0,3200,1600,2,1
206,??? ?,55,1,314,384,400,100,1,1,1,1,0,1,1,1,1,0,3200,1600,2,1
207,??? ????,55,2,563,217,400,100,1,1,1,1,0,1,1,1,1,0,3200,1600,2,1
208,??? ??,56,0,407,225,200,100,1,1,1,1,0,1,1,1,1,0,3200,1600,1,1
209,???? ? ??,57,0,456,535,200,200,1,1,1,1,0,1,1,1,1,0,3200,3200,1,1
210,???? ? ??,57,1,456,230,200,200,1,1,1,1,0,1,1,1,1,0,3200,3200,1,1
211,?? ?? 1,58,0,258,120,200,100,1,1,1,1,0,1,1,1,1,0,3200,1600,1,1
212,?? ?? 2,58,1,501,120,200,100,1,1,1,1,0,1,1,1,1,0,3200,1600,1,1
213,?? ?? 3,58,2,745,120,200,100,1,1,1,1,0,1,1,1,1,0,3200,1600,1,1
214,?? ?? 6,58,3,444,421,200,100,1,1,1,1,0,1,1,1,1,0,3200,1600,1,1
215,?? ?? 5,58,4,368,271,200,100,1,1,1,1,0,1,1,1,1,0,3200,1600,1,1
216,?? ?? 4,58,5,662,273,200,100,1,1,1,1,0,1,1,1,1,0,3200,1600,1,1
217,????? ??,67,0,361,273,400,100,1,1,1,1,0,1,1,1,1,0,3200,1600,2,1
218,??? ??1,68,0,76,253,200,100,1,1,1,1,0,1,1,1,1,0,3200,1600,1,1
219,??? ??2,68,1,316,253,200,100,1,1,1,1,0,1,1,1,1,0,3200,1600,1,1
220,??? ??3,68,2,556,253,200,100,1,1,1,1,0,1,1,1,1,0,3200,1600,1,1
221,??? ??4,68,3,718,103,200,100,1,1,1,1,0,1,1,1,1,0,3200,1600,1,1
222,??? ??5,68,4,261,408,200,100,1,1,1,1,0,1,1,1,1,0,3200,1600,1,1
223,??? ??6,68,5,500,408,200,100,1,1,1,1,0,1,1,1,1,0,3200,1600,1,1
224,???? ???1,81,0,142,359,200,100,1,1,1,1,0,1,1,1,1,0,3200,1600,1,1
225,???? ???3,81,1,659,358,200,100,1,1,1,1,0,1,1,1,1,0,3200,1600,1,1
226,???? ???2,81,2,403,359,200,100,1,1,1,1,0,1,1,1,1,0,3200,1600,1,1
227,???? ???4,81,3,452,195,200,100,1,1,1,1,0,1,1,1,1,0,3200,1600,1,1
228,???? ???5,81,4,712,195,200,100,1,1,1,1,0,1,1,1,1,0,3200,1600,1,1
229,????? 1,85,0,102,315,200,100,1,1,1,1,0,1,1,1,1,0,3200,1600,1,1
230,????? 2,85,1,370,315,200,200,1,1,1,1,0,1,1,1,1,0,3200,3200,1,1
231,????? 3,85,2,642,316,200,200,1,1,1,1,0,1,1,1,1,0,3200,3200,1,1
232,??? ?,85,3,512,129,200,100,1,1,1,1,0,1,1,1,1,0,3200,1600,1,1
233,?????,86,0,329,233,400,100,1,1,1,1,0,1,1,1,1,0,3200,1600,2,1
234,????? ???,86,1,334,439,80,50,1,1,1,1,0,1,1,1,1,0,1280,800,1,1
235,????? ??,86,2,706,415,80,50,1,1,1,1,0,1,1,1,1,0,1280,800,1,1
236,?????,87,0,469,129,150,760,1,1,1,1,0,1,1,1,1,0,3200,3200,8,2
237,? ??,89,0,331,215,200,100,1,1,1,1,0,1,1,1,1,0,3200,1600,1,1
238,??? ?? ??,89,1,471,373,80,49,1,1,1,1,0,1,1,1,1,0,1344,800,1,1
239,??? ?,89,2,0,0,0,0,1,1,1,1,0,1,1,1,1,0,3200,1600,1,1
240,??? ?,89,3,0,0,0,0,1,1,1,1,0,1,1,1,1,0,3200,1600,1,1
241,??? ?,89,4,0,0,0,0,1,1,1,1,0,1,1,1,1,0,3200,1600,1,1
242,??? ?,89,5,0,0,0,0,1,1,1,1,0,1,1,1,1,0,3200,1600,1,1
243,??? ?,89,6,0,0,0,0,1,1,1,1,0,1,1,1,1,0,3200,1600,1,1
244,??? ?,89,7,0,0,0,0,1,1,1,1,0,1,1,1,1,0,3200,1600,1,1
245,??? ?,89,8,0,0,0,0,1,1,1,1,0,1,1,1,1,0,3200,1600,1,1
246,??? ?,89,9,0,0,0,0,1,1,1,1,0,1,1,1,1,0,3200,1600,1,1
247,??? ?,89,10,0,0,0,0,1,1,1,1,0,1,1,1,1,0,3200,1600,1,1
248,??? ?,89,11,0,0,0,0,1,1,1,1,0,1,1,1,1,0,3200,1600,1,1
249,??? ?,89,12,0,0,0,0,1,1,1,1,0,1,1,1,1,0,3200,1600,1,1
250,??? ?,89,13,0,0,0,0,1,1,1,1,0,1,1,1,1,0,3200,1600,1,1
251,??? ?,89,14,0,0,0,0,1,1,1,1,0,1,1,1,1,0,3200,1600,1,1
252,? ?? ??,89,15,628,156,200,100,1,1,1,1,0,1,1,1,1,0,3200,1600,1,1
253,?????,89,24,309,406,62,64,1,1,1,1,0,1,1,1,1,0,1280,992,1,1
254,?????????1,111,0,464,232,123,109,1,1,1,1,0,1,1,1,1,0,1920,1696,1,1
255,?????????2,111,1,690,254,101,68,1,1,1,1,0,1,1,1,1,0,1920,1296,1,1
256,??? ?? 1,112,0,87,239,200,100,1,1,1,1,0,1,1,1,1,0,3200,1600,1,1
257,??? ?? 2,112,1,336,349,200,100,1,1,1,1,0,1,1,1,1,0,3200,1600,1,1
258,??? ?? 3,112,2,336,129,200,100,1,1,1,1,0,1,1,1,1,0,3200,1600,1,1
259,??? ?? 4,112,3,585,239,200,100,1,1,1,1,0,1,1,1,1,0,3200,1600,1,1
260,??? ??? ??,112,4,824,243,111,69,1,1,1,1,0,1,1,1,1,0,1792,1104,1,1
261,??? ?? 1,117,0,544,254,200,100,1,1,1,1,0,1,1,1,1,0,3200,1600,1,1
262,??? ?? 2,117,1,661,438,200,100,1,1,1,1,0,1,1,1,1,0,3200,1600,1,1
263,??? ??,117,2,241,392,200,100,1,1,1,1,0,1,1,1,1,0,3200,1600,1,1
264,??? ?,117,3,162,120,120,70,1,1,1,1,0,1,1,1,1,0,1920,1120,1,1
265,???,117,4,0,0,0,0,1,1,1,1,0,1,1,1,1,0,3200,1600,1,1
266,??? ??,117,5,337,88,120,100,1,1,1,1,0,1,1,1,1,0,1920,1600,1,1
267,???? ?? 1,118,0,174,226,200,100,1,1,1,1,0,1,1,1,1,0,3200,1600,1,1
268,???? ?? 2,118,1,426,88,200,100,1,1,1,1,0,1,1,1,1,0,3200,1600,1,1
269,???? ?? 3,118,2,425,310,200,100,1,1,1,1,0,1,1,1,1,0,3200,1600,1,1
270,???? ?? 4,118,3,674,272,200,100,1,1,1,1,0,1,1,1,1,0,3200,1600,1,1
271,???? ?? 5,118,4,601,451,200,100,1,1,1,1,0,1,1,1,1,0,3200,1600,1,1
272,?? ??,119,0,418,262,200,100,1,1,1,1,0,1,1,1,1,0,3200,1600,1,1
273,???? ?? 1,120,0,71,263,200,100,1,1,1,1,0,1,1,1,1,0,3200,1600,1,1
274,???? ?? 2,120,1,307,111,400,100,1,1,1,1,0,1,1,1,1,0,3200,1600,2,1
275,???? ?? 3,120,2,743,176,200,100,1,1,1,1,0,1,1,1,1,0,3200,1600,1,1
276,???? ?? 4,120,3,306,319,400,100,1,1,1,1,0,1,1,1,1,0,3200,1600,2,1
277,???? ?? 5,120,4,743,408,200,100,1,1,1,1,0,1,1,1,1,0,3200,1600,1,1
278,??? 1,121,0,61,260,200,100,1,1,1,1,0,1,1,1,1,0,3200,1600,1,1
